Question,CorrectAnswer,GivenAnswer,Correct
"اداکار انتونیو بینڈیرس کی مادری زبان کیا ہے؟
A.سپينش
B.رشئن
C.جرمن
D.فرنچ",A,"اداکار انتونیو بینڈیرس کی مادری زبان سپینش ہے۔

انتونیو بینڈیرس کا تعلق سپین سے ہے اور وہ ملاگا، سپین میں پیدا ہوئے تھے۔ سپین کی سرکاری اور قومی زبان سپینش ہے، لہذا انتونیو بینڈیرس کی مادری زبان بھی سپینش ہی ہے۔",
"1999 کی فلم میگنولیا کس ریاست میں سیٹ کی گئی ہے؟
A.کیلیفورنیا
B.جنوبی کیرولائنا
C.جورجيا
D.ٹیکساس",A,"جواب A ہے۔ 1999 کی فلم میگنولیا کیلیفورنیا ریاست میں سیٹ کی گئی تھی۔

فلم کے زیادہ تر مناظر لاس اینجلس کے مختلف علاقوں میں فلمائے گئے تھے۔ فلم کی کہانی ایک دن کے دوران لاس اینجلس میں رہنے والے مختلف کرداروں کی زندگیوں کے گرد گھومتی ہے۔ فلم کے ہدایت کار پال تھامس اینڈرسن نے اس فلم کو اپنے آبائی شہر لاس اینجلس کو خراج تحسین پیش کرنے کے لیے بنایا تھا۔",
"ہالینڈ کی سرکاری زبان کیا ہے؟
A.ڈينش
B.سؤڈش
C.جرمن
D.ڈچ",D,"ہالینڈ کی سرکاری زبان ڈچ (Dutch) ہے۔

ہالینڈ ایک چھوٹا سا ملک ہے جو مغربی یورپ میں واقع ہے۔ اس کی آبادی تقریباً 1.7 کروڑ ہے اور اس کا دارالحکومت ایمسٹرڈم ہے۔ ڈچ زبان جرمن اور انگریزی کے ساتھ ساتھ ہالینڈ کی سرکاری زبان ہے۔ یہ زبان جرمنک زبانوں کے ذیلی گروپ سے تعلق رکھتی ہے اور جرمن اور انگریزی کے ساتھ قریبی تعلق رکھتی ہے۔

تو آپ کے سوال کا صحیح جواب آپشن D یعنی ڈچ ہے۔",
"ان ڈراؤنی فلموں میں سے کس نے سب سے زیادہ سیکوئل تیار کیے؟
A.چیخو'
B.جبڑے'
C.ہالووین'
D.جمعہ 13 تاریخ کو",D,"D. جمعہ 13 تاریخ کو

جمعہ 13 تاریخ کو (Friday the 13th) فلم سیریز نے سب سے زیادہ 12 سیکوئل تیار کیے ہیں۔ اس کے بعد ہالووین (Halloween) فلم سیریز کے 11 سیکوئل ہیں۔ 

جبڑے (Jaws) کے 3 سیکوئل ہیں جبکہ چیخو (Scream) کے 4 سیکوئل ہیں۔

تو ڈراؤنی فلموں میں سب سے زیادہ سیکوئل بنانے کا ریکارڈ جمعہ 13 تاریخ کو کے نام ہے۔ یہ ایک کلاسک سلیشر فلم سیریز ہے جس کا مرکزی کردار جیسن ووری ہیز (Jason Voorhees) ہے۔",
"ایک ٹینک سہ رخی پرزم کی شکل میں ہے۔ اگر سہ رخی بنیاد کا رقبہ 116 مربع فٹ ہے ، اور ٹینک 30 فٹ لمبا ہے ، تو جب ٹینک بھرا ہوا ہوگا تو اس میں کتنا پانی ہوگا؟
A.1725 فٹ ^3
B.1740 فٹ ^3
C.3480 فٹ ^3
D.6960 فٹ ^3",C,"آئیے مسئلے کو حل کرنے کے لیے ایک ایک قدم لیتے ہیں:

1. ہمیں دیا گیا ہے کہ ٹینک ایک سہ رخی پرزم کی شکل میں ہے۔ 
2. سہ رخی بنیاد کا رقبہ 116 مربع فٹ ہے۔
3. ٹینک کی لمبائی 30 فٹ ہے۔

ہمیں ٹینک کی گنجائش (volume) معلوم کرنا ہے۔ پرزم کی گنجائش کا فارمولا ہے:

* گنجائش = بنیاد کا رقبہ × لمبائی

اب اعداد و شمار کو فارمولے میں ڈالتے ہیں:

* گنجائش = 116 مربع فٹ × 30 فٹ
* گنجائش = 3480 فٹ^3

لہذا، جب ٹینک بھرا ہوا ہوگا تو اس میں 3480 فٹ^3 پانی ہوگا۔

درست جواب **C. 3480 فٹ^3** ہے۔",
"K-فولڈ کراس-توثیق ہے
A.K میں لکیری
B.چٹخی in K
C.کے میں مکعب
D.K میں تیزی سے اضافہ",A,"درست جواب A ہے: K-فولڈ کراس-توثیق K میں لکیری ہے۔

K-فولڈ کراس-توثیق (K-fold cross-validation) ایک طریقہ ہے جس میں ڈیٹا سیٹ کو K برابر حصوں میں تقسیم کیا جاتا ہے۔ پھر ہر حصے کو بالترتیب validation set کے طور پر استعمال کیا جاتا ہے جبکہ باقی K-1 حصے training set کے طور پر استعمال ہوتے ہیں۔ یہ عمل K بار دہرایا جاتا ہے تاکہ ہر حصہ ایک بار validation set کے طور پر استعمال ہو۔

اس طرح یہ ایک لکیری (linear) طریقہ ہے جس میں ڈیٹا کو K حصوں میں تقسیم کر کے بالترتیب validation اور training کے لیے استعمال کیا جاتا ہے۔ یہ چٹخی، مکعب یا تیزی سے اضافے کا عمل نہیں ہے۔",
"کیا بیرون ملک ملک X کے وزیر کی طرف سے کیا جانے والا غیر قانونی قتل ایک غیر قانونی عمل ہے یا غلط ہے؟
A.اس طرح کا طرز عمل ایک عوامی عمل ہے (جوئے خطرے میں)
B.ایسا طرز عمل کبھی بھی قوت مدافعت کو راغب نہیں کرتا
C.اس طرح کا طرز عمل ایک نجی عمل ہے (جور گیسٹونس)
D.اس طرح کا طرز عمل ایک عوامی عمل ہے لیکن اسے استثنیٰ حاصل ہے۔",C,اس طرح کا طرز عمل ایک عوامی عمل ہے لیکن اسے استثنیٰ حاصل ہے۔ بین الاقوامی قانون کے تحت، کسی ملک کے وزیر کی طرف سے کسی دوسرے ملک میں قتل کرنا غیر قانونی ہے اور اس کی مذمت کی جاتی ہے۔ تاہم، اگر یہ قومی سلامتی یا دفاع کے مقاصد کے لیے کیا جائے تو اسے استثنائی طور پر جائز قرار دیا جا سکتا ہے۔ لیکن عام طور پر ایسے اقدامات کو غلط اور ناقابل قبول سمجھا جاتا ہے کیونکہ یہ بین الاقوامی امن و استحکام کو خطرے میں ڈالتے ہیں۔ اس لیے حکومتوں کو ایسے اقدامات سے گریز کرنا چاہیے اور تنازعات کو پرامن طریقے سے حل کرنے کی کوشش کرنی چاہیے۔,
"مندرجہ ذیل مشروط تجویز کے پیش رو کی شناخت کریں: شہد کی مکھیاں اپنا پہلا گیم صرف اسی صورت میں جیتتی ہیں جب آرڈوارکس یا چپمنکس میں سے کوئی ایک اپنا پہلا کھیل نہیں جیتتا ہے۔
A.آرڈوارکس اپنا پہلا گیم نہیں جیت سکے۔
B.شہد کی مکھیوں نے اپنا پہلا کھیل جیتا.
C.چپمنکس اپنا پہلا گیم نہیں جیت سکے۔
D.یا تو آرڈوارکس یا چپمنکس اپنے پہلے کھیل نہیں جیت پاتے ہیں۔",B,"درست جواب D ہے: یا تو آرڈوارکس یا چپمنکس اپنے پہلے کھیل نہیں جیت پاتے ہیں۔

وجہ یہ ہے کہ دی گئی مشروط تجویز کہتی ہے کہ شہد کی مکھیاں اپنا پہلا گیم صرف اس صورت میں جیتتی ہیں جب آرڈوارکس یا چپمنکس میں سے کوئی ایک اپنا پہلا کھیل نہیں جیتتا۔ 

اس کا مطلب ہے کہ شہد کی مکھیوں کی جیت کی شرط یہ ہے کہ یا تو آرڈوارکس یا چپمنکس اپنا پہلا کھیل نہ جیتیں۔ اگر دونوں میں سے کوئی ایک بھی اپنا پہلا کھیل جیت جاتا ہے تو شہد کی مکھیاں اپنا پہلا کھیل نہیں جیت سکتیں۔

لہذا، دی گئی مشروط تجویز کا پیش رو ""یا تو آرڈوارکس یا چپمنکس اپنے پہلے کھیل نہیں جیت پاتے ہیں"" ہے۔",
"ان میں سے کون سا پکوان کی آنتوں سے بنایا جاتا ہے؟
A.haggis
B.chitlins
C.grits
D.chop suey",B,"A. Haggis

Haggis ایک روایتی سکاٹش پکوان ہے جو بھیڑ کی آنتوں میں بھرا جاتا ہے۔ اس میں عام طور پر بھیڑ کا دل، جگر اور پھیپھڑے شامل ہوتے ہیں جنہیں پیاز، جو، دلیا، مسالے اور نمک کے ساتھ ملا کر بھیڑ کی صاف کی ہوئی آنت میں بھرا جاتا ہے۔ پھر اسے ابالا یا بھاپ دیا جاتا ہے۔

Chitlins بھی آنتوں سے بنائی جاتی ہیں لیکن وہ خنزیر کی آنتیں ہوتی ہیں، بھیڑ کی نہیں۔ Grits اور chop suey آنتوں سے نہیں بنائے جاتے۔",
"درمیانی عمر کے بالغ افراد بوڑھے یا نوجوان بالغوں کے مقابلے میں زیادہ ____ دکھائی دیتے ہیں
A.جنریٹیو
B.اعصابی اعصابی
C.قابل قبول
D.کچھ",A,"درمیانی عمر کے بالغ افراد بوڑھے یا نوجوان بالغوں کے مقابلے میں زیادہ جنریٹیو دکھائی دیتے ہیں۔

وجہ یہ ہے کہ درمیانی عمر کے افراد عام طور پر:

1. اپنے کیریئر اور ذاتی زندگی میں مستحکم ہوتے ہیں۔ 

2. اپنے تجربے اور مہارتوں کو نئی نسل کو منتقل کرنے کی خواہش رکھتے ہیں۔

3. معاشرے میں اپنا کردار ادا کرنے اور اثر و رسوخ چھوڑنے کی کوشش کرتے ہیں۔

4. اپنی اولاد کی پرورش اور ان کی بہتری کے لیے کام کرتے ہیں۔

لہذا، درمیانی عمر کے افراد نوجوانوں کی نسبت زیادہ جنریٹیو اور معاشرے کے لیے زیادہ فائدہ مند ثابت ہوتے ہیں۔ وہ اپنے علم اور تجربے کو آنے والی نسلوں تک پہنچانے کی کوشش کرتے ہیں۔",
