Question,CorrectAnswer,GivenAnswer,Correct
"Diễn viên Antonio Banderas ngôn ngữ mẹ đẻ là gì?
A.Tiếng Tây Ban Nha
B.Tiếng Nga
C.Tiếng Đức
D.Pháp",A,"A. Tiếng Tây Ban Nha

Antonio Banderas là một diễn viên người Tây Ban Nha nổi tiếng. Ông sinh ra tại Málaga, Tây Ban Nha vào năm 1960. Tiếng Tây Ban Nha là ngôn ngữ mẹ đẻ của Antonio Banderas.",
"Xác định tiền đề của mệnh đề có điều kiện sau: Những con ong chỉ thắng trò chơi đầu tiên nếu Aardvarks hoặc Chipmunks không thắng trò chơi đầu tiên của họ.
A.Aardvarks không thắng trận đầu tiên.
B.The Bees giành chiến thắng trong trò chơi đầu tiên của họ.
C.Chipmunks không thắng trận đầu tiên.
D.Aardvarks hoặc Chipmunks không thắng các trận đấu đầu tiên của họ.",B,"Để xác định tiền đề của mệnh đề có điều kiện, ta cần tìm phần đứng trước từ ""nếu"" (if). Trong câu đề bài, phần đứng trước ""nếu"" là:

""Aardvarks hoặc Chipmunks không thắng trò chơi đầu tiên của họ.""

Vì vậy, tiền đề của mệnh đề có điều kiện này là phương án D: Aardvarks hoặc Chipmunks không thắng các trận đấu đầu tiên của họ.",
"Bộ phim Magnolia' năm 1999 lấy bối cảnh ở bang nào?
A.California
B.Nam Carolina
C.Gruzia
D.Texas",A,"Đáp án đúng là A. California.

Bộ phim ""Magnolia"" của đạo diễn Paul Thomas Anderson được sản xuất năm 1999 lấy bối cảnh ở San Fernando Valley, California. Phim kể về một ngày trong cuộc sống của nhiều nhân vật khác nhau, với những mối liên hệ và sự giao thoa bất ngờ. Tất cả các sự kiện trong phim đều diễn ra ở khu vực xung quanh Los Angeles và San Fernando Valley thuộc tiểu bang California.",
"So với các đảng chính trị ở các quốc gia như Anh và Israel, cả hai đều có hệ thống đa đảng, các đảng chính trị của Mỹ là
A.ít quan tâm đến việc ảnh hưởng đến kết quả bầu cử
B.ít được xác định rõ ràng với các hệ tư tưởng chính trị nhất quán
C.kém hiệu quả hơn trong việc huy động tiền từ những người ủng hộ chính trị
D.có khả năng phản ánh tốt hơn các mục tiêu của toàn bộ khu vực bầu cử của họ",B,"Đáp án đúng là B. ít được xác định rõ ràng với các hệ tư tưởng chính trị nhất quán.

Giải thích:

- Các đảng chính trị ở Mỹ thường ít gắn bó chặt chẽ với một hệ tư tưởng chính trị nhất quán nào so với các đảng ở Anh hay Israel. Họ thường có xu hướng ôn hòa và ít cực đoan hơn.

- Các đảng ở Mỹ rất quan tâm đến việc ảnh hưởng kết quả bầu cử (loại A), có khả năng huy động tài chính rất tốt (loại C). 

- Mỗi đảng ở Mỹ thường đại diện cho lợi ích của một bộ phận cử tri nhất định chứ không phải toàn bộ khu vực bầu cử (loại D).

Vì vậy, đáp án B là phù hợp nhất để so sánh sự khác biệt của các đảng chính trị Mỹ so với các đảng ở Anh và Israel.",
"Ngôn ngữ chính thức của Hà Lan là gì?
A.Tiếng Đan-mạch
B.Thuỵ Điển
C.Tiếng Đức
D.Tiếng Hà-Lan",D,"Đáp án đúng là D. Tiếng Hà Lan (Dutch).

Tiếng Hà Lan là ngôn ngữ chính thức của Hà Lan. Nó cũng là một trong những ngôn ngữ chính thức của Bỉ (cùng với tiếng Pháp và tiếng Đức), và là ngôn ngữ hành chính ở Suriname, Aruba, Curaçao và Sint Maarten.

Các lựa chọn khác:
- Tiếng Đan Mạch là ngôn ngữ chính thức của Đan Mạch, Quần đảo Faroe và Greenland.
- Tiếng Thụy Điển là ngôn ngữ chính thức của Thụy Điển và Phần Lan.
- Tiếng Đức là ngôn ngữ chính thức của Đức, Áo, Thụy Sĩ (cùng với tiếng Pháp, tiếng Ý và Romansh), và Liechtenstein.",
"Xác định nồng độ H+(aq) trong dung dịch 1,0 M phenol, C6H5OH. (Ka cho phenol là 1 × 10 ^ -10.)
A.1 × 10^-10 m
B.1 × 10^-9 m
C.1 × 10^-3 m
D.1 × 10^-5 m",D,"Để xác định nồng độ H+(aq) trong dung dịch phenol, ta sử dụng công thức của hằng số phân ly axit Ka:

Ka = ([H+][C6H5O-]) / [C6H5OH]

Với phenol là một axit yếu, ta có thể giả sử rằng nồng độ ban đầu của phenol gần như không đổi sau khi phân ly. Gọi x là nồng độ H+ sinh ra từ quá trình phân ly.

[H+] = [C6H5O-] = x
[C6H5OH] ≈ 1,0 M (nồng độ ban đầu)

Thay vào công thức Ka:

Ka = (x^2) / (1,0)
1 × 10^-10 = x^2 / 1,0
x^2 = 1 × 10^-10
x = sqrt(1 × 10^-10) = 1 × 10^-5

Vậy nồng độ H+ trong dung dịch 1,0 M phenol là 1 × 10^-5 M.

Đáp án đúng là D. 1 × 10^-5 M.",
"Xác thực chéo K-fold là
A.tuyến tính trong K
B.bậc hai trong K
C.khối trong K
D.hàm mũ trong K",A,"Xác thực chéo K-fold (K-fold cross-validation) là một phương pháp đánh giá mô hình trong học máy. Trong phương pháp này, tập dữ liệu được chia thành K phần bằng nhau, mỗi phần được sử dụng lần lượt làm tập kiểm tra (test set) trong khi các phần còn lại được sử dụng làm tập huấn luyện (training set). Quá trình này được lặp lại K lần, với mỗi phần được sử dụng đúng một lần làm tập kiểm tra.

Dựa trên các lựa chọn đã cho, đáp án đúng nhất là:

C. khối trong K

Xác thực chéo K-fold chia tập dữ liệu thành các ""khối"" (folds) và sử dụng từng khối làm tập kiểm tra, trong khi các khối còn lại được sử dụng làm tập huấn luyện. Quá trình này không liên quan đến tính chất tuyến tính, bậc hai hay hàm mũ của K.",
"Đặc điểm nào sau đây thường phù hợp với hiếp dâm hẹn hò?
A.sử dụng vũ lực quá mức
B.dự tính trước
C.động cơ tình dục
D.liên quan đến việc sử dụng vũ khí",C,"Hiếp dâm hẹn hò thường không liên quan đến việc sử dụng vũ khí hay bạo lực quá mức. Nó thường xảy ra giữa những người quen biết, hẹn hò hoặc có quan hệ thân thiết với nhau. Động cơ chủ yếu là tình dục, kẻ gây án lợi dụng sự tin tưởng của nạn nhân để thực hiện hành vi cưỡng ép quan hệ trái ý muốn. Tuy nhiên, không phải lúc nào cũng có sự dự tính trước.

Vì vậy, đáp án C (động cơ tình dục) là phù hợp nhất trong các lựa chọn trên để mô tả đặc điểm của hiếp dâm hẹn hò. Dù sao, mọi hình thức cưỡng ép tình dục đều là tội ác nghiêm trọng cần lên án và trừng phạt thích đáng.",
"Bộ phim kinh dị nào trong số này sinh ra nhiều phần tiếp theo nhất?
A.Gào thét'
B.Hàm '
C.Halloween'
D.Thứ Sáu ngày 13'",D,"Trong số các bộ phim kinh dị được liệt kê, bộ phim có nhiều phần tiếp theo nhất là:

D. Thứ Sáu ngày 13 (Friday the 13th)

Loạt phim ""Thứ Sáu ngày 13"" đã ra mắt tổng cộng 12 phần chính thức, bao gồm:

1. Friday the 13th (1980)
2. Friday the 13th Part 2 (1981)
3. Friday the 13th Part III (1982)
4. Friday the 13th: The Final Chapter (1984)
5. Friday the 13th: A New Beginning (1985)
6. Friday the 13th Part VI: Jason Lives (1986)
7. Friday the 13th Part VII: The New Blood (1988)
8. Friday the 13th Part VIII: Jason Takes Manhattan (1989)
9. Jason Goes to Hell: The Final Friday (1993)
10. Jason X (2001)
11. Freddy vs. Jason (2003)
12. Friday the 13th (2009, phiên bản remake)

Các bộ phim khác như ""Gào thét"" (Scream), ""Hàm"" (Jaws), và ""Halloween"" cũng có nhiều phần tiếp theo, nhưng không nhiều bằng loạt phim ""Thứ Sáu ngày 13"".",
"Một số, được làm tròn đến hàng nghìn gần nhất, là 47.000. Số nào có thể là số đã được làm tròn?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Để tìm số ban đầu có thể được làm tròn thành 47.000, chúng ta cần xác định khoảng giá trị mà khi làm tròn sẽ cho kết quả 47.000.

Khoảng này sẽ nằm giữa 46.500 và 47.500 vì:
- Các số từ 46.500 trở lên sẽ được làm tròn thành 47.000.
- Các số dưới 46.500 sẽ được làm tròn xuống 46.000.

Bây giờ, hãy xem xét từng lựa chọn:

A. 46.295 < 46.500, nên khi làm tròn sẽ là 46.000. Loại.

B. 46.504 > 46.500, nên khi làm tròn sẽ là 47.000. Đáp án có thể đúng.

C. 47.520 > 47.500, nên khi làm tròn sẽ là 48.000. Loại.

D. 47.924 > 47.500, nên khi làm tròn sẽ là 48.000. Loại.

Vậy, đáp án duy nhất có thể đúng là B. 46.504.",
"Vụ giết người bất hợp pháp của Bộ trưởng nước X ở nước ngoài là một hành động hợp pháp hay jure gestionis?
A.Hành vi như vậy là một hành vi công cộng (jure imperii)
B.Hành vi như vậy không bao giờ thu hút khả năng miễn dịch
C.Hành vi như vậy là một hành động riêng tư (jure gestionis)
D.Hành vi như vậy là một hành vi công cộng nhưng được bảo vệ bởi quyền miễn trừ",C,"Đáp án B là đúng nhất. Hành vi giết người bất hợp pháp của Bộ trưởng nước X ở nước ngoài không bao giờ được hưởng quyền miễn trừ.

Lý do:
- Hành vi giết người bất hợp pháp là một tội ác nghiêm trọng, vi phạm pháp luật hình sự quốc tế. Nó không thể được coi là hành vi công vụ hợp pháp (jure imperii) của một quan chức nhà nước.
- Theo luật pháp và công ước quốc tế, các quan chức ngoại giao chỉ được hưởng quyền miễn trừ đối với những hành vi thực hiện trong khuôn khổ chức năng ngoại giao chính thức. Tội phạm hình sự nghiêm trọng như giết người không thuộc phạm vi này.
- Vì vậy, Bộ trưởng nước X trong trường hợp này sẽ không được hưởng quyền miễn trừ và có thể bị truy tố theo luật hình sự của quốc gia sở tại, bất kể chức vụ của ông ta.",
"Điện áp gây ra trong cuộn cảm được biểu diễn dưới dạng,
A.sản phẩm của độ tự cảm và dòng điện của nó thông qua nó.
B.tỷ lệ độ tự cảm của nó với dòng điện thông qua nó.
C.tỷ lệ dòng điện qua nó với độ tự cảm của nó.
D.sản phẩm của độ tự cảm và tốc độ thay đổi dòng điện thông qua nó.",D,"Đáp án đúng là D. Điện áp gây ra trong cuộn cảm được biểu diễn dưới dạng sản phẩm của độ tự cảm và tốc độ thay đổi dòng điện thông qua nó.

Giải thích:
- Theo định luật Faraday về cảm ứng điện từ, điện áp cảm ứng (e) trong một cuộn cảm tỷ lệ thuận với tốc độ thay đổi từ thông (ΦB) qua cuộn dây theo thời gian.
- Từ thông qua cuộn cảm tỷ lệ thuận với dòng điện (I) chạy qua nó và độ tự cảm (L) của cuộn dây.
- Kết hợp hai điều trên, ta có công thức tính điện áp cảm ứng:

e = -L * dI/dt

Trong đó:
- e là điện áp cảm ứng (V)
- L là độ tự cảm của cuộn dây (H)
- dI/dt là tốc độ thay đổi dòng điện theo thời gian (A/s)

Vậy, điện áp gây ra trong cuộn cảm được biểu diễn dưới dạng sản phẩm của độ tự cảm và tốc độ thay đổi dòng điện thông qua nó.",
"Một chiếc xe tăng có hình lăng kính tam giác. Nếu đáy hình tam giác có diện tích 116 feet vuông và bể cao 30 feet, bể sẽ chứa bao nhiêu nước khi đầy?
A.1725 ft^3
B.1740 ft^3
C.3480 ft^3
D.6960 ft^3",C,"Để tính thể tích của bể nước hình lăng trụ tam giác, ta sử dụng công thức:

V = (1/3) * S * h

Trong đó:
- V là thể tích của bể nước
- S là diện tích đáy hình tam giác
- h là chiều cao của bể

Đề bài cho biết:
- Diện tích đáy hình tam giác là 116 feet vuông
- Chiều cao của bể là 30 feet

Thay vào công thức, ta có:

V = (1/3) * 116 * 30
V = 1160 (feet khối)

Tuy nhiên, không có đáp án nào trong các lựa chọn trùng với kết quả tính được. Vì vậy, ta kiểm tra lại các đáp án:

A. 1725 ft^3 = (1/3) * 115 * 30 (diện tích đáy khác 116)
B. 1740 ft^3 = (1/2) * 116 * 30 (công thức tính thể tích không đúng)
C. 3480 ft^3 = 116 * 30 (công thức tính thể tích không đúng)
D. 6960 ft^3 = 116 * 60 (chiều cao gấp đôi 30)

Như vậy, có thể thấy đề bài có sai sót, không có đáp án chính xác trong các lựa chọn đưa ra.",
"Điều nào trong số này làm cho việc xác định mối quan hệ tiến hóa của các loài khác nhau dựa trên trình tự axit amin của các protein tương đồng thường kém chính xác hơn so với các xác định liên quan dựa trên trình tự nucleotide của các gen tương đồng?
A.Đột biến thầm lặng
B.Nhân đôi gen
C.Các sự kiện chuyển vị làm thay đổi trình tự gen
D.Giao nhau",A,"Đáp án đúng là A. Đột biến thầm lặng.

Giải thích:

Đột biến thầm lặng là những đột biến điểm xảy ra ở vị trí nucleotide thứ ba của bộ ba mã hóa, làm thay đổi bộ ba nhưng không làm thay đổi loại axit amin được mã hóa. Nguyên nhân là do tính thoái hóa của mã di truyền: nhiều bộ ba khác nhau có thể mã hóa cho cùng một loại axit amin.

Khi xảy ra đột biến thầm lặng, trình tự nucleotide của gen bị thay đổi nhưng trình tự axit amin của protein tương ứng không đổi. Điều này dẫn đến sự sai lệch giữa kết quả xác định mối quan hệ tiến hóa dựa trên trình tự axit amin protein và trình tự nucleotide gen.

Các yếu tố khác như nhân đôi gen, chuyển vị hay giao nhau đều làm thay đổi đồng thời trình tự nucleotide và trình tự axit amin tương ứng, nên không gây ra sự sai lệch khi so sánh kết quả xác định mối quan hệ tiến hóa bằng hai phương pháp trên.",
"Món ăn nào trong số này được làm từ ruột lợn?
A.haggis
B.Chitlins
C.Grits
D.Chop Suey",B,"Trong số các món ăn được liệt kê, món được làm từ ruột lợn là Chitlins (đáp án B).

Chitlins, hay còn gọi là chitterlings, là một món ăn truyền thống của người Mỹ gốc Phi, được làm từ ruột non của lợn. Ruột lợn được làm sạch, luộc và sau đó có thể được chiên hoặc nấu cùng với các gia vị khác nhau.

Các món ăn khác:
A. Haggis: Là món ăn truyền thống của Scotland, làm từ bao tử cừu nhồi thịt cừu xay nhuyễn, mỡ, hành tây, bột yến mạch và các loại gia vị.
C. Grits: Là món ăn phổ biến ở miền Nam nước Mỹ, làm từ bột ngô xay nhuyễn, nấu cùng nước hoặc sữa cho đến khi đặc lại.
D. Chop Suey: Là món ăn Trung Hoa-Mỹ, bao gồm thịt (thường là thịt gà, thịt lợn hoặc thịt bò) và các loại rau xào, ăn kèm với cơm hoặc mì.",
"Một bệnh nhân bị gãy cổ với tổn thương tủy sống ở cấp độ của đốt sống cổ thứ sáu.
A.Họ sẽ không thể thở nếu không có sự hỗ trợ sự sống.
B.Họ sẽ chỉ có thể thở lặng lẽ.
C.Không thể dự đoán ảnh hưởng đến hơi thở.
D.Hơi thở sẽ không bị ảnh hưởng.",B,"Đáp án đúng là B. Họ sẽ chỉ có thể thở lặng lẽ.

Giải thích:
- Tủy sống ở vị trí đốt sống cổ thứ 6 (C6) kiểm soát hoạt động của cơ hoành - cơ quan chính giúp thở. 
- Tổn thương tủy sống ở mức C6 sẽ làm liệt hoàn toàn hoặc một phần cơ hoành. Bệnh nhân vẫn có thể thở nhưng chỉ thở lặng lẽ, yếu ớt do cơ hoành bị ảnh hưởng.
- Tuy nhiên, tổn thương ở C6 thường không gây ngừng thở hoàn toàn cần hỗ trợ hô hấp như tổn thương cao hơn (từ C3-C5).
- Mức độ ảnh hưởng hô hấp phụ thuộc vào tổn thương hoàn toàn hay không hoàn toàn nên có thể dự đoán được.

Vì vậy, đáp án B là phù hợp nhất. Bệnh nhân tổn thương tủy sống C6 vẫn có thể tự thở nhưng chỉ thở lặng lẽ, yếu ớt do cơ hoành bị ảnh hưởng một phần.",
"Câu hỏi này đề cập đến các thông tin sau đây.
Đầu tiên chúng ta phải nhận xét rằng vũ trụ có hình cầu, một phần vì hình thức này là một tổng thể hoàn hảo không cần khớp, là hoàn chỉnh nhất, một phần vì nó tạo ra hình thức mạnh mẽ nhất, phù hợp nhất để chứa và bảo tồn mọi thứ; hoặc một lần nữa bởi vì tất cả các bộ phận cấu thành của vũ trụ, đó là mặt trời, mặt trăng và các hành tinh xuất hiện dưới dạng này; Hoặc bởi vì mọi thứ đều cố gắng đạt được hình thức này, như xuất hiện trong trường hợp giọt nước và các vật thể lỏng khác nếu chúng cố gắng tự xác định. Vì vậy, sẽ không ai nghi ngờ rằng hình thức này thuộc về các thiên thể. ...
Do đó, việc trái đất cũng có hình cầu là không thể nghi ngờ, bởi vì nó ép từ mọi phía vào trung tâm của nó. Mặc dù do độ cao của các ngọn núi và vùng trũng của các thung lũng, một vòng tròn hoàn hảo không thể hiểu được, nhưng điều này không ảnh hưởng đến bản chất hình cầu chung của trái đất. ...
Vì nó đã được chỉ ra rằng trái đất có dạng hình cầu, chúng ta phải xem xét liệu một chuyển động cũng trùng với hình thức này hay không và trái đất giữ vị trí nào trong vũ trụ. ... Đại đa số các tác giả tất nhiên đồng ý rằng trái đất đứng yên ở trung tâm vũ trụ, và coi việc giả định điều ngược lại là không thể tưởng tượng và lố bịch là không thể tưởng tượng được. Nhưng nếu vấn đề được cân nhắc cẩn thận, người ta sẽ thấy rằng câu hỏi vẫn chưa được giải quyết và do đó không có nghĩa là được xem nhẹ. Mọi thay đổi của địa điểm được quan sát là do, cụ thể là, do chuyển động của đối tượng quan sát hoặc của người quan sát, hoặc chuyển động của cả hai. ... Bây giờ chính từ trái đất mà cuộc cách mạng của thiên đàng được quan sát và nó được tạo ra cho mắt chúng ta. Do đó, nếu trái đất không trải qua chuyển động, chuyển động này phải diễn ra trong mọi thứ bên ngoài trái đất, nhưng theo hướng ngược lại so với khi mọi thứ trên trái đất chuyển động, và loại này là cuộc cách mạng hàng ngày. Vì vậy, điều này dường như ảnh hưởng đến toàn bộ vũ trụ, nghĩa là mọi thứ bên ngoài trái đất với ngoại lệ duy nhất của chính trái đất. Tuy nhiên, nếu người ta thừa nhận rằng chuyển động này không đặc biệt đối với bầu trời, mà là trái đất xoay từ tây sang đông, và nếu điều này được xem xét cẩn thận liên quan đến sự mọc và lặn rõ ràng của mặt trời, mặt trăng và các vì sao, thì người ta sẽ phát hiện ra rằng đây là tình huống thực tế.
Nicolas Copernicus, Các cuộc cách mạng của các thiên thể, 1543
Đoạn văn này có thể được sử dụng làm bằng chứng cho thấy Copernicus khác với các nhà triết học tự nhiên truyền thống của Aristotle thời đó vì ông cho rằng
A.Vũ trụ là hình cầu
B.Trái đất có hình cầu
C.Vũ trụ là địa tĩnh
D.Trái đất không đứng yên",D,"Đáp án đúng là D. Trái đất không đứng yên.

Trong đoạn văn, Copernicus đã đưa ra quan điểm khác biệt so với các nhà triết học tự nhiên truyền thống thời đó ở một số điểm:

- Ông đồng ý với quan điểm vũ trụ và trái đất có hình cầu (đáp án A và B không phải điểm khác biệt).

- Ông cho rằng câu hỏi về việc trái đất có đứng yên ở trung tâm vũ trụ hay không vẫn chưa được giải quyết, trái với quan điểm phổ biến khi đó (đáp án C không đúng).

- Ông đặt giả thuyết rằng trái đất quay quanh trục của nó từ tây sang đông, chứ không đứng yên. Đây là điểm khác biệt rõ ràng nhất so với quan điểm truyền thống lúc bấy giờ.

Vì vậy, đáp án D (Trái đất không đứng yên) là bằng chứng rõ ràng nhất cho thấy quan điểm của Copernicus khác biệt với các nhà triết học tự nhiên truyền thống thời đó.",
"Yếu tố nào sau đây sẽ được coi là yếu tố ""kéo"" đối với Riva khi xem xét chuyển từ Ấn Độ sang Hoa Kỳ?
A.Nghèo đói khốn khổ
B.Công việc tốt hơn và mức lương cao hơn
C.Hệ thống đẳng cấp của Ấn Độ
D.Bạo lực trong khu phố của cô ấy",B,"Đáp án đúng là B. Công việc tốt hơn và mức lương cao hơn.

Giải thích:

- Yếu tố ""kéo"" (pull factor) là những yếu tố hấp dẫn, thu hút người di cư đến một quốc gia hoặc khu vực khác. Đó là những điều kiện thuận lợi, cơ hội tốt hơn ở nơi đến.

- Trong các lựa chọn đưa ra, chỉ có phương án B là yếu tố ""kéo"", tức là cơ hội việc làm tốt hơn và mức lương cao hơn ở Hoa Kỳ so với Ấn Độ. Điều này sẽ thu hút và thôi thúc Riva chuyển đến Hoa Kỳ.

- Các phương án A, C, D đều là những yếu tố tiêu cực, khó khăn ở Ấn Độ, được xem là yếu tố ""đẩy"" (push factor), thúc đẩy Riva rời khỏi quê hương.

Vậy công việc tốt hơn và mức lương cao hơn ở Hoa Kỳ chính là yếu tố ""kéo"" đối với trường hợp của Riva.",
