Question,CorrectAnswer,GivenAnswer,Correct
"Ní ìpínlẹ̀ wo ni fíìmù Magnolia 1999 ṣètò?
A.California
B.South Carolina
C.Jọ́jíà
D.Texas",A,Fíìmù Magnolia 1999 ṣètò ní ìpínlẹ̀ California.,
"Kí ni òṣèré Antonio Banderas native language?
A.Èdè Sípéènì
B.Èdè Rọ́ṣíà
C.Èdè Jámánì
D.Èdè faransé",A,"A. Èdè Sípéènì

Antonio Banderas jẹ́ ọmọ orílẹ̀-èdè Sípéènì (Spain) ní ìlú Málaga. Èdè abínibí rẹ̀ ni èdè Sípéènì.",
"Kí ni èdè ìjọba Orílẹ̀-èdè Netherlands?
A.Èdè Dẹ́nmárkì
B.Èdè Swídìn
C.Èdè Jámánì
D.Èdè Nẹ́dálándì",D,"Ìdáhùn tó tọ́ ni D. Èdè Nẹ́dálándì

Èdè Nẹ́dálándì ni èdè ìjọba Orílẹ̀-èdè Netherlands. Bákannáà ni wọ́n sì ń pè é ní èdè Dọ́ọ̀ṣì.

Èdè Dẹ́nmárkì jẹ́ èdè ìjọba fún orílẹ̀-èdè Denmark, èdè Swídìn jẹ́ ti orílẹ̀-èdè Sweden, bẹ́ẹ̀ sì ni èdè Jámánì jẹ́ èdè ìjọba fún orílẹ̀-èdè Germany.",
" Yi tita ati ibaraẹnisọrọ ọpa nfun a taara inducement tabi ohun iwuri lati iwuri fun awọn onibara lati ra a ọja / iṣẹ:
A.Ipolowo.
B.Ìbáṣepọ̀ àwùjọ.
C.Tita igbega.
D.Taara tita.",C,"Idahun ti o tọ ni D. Taara tita.

Taara tita jẹ ọna ti a n lo lati fi ọja tabi iṣẹ han si awọn onibara ni ọna ti yoo mu wọn ni ifẹ lati ra ọja tabi iṣẹ naa. O le jẹ nipa lilo ọrọ tabi awọn ohun elo miiran lati fa ifọkanbale awọn onibara si ọja tabi iṣẹ naa.

Awọn ọna miiran bii ipolowo, ibásepọ àwùjọ ati igbega tita le ṣe iranlọwọ fun tita ṣugbọn wọn kii ṣe taara inducement tabi iwuri gẹgẹ bi taara tita.",
"Ṣé ìpànìyàn tí kò bófin mu tí Mínísítà orílẹ̀-èdè X ṣe lórílẹ̀-èdè òkèèrè jẹ́ ìṣe tí kò dára tàbí jure gestionis?
A.Irú ìwà bẹ́ẹ̀ jẹ́ ìṣe gbogbogbò (jure imperii)
B.Irú ìwà bẹ́ẹ̀ kì í fa ààbò.
C.Irú ìwà bẹ́ẹ̀ jẹ́ ìṣe aládàáni (jure gestionis)
D.Irú ìwà bẹ́ẹ̀ jẹ́ ìṣe gbogbogbò ṣùgbọ́n ààbò wà ní ààbò.",C,"C. Irú ìwà bẹ́ẹ̀ jẹ́ ìṣe aládàáni (jure gestionis)

Ìpànìyàn tí kò bófin mu tí Mínísítà orílẹ̀-èdè X ṣe lórílẹ̀-èdè òkèèrè jẹ́ ìṣe aládàáni (jure gestionis), kì í ṣe ìṣe gbogbogbò (jure imperii). Ìṣe aládàáni ni àwọn ìṣe tí ìjọba ṣe bíi ẹni kọ̀ọ̀kan, tí kò jẹ́ ìṣe ìjọba. Nítorí náà, irú ìwà bẹ́ẹ̀ kò ní ààbò ìjọba, ó sì lè fa ìdájọ́ ní ilé-ẹjọ́ orílẹ̀-èdè òkèèrè náà.",
"Awọn iyipada ti o fa achondroplasia exert ohun ipa eyi ti o le wa ni classified bi:
A.Ohun tí kò dára.
B.gain-of-function ì
C.Haploinsufficiency.
D.Àdánù-iṣẹ́.",B,"D. Àdánù-iṣẹ́.

Achondroplasia jẹ́ ọ̀kan lára àwọn ìṣòro ìdàgbàsókè egungun tí ó wọ́pọ̀ jùlọ, ó sì ṣẹlẹ̀ nítorí àwọn ìyípadà nínú geni FGFR3 (Fibroblast Growth Factor Receptor 3). Àwọn ìyípadà wọ̀nyí fa àdánù-iṣẹ́ (loss-of-function) ti geni FGFR3, èyí tó ń fa ìdíwọ́ ìdàgbàsókè egungun.

Nítorí náà, àdánù-iṣẹ́ (loss-of-function) ni ó jẹ́ ìdáhùn tó tọ́ jùlọ fún ìbéèrè yìí. Àwọn ìyípadà tó fa achondroplasia kò lè jẹ́ ohun tí kò dára, gain-of-function, tàbí haploinsufficiency.",
"Ṣe ìdánimọ̀ ìpìlẹ̀ àbá ìlànà wọ̀nyí: Àwọn Bees borí eré àkọ́kọ́ wọn àyàfi tí àwọn Aardvarks tàbí Chipmunks kò bá borí eré àkọ́kọ́ wọn.
A.Àwọn Aardvarks kò borí eré àkọ́kọ́ wọn.
B.Àwọn Bees gbégbá orókè nínú eré àkọ́kọ́ wọn.
C.Àwọn Chipmunks kò borí eré àkọ́kọ́ wọn.
D.Bóyá àwọn Aardvarks tàbí Chipmunks kò borí eré àkọ́kọ́ wọn.",B,"Láti ìlànà tí a fún wa, a mọ̀ pé:
- Àwọn Bees borí eré àkọ́kọ́ wọn àyàfi tí àwọn Aardvarks tàbí Chipmunks kò bá borí eré àkọ́kọ́ wọn.

Ní ìdánimọ̀ D, a sọ pé bóyá àwọn Aardvarks tàbí Chipmunks kò borí eré àkọ́kọ́ wọn. Èyí túmọ̀ sí pé ó kéré tán ọ̀kan nínú àwọn ẹgbẹ́ méjèèjì kò borí eré àkọ́kọ́ wọn.

Bí ìdánimọ̀ yìí bá jẹ́ òtítọ́, lẹ́yìn náà ní ìbámu pẹ̀lú ìlànà, àwọn Bees yóò borí eré àkọ́kọ́ wọn.

Nítorí náà, ìdánimọ̀ D jẹ́ ìdánimọ̀ tó tọ́ láti inú àwọn ìdánimọ̀ tí a fún wa.",
"Ìbéèrè yìí ń tọ́ka sí àlàyé wọ̀nyí.
Ni akọkọ a gbọdọ sọ pe cosmos jẹ spherical ni fọọmu, apakan nitori fọọmu yii jẹ odidi pipe ti ko nilo awọn isẹpo, jẹ pipe julọ ti gbogbo rẹ, ni apakan nitori pe o ṣe fọọmu ti o ni imọran julọ, eyiti o dara julọ lati ni ati tọju ohun gbogbo; tabi lẹẹkansi nitori gbogbo awọn ẹya ara ti agbaye, iyẹn ni oorun, oṣupa ati awọn aye han ni fọọmu yii; tabi nitori ohun gbogbo n tiraka lati gba fọọmu yii, bi o ti han ninu ọran ti omi ati awọn ara omi miiran ti wọn ba gbiyanju lati ṣalaye ara wọn. Nítorí náà kò sí ẹni tí yóò ṣiyèméjì pé ìrísí yìí jẹ́ ti àwọn ara ọ̀run. ...
Pé ayé náà kọjá ìbéèrè, nítorí pé ó tẹ̀ láti gbogbo ẹ̀gbẹ́ lórí àárín rẹ̀. Biotilẹjẹpe nipa idi ti awọn igbega ti awọn oke-nla ati awọn ibanujẹ ti awọn afonifoji kan ko le ni oye, sibẹ eyi ko ni ipa lori iseda gbogbogbo ti ilẹ. ...
Gẹ́gẹ́ bí wọ́n ti fi hàn tẹ́lẹ̀ pé ayé ní ìrísí agbègbè kan, a gbọ́dọ̀ ronú bóyá ìgbésẹ̀ kan náà bá ìrísí yìí mu, àti ibi tí ayé ní ní àgbáyé. ... Ọ̀pọ̀lọpọ̀ àwọn òkọ̀wé dájúdájú gbà pé ayé ṣì wà ní àárín àgbáyé, wọ́n sì kà á sí aláìlè rò àti ẹ̀gàn láti rò ìdàkejì. Ṣùgbọ́n tí wọ́n bá farabalẹ̀ wọ̀n ọ̀rọ̀ náà, a ó rí i pé ìbéèrè náà kò tíì yanjú nítorí náà láìsí ọ̀nà láti kà á sí ìrọ̀rùn. Gbogbo àyípadà ibi tí wọ́n ṣe àkíyèsí rẹ̀ jẹ́ nítorí, èyí tí ó jẹ́, sí ìgbésẹ̀ nkan tí a ṣàkíyèsí tàbí ti olùṣàkíyèsí, tàbí sí ìgbésẹ̀ àwọn méjèèjì. ... Bayi o wa lati ilẹ ni a ṣe akiyesi Iyika ti ọrun ati pe a ṣe fun oju wa. Nítorí náà tí ayé kò bá ṣe ìgbésẹ̀ kankan ìgbésẹ̀ yìí gbọ́dọ̀ wáyé nínú gbogbo nkan tí ó wà ní ìta ayé, ṣùgbọ́n ní ọ̀nà ìdàkejì ju bí gbogbo nkan lórí ilẹ̀ ayé bá gbé lọ, àti pé irú èyí ni ìyípadà ojoojúmọ́. Nítorí náà èyí dàbí ẹni pé ó ní ipa lórí gbogbo àgbáyé, ìyẹn ni pé, gbogbo nkan tí ó wà ní ìta ayé pẹ̀lú àyàfi kan ṣoṣo ti ayé fúnra rẹ̀. Bí ó bá jẹ́ pé, síbẹ̀síbẹ̀, ẹnìkan gbọ́dọ̀ jẹ́wọ́ pé ìgbésẹ̀ yìí kò yàtọ̀ sí ọ̀run, ṣùgbọ́n pé ayé yí padà láti ìwọ̀ oòrùn sí ìlà-oòrùn, àti pé tí wọ́n bá farabalẹ̀ gbé èyí yẹ̀ wò nípa ìdàgbàsókè àti ìṣètò oòrùn, òṣùpá àti àwọn ìràwọ̀, a ó ṣàwárí pé ipò gidi nìyí.""
Nicolas Copernicus, Awọn Iyika ti Awọn ara Ọrun, 1543
Àyọkà náà lè jẹ́ lílò gẹ́gẹ́ bí ẹ̀rí pé Copernicus yàtọ̀ sí àwọn onímọ̀ ọgbọ́n orí ìbílẹ̀, Aristotelian ti ọjọ́ rẹ̀ nítorí ó dábàá pé
A.Awọn cosmos jẹ spherical
B.Awọn Earth jẹ spherical
C.awọn cosmos ni geostatic
D.Ayé ò dúró",D,"D. Ayé ò dúró

Àyọkà yìí fi hàn pé Copernicus dábàá pé ayé ò dúró, ṣùgbọ́n ó yí padà láti ìwọ̀ oòrùn sí ìlà-oòrùn. Èyí yàtọ̀ sí ìgbàgbọ́ Aristotelian ti ọjọ́ rẹ̀ pé ayé dúró ní àárín àgbáyé. Copernicus ṣe àlàyé pé ìyípadà ojoojúmọ́ ti ọ̀run jẹ́ nítorí ìyípadà ayé, kì í ṣe nítorí ìyípadà ti gbogbo àgbáyé yòókù. Ó sọ pé ""tí wọ́n bá farabalẹ̀ gbé èyí yẹ̀ wò nípa ìdàgbàsókè àti ìṣètò oòrùn, òṣùpá àti àwọn ìràwọ̀, a ó ṣàwárí pé ipò gidi nìyí."" Èyí fi hàn pé Copernicus dábàá pé ayé ò dúró, èyí tó yàtọ̀ sí ìgbàgbọ́ Aristotelian ti ọjọ́ rẹ̀.",
"Èwo nínú àwọn àbùdá wọ̀nyí ni ó bá ìfipábánilòpọ̀ ọjọ́ mu?
A.Lilo agbara ti o pọju
B.Premeditated
C.ibalopo motivated
D.O ni lati lo ohun ija kan.",C,"Ninu awọn abuda ti a to silẹ, abuda B (Premeditated) ati C (ibalopo motivated) ni o ba ifipabanilopọ ọjọ mu julọ.

Premeditated tumọ si pe ẹni naa ti pinnu tẹlẹ lati hu ẹsẹ ifipabanilopọ ọjọ naa, o si gbero bi yoo se se e. Eleyii fi han pe ko se e lojiji, o pinnu rẹ.

Ibalopo motivated si tumọ si wipe idi ti ẹni naa fi hu ẹsẹ naa ni nitori ifẹ ibalopo. Ifẹ ati ifẹkufẹ ibalopo lo mu ki o hu ẹsẹ naa.

Awọn abuda yii mejeeji fi han pe ẹni naa mọ ohun ti o n se, o si ni idi pataki ti o fi se e. Eleyii yatọ si ti ẹni ti o ba hu iru ẹsẹ bẹẹ nitori oun ko ni agbara lori ara rẹ mọ.",
"Ojò kan wa ni irisi prism triangular kan. Tí ìpìlẹ̀ onígun mẹ́ta náà bá ní agbègbè ẹsẹ̀ mẹ́rin 116, tí ọkọ̀ ojú omi náà sì ga ní ẹsẹ̀ 30, omi mélòó ni ọkọ̀ ojú omi náà yóò ní nígbà tí ó bá kún?
A.1725 ft ì
B.1740 ft ì
C.3480 ft ì
D.6960 ft ì",C,"Láti rí ìdáhùn sí ìbéèrè yìí, a nílò láti lo fóòmùlà fún iwọn omi nínú prism triangular kan:

Iwọn = 1/3 * Agbègbè ẹsẹ̀ * Gíga

A ní pé:
- Agbègbè ẹsẹ̀ onígun mẹ́ta náà jẹ́ 116 ft ì
- Gíga ọkọ̀ ojú omi náà jẹ́ 30 ft

Ní báyìí, jẹ́ ká fi àwọn iye wọ̀nyí sínú fóòmùlà náà:

Iwọn = 1/3 * 116 * 30
        = 38.67 * 30
        = 1160 ft ì

Nítorí náà, ìdáhùn tó tọ́ jùlọ nínú àwọn àṣàyàn ìdáhùn ni A. 1160 ft ì, èyí tó súnmọ́ 1725 ft ì jù lọ.",
