Question,CorrectAnswer,GivenAnswer,Correct
"Wat is die amptelike taal van Nederland?
A.Deens
B.Sweeds
C.Duitse
D.Hollands",D,"Die amptelike taal van Nederland is Hollands.

Die korrekte antwoord is dus: D. Hollands

Nederlands, ook bekend as Hollands, is die enigste amptelike taal van Nederland. Dit word ook as 'n amptelike taal in België, Suriname en die Nederlandse Antille erken. Nederlands behoort aan die Germaanse taalfamilie en is na verwant aan Duits en Engels.",
"Identifiseer die antesedent van die volgende voorwaardelike voorstel: Die Bees wen slegs hul eerste wedstryd as óf die Aardvarke óf die Chipmunks nie hul eerste wedstryde wen nie.
A.Die Aardvarke wen nie hul eerste wedstryd nie.
B.Die Bees wen hul eerste wedstryd.
C.Die Chipmunks wen nie hul eerste wedstryd nie.
D.Óf die Aardvarke óf die Chipmunks wen nie hul eerste wedstryde nie.",B,"Die antesedent van die voorwaardelike voorstel is:

D. Óf die Aardvarke óf die Chipmunks wen nie hul eerste wedstryde nie.

In die voorwaardelike voorstel ""Die Bees wen slegs hul eerste wedstryd as óf die Aardvarke óf die Chipmunks nie hul eerste wedstryde wen nie"", is die gedeelte na die ""as"" die antesedent. Dit stel die voorwaarde waaronder die gevolg (die Bees wen hul eerste wedstryd) waar sal wees.",
"'n Getal, afgerond tot die naaste duisend, is 47 000. Watter getal kan die getal wees wat afgerond is?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Om hierdie vraag op te los, moet ons bepaal watter getalle tussen 46 500 en 47 500 val, aangesien 47 000 die naaste duisend is.

A. 46 295 val buite hierdie reeks, dus is dit nie 'n moontlike antwoord nie.
B. 46 504 val binne die reeks van 46 500 tot 47 500, dus is dit 'n moontlike antwoord.
C. 47 520 val buite hierdie reeks, dus is dit nie 'n moontlike antwoord nie.
D. 47 924 val buite hierdie reeks, dus is dit nie 'n moontlike antwoord nie.

Dus is die korrekte antwoord B. 46 504.",
"Wat is die akteur Antonio Banderas moedertaal?
A.Spaans
B.Russiese
C.Duitse
D.Franse",A,"Die korrekte antwoord is A. Spaans.

Antonio Banderas is 'n bekende Spaanse akteur en filmvervaardiger. Hy is gebore in Málaga, Spanje op 10 Augustus 1960. Sy moedertaal is dus Spaans, aangesien dit die amptelike taal van Spanje is.

Banderas het bekendheid verwerf met rolle in verskeie gewilde rolprente soos Desperado, The Mask of Zorro, Spy Kids en Puss in Boots uit die Shrek-reeks. Hy het ook in talle Spaanse en Hollywood-rolprente gespeel en is 'n gevierde akteur in beide die Spaanse en Engelse rolprentbedryf.",
"In watter toestand speel die 1999-fliek Magnolia af?
A.Kalifornië
B.Suid-Carolina
C.Georgia
D.Texas",A,"Die 1999-fliek Magnolia speel af in Kalifornië.

Die korrekte antwoord is dus A. Kalifornië.

Magnolia is 'n dramatiese rillerfliek wat in die San Fernando-vallei in Los Angeles, Kalifornië afspeel. Dit vertel die verwikkelde stories van 'n verskeidenheid karakters wie se lewens inmekaargeweef is op onverwagse maniere. Die fliek is geskryf en geregisseer deur die bekroonde Paul Thomas Anderson en het 'n stêrbesette rolprent ingesluit, onder andere Tom Cruise, Julianne Moore en Philip Seymour Hoffman.",
"Middeljarige volwassenes blyk meer ____ te wees as ouer of jonger volwassenes
A.Generatiewe
B.neurotiese
C.Aangenaam
D.Sekere",A,"B. Neurotiese

Die korrekte antwoord is B. Neurotiese.

Neurotiese verwys na 'n geneigdheid tot emosionele onstabiliteit, angstigheid, spanning en kommer. Navorsing toon dat middeljarige volwassenes (gewoonlik tussen 40-60 jaar oud) geneig is om hoër vlakke van neurotisisme te toon in vergelyking met ouer of jonger volwassenes.

Hierdie tendens kan toegeskryf word aan die unieke uitdagings en stressors wat middeljarige volwassenes in die gesig staar, soos loopbaanbekommernisse, finansiële verpligtinge, gesinsverantwoordelikhede en die hantering van veroudering. Hierdie faktore kan bydra tot verhoogde vlakke van angs, spanning en emosionele onstabiliteit tydens hierdie lewensfase.",
"Die dwaling van lofwaardige persoonlikheid is 'n spesifieke tipe
A.Die dwaling van ongeluk
B.Valse dilemma
C.Smeek die vraag
D.Sirkulêre redenasie",A,"Die dwaling van lofwaardige persoonlikheid is 'n voorbeeld van 'n ad hominem-argument, wat nie een van die gegewe opsies is nie.

'n Ad hominem-argument is waar iemand se argument of standpunt afgemaak word op grond van 'n persoonlike aanval of kritiek op daardie persoon se karakter, eerder as om die meriete van die argument self aan te spreek.

Die dwaling van lofwaardige persoonlikheid is 'n spesifieke vorm van ad hominem waar iemand se argument as waar aanvaar word bloot omdat dit van 'n gerespekteerde of gesaghebbende bron kom, eerder as om die logika van die argument self te evalueer.

So dit is nie een van die gegewe opsies (ongeluk, valse dilemma, smeek die vraag of sirkulêre redenasie) nie, maar eerder 'n voorbeeld van 'n ad hominem-argument.",
"Is die onwettige moord gepleeg deur Minister van land X in die buiteland 'n daad jure imperii of jure gestionis?
A.Sulke gedrag is 'n openbare daad (jure imperii)
B.Sulke gedrag lok nooit immuniteit nie
C.Sulke gedrag is 'n privaat handeling (jure gestionis)
D.Sulke gedrag is 'n openbare daad, maar word beskerm deur immuniteit",C,"Die onwettige moord gepleeg deur 'n minister in die buiteland sou as 'n privaat handeling (jure gestionis) beskou word.

Staatsamptenare geniet gewoonlik immuniteit vir openbare handelinge (jure imperii) wat hulle in hul amptelike hoedanigheid verrig, maar nie vir privaat of persoonlike handelinge (jure gestionis) nie.

Moord is 'n ernstige misdaad en kan geensins as 'n amptelike of openbare handeling beskou word nie. Dit is 'n persoonlike, kriminele daad wat buite die bestek van 'n minister se amptelike pligte val.

Daarom sou die onwettige moord deur 'n minister as 'n privaat handeling (jure gestionis) beskou word, waarvoor hy/sy nie immuniteit sou geniet nie en regsgedingvoering in die buiteland sou kon ondergaan.",
"K-vou kruisvalidering is
A.lineêr in K
B.kwadraties in K
C.kubieke in K
D.eksponensieel in K",A,"De complexiteit van K-vou kruisvalidering is lineair in K, dus het juiste antwoord is A.

Bij K-vou kruisvalidering wordt de dataset verdeeld in K gelijke delen (folds). Vervolgens wordt het machine learning model K keer getraind en geëvalueerd, waarbij telkens één van de K folds wordt gebruikt als testset en de overige K-1 folds als trainingsset.

De totale hoeveelheid werk is dus K keer het trainen en evalueren van het model. Aangezien de grootte van de trainings- en testsets lineair schaalt met K, is de totale complexiteit lineair in K.

Dus voor elke verdubbeling van K, verdubbelt ook de hoeveelheid werk. Dit in tegenstelling tot een kwadratische of kubieke complexiteit, waarbij de hoeveelheid werk respectievelijk verviervoudigt of verachtvoudigt bij een verdubbeling van K.",
" Hierdie bemarkings- en kommunikasie-instrument bied 'n direkte aansporing of 'n aansporing om kliënte aan te moedig om 'n produk / diens te koop:
A.Advertensie.
B.Openbare betrekkinge.
C.Verkope promosie.
D.Direkte bemarking.",C,"Die regte antwoord is C. Verkope promosie.

Verkope promosie verwys na bemarkingsaktiwiteite wat ontwerp is om verbruikers direk aan te moedig om 'n produk of diens te koop. Dit sluit in kortings, kompetisies, gratis monsters, lojaliteitsprogramme en ander taktieke om verkope te stimuleer.

Die ander opsies is:

A. Advertensie - Hierdie is 'n meer indirekte vorm van bemarkingskommunikasie om bewustheid van 'n produk/merk te verhoog.

B. Openbare betrekkinge - Dit fokus op die bou van gunstige openbare persepsies oor 'n organisasie/merk eerder as direkte verkope aanmoediging.

D. Direkte bemarking - Dit behels die direkte kommunikasie met verbruikers deur kanale soos e-pos, pos, ens. maar nie noodwendig met 'n direkte aansporing om te koop nie.",
