Question,CorrectAnswer,GivenAnswer,Correct
"ተዋናይ አንቶኒዮ ባንደርራስ የአፍ መፍቻ ቋንቋ ምንድን ነው?
A.ስፓኒሽኛ
B.ሩሲያኛ
C.ጀርመንኛ
D.ፈረንሳይኛ",A,"ተዋናዩ አንቶኒዮ ባንደርራስ የስፓኒሽ ዘር ስለሆነ የአፍ መፍቻ ቋንቋው ስፓኒሽኛ ነው።

መልሱ፦ A. ስፓኒሽኛ",
"ንቦች የመጀመሪያውን ጨዋታ የሚያሸንፉት አርድቫርክስ ወይም ቺፕሙንክስ የመጀመሪያዎቹን ጨዋታዎች ካላሸነፉ ብቻ ነው ።
A.አርድቫርኮች የመጀመሪያ ጨዋታቸውን አያሸንፉም።
B.ንቦች የመጀመሪያ ጨዋታቸውን አሸንፈዋል።
C.ቺፕሙንኮች የመጀመሪያ ጨዋታቸውን አያሸንፉም።
D.አርድቫርኮችም ሆኑ ቺፕሙንኮች የመጀመሪያዎቹን ጨዋታዎች አያሸንፉም።",B,መልሱ D ነው። ከተሰጠው መግለጫ መረዳት እንደምንችለው፣ ንቦች የመጀመሪያውን ጨዋታ የሚያሸንፉት አርድቫርክስ ወይም ቺፕሙንክስ የመጀመሪያዎቹን ጨዋታዎች ካላሸነፉ ብቻ ነው። ይህ ማለት አርድቫርኮችም ሆኑ ቺፕሙንኮች የመጀመሪያዎቹን ጨዋታዎች አያሸንፉም ማለት ነው።,
"K-fold መስቀል-ማረጋገጫ ነው
A.በ K ውስጥ መስመር
B.ኳድራቲክ በ K
C.ኪዩቢክ ውስጥ
D.በ K ውስጥ exponential",A,"K-fold cross-validation is a resampling technique used to evaluate machine learning models on limited data samples. It involves randomly partitioning the original sample into k equal-sized subsamples. Of the k subsamples, a single subsample is retained as the validation data for testing the model, and the remaining k-1 subsamples are used as training data. The process is then repeated k times, with each of the k subsamples used exactly once as the validation data. The results from the k folds can then be averaged to produce a single estimation of the model's performance.

Given the options provided, the correct answer is:

A. Linear in K

The computational cost of k-fold cross-validation is directly proportional to the value of k. As k increases, the number of times the model needs to be trained and evaluated increases linearly. Therefore, the time complexity of k-fold cross-validation is linear in k.",
"ወደ ሺህ የሚጠጉት ቁጥራቸው 47,000 ነው ። ክብ የሆነው ቁጥር የትኛው ሊሆን ይችላል?
A.46,295
B.46,504
C.47,520
D.47,924",B,"ለመሰልጠን ያለው ቁጥር 47,000 ነው።

ክብ የሆነው ቁጥር ለማግኘት፣ ቀረበውን ቁጥር በ1,000 መካፈል አለብን።

47,000 ÷ 1,000 = 47

ስለዚህ፣ ክብ የሆነው ቁጥር 47 ነው።

መልሱ፡- C. 47,520

ምክንያቱም፣ 47,520 የሚለው ቁጥር ክብ የሆነው ቁጥር 47 ሲሆን፣ ወደ ሺህ የሚጠጉት ቁጥር 47,000 ነው።",
"የ1999 የማግኖሊያ ፊልም በምን ሁኔታ ላይ ይገኛል?
A.ካሊፎርኒያ
B.ሳውዝ ካሮላይና
C.ጆርጂያ
D.ቴክሳስ",A,"የ1999 የማግኖሊያ ፊልም በሚስሲሲፒ ግዛት ውስጥ በሚገኘው ጆርጂያ ግዛት ውስጥ ተሰራ። ስለዚህ ትክክለኛው መልስ ጆርጂያ ነው።

ማግኖሊያ ፊልሙ በሚስሲሲፒ ዳልታ ክልል ውስጥ በሚገኘው ጆርጂያ ከተማ ተሰራ። ይህ ፊልም የሚስሲሲፒ ዳልታ ክልል ባህልን እና ሕይወትን ያስተዋውቃል። ስለዚህ ትክክለኛው መልስ ጆርጂያ ነው።",
"የኔዘርላንድ ስነ-ህጋዊ ቋንቋ ምንድነው?
A.ዳኒሽ
B.ስዊድንኛ
C.ጀርመንኛ
D.ደች",D,"የኔዘርላንድ ስነ-ህጋዊ ቋንቋ ደችኛ ነው።

መልስዎ ትክክል ነው። ስለዚህ መልስ D ትክክል ነው።

ደችኛ በኔዘርላንድ፣ በቤልጂየምና በሩክሰምበርግ የሚነገር ጀርመንኛ ቋንቋ ዘርነት ነው። በኔዘርላንድ ውስጥ ደችኛ የመንግስት ስነ-ህጋዊ ቋንቋ ሲሆን፣ በአጠቃላይ ከ17 ሚሊዮን ሰዎች በላይ የሚናገሩት ቋንቋ ነው።",
"ከዚህ በታች ከተዘረዘሩት መካከል አሉታዊ የሆነ የአውቶኮርግንኙነት ግንኙነት የትኛው እንደሆነ ተጠቁሟል?
A.የተረፈው ዑደታዊ ንድፍ
B.በተረፈው ላይ የሚቀያየር ንድፍ
C.በተረፈ ውስጠ ሙሉ በሙሉ በአጋጣሚ
D.ሁሉም ወደ ዜሮ ቅርብ የሆኑ ቀሪዎች",B,"ከተዘረዘሩት አማራጮች መካከል ""በተረፈው ላይ የሚቀያየር ንድፍ"" ለአውቶኮርግንኙነት አሉታዊ ግንኙነት ይመለከታል።

አውቶኮርግንኙነት በተረፈው ውስጥ ቀሪዎች በራስ-ራሳቸው ተጽእኖ ሲኖራቸው ያሳያል። በተረፈው ላይ የሚቀያየር ንድፍ ማለት ቀሪዎቹ በተረፈው ውስጥ በራስ-ራሳቸው ተጽእኖ እንዲኖራቸው ያደርጋል። ይህ አይነቱ ግንኙነት አውቶኮርግንኙነትን ያሳያል እናም አሉታዊ ነው።

ሌሎቹ አማራጮች የተረፈው ዑደታዊ ንድፍ፣ በተረፈ ውስጥ ሙሉ በሙሉ በአጋጣሚ እና ሁሉም ወደ ዜሮ ቅርብ የሆኑ ቀሪዎች አውቶኮርግንኙነትን አያሳዩም።",
"ከሕንድ ወደ ዩናይትድ ስቴትስ ለመዛወር ስናስብ ለሪቫ ""የመጎተት"" ምክንያት ተደርጎ የሚቆጠረው የትኛው ነው?
A.ድህነት
B.የተሻለ ሥራና ከፍተኛ ደሞዝ
C.የህንድ ዘረኛ ስርዓት
D.በአካባቢዋ የሚፈጸም ጥቃት",B,"ከሕንድ ወደ ዩናይትድ ስቴትስ ለመዛወር ሲል ዋና ምክንያቱ የተሻለ ኢኮኖሚያዊ ዕድል ለማግኘት ነው። ስለዚህ ትክክለኛው መልስ ለመረጡት ጥያቄ ""B"" ነው። 

የተሻለ ሥራና ከፍተኛ ደሞዝ ለማግኘት ብዙ ሰዎች ከሕንድ ወደ አሜሪካ ይዘዋወራሉ። አሜሪካ በኢኮኖሚው ጠንካራ በመሆኑ የተሻለ የስራ ዕድል እና ከፍተኛ ደሞዝ አለው። ይህም ብዙ ሰዎችን ወደዚያ ለመዘዋወር ይሳብቃል።

ምክንያቶቹ ""A"" (ድህነት)፣ ""C"" (የህንድ ዘረኛ ስርዓት) እና ""D"" (በአካባቢዋ የሚፈጸም ጥቃት) ሊሆኑ ይችላሉ፣ ነገር ግን ዋናው ምክንያት የተሻለ ኢኮኖሚያዊ ዕድል ለማግኘት ነው።",
"የምስጋና ባህሪ ውሽት የተለየ አይነት ነው
A.በአደጋ ምክንያት የሚከናወነው ነገር
B.የተሳሳተ ግራ መጋባት
C.ጥያቄውን ለመለመን
D.ክብ ምክኒያት",A,"የምስጋና ባህሪ ውሽት ማለት ሰዎች በተለያዩ ሁኔታዎች ምስጋና ለመግለጽ ስለማይችሉ ነው። ይህ አይነት ባህሪ ውሽት በአደጋ ምክንያት የሚከናወን ነገር አይደለም። ስለዚህ መልስዎ ""ሀ"" ትክክል አይደለም።

የምስጋና ባህሪ ውሽት ከግራ መጋባት ጋር ግንኙነት የለውም። ስለዚህ መልስዎ ""ለ"" ትክክል አይደለም።

የምስጋና ባህሪ ውሽት ጥያቄውን ለመለመን የሚደረግ ነገር አይደለም። ስለዚህ መልስዎ ""ሐ"" ትክክል አይደለም።

የምስጋና ባህሪ ውሽት ከክብ ምክንያት ጋር ግንኙነት የለውም። ስለዚህ መልስዎ ""መ"" ትክክል አይደለም።

የምስጋና ባህሪ ውሽት ሰዎች በተለያዩ ሁኔታዎች ምስጋና ለመግለጽ ስለማይችሉ የሚከናወን ባህሪ ውሽት ነው። ይህ ከባህሪያዊ እና ማህበራዊ ምክንያቶች ጋር ይገናኛል።",
"ከዚህ በታች ከተዘረዘሩ ባህሪያት መካከል በአጠቃላይ ከተቃራኒ ቀን አስገድዶ መድፈር ጋር የሚጣጣሙ ባሕርያት የትኞቹ ናቸው?
A.ከልክ ያለፈ ኃይል መጠቀም
B.አስቀድሞ የተነደደ
C.የወሲብ ስሜት
D.የጦር መሣሪያ መጠቀምን ይጨምራል",C,"ከዚህ በታች ከተዘረዘሩት ባህሪያት መካከል በአጠቃላይ ከተቃራኒ ቀን አስገድዶ መድፈር ጋር የሚጣጣሙ ባህሪያት ሁለት ናቸው፦

ሀ. ከልክ ያለፈ ኃይል መጠቀም - ይህ ባህሪ ከተቃራኒ ቀን አስገድዶ መድፈር ጋር ይጣጣማል ምክንያቱም በአግባቡ ያልተቆጣጠረ ኃይል መጠቀም ሊያስከትል እንደሚችል ነው።

ለ. የጦር መሣሪያ መጠቀምን ይጨምራል - ይህ ባህሪ ደግሞ በግልጽ ከተቃራኒ ቀን አስገድዶ መድፈር ጋር ይጣጣማል ምክንያቱም የጦር መሣሪያ መጠቀም ለአስገዳጅ ድርጊት መሳሪያ መሆኑን ያሳያል።

ሐ. አስቀድሞ የተነደደ እና ሰ. የወሲብ ስሜት ግን ከተቃራኒ ቀን አስገድዶ መድፈር ጋር በቀጥታ አይጣጣሙም። እነዚህ ባህሪያት በራሳቸው ለአስገዳጅ ድርጊት አይወስዱም።",
