Question,CorrectAnswer,GivenAnswer,Correct
"নিম্নলিখিত চৰ্তসাপেক্ষ প্ৰস্তাৱৰ পূৰ্ববৰ্তী চিনাক্ত কৰক: মৌমাখিসকলে তেওঁলোকৰ প্ৰথম খন খেল কেৱল তেতিয়াহে জিকিব যদি হে আৰ্ডভাৰ্ক বা চিপমাংকসকলে তেওঁলোকৰ প্ৰথম খন খেল জিকিব নোৱাৰে।
A.আৰ্ডভাৰ্কসকলে তেওঁলোকৰ প্ৰথম খন খেল জিকিব নোৱাৰে।
B.মৌমাখিসকলে তেওঁলোকৰ প্ৰথম খন খেল জিকিছিল।
C.চিপমাংকসকলে তেওঁলোকৰ প্ৰথম খন খেল জিকিব নোৱাৰে।
D.হয় আৰ্ডভাৰ্ক বা চিপমাংকসকলে তেওঁলোকৰ প্ৰথম খন খেল জিকিব নোৱাৰে।",B,"The correct answer is D. হয় আৰ্ডভাৰ্ক বা চিপমাংকসকলে তেওঁলোকৰ প্ৰথম খন খেল জিকিব নোৱাৰে।

The given statement is a conditional statement with the following structure:

If (condition), then (consequence).

In this case, the condition is ""হয় আৰ্ডভাৰ্ক বা চিপমাংকসকলে তেওঁলোকৰ প্ৰথম খন খেল জিকিব নোৱাৰে।"" and the consequence is ""মৌমাখিসকলে তেওঁলোকৰ প্ৰথম খন খেল কেৱল তেতিয়াহে জিকিব।""

Therefore, the correct antecedent (condition) for the given consequent statement is option D.",
"নেডাৰলেণ্ডৰ চৰকাৰী ভাষা কি?
A.ডেনিশ্ব
B.ছুইডিশ্ব
C.জাৰ্মান
D.ডাচ্",D,"নেডাৰলেণ্ডৰ চৰকাৰী ভাষা হৈছে ডাচ্ ভাষা।

উত্তৰ: D) ডাচ্

নেডাৰলেণ্ডত ডাচ্ ভাষাই চৰকাৰী ভাষা হিচাপে ব্যৱহৃত হয়। ডাচ্ ভাষা জাৰ্মান ভাষাৰ লগত নিবিড় সম্পৰ্ক আছে আৰু এই দুয়োটা ভাষা জাৰ্মানিক ভাষা পৰিয়ালৰ অন্তৰ্গত। তথাপিও ডাচ্ ভাষাই স্বতন্ত্ৰ ভাষা হিচাপে গণ্য কৰা হয়।",
"টেংক এটা ত্ৰিভুজাকাৰ প্ৰিজমৰ আকাৰত থাকে। যদি ত্ৰিভুজাকাৰ আধাৰৰ এলেকা 116 বৰ্গফুট, আৰু টেংকটো 30 ফুট ওখ হয়, টেংকটো ভৰ্তি হ'লে কিমান পানী থাকিব?
A.1725 ফুট^3
B.1740 ফুট^3
C.3480 ফুট^3
D.6960 ফুট^3",C,"এই সমস্যাটো সমাধান কৰিবলৈ আমি প্ৰথমে ত্ৰিভুজাকাৰ প্ৰিজমৰ আয়তন নিৰ্ণয় কৰিব লাগিব।

দিয়া তথ্য:
- আধাৰৰ এলেকা = 116 বৰ্গফুট
- ওখ = 30 ফুট

ত্ৰিভুজাকাৰ প্ৰিজমৰ আয়তন = আধাৰৰ এলেকা × ওখ
                = 116 বৰ্গফুট × 30 ফুট
                = 3480 ঘনফুট

সুতৰাং, টেংকটো ভৰ্তি হ'লে 3480 ঘনফুট পানী থাকিব।

এইদৰে, উত্তৰটো হ'ব C. 3480 ফুট^3",
"এটা সংখ্যা, নিকটতম হাজাৰলৈ বৃত্তাকাৰ, হৈছে 47,000। কোনটো সংখ্যা বৃত্তাকাৰ কৰা সংখ্যা হ'ব পাৰে?
A.46,295
B.46,504
C.47,520
D.47,924",B,"এই প্রশ্নটোত দিয়া সকলো সংখ্যাই 47,000 ৰ ওচৰত আছে। কিন্তু প্রশ্নটোত কোৱা হৈছে যে সংখ্যাটো নিকটতম হাজাৰলৈ বৃত্তাকাৰ কৰিব লাগিব।

47,000 ৰ নিকটতম হাজাৰ হ'ল 47,000 নিজে। গতিকে উত্তৰটো হ'ব:

C. 47,520

47,520 হ'ল 47,000 ৰ পৰৱৰ্তী নিকটতম হাজাৰ সংখ্যা। ইয়াৰ পূৰ্বৰ নিকটতম হাজাৰ সংখ্যা হ'ব 46,000। সেইবাবে 47,520 হ'ল 47,000 ৰ নিকটতম হাজাৰলৈ বৃত্তাকাৰ কৰা সংখ্যা।",
"মধ্যবয়সীয়া প্ৰাপ্তবয়স্কসকল বয়সস্থ বা কম বয়সীয়া প্ৰাপ্তবয়স্কতকৈ অধিক __ হোৱা দেখা যায়
A.উৎপন্নক
B.নিউৰোটিক
C.সন্মত
D.নিশ্চিত",A,"উত্তরটো হ'ল B. নিউৰোটিক।

মধ্যবয়সীয়া প্ৰাপ্তবয়স্কসকলে বয়সস্থ বা কম বয়সীয়া প্ৰাপ্তবয়স্কতকৈ অধিক নিউৰোটিক বা মানসিক চাপগ্রস্ত হোৱা দেখা যায়। এই সময়ছোৱাত তেওঁলোকে বিভিন্ন ধৰণৰ মানসিক চাপ বা উদ্বেগৰ সন্মুখীন হয়, যেনে - পাৰিবাৰিক দায়িত্ব, চাকৰিৰ চাপ, আৰ্থিক সমস্যা, শাৰীৰিক সমস্যা আদি। এই কাৰণে তেওঁলোকে অধিক নিউৰোটিক বা মানসিক চাপগ্রস্ত হয়।",
"অভিনেতা এণ্টোনিঅ বান্দেৰাছ স্থানীয় ভাষা কি?
A.স্পেনিছ
B.ৰুছ ভাষা
C.জাৰ্মান
D.ফ্ৰেন্স",A,"অভিনেতা এণ্টোনিঅ বান্দেরাসের স্থানীয় ভাষা হল স্পেনিশ।

তিনি স্পেনের মালাগা শহরে জন্মগ্রহণ করেছিলেন এবং স্পেনিশ তাঁর মাতৃভাষা। তাই উত্তরটি হল: A. স্পেনিশ

এণ্টোনিঅ বান্দেরাস হলেন একজন বিখ্যাত স্পেনীয় অভিনেতা যিনি বিশ্বব্যাপী পরিচিত। তিনি 'মাস্ক অফ জর্রো', 'দ্য 13থ ওয়ারিয়র', 'পান্স ল্যাবিরিন্থ' ইত্যাদি চলচ্চিত্রে অভিনয় করেছেন। তাঁর অভিনয় সম্পর্কে বিশ্বব্যাপী প্রশংসিত হয়েছেন।",
"১৯৯৯ চনৰ মেগনোলিয়া চলচ্চিত্ৰৰ ছেট কি অৱস্থাত?
A.কেলিফৰ্ণিয়া
B.দক্ষিণ কেৰোলিনা
C.জৰ্জিয়া
D.টেক্সাছ",A,"১৯৯৯ চনৰ মেগনোলিয়া চলচ্চিত্ৰখনৰ অধিকাংশ অংশ গ্ৰহণ কৰা হৈছিল জৰ্জিয়া ৰাজ্যত। সেয়েহে শুদ্ধ উত্তৰটো হ'ল:

C. জৰ্জিয়া

এই চলচ্চিত্ৰখন গ্ৰহণ কৰা হৈছিল জৰ্জিয়াৰ সেভানা, মনটিচেলো আৰু বৌফ'ৰ্ট কাউন্টিসমূহত। চলচ্চিত্ৰখনৰ বহু দৃশ্য গ্ৰহণ কৰা হৈছিল জৰ্জিয়াৰ বিখ্যাত বৃক্ষ-আবৃত পথসমূহত। এই চলচ্চিত্ৰখনৰ বাবে জৰ্জিয়াৰ প্ৰাকৃতিক দৃশ্যই বিশেষ আকৰ্ষণীয় আছিল।",
"1.0 এম ফেনল, চি6এইচ5ওএইচ, দ্ৰৱণত এইচ+(এক) ঘনত্ব নিৰ্ধাৰণ কৰক। (ফেনলৰ বাবে কা হৈছে 1 × 10^-10।)
A.1 × 10^-10 মিটাৰ
B.1 × 10^-9 মিটাৰ
C.1 × 10^-3 মি
D.1 × 10^-5 মি",D,"ফেনলৰ বাবে কা (কা) মানটো দিয়া হৈছে 1 × 10^-10। এই মানটো অণুৰ দ্ৰাৱণীয়তাৰ সৈতে সম্পৰ্কিত।

দ্ৰাৱণত এইচ+(এক) ঘনত্ব নিৰ্ণয় কৰিবলৈ, আমি নিচেৰ সমীকৰণটো ব্যৱহাৰ কৰিব লাগিব:

[H+] = √(Ka × Cₐ)

যিটো,
[H+] = দ্ৰাৱণত এইচ+(এক) ঘনত্ব
Ka = অণুৰ দ্ৰাৱণীয়তা নিয়মাংক
Cₐ = অণুৰ মোলাৰ ঘনত্ব

দিয়া তথ্য অনুসৰি, ফেনলৰ বাবে Ka = 1 × 10^-10 আৰু মোলাৰ ঘনত্ব 1.0 এম।

সুতৰাং, [H+] = √(1 × 10^-10 × 1.0) = 1 × 10^-5 মোল/লিটাৰ

এইদৰে, উত্তৰটো হ'ব D. 1 × 10^-5 মি",
"এই ভৌতিক চলচ্চিত্ৰবোৰৰ কোনটোৱে আটাইতকৈ বেছি চিকুৱেল সৃষ্টি কৰিছিল?
A.চিঞৰিব'
B.জজ'
C.হেলোইন'
D.১৩ তাৰিখ শুক্ৰবাৰে'",D,"এই প্ৰশ্নটোৰ উত্তৰ হ'ল B) জজ'।

'জজ' (Jaws) হৈছে এখন অতি জনপ্ৰিয় ভৌতিক চলচ্চিত্ৰ যাক ১৯৭৫ চনত মুক্তি দিয়া হৈছিল। এই চলচ্চিত্ৰখনে শাৰ্ক আক্ৰমণৰ ভয়াৱহতাক দেখুৱাইছিল আৰু ইয়াৰ বাবে অতি সফল হৈছিল। ইয়াৰ বাবেই ইয়াক সমুদ্ৰত গুৰি নাযাবলৈকে ভাবি চাব নোৱাৰা হৈছিল। 

'জজ' চলচ্চিত্ৰখনে শাৰ্ক আক্ৰমণৰ ভয়াৱহতাক দেখুৱাই অতি বেছি চিকুৱেল সৃষ্টি কৰিছিল। ইয়াৰ বাবেই ইয়াক আটাইতকৈ বেছি চিকুৱেল সৃষ্টিকাৰী ভৌতিক চলচ্চিত্ৰ বুলি গণ্য কৰা হয়।",
"প্ৰশংসনীয় ব্যক্তিত্বৰ ভ্ৰান্তি হৈছে এক নিৰ্দিষ্ট প্ৰকাৰৰ
A.দুৰ্ঘটনাৰ ভ্ৰান্তি
B.মিছা দ্বিধা
C.প্ৰশ্নটো ভিক্ষা কৰা
D.বৃত্তাকাৰ যুক্তি",A,প্রশংসনীয় ব্যক্তিত্বর ভ্রান্তি হৈছে এক প্রকারর মিছা দ্বিধা (fallacy of positive instances)। এই ভ্রান্তিটো হয় যেতিয়া কোনো ব্যক্তি বা বস্তুর কেইবাটাও সুগুণ বা আদর্শগত দিশ লক্ষ্য কৰি সেই ব্যক্তি বা বস্তুটোক সম্পূর্ণরূপে আদর্শ বুলি গণ্য কৰা হয়। কিন্তু প্রকৃততে সেই ব্যক্তি বা বস্তুটোৰ অন্যান্য নেতিবাচক দিশসমূহ অগ্রাহ্য কৰা হয়। এইদৰে কেৱল ইতিবাচক দিশসমূহকে লক্ষ্য কৰি সম্পূর্ণ বিচাৰ কৰাটো এক প্রকাৰৰ যুক্তিগত ভ্রান্তি। গতিকে উত্তৰটো হৈছে B. মিছা দ্বিধা।,
