Question,CorrectAnswer,GivenAnswer,Correct
"Ποια είναι η μητρική γλώσσα του ηθοποιού Antonio Banderas;
A.Ισπανικά
B.Ρωσικά
C.Γερμανικά
D.Γαλλικά",A,"Η σωστή απάντηση είναι:

Α. Ισπανικά

Ο Antonio Banderas γεννήθηκε στην Ισπανία το 1960. Η μητρική του γλώσσα είναι τα ισπανικά, καθώς είναι η επίσημη γλώσσα της Ισπανίας. Έγινε διάσημος με ρόλους σε ταινίες όπως η σειρά ταινιών ""Shrek"", το ""Desperado"", το ""The Mask of Zorro"" και πολλές άλλες επιτυχημένες ταινίες.",
"Ποια είναι η επίσημη γλώσσα της Ολλανδίας;
A.Δανικά
B.Σουηδικά
C.Γερμανικά
D.Ολλανδικά",D,"Η σωστή απάντηση είναι η D. Ολλανδικά.

Η επίσημη γλώσσα της Ολλανδίας είναι τα Ολλανδικά. Τα Ολλανδικά ανήκουν στις Γερμανικές γλώσσες, αλλά είναι διαφορετική γλώσσα από τα Γερμανικά.

Οι άλλες επιλογές είναι:

Α. Δανικά - Επίσημη γλώσσα της Δανίας
Β. Σουηδικά - Επίσημη γλώσσα της Σουηδίας  
Γ. Γερμανικά - Επίσημη γλώσσα της Γερμανίας

Συνεπώς, η ολλανδική γλώσσα είναι η επίσημη γλώσσα που ομιλείται στην Ολλανδία.",
"Μια δεξαμενή έχει σχήμα τριγωνικού πρίσματος. Εάν η τριγωνική βάση έχει έκταση 116 τετραγωνικών ποδιών και η δεξαμενή έχει ύψος 30 πόδια, πόσο νερό θα περιέχει η δεξαμενή όταν είναι γεμάτη;
A.1725 πόδια ^ 3
B.1740 πόδια ^ 3
C.3480 πόδια ^ 3
D.6960 πόδια ^ 3",C,"Για να λύσουμε αυτό το πρόβλημα, πρέπει να υπολογίσουμε τον όγκο του τριγωνικού πρίσματος που σχηματίζει η δεξαμενή.

Δεδομένα:
- Η τριγωνική βάση έχει έκταση 116 τετραγωνικά πόδια.
- Το ύψος της δεξαμενής είναι 30 πόδια.

Ο τύπος για τον όγκο ενός τριγωνικού πρίσματος είναι:
Όγκος = Έκταση βάσης × Ύψος

Αντικαθιστώντας τις τιμές που έχουμε:
Όγκος = 116 τετραγωνικά πόδια × 30 πόδια
Όγκος = 3480 πόδια^3

Άρα, η σωστή απάντηση είναι η C. 3480 πόδια^3.

Η δεξαμενή θα περιέχει 3480 κυβικά πόδια νερό όταν είναι γεμάτη.",
"Ποια από αυτές τις ταινίες τρόμου γέννησε τις περισσότερες συνέχειες;
A.Κραυγή»
B.Σιαγόνες»
C.Απόκριες»
D.Παρασκευή και 13'",D,"Η σωστή απάντηση είναι η D. Παρασκευή και 13'.

Η σειρά ταινιών τρόμου ""Παρασκευή και 13"" είναι αυτή που γέννησε τις περισσότερες συνέχειες μέχρι στιγμής.

Συγκεκριμένα:

- Η πρώτη ταινία ""Παρασκευή και 13"" κυκλοφόρησε το 1980.

- Μέχρι σήμερα έχουν κυκλοφορήσει συνολικά 12 ταινίες στη σειρά, με την τελευταία να είναι το ""Παρασκευή και 13"" (2009).

- Επίσης, υπήρξε και μια τηλεοπτική σειρά το 1987-1990.

Έτσι, με 12 κινηματογραφικές ταινίες και μια τηλεοπτική σειρά, η ""Παρασκευή και 13"" αποτελεί τη σειρά τρόμου με τις περισσότερες συνέχειες μέχρι τώρα.",
"Ένας αριθμός, στρογγυλοποιημένος στην πλησιέστερη χιλιάδα, είναι 47.000. Ποιος αριθμός θα μπορούσε να είναι ο αριθμός που στρογγυλοποιήθηκε;
A.46,295
B.46,504
C.47,520
D.47,924",B,"Για να απαντήσουμε σε αυτήν την ερώτηση, πρέπει να εξετάσουμε ποιοι αριθμοί στρογγυλοποιούνται στις 47.000 όταν στρογγυλοποιούνται στην πλησιέστερη χιλιάδα.

Οι αριθμοί μεταξύ 46.500 και 47.499 στρογγυλοποιούνται στις 47.000.

Από τις επιλογές που δίνονται:
A. 46.295 είναι μικρότερο από 46.500, οπότε δεν στρογγυλοποιείται στις 47.000.
B. 46.504 βρίσκεται μεταξύ 46.500 και 47.499, οπότε στρογγυλοποιείται στις 47.000.
C. 47.520 είναι μεγαλύτερο από 47.499, οπότε δεν στρογγυλοποιείται στις 47.000.
D. 47.924 είναι επίσης μεγαλύτερο από 47.499, οπότε δεν στρογγυλοποιείται στις 47.000.

Συνεπώς, η σωστή απάντηση είναι η B. 46.504.",
"Σε ποια κατάσταση διαδραματίζεται η ταινία Magnolia του 1999;
A.Καλιφόρνια
B.Νότια Καρολίνα
C.Γεωργία
D.Τέξας",A,"Η ταινία Magnolia του 1999 σε σκηνοθεσία του Πολ Τόμας Άντερσον διαδραματίζεται στην Καλιφόρνια. Επομένως, η σωστή απάντηση είναι η Α. Καλιφόρνια.

Η ταινία παρακολουθεί τις διασταυρούμενες ιστορίες διαφορετικών χαρακτήρων που ζουν στην περιοχή του Σαν Φερνάντο Βάλεϊ και του Λος Άντζελες. Ο Άντερσον επέλεξε αυτή την τοποθεσία για να αναδείξει τα θέματα της μοναξιάς, της οικογενειακής δυσλειτουργίας και της αναζήτησης νοήματος στη σύγχρονη αμερικανική κοινωνία.",
"Προσδιορίστε το προηγούμενο της ακόλουθης υπό όρους πρότασης: Οι Μέλισσες κερδίζουν το πρώτο τους παιχνίδι μόνο εάν είτε οι Aardvarks είτε οι Chipmunks δεν κερδίσουν τα πρώτα τους παιχνίδια.
A.Οι Aardvarks δεν κερδίζουν το πρώτο τους παιχνίδι.
B.Οι Μέλισσες κερδίζουν το πρώτο τους παιχνίδι.
C.Οι Chipmunks δεν κερδίζουν το πρώτο τους παιχνίδι.
D.Είτε οι Aardvarks είτε οι Chipmunks δεν κερδίζουν τα πρώτα τους παιχνίδια.",B,"Η σωστή απάντηση είναι η D: Είτε οι Aardvarks είτε οι Chipmunks δεν κερδίζουν τα πρώτα τους παιχνίδια.

Εξήγηση:
Η δοθείσα πρόταση είναι: ""Οι Μέλισσες κερδίζουν το πρώτο τους παιχνίδι μόνο εάν είτε οι Aardvarks είτε οι Chipmunks δεν κερδίσουν τα πρώτα τους παιχνίδια.""

Αυτή η πρόταση μπορεί να αναδιατυπωθεί ως:
""Εάν είτε οι Aardvarks είτε οι Chipmunks δεν κερδίσουν τα πρώτα τους παιχνίδια, τότε οι Μέλισσες κερδίζουν το πρώτο τους παιχνίδι.""

Επομένως, το προηγούμενο της πρότασης είναι η επιλογή D: ""Είτε οι Aardvarks είτε οι Chipmunks δεν κερδίζουν τα πρώτα τους παιχνίδια.""",
"Η πλάνη της εγκωμιαστικής προσωπικότητας είναι ένας συγκεκριμένος τύπος
A.Η πλάνη του ατυχήματος
B.Ψευδές δίλημμα
C.Ζητώντας την ερώτηση
D.Κυκλική συλλογιστική",A,"Η σωστή απάντηση είναι η C. Ζητώντας την ερώτηση.

Η πλάνη της εγκωμιαστικής προσωπικότητας είναι ένα είδος λογικής πλάνης όπου κάποιος υποστηρίζει ή απορρίπτει μια άποψη με βάση κάποια θετικά ή αρνητικά χαρακτηριστικά του ατόμου που εκφράζει αυτή την άποψη, αντί να εξετάσει τα πραγματικά επιχειρήματα και τα στοιχεία που παρατίθενται.

Αυτή η πλάνη ονομάζεται ""ζητώντας την ερώτηση"" επειδή αντί να απαντήσει στην ουσία του επιχειρήματος, επικεντρώνεται στα χαρακτηριστικά του ομιλητή, τα οποία δεν είναι σχετικά με την εγκυρότητα της άποψης.

Οι άλλες επιλογές αναφέρονται σε διαφορετικούς τύπους λογικών πλανών.",
"Αυτή η ερώτηση αναφέρεται στις ακόλουθες πληροφορίες.
Πρώτα πρέπει να παρατηρήσουμε ότι ο κόσμος έχει σφαιρική μορφή, εν μέρει επειδή αυτή η μορφή είναι ένα τέλειο σύνολο που δεν απαιτεί αρθρώσεις, είναι η πιο πλήρης από όλες, εν μέρει επειδή κάνει την πιο ευρύχωρη μορφή, η οποία είναι η πλέον κατάλληλη για να περιέχει και να διατηρεί τα πάντα. ή πάλι επειδή όλα τα συστατικά μέρη του σύμπαντος, δηλαδή ο ήλιος, η σελήνη και οι πλανήτες εμφανίζονται με αυτή τη μορφή. ή επειδή όλα προσπαθούν να επιτύχουν αυτή τη μορφή, όπως φαίνεται στην περίπτωση σταγόνων νερού και άλλων υγρών σωμάτων αν προσπαθήσουν να αυτοπροσδιοριστούν. Έτσι κανείς δεν θα αμφιβάλλει ότι αυτή η μορφή ανήκει στα ουράνια σώματα. ...
Το ότι η γη είναι επίσης σφαιρική είναι επομένως πέρα από κάθε αμφιβολία, επειδή πιέζει από όλες τις πλευρές στο κέντρο της. Αν και λόγω των υψομέτρων των βουνών και των κοιλοτήτων των κοιλάδων ένας τέλειος κύκλος δεν μπορεί να γίνει κατανοητός, ωστόσο αυτό δεν επηρεάζει τη γενική σφαιρική φύση της γης. ...
Όπως έχει ήδη αποδειχθεί ότι η γη έχει τη μορφή σφαίρας, πρέπει να εξετάσουμε αν μια κίνηση συμπίπτει επίσης με αυτή τη μορφή και ποια θέση κατέχει η γη στο σύμπαν. ... Η μεγάλη πλειοψηφία των συγγραφέων φυσικά συμφωνεί ότι η γη βρίσκεται ακίνητη στο κέντρο του σύμπαντος και θεωρεί αδιανόητο και γελοίο να υποθέσουμε το αντίθετο. Αλλά αν το θέμα σταθμιστεί προσεκτικά, θα φανεί ότι το ζήτημα δεν έχει ακόμη διευθετηθεί και επομένως σε καμία περίπτωση δεν πρέπει να αντιμετωπιστεί ελαφρά τη καρδία. Κάθε αλλαγή τόπου που παρατηρείται οφείλεται, δηλαδή, σε μια κίνηση του παρατηρούμενου αντικειμένου ή του παρατηρητή, ή σε κινήσεις και των δύο. ... Τώρα είναι από τη γη που παρατηρείται η επανάσταση των ουρανών και παράγεται για τα μάτια μας. Επομένως, αν η γη δεν υφίσταται καμία κίνηση, αυτή η κίνηση πρέπει να λάβει χώρα σε όλα έξω από τη γη, αλλά προς την αντίθετη κατεύθυνση από ό, τι αν τα πάντα στη γη κινούνταν, και αυτού του είδους είναι η καθημερινή επανάσταση. Έτσι, αυτό φαίνεται να επηρεάζει ολόκληρο το σύμπαν, δηλαδή τα πάντα έξω από τη γη με μοναδική εξαίρεση την ίδια τη γη. Αν, ωστόσο, κάποιος έπρεπε να παραδεχτεί ότι αυτή η κίνηση δεν ήταν χαρακτηριστική των ουρανών, αλλά ότι η γη περιστρεφόταν από τη δύση προς την ανατολή, και αν αυτό εξεταστεί προσεκτικά σε σχέση με τη φαινομενική ανατολή και δύση του ήλιου, της σελήνης και των αστεριών, θα ανακαλυπτόταν ότι αυτή ήταν η πραγματική κατάσταση.
Νικόλαος Κοπέρνικος, Οι επαναστάσεις των ουράνιων σωμάτων, 1543
Το απόσπασμα μπορεί να χρησιμοποιηθεί ως απόδειξη ότι ο Κοπέρνικος διέφερε από τους παραδοσιακούς, αριστοτελικούς φυσικούς φιλοσόφους της εποχής του, επειδή πρότεινε ότι
A.Ο κόσμος είναι σφαιρικός
B.η Γη είναι σφαιρική
C.Ο κόσμος είναι γεωστατικός
D.η Γη δεν είναι στάσιμη",D,"Σύμφωνα με το απόσπασμα, ο Κοπέρνικος διέφερε από τους παραδοσιακούς, αριστοτελικούς φυσικούς φιλοσόφους της εποχής του επειδή πρότεινε ότι η Γη δεν είναι στάσιμη, αλλά περιστρέφεται γύρω από τον εαυτό της. Η σωστή απάντηση είναι η D.

Συγκεκριμένα, το απόσπασμα αναφέρει:

""Αν, ωστόσο, κάποιος έπρεπε να παραδεχτεί ότι αυτή η κίνηση δεν ήταν χαρακτηριστική των ουρανών, αλλά ότι η γη περιστρεφόταν από τη δύση προς την ανατολή, και αν αυτό εξεταστεί προσεκτικά σε σχέση με τη φαινομενική ανατολή και δύση του ήλιου, της σελήνης και των αστεριών, θα ανακαλυπτόταν ότι αυτή ήταν η πραγματική κατάσταση.""

Αυτό αντιτίθεται στην παραδοσιακή άποψη που αναφέρεται νωρίτερα ότι ""η γη βρίσκεται ακίνητη στο κέντρο του σύμπαντος"".",
"Οι μεσήλικες ενήλικες φαίνεται να είναι περισσότερο ____ από τους μεγαλύτερους ή νεότερους ενήλικες
A.Παραγωγική
B.Νευρωτικός
C.Ευχάριστος
D.Βέβαιος",A,"Η σωστή απάντηση είναι η Α. Παραγωγική.

Οι μεσήλικες ενήλικες, που βρίσκονται συνήθως στην κορύφωση της καριέρας και της οικογενειακής τους ζωής, τείνουν να είναι πιο παραγωγικοί σε σύγκριση με τους νεότερους ή τους μεγαλύτερους ενήλικες. Αυτό οφείλεται στην εμπειρία, τις δεξιότητες και την ενέργεια που διαθέτουν σε αυτή την ηλικιακή περίοδο.

Οι άλλες επιλογές δεν είναι τόσο κατάλληλες:

Β. Νευρωτικός: Δεν υπάρχουν στοιχεία που να υποδεικνύουν ότι οι μεσήλικες είναι πιο νευρωτικοί από άλλες ηλικιακές ομάδες.

C. Ευχάριστος: Αυτό είναι μια υποκειμενική έννοια και δεν μπορεί να γενικευτεί.

Δ. Βέβαιος: Δεν υπάρχουν επαρκή στοιχεία για να υποστηρίξουν ότι οι μεσήλικες είναι πιο βέβαιοι από άλλες ηλικιακές ομάδες.",
