Question,CorrectAnswer,GivenAnswer,Correct
"Identifikatu baldintzapeko proposamen honen aurrekaria: Erleek beren lehen jokoa irabazten dute, txerri inurrigileek edo urtxintxak lehen jokoak irabazten ez badituzte.
A.Txerri inurriariek ez dute lehen partida irabazten.
B.Erleek lehen partida irabazi dute.
C.Ez dute lehen partida irabazten.
D.Ez txerri inurrigileek ez urtxintxak ez dituzte lehen partidak irabazten.",B,"Baldintzapeko proposamen horretan, aurrekaria honako hau da: ""txerri inurrigileek edo urtxintxak lehen jokoak irabazten ez badituzte"".

Beraz, erantzun zuzena D aukera da: ""Ez txerri inurrigileek ez urtxintxak ez dituzte lehen partidak irabazten"".

Baldintzapeko proposamen batean, aurrekaria baldintza edo hipotesia da, eta ondorioa baldintza hori betetzen bada gertatzen dena da. Kasu honetan, aurrekaria ""txerri inurrigileek edo urtxintxak lehen jokoak irabazten ez badituzte"" da, eta ondorioa ""Erleek beren lehen jokoa irabazten dute"".",
"Zein plater txerri hesteekin egina?
A.haggis
B.Chitlins
C.semola
D.Chop Suey",B,"B. Chitlins

Chitlins dira txerri hesteekin egindako janaria. Beste aukeren esanahiak:

A. Haggis - Ahuntz edo ardi falekin eta gariarekin egindako janari tipikoa Eskoziako sukaldaritzan.

C. Semola - Gari mota bat da, pasta egiteko erabiltzen dena.

D. Chop Suey - Barazki eta haragi zati txikiekin egindako janari tipikoa sukaldaritza txinatarrean.

Beraz, ""txerri hesteekin egina"" deskribapenak Chitlins erantzuna adierazten du.",
"Zenbaki bat, mila hurbilen dagoena, 47.000 da. Zein zenbaki izan liteke biribiltzen den zenbakia?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Zenbaki bat mila hurbilen dagoena 47.000 dela esaten denean, esan nahi du zenbaki hori 47.000tik gertu dagoela, baina ez da zehazten zenbat gertu dagoen.

Aukera bakoitza aztertuz:

A. 46.295: Zenbaki hau 47.000tik 705 unitateko distantziara dago, beraz, ez da mila hurbilen dagoena.

B. 46.504: Zenbaki hau 47.000tik 496 unitateko distantziara dago, beraz, mila hurbilen dagoena da.

C. 47.520: Zenbaki hau 47.000tik 520 unitateko distantziara dago, beraz, ez da mila hurbilen dagoena.

D. 47.924: Zenbaki hau 47.000tik 924 unitateko distantziara dago, beraz, ez da mila hurbilen dagoena.

Ondorioz, erantzun zuzena B aukera da: 46.504.",
"Zein da Herbehereetako hizkuntza ofiziala?
A.Daniar
B.Suediar
C.Alemaniar
D.Holandar",D,"Herbehereetako hizkuntza ofiziala holandarra da.

Beraz, erantzun zuzena D aukera da: Holandar.

Herbehereak (Nederlandak) bi herrialde ditu: Herbehereak (Herrialde Beheratuak) eta Herbehere Karibearrak. Herrialde horietan hizkuntza ofizial nagusia holandera da, germaniar hizkuntza bateko dialektoa. Holandera Europako Batasan hizkuntza ofizialetako bat da.

Beste aukeren hizkuntzak honako hauek dira:

A. Daniera - Danimarkako hizkuntza ofiziala
B. Suediera - Sueziako hizkuntza ofiziala 
C. Alemana - Alemaniako hizkuntza ofiziala

Beraz, Herbehereetako hizkuntza ofiziala holandera da.",
"Tanke batek prisma triangeluarra baten forma du. Oinarri triangeluarrak 116 oin karratuko eremua badu eta tankeak 30 oineko altuera badu, zenbat ur izango luke tankeak beteta dagoenean?
A.1725 oin 3
B.1740 oin 3
C.3480 oin 3
D.6960 oin 3",C,"Arazoaren ebazpena honako hau da:

Emandako datuak:
- Tankearen forma prisma triangeluarra da.
- Oinarri triangeluarraren eremua 116 oin karratukoa da.
- Tankearen altuera 30 oinekoa da.

Prisma triangeluarraren bolumena kalkulatzeko formula hau da:
Bolumena = Oinarriaren eremua × Altuera

Ordezkatuz:
Bolumena = 116 oin² × 30 oin
Bolumena = 3480 oin³

Beraz, erantzun zuzena C aukerakoa da: 3480 oin³

Erantzun hori oinetan emanda dago. Ur bolumena adierazteko, ohikoagoa da galoi unitateak erabiltzea. 1 oin³ = 7,48 galoi direnez, 3480 oin³ = 3480 × 7,48 = 26.009 galoi dira.",
"Zein da Antonio Banderas aktorearen jatorrizko hizkuntza?
A.Espainol
B.Errusiar
C.Alemaniar
D.Frantziar",A,"Antonio Banderas aktore ezagunaren jatorrizko hizkuntza espainola da.

Beraz, erantzun zuzena A aukera da: Espainola.

Antonio Banderas Malagatik (Espainia) dator eta espainolez hitz egiten du ama-hizkuntza gisa. Hain zuzen ere, Andaluziako espainolaren aldaera dute jatorri.

Aktore ospetsu hau zineman aritu da gehienbat, baina baita antzerkian eta telebistan ere. Bere lanen artean aipagarriak dira La Mascara del Zorro, Desperado, Philadelfia eta Pret-a-Porter filmak. Gainera, zuzendari eta ekoizle lanak ere egin ditu.

Beraz, laburbilduz, Antonio Banderasen ama-hizkuntza eta jatorrizko hizkuntza espainola da.",
"K-fold-en balidazio gurutzatua
A.lineala K-n
B.koadratikoa K-n
C.kubikoa K-n
D.esponentziala K-n",A,"K-fold-en balidazio gurutzatuaren konputazio-kostua K-ren araberakoa da, eta hau da aukera bakoitzaren azalpena:

A. Lineala K-n: Kasu honetan, konputazio-kostua K-ren proportzionala da. Hau da, K handitzen den heinean, konputazio-kostua modu linealean handitzen da.

B. Koadratikoa K-n: Kasu honetan, konputazio-kostua K-ren karratuaren proportzionala da. Hau da, K handitzen den heinean, konputazio-kostua koadratikoki handitzen da.

C. Kubikoa K-n: Kasu honetan, konputazio-kostua K-ren kuboaren proportzionala da. Hau da, K handitzen den heinean, konputazio-kostua modu kubikoan handitzen da.

D. Esponentziala K-n: Kasu honetan, konputazio-kostua K-ren esponentzialen proportzionala da. Hau da, K handitzen den heinean, konputazio-kostua modu esponentzialean handitzen da.

K-fold-en balidazio gurutzatuaren konputazio-kostua lineala da K-n. Beraz, erantzun zuzena A aukerakoa da.",
"Paziente batek lepoko haustura du, bizkarrezur-muinan kaltea duela, garuneko seigarren ornoaren mailan.
A.Ezingo dute arnasarik hartu bizi-euskarririk gabe.
B.Lasai baino ezingo dute arnasa hartu.
C.Ezinezkoa da arnasketan efektu bat aurreikatzea.
D.Arnasketa ez da kaltetuko.",B,"Paziente horrek bizkarrezur-muinaren kaltea duela eta garuneko seigarren ornoaren mailan dagoela kontuan hartuta, erantzun zuzena A aukerakoa da: ""Ezingo dute arnasarik hartu bizi-euskarririk gabe"".

Azalpena:

Garuneko seigarren ornoa da arnasketa kontrolatzen duena. Ornoaren kalteak arnasketa-arazoak eragin ditzake, eta kasu askotan, pazienteak ezingo du arnasarik hartu bizi-euskarri mekaniko baten laguntzarik gabe.

B aukera (""Lasai baino ezingo dute arnasa hartu"") ez da zuzena, arnasketa-arazoak larriagoak izan baitaitezke.

C aukera (""Ezinezkoa da arnasketan efektu bat aurreikatzea"") ez da zuzena, kalteak arnasketa-arazoak eragin ditzakeela aurreikus baitaiteke.

D aukera (""Arnasketa ez da kaltetuko"") ere ez da zuzena, garuneko seigarren ornoaren kalteak arnasketa-arazoak eragin baititzake.

Beraz, A aukera da zuzena: pazienteak ezingo du arnasarik hartu bizi-euskarririk gabe.",
"Adin ertaineko helduak helduak edo gazteenak baino gehiago direla dirudi
A.Sorgailua
B.Neurotikoa
C.Atsegina
D.Egia",A,"Zure esaldia ez da oso argia, baina badirudi ""adin ertaineko helduak gazteenak baino gehiago direla"" esan nahi duzula. Hori horrela bada, erantzun zuzena D litzateke: Egia.

Populazioaren piramideari erreparatuz, adin ertaineko helduak (adibidez, 35-55 urte bitartekoak) talde handiena izaten dira askotan, gazteenak (0-20 urte ingurukoak) baino ugariagoak. Hori hainbat arrazoirengatik gertatzen da, besteak beste, jaiotza-tasa baxuagoak eta bizi-itxaropenaren luzatzeak.

Beraz, zure esaldia egiazkoa dela ondorioztatzen badut, D aukera litzateke zuzena. Hala ere, esaldia berridatzita argiago ulertzeko aukera izango nuke.",
"Laudatorio-nortasunaren falazia mota berezi bat da
A.Istripuaren falazia
B.Dilema faltsua
C.Galdera planteatuz
D.Arrazoiketa zirkularra",A,"Laudatorio-nortasunaren falazia mota berezi bat da, non pertsona baten ezaugarri positiboak edo lorpenak erabiltzen diren haren argudioak indartzeko, nahiz eta ezaugarri edo lorpen horiek ez egon argudioarekin lotuta zuzenean.

Hau da, D aukera: arrazoiketa zirkularra da laudatorio-nortasunaren falaziaren mota.

Arrazoiketa zirkularrean, ondorioa aurresuposatzen da premisetan, eta horrela, argudioa zirkularra da eta ez du ezer frogatzen. Laudatorio-nortasunaren falazian, pertsona baten ezaugarri edo lorpenak erabiltzen dira haren argudioak indartzeko, nahiz eta horiek ez egon argudioarekin lotuta zuzenean. Beraz, arrazoiketa zirkularra gertatzen da.

Beste aukerak ez dira zuzenak kasu honetan:

A. Istripuaren falazia ez da laudatorio-nortasunaren falazia mota bat.
B. Dilema faltsua ez da laudatorio-nortasunaren falazia mota bat.  
C. Galdera planteatuz ez da laudatorio-nortasunaren falazia mota bat.",
