Question,CorrectAnswer,GivenAnswer,Correct
"Mikä on näyttelijä Antonio Banderasin äidinkieli?
A.Espanja
B.Venäjä
C.Saksa
D.Ranska",A,"Antonio Banderas on espanjalainen näyttelijä, joten hänen äidinkielensä on espanja.

Oikea vastaus on siis A) Espanja.

Banderas syntyi Málagassa Etelä-Espanjassa vuonna 1960. Espanja on hänen kotimaansa, joten espanjan kieli on hänen äidinkielensä.",
"Tunnista seuraavan ehdollisen väitteen edeltäjä: Mehiläiset voittavat ensimmäisen pelinsä vain, jos joko Aardvarks tai Chipmunks eivät voita ensimmäisiä pelejään.
A.Aardvarks ei voita ensimmäistä peliään.
B.Mehiläiset voittavat ensimmäisen pelinsä.
C.Maaoravat eivät voita ensimmäistä peliään.
D.Joko Aardvarks tai Chipmunks eivät voita ensimmäisiä pelejään.",B,"Edeltäjä on vaihtoehto D: ""Joko Aardvarks tai Chipmunks eivät voita ensimmäisiä pelejään.""

Annettu ehdollinen väite on muotoa: ""Jos P, niin Q"", missä P on edeltäjä ja Q on seuraaja.

Tässä tapauksessa:
P = ""Joko Aardvarks tai Chipmunks eivät voita ensimmäisiä pelejään""
Q = ""Mehiläiset voittavat ensimmäisen pelinsä""

Joten edeltäjä on vaihtoehto D.",
"Induktorissa indusoitu jännite esitetään seuraavasti:
A.sen induktanssin ja sen läpi kulkevan virran tuote.
B.sen induktanssin suhde sen läpi kulkevaan virtaan.
C.sen läpi kulkevan virran suhde sen induktanssiin.
D.sen induktanssin ja sen läpi kulkevan virran muutosnopeuden tuote.",D,"Oikea vastaus on D.

Induktorissa indusoitu jännite on suoraan verrannollinen induktorin induktanssin (L) ja sen läpi kulkevan virran muutosnopeuden (di/dt) tuloon. Tämä voidaan ilmaista Faradayn induktiolain avulla:

V = -L * di/dt

Missä:
V = indusoitu jännite (volttia)
L = induktanssi (henryä)
di/dt = virran muutosnopeus (ampeeria/sekunti)

Negatiivinen etumerkki johtuu siitä, että indusoitu jännite vastustaa virran muutosta induktorissa.

Vaihtoehdot A, B ja C ovat vääriä, koska ne eivät ota huomioon virran muutosnopeutta, joka on keskeinen tekijä indusoituneen jännitteen muodostumisessa.",
"Lähimpään tuhanteen pyöristetty luku on 47 000. Mikä luku voisi olla pyöristetty luku?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Oikea vastaus on B) 46 504.

Selitys:
Kun pyöristetään lähimpään tuhanteen, katsotaan satojen lukua. Jos satojen luku on alle 500, pyöristetään alaspäin lähimpään tuhanteen. Jos satojen luku on 500 tai yli, pyöristetään ylöspäin lähimpään tuhanteen.

A) 46 295 - Satojen luku on 200, joten tämä pyöristetään alaspäin 46 000:een.
B) 46 504 - Satojen luku on 500, joten tämä pyöristetään ylöspäin 47 000:een.
C) 47 520 - Satojen luku on 500, joten tämä pyöristetään ylöspäin 48 000:een.
D) 47 924 - Satojen luku on 900, joten tämä pyöristetään ylöspäin 48 000:een.

Näin ollen ainoa luku, joka pyöristetään lähimpään tuhanteen 47 000, on 46 504.",
"Säiliö on kolmion muotoisen prisman muotoinen. Jos kolmion muotoisen pohjan pinta-ala on 116 neliömetriä ja säiliö on 30 jalkaa korkea, kuinka paljon vettä säiliö sisältäisi, kun se on täynnä?
A.1725 jalkaa^3
B.1740 jalkaa^3
C.3480 jalkaa^3
D.6960 jalkaa^3",C,"Ratkaisemme tämän ongelman seuraavasti:

Annetut tiedot:
- Säiliö on kolmion muotoisen prisman muotoinen.
- Kolmion muotoisen pohjan pinta-ala on 116 neliömetriä.
- Säiliön korkeus on 30 jalkaa.

Muunnamme ensin pinta-alan neliöjalkoihin:
1 neliömetri = 10,764 neliöjalkaa
116 neliömetriä = 116 × 10,764 = 1248,6 neliöjalkaa

Prisman tilavuus lasketaan kaavalla:
Tilavuus = Pohjan pinta-ala × Korkeus

Sijoittamalla annetut arvot kaavaan, saamme:
Tilavuus = 1248,6 neliöjalkaa × 30 jalkaa
Tilavuus = 37458 kuutiojalkaa

Vastausvaihtoehdoista lähimpänä tätä arvoa on:
B. 1740 jalkaa^3

Näin ollen oikea vastaus on B.",
"Missä tilassa vuoden 1999 elokuva Magnolia sijoittuu?
A.Kalifornia
B.Etelä-Carolina
C.Georgia
D.Texas",A,"Oikea vastaus on A) Kalifornia.

Magnolia on vuonna 1999 ensi-iltansa saanut yhdysvaltalainen draamaelokuva, jonka on ohjannut Paul Thomas Anderson. Elokuva sijoittuu San Fernando Valleyyn Kaliforniassa ja sen tapahtumat keskittyvät useiden eri henkilöiden elämään ja kohtaloihin, jotka kietoutuvat yhteen yllättävällä tavalla.

Elokuvan tapahtumat sijoittuvat Los Angelesin esikaupunkialueelle San Fernando Valleyyn, joka sijaitsee Kalifornian osavaltiossa. Elokuva kuvaa näiden eri henkilöiden tarinoita rinnakkain ja niiden yhteen kietoutumista yhden päivän aikana. Magnolia sai valmistumisvuonnaan 1999 useita palkintoja ja tunnustuksia, ja se on yksi ohjaaja Paul Thomas Andersonin arvostetuimmista elokuvista.",
"Mitkä seuraavista ominaisuuksista ovat yleensä yhdenmukaisia taateliraiskauksen kanssa?
A.liiallisen voiman käyttö
B.harkittu
C.seksuaalisesti motivoitunut
D.sisältää aseen käytön",C,"Taateliraiskaukseen liittyy yleensä seuraavat ominaisuudet:

A. Liiallisen voiman käyttö - Kyllä, taateliraiskauksissa käytetään usein liiallista voimaa uhria kohtaan.

B. Harkittu - Ei välttämättä. Taateliraiskaukset voivat olla myös impulsiivisia tekoja.

C. Seksuaalisesti motivoitunut - Kyllä, taateliraiskaukset ovat seksuaalirikoksia ja niiden motiivina on seksuaalinen väkivalta.

D. Sisältää aseen käytön - Ei aina, mutta aseita voidaan käyttää uhrin alistamiseen.

Taateliraiskaukset ovat erittäin vakavia rikoksia, joissa käytetään seksuaalista väkivaltaa ja pakottamista. Ne aiheuttavat uhrille syvää henkistä ja fyysistä traumaa. On tärkeää, että uhrit saavat asianmukaista tukea ja apua toipumiseen.",
"K-kertainen ristiinvalidointi on
A.lineaarinen K: ssa
B.kvadraattinen K: ssa
C.kuutiometriä K
D.eksponentiaalinen K: ssa",A,"K-kertainen ristiinvalidointi on lineaarinen K:ssa.

Ristiinvalidoinnissa data jaetaan K osaan, ja malli koulutetaan ja evaluoidaan K kertaa. Jokaisella kierroksella yksi osa datasta jätetään validointidataksi, ja loput K-1 osaa käytetään mallin kouluttamiseen. Tämä prosessi toistetaan K kertaa, kunnes jokainen osa on käytetty kerran validointidatana.

Koska tämä prosessi suoritetaan K kertaa, sen aikavaativuus on lineaarinen K:n suhteen. Toisin sanoen, jos K kaksinkertaistuu, prosessin suoritusaika kaksinkertaistuu. Siksi vaihtoehto A on oikein.

Vaihtoehdot B (kvadraattinen K:ssa), C (kuutiometriä K) ja D (eksponentiaalinen K:ssa) eivät ole oikeita, koska ne eivät vastaa ristiinvalidoinnin aikavaativuutta.",
"Mikä näistä ruokia on valmistettu sian suolistosta?
A.haggis
B.Chitlins
C.ryynit
D.chop suey",B,"Oikea vastaus on B) Chitlins.

Chitlins on ruokalaji, joka on valmistettu sian suolistosta. Se on perinteinen ruoka erityisesti eteläosissa Yhdysvaltoja.

A) Haggis on skotlantilainen ruoka, joka koostuu lampaanmaksasta, sydämestä, keuhkoista ja kauraryyneistä lampaanmahalaukussa kypsennettynä.

C) Ryynit ovat jyvistä kuten rukiista, ohrasta tai kaurasta valmistettua murennettua viljaa.

D) Chop suey on kiinalainen ruoka, joka koostuu haudutetuista vihanneksista ja lihasta kastikkeen kera.

Joten chitlins eli sian suolistosta valmistettu ruoka on ainoa näistä vaihtoehdoista, joka on tehty sian suolistosta.",
"Onko maan X ministerin ulkomailla tekemä laiton henkirikos teko iure imperii vai jure gestionis?
A.Tällainen menettely on julkinen teko (iure imperii)
B.Tällainen käytös ei koskaan johda koskemattomuuteen
C.Tällainen menettely on yksityinen toimi (iure gestionis)
D.Tällainen toiminta on julkinen teko, mutta sitä suojaa koskemattomuus",C,"Ministerin ulkomailla tekemä laiton henkirikos ei ole virkatoimintaa, vaan yksityinen rikos. Siksi se luokitellaan iure gestionis -teoksi eli yksityiseksi toimeksi.

Oikea vastaus on siis C. Tällainen menettely on yksityinen toimi (iure gestionis).

Valtionpäämiehet ja diplomaatit nauttivat koskemattomuutta vain virkatoimissaan (iure imperii). Yksityiset rikokset, kuten henkirikokset, eivät kuulu tämän koskemattomuuden piiriin. Niistä voidaan syyttää ja tuomita samalla tavalla kuin muitakin kansalaisia.

Valtioiden edustajien koskemattomuus virkatoimissaan perustuu kansainväliseen tapaoikeuteen ja moniin kansainvälisiin sopimuksiin. Sen tarkoituksena on taata diplomaattisten suhteiden häiriötön toiminta. Mutta se ei anna kenellekään immuuniteettia rikkoa toisen maan lakeja yksityishenkilönä.",
