Question,CorrectAnswer,GivenAnswer,Correct
"Tá uimhir, slánaithe go dtí an míle is gaire, 47,000. Cén uimhir a d'fhéadfadh a bheith ar an uimhir a cruinníodh?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Chun an uimhir a cruinníodh a aimsiú, caithfimidh an uimhir a shlánú go dtí an míle is gaire.

Tá an uimhir 47,000 gar do 47,000.

Dá bhrí sin, is é an fhreagra ceart ná:

C. 47,520

Tá an uimhir 47,520 slánaithe go dtí an míle is gaire ó 47,000.",
"Cad í teanga oifigiúil na hÍsiltíre?
A.Danmhairgis
B.Sualainnis
C.Gearmáinis
D.Ísiltíris",D,"An fhreagra cheart is ea D. Ísiltíris.

Is í an Ísiltíris teanga oifigiúil na hÍsiltíre. Tá an Ísiltíris ina teanga Germáinise agus is í ceann de na teangacha is coitianta sa domhan í. Labhraítear í mar phríomhtheanga i dtíortha eile freisin, cosúil leis an mBeilg agus Aruba.",
"Cad é teanga dhúchais an aisteora Antonio Banderas?
A.Spainnis
B.Rúisis
C.Gearmáinis
D.Fraincis",A,"An fhreagra cheart is ea A. Spáinnis.

Is aisteoir cáiliúil Spáinneach é Antonio Banderas a rugadh sa Spáinn in 1960. Is í an Spáinnis a theanga dhúchais.

Níl na roghanna eile B. Rúisis, C. Gearmáinis agus D. Fraincis ceart mar nach iad sin a theanga dhúchais. Tháinig sé ón Spáinn agus is í an Spáinnis a máthairtheanga.",
"Cén staid ina bhfuil sraith an scannáin Magnolia i 1999?
A.California
B.Carolina Theas
C.An tSeoirsia
D.Texas",A,"Tá an fhreagra A. California ceart.

Rinneadh an scannán Magnolia a scannánú agus a shuiteáil i gCalifornia in 1999. Bhí an scannán lonnaithe i gcathair shamhlaithe dar teideal ""San Fernando Valley"" in aice le Los Angeles. Léirigh an scannán saol agus eachtraí roinnt carachtair éagsúla a bhí ina gcónaí sa cheantar sin de Chalifornia.",
"Is cosúil go bhfuil daoine fásta meánaosta níos ____ ná daoine fásta níos sine nó níos óige
A.Generative
B.NeuroticName
C.In-chomhaontaithe
D.Áirithe",A,"An fhreagra cheart is ea: C. In-chomhaontaithe

An míniú: 
Tá an abairt ag rá go bhfuil daoine fásta meánaosta níos neamhchomhaontaithe (in-chomhaontaithe) ná daoine fásta níos sine nó níos óige.

Míníonn an rogha C ""In-chomhaontaithe"" go bhfuil daoine meánaosta níos neamhchomhaontaithe nó níos lú ar aon intinn ná daoine eile.

Níl na roghanna eile A, B nó D oiriúnach sa chomhthéacs seo.",
"Cé acu de na miasa seo a dhéantar as intestines muc?
A.Haggis
B.Chitlins
C.Grits
D.Chop Suey",B,"B. Chitlins

Chitlins is an English word that refers to pork intestines that are cleaned, boiled and then fried or stewed. It is a dish that originated in African-American cuisine in the southern United States.

The other options are:

A. Haggis - A savory pudding made from sheep's offal (heart, liver, lungs) mixed with oatmeal, onions and seasonings. It is a traditional Scottish dish.

C. Grits - A porridge made from ground corn kernels boiled in water or milk. It's a staple in the Southern U.S. cuisine.

D. Chop Suey - An American-Chinese dish made from meat and vegetables in a stir-fry sauce served over rice.

So the correct answer for the dish made from pig intestines is Chitlins.",
"Léirítear an voltas a spreagtar in ionduchtóir mar,
A.táirge a ionduchtais agus a srutha tríd.
B.cóimheas idir a ionduchtú agus an sruth tríd.
C.cóimheas srutha tríd go dtí a ionduchtas.
D.a ionduchtú agus a ráta athraithe srutha tríd.",D,"Tá an freagra ceart ná:

D. a ionduchtú agus a ráta athraithe srutha tríd.

Léirítear an voltas a spreagtar in ionduchtóir ag an ráta athraithe den sruth tríd, agus ag an ionduchtú den ionduchtóir féin. Is é seo an Dlithe Ionduchtachais ó Faraday. Níor tháinig mé ar aon ábhar faoi chóipcheart agus níor iarr tú orm aon ábhar dá leithéid a athchruthú.",
"Sainaithin réamhfhocal an tairiscint choinníollach seo a leanas: Ní bhuaigh na Beacha a gcéad chluiche ach amháin mura mbuafaidh na Aardvarks nó na Chipmunks a gcéad chluichí.
A.Ní bhuaigh na Aardvarks a gcéad chluiche.
B.Bhuaigh na Beacha a gcéad chluiche.
C.Ní bhuaigh na Chipmunks a gcéad chluiche.
D.Ní bhuaigh na Aardvarks nó na Chipmunks a gcéad chluichí.",B,"Chun an réamhfhocal a shainaithint sa tairiscint choinníollach sin, caithfimid díriú ar an gcuid dheireanach den abairt:

""...ach amháin mura mbuafaidh na Aardvarks nó na Chipmunks a gcéad chluichí.""

An réamhfhocal sa chuid seo ná ""mura"". Ciallaíonn sé sin go bhfuil an tairiscint choinníollach ag rá:

""Ní bhuaigh na Beacha a gcéad chluiche, MURA mbuafaidh na Aardvarks NÓ na Chipmunks a gcéad chluichí.""

Mar sin, is é an freagra ceart ná:

D. Ní bhuaigh na Aardvarks nó na Chipmunks a gcéad chluichí.",
"Sócháin is cúis le achondroplasia exert éifeacht is féidir a aicmiú mar:
A.diúltach ceannasach.
B.gnóthachan feidhme.
C.haploinsufficiency.
D.caillteanas feidhme.",B,"Achondroplasia is cúis le haploinsufficiency, mar sin is é an fhreagra cheart ná:

C. haploinsufficiency.

Achondroplasia is cineál giorra díspreagadh a thagann ó mhútan i ngéin FGFR3 ar chromasóm 4. Is mútan pointe é seo a fhágann go bhfuil an géin neamhéifeachtach nó lag. Mar sin, tá sé ina shampla d'haploinsufficiency, nuair nach bhfuil dóthain trácht géine ó chóip amháin den ghéin chun feidhm iomlán a sholáthar.",
"Tagraíonn an cheist seo don eolas seo a leanas.
""Cothaítear síolta na réimeas ollsmachtach trí ainnise agus ba mhaith liom. Scaipeann siad agus fásann siad in ithir olc na bochtaineachta agus an achrann. Tagann siad ar a bhfás iomlán nuair a bhíonn dóchas daoine ar feadh saol níos fearr tar éis bás a fháil. Caithfimid an dóchas sin a choinneáil beo. . . Tá freagrachtaí móra curtha orainn ag gluaiseacht tapa na n-imeachtaí. . . Táim muiníneach go mbeidh na freagrachtaí sin ar an gComhdháil.""
An tUachtarán Harry S. Truman, 1947
Léiríonn na smaointe a chuirtear in iúl sa sliocht thuas go díreach cé acu de na leanúnachais seo a leanas i stair na Stát Aontaithe?
A.Díospóireachtaí faoin gcaidreamh idir an Chomhdháil agus an t-uachtarán.
B.Díospóireachtaí faoi úsáid fórsa míleata i gcásanna luaineacha.
C.Díospóireachtaí faoi ról na Stát Aontaithe i ngnóthaí an domhain.
D.Díospóireachtaí faoi ról ceart na bpáirtithe polaitiúla.",C,"C. Díospóireachtaí faoi ról na Stát Aontaithe i ngnóthaí an domhain.

Léirítear ón sliocht go raibh Uachtarán Truman ag tagairt do ról idirnáisiúnta na Stát Aontaithe agus a fhreagracht maidir le coinbhleachtaí agus réimseacha ollsmachtacha a chosc ó fhás. Labhair sé faoi ""fhreagrachtaí móra"" a cuireadh ar an gComhdháil (Comhdháil na Náisiún Aontaithe), rud a léiríonn go raibh sé ag tagairt do ról na Stát Aontaithe ar an ardán domhanda. Dá bhrí sin, is é an rogha is fearr ná C - díospóireachtaí faoi ról na Stát Aontaithe i ngnóthaí an domhain.",
