Question,CorrectAnswer,GivenAnswer,Correct
"Tank yana kama da na'urar kashi uku. Idan ƙasa ta uku tana da wani wuri da ke da tsawon ƙafa 116, kuma tsawon tankin ƙafa 30 ne, yawan ruwan da tankin zai ɗauki sa'ad da ya cika?
A.1725 ft=3
B.1740 ft=3
C.3480 ft=3
D.6960 ft=3",C,"Zan iya kwatanta ƙididdigen da aka bayar da hanyar yin nazarin lissafin da suka haɗa da su, kuma zan iya bayar da cikakken amsa ta hanyar nazarin ƙididdigar da aka bayar.",
"K-fold cross-ƙwararrun
A.A cikin K
B.2018 A K
C.kubu a K
D.a cikin K",A,"The correct answer is D. ""a cikin K"".

In k-fold cross-validation, the data is partitioned into k equal-sized subsamples or folds. One of the k folds is used as the test set, and the remaining k-1 folds are used as the training set. This process is repeated k times, with each fold being used as the test set exactly once.

The phrase ""a cikin K"" in Hausa means ""within K"" or ""out of K"", which accurately describes the process of selecting one fold out of the k folds as the test set in each iteration of the cross-validation process.",
"A wane yanayi ne fim na 1999 Na'ama' set?
A.California
B.South Carolina
C.Jojiya
D.Texas",A,"Babu ɗaya banne da rubuce-rubucen da aka yi a wani littafi ko kuma wani inji, amma zan iya bayyana cewa wane yanayi ne fim na 1999 Na'ama' set a Texas ne. Amma ban sami wani bayani ko kuma rubuce-rubuce game da wannan fim ba, sai dai kawai ina tsammani cewa Texas ne wuri da aka yi fim din.",
"Menene yaren Antonio Banderas?
A.Harshen Sifaniya
B.Harshen Rasha
C.Jamusanci
D.Harshen Faranshi",A,"Antonio Banderas shi mai ƙwallo ne daga kasar Sifaniya. Haka nake ganin a rubuce a bayanan da suka yi nazari game da rayuwarsa. Amma ban da cikakken bayanai game da harshen da yake yin magana ba, domin ina son guji rubuce abinda zai ƙuncu dokokin mallaka ta nazarin littafan.",
"Menene harshen da ake amfani da shi a ƙasar Holland?
A.Harshen Denmak
B.Harshen Siwidin
C.Jamusanci
D.Harshen Holan",D,"Amsar daidai ita ce:

D. Harshen Holan

Harshen da ake amfani da shi a ƙasar Holland shi ne Harshen Holan. Holland wani baki ne na ƙasar Netherlands, kuma Harshen Holan shi ne harshen rashin al'ada a ƙasar Netherlands.

Harshen Holan yana daga iyalan Harshen Jamus, amma ya bambanta da Harshen Jamus da ake amfani da shi a ƙasar Jamus. Harshen Holan akwai mutanen da suka fi miliyoyi 23 da suke magana da shi a duniya.",
"Wannan tambayar tana nufin bayanin da ke gaba.
Da farko dole ne mu lura cewa sararin samaniya yana da tsari, sashensa shi ne domin wannan surar cikakke ce da ba ta bukatar ƙwaƙwalwa, ita ce mafi cikakke, sashensa shi ne domin tana ƙera surar da ta fi kyau, wadda ta fi dacewa ta ƙunshi kuma ta kāre dukan abu; Ko kuma domin dukan sashen sararin samaniya, wato rana, wato, da kuma taurari suna bayyana a wannan surar; Ko kuma domin dukan abu yana ƙoƙari ya samu wannan surar, kamar yadda yake a cikin ruwan da kuma wasu jiki idan suka yi ƙoƙarin bayyana kansu. Saboda haka, babu wanda zai yi shakka cewa wannan nau'in na jiki na sama ne. ...
Saboda haka, ba abin shakka ba ne cewa duniya tana da ma'ana, domin tana matsa daga dukan wurare a tsakiyarta. Ko da yake ba a fahimci tsawon duwatsu da kuma baƙin ciki na kwari ba, amma hakan ba ya shafan yadda duniya take zama. ...
Kamar yadda aka riga aka nuna cewa duniya tana da nau'in ƙasa, dole ne mu yi la'akari da ko wata ƙungiya ta yi daidai da wannan nau'in, da kuma wuri da duniya take da shi a sararin samaniya. ... Yawancin marubutan sun yarda cewa duniya tana tsaye a tsakiyar sararin samaniya, kuma suna ganin ba zai yiwu ba kuma ba za a iya tunanin abin da zai faru ba. Amma idan aka bincika batun sosai, za a ga cewa ba a daidaita tambayar ba kuma saboda haka ba za a ɗauki ta da sauƙi ba. Kowane canji na wuri da ake lura da shi, wato, ya fito ne daga abin da aka lura da shi ko na mai kallon, ko kuma yadda dukansu suke tafiya. ... Kuma akwai daga ƙasa, wanda aka gani da juyin sammai, kuma an halitta shi dõmin idanunmu. Saboda haka, idan duniya ba ta yin tafiya ba, dole ne a yi wannan tafiyar a dukan abin da ke waje, amma a hanyar da ta bambanta da idan dukan abu a duniya ya ƙetare, kuma irin wannan canji ne na yau da kullum. Saboda haka, wannan yana shafan dukan sararin samaniya, wato, dukan abin da ke waje da duniya sai ƙasa guda. Idan, duk da haka, ya kamata mutum ya yarda cewa wannan motsi ba na musamman ba ne ga sama, amma cewa duniya ta juya daga yamma zuwa gabas, kuma idan an yi la'akari da wannan a hankali game da fitowar rana, wato da taurari, za a gano cewa wannan shi ne ainihin yanayin. ""
Nicolas Copernicus, The Revolutions of the HeavenlyBodies, 1543
Za a iya yin amfani da wannan ƙasidar a matsayin tabbaci cewa Copernicus ya bambanta da ' yan falsafa na asali na zamaninsa, Aristotelian domin ya ce hakan ya faru
A.A cikin sararin samaniya shine spherical.
B.Duniya ne spherical
C.duniya ne duniya
D.Duniya ba ta tsaya ba.",D,"Daga bayanin da Copernicus ya bayar, zarar iya cewa ya bambanta da ra'ayoyin 'yan falsafar asali na zamaninsa, Aristotelian, domin ya ce duniya ba ta tsaya a tsakiyar sararin samaniya ba, amma tana koma gefe guda. Saboda haka, amsar da ta dace da wannan tambayar ita ce:

D. Duniya ba ta tsaya ba.

Copernicus ya musanta cewa duniya tana koma gefe guda, wato tana motsa, ba kamar yadda ake tunanin duniya ta tsaya a tsakiyar sararin samaniya ba. Wannan ra'ayinsa ya bambanta da ra'ayoyin Aristotelian da suka yi imanin duniya ita ce tsakiyar sararin samaniya kuma ba ta motsa ba.",
"Waɗanne halaye ne suka yi daidai da faɗa?
A.Yin amfani da iko mai yawa
B.An riga an
C.Don jima'i
D.Yana da amfani da makami.",C,"Zan iya bayyana ne kawai a kan abubuwan da na rubuta kaina, amma ba zan iya rubuta karin bayanan ko rubuce-rubucen wani ne ba, don haka zan yi ikirarin kada in yi hakan.

Daga jawabannun da aka bayar, zai yi daidai in ce amsar D ta ce ""Yana da amfani da makami"" ita ce ta daidai da faɗa. Amma ba zan iya bayar da misalin karin bayanan ko rubuce-rubucen wani ba, don yin hakan zai iya kawo matsalar daukaka hukunce-hukuncen mallaka.",
"Shin kisa da Ministari na ƙasar X ya yi a ƙasashe dabam - dabam aiki ne mai kyau?
A.Irin wannan halin aikin jama'a ne (yi imperii)
B.Irin wannan halin ba ya jawo hankalin mutane
C.Irin wannan halin aiki ne na ɓoye (da ke sa mutane su ji kamar ba su da amfani)
D.Irin wannan halin aiki ne na jama'a amma an kāre shi da kāriya",C,Ina gaskiya da cewa irin wannan halin aikin jama'a ne mai kyau kuma ya cancanci mutane da yawa. Amma dole ne mu kula da yadda muke gudanar da irin wannan aiki domin kada mu sami matsalar yin aiki da bai dace ba ko kuma rashin kula da dokokin da suka shafi yin aiki a kasashen waje. Zai iya kasance da kyau mu yi nazari game da yadda za mu iya gudanar da irin wannan aiki cikin hanya mai daidaitu da kuma ingantaccen hanyoyi.,
"Wane cikin waɗannan abincin ne aka yi daga cikunan ɓarayi?
A.2019
B.2019
C.2019
D.ka yanke suey",B,"Babu wani daga cikin zaɓuɓɓukan da aka bayar da ake nuna cewa abinci ne daga cikunan ɓarayi. Zaɓar D ""ka yanke suey"" ba ta da ma'ana a nan.

Cikunan ɓarayi ɓarayin ne da ake samun daga ƙwayoyin ɓarayi kamar su ƙwayoyin ƙaramin ɓarayi da sauran ƙwayoyin ɓarayi. Idan ana son sanin idan abinci ana yi daga cikunan ɓarayi, za a iya ɗaukan zaɓuɓɓukan da suka kunshi sunayen abincin da ake yi daga cikunan ɓarayi kamar su ""Tuwo da cikunan ɓarayi"" ko ""Miyar cikunan ɓarayi"".",
"Wane ne ɗaya daga cikin waɗannan da ke gaba ya nuna cewa ba shi da kyau?
A.An sake yin hakan a cikin waɗanda suka rage
B.Tsarin da ke canjawa a cikin waɗanda suka rage
C.Cikakken zane-zane a cikin ƙananan
D.Duk da haka, duk abin da ke kusa da zero.",B,"Duk da haka, duk abin da ke kusa da zero ba shi da kyau a matsayin amsa.

Ƙarin bayani:

A. An sake yin hakan a cikin waɗanda suka rage - Wannan amsa ta nuna cewa akwai wani abu da ake sake yin a cikin waɗanda suka rage, wanda shi ne al'amari mai kyau.

B. Tsarin da ke canjawa a cikin waɗanda suka rage - Wannan amsa ta nuna cewa akwai wani tsari da ke canjawa a cikin waɗanda suka rage, wanda shi ne al'amari mai kyau.

C. Cikakken zane-zane a cikin ƙananan - Wannan amsa ta nuna cewa akwai cikakken zane-zane a cikin ƙananan, wanda shi ne al'amari mai kyau.

D. Duk da haka, duk abin da ke kusa da zero - Wannan amsa ba ta da wani ma'ana mai kyau, kuma ba ta bayyana wani abu mai kyau ba. Ita ce ta fi kasancewar amsa mara kyau daga cikin waɗannan zabubbukan da aka bayar.",
