Question,CorrectAnswer,GivenAnswer,Correct
"एक संख्या, जो निकटतम हजार तक पूर्णांकित है, 47,000 है। पूर्णांक बनाने वाली संख्या कौन-सी हो सकती है?
A.46,295
B.46,504
C.47,520
D.47,924",B,"इस प्रश्न में, हमें एक संख्या ढूंढनी है जो निकटतम हजार तक पूर्णांकित होकर 47,000 बनती है।

विकल्पों को देखते हुए, हम देख सकते हैं कि विकल्प B. 46,504 निकटतम हजार के लिए पूर्णांकित होकर 47,000 बनता है।

इसलिए, सही उत्तर है: B. 46,504",
"निम्नलिखित सशर्त प्रस्ताव के पूर्ववर्ती की पहचान करें: मधुमक्खियां अपना पहला गेम तभी जीतती हैं जब या तो एर्डवार्क या चिपमंक्स अपना पहला गेम नहीं जीतते हैं।
A.एर्डवार्क अपना पहला गेम नहीं जीत पाते हैं।
B.मधुमक्खियों ने अपना पहला गेम जीता।
C.चिपमंक्स अपना पहला गेम नहीं जीतते हैं।
D.या तो एर्डवार्क या चिपमंक्स अपना पहला गेम नहीं जीतते हैं।",B,"इस सशर्त प्रस्ताव के पूर्ववर्ती की पहचान करने के लिए, हमें प्रस्ताव को ध्यान से पढ़ना चाहिए।

प्रस्ताव है: ""मधुमक्खियां अपना पहला गेम तभी जीतती हैं जब या तो एर्डवार्क या चिपमंक्स अपना पहला गेम नहीं जीतते हैं।""

यहां, ""या तो एर्डवार्क या चिपमंक्स अपना पहला गेम नहीं जीतते हैं"" वाक्यांश पूर्ववर्ती है।

इसलिए, सही विकल्प है: D. या तो एर्डवार्क या चिपमंक्स अपना पहला गेम नहीं जीतते हैं।",
"नीदरलैंड की आधिकारिक भाषा क्या है?
A.डैनिश
B.स्वीडिश
C.जर्मन
D.डच",D,"नीदरलैंड की आधिकारिक भाषा डच है।

डच भाषा जर्मनिक भाषा परिवार की एक भाषा है और इसे नीदरलैंड्स के अलावा बेल्जियम, सूरीनाम और कैरेबियन द्वीप समूह के कुछ हिस्सों में भी बोला जाता है। डच भाषा का प्रचलन मुख्य रूप से नीदरलैंड्स और बेल्जियम के फ्लेमिश क्षेत्र में है।

इसलिए, नीदरलैंड की आधिकारिक भाषा के लिए सही विकल्प है: D. डच",
"अभिनेता एंटोनियो बैंडेरस मूल भाषा क्या है?
A.स्पैनिश
B.रूसी
C.जर्मन
D.फ़्रेंच",A,"अभिनेता एंटोनियो बैंडेरस की मूल भाषा स्पैनिश है।

एंटोनियो बैंडेरस स्पेन के मालागा शहर में जन्मे थे। स्पेन में स्पैनिश भाषा बोली और समझी जाती है। इसलिए एंटोनियो बैंडेरस की मातृभाषा स्पैनिश है।

वह विश्व प्रसिद्ध स्पैनिश अभिनेता हैं और कई हॉलीवुड फिल्मों में भी काम कर चुके हैं। उन्होंने अपने अभिनय करियर की शुरुआत स्पेन में की थी और बाद में हॉलीवुड में भी सफलता हासिल की।

इस प्रकार, सही विकल्प A. स्पैनिश है।",
"एक प्रारंभ करनेवाला में प्रेरित वोल्टेज को इस प्रकार दर्शाया जाता है,
A.इसके अधिष्ठापन और इसके माध्यम से वर्तमान का उत्पाद।
B.इसके प्रेरकत्व का इसके माध्यम से वर्तमान का अनुपात।
C.इसके माध्यम से धारा का इसके प्रेरकत्व से अनुपात।
D.इसके अधिष्ठापन और इसके माध्यम से धारा के परिवर्तन की दर का गुणनफल।",D,"प्रारंभ करनेवाला (इंडक्टर) में प्रेरित वोल्टेज को इसके माध्यम से धारा के परिवर्तन की दर के गुणनफल द्वारा दर्शाया जाता है।

इसलिए, सही विकल्प है:

D. इसके अधिष्ठापन और इसके माध्यम से धारा के परिवर्तन की दर का गुणनफल।

फ़ैराडे के विद्युत्-चुंबकीय प्रेरण के नियम के अनुसार, प्रारंभ करनेवाला में प्रेरित वोल्टेज इसके माध्यम से धारा के परिवर्तन की दर के समानुपाती होती है। यह प्रेरित वोल्टेज इसके अधिष्ठापन (इंडक्टेंस) और धारा के परिवर्तन की दर के गुणनफल के बराबर होती है।",
"मध्यम आयु वर्ग के वयस्क पुराने या छोटे वयस्कों की तुलना में अधिक ____ दिखाई देते हैं
A.उत्पादक
B.विक्षिप्त
C.सहमत
D.कोई एक",A,"उत्तर: A. उत्पादक

मध्यम आयु वर्ग के वयस्क अपनी जीवन की सबसे उत्पादक अवस्था में होते हैं। इस अवस्था में वे अपने करियर और व्यवसाय में सबसे अधिक योगदान देते हैं। इसलिए, वे पुराने या छोटे वयस्कों की तुलना में अधिक उत्पादक दिखाई देते हैं।

मध्यम आयु वर्ग के वयस्कों में शारीरिक और मानसिक क्षमताएं अपने चरम पर होती हैं, जिससे उन्हें अधिक उत्पादक बनाती है। वे अपने अनुभव और ज्ञान का उपयोग करके अधिक योगदान देते हैं। इसलिए, ""उत्पादक"" शब्द मध्यम आयु वर्ग के वयस्कों के लिए सबसे उपयुक्त विकल्प है।",
"1999 की फिल्म मैगनोलिया 'किस राज्य में सेट है?
A.कैलिफ़ोर्निया
B.दक्षिण कैरोलिना
C.जॉर्जिया
D.टेक्सास",A,"1999 की फिल्म 'मैगनोलिया' कैलिफ़ोर्निया राज्य में सेट है।

मैगनोलिया एक अमेरिकी ड्रामा फिल्म है जिसका निर्देशन पॉल थॉमस एंडरसन ने किया था। यह फिल्म सैन फ़्रांसिस्को बे एरिया के शहर वैली और सैन फ़्रांसिस्को में फिल्मांकित की गई थी। फिल्म में कई प्रमुख कलाकार जैसे टॉम क्रूज़, जूलियन मूर और फिलिप सीमोर हॉफमैन ने अभिनय किया था।

इसलिए, सही विकल्प है A. कैलिफ़ोर्निया।",
"एक टैंक एक त्रिकोणीय प्रिज्म के आकार में है। यदि त्रिभुजाकार आधार का क्षेत्रफल 116 वर्ग फुट है, और टैंक 30 फीट लंबा है, तो टैंक में कितना पानी होगा जब यह भरा होगा?
A.1725 फीट ^ 3
B.1740 फीट ^ 3
C.3480 फीट^3
D.6960 फीट ^ 3",C,"इस प्रश्न को हल करने के लिए, हमें टैंक के आयतन की गणना करनी होगी।

दिया गया है:
- टैंक एक त्रिकोणीय प्रिज्म के आकार में है।
- त्रिभुजाकार आधार का क्षेत्रफल = 116 वर्ग फुट
- टैंक की लंबाई = 30 फीट

एक त्रिकोणीय प्रिज्म के आयतन की गणना करने के लिए सूत्र है:
आयतन = आधार का क्षेत्रफल × ऊंचाई

यहां, आधार का क्षेत्रफल = 116 वर्ग फुट और ऊंचाई = 30 फीट है।

इसलिए, आयतन = 116 वर्ग फुट × 30 फीट
             = 3480 फीट^3

अतः, जब टैंक पूरी तरह से भरा होगा, तो उसमें 3480 फीट^3 पानी होगा।

इसलिए, सही विकल्प है: C. 3480 फीट^3",
"इनमें से किस हॉरर फिल्म ने सबसे ज्यादा सीक्वल बनाए?
A.चीख'
B.जबड़े'
C.हैलोवीन'
D.शुक्रवार 13 वीं'",D,"शुक्रवार 13 वीं (Friday the 13th) हॉरर फिल्म फ्रेंचाइज़ी ने सबसे ज्यादा सीक्वल बनाए हैं।

शुक्रवार 13 वीं फ्रेंचाइज़ी में कुल 12 फिल्में शामिल हैं, जिनमें से पहली फिल्म 1980 में रिलीज़ हुई थी। इस सीरीज़ की आखिरी फिल्म 'फ्राइडे द 13थ' 2009 में रिलीज़ हुई थी। इस तरह यह हॉरर फिल्मों की सबसे लंबी फ्रेंचाइज़ी बन गई।

दूसरी ओर, 'हैलोवीन' फ्रेंचाइज़ी में 11 फिल्में हैं, 'चीख' में 5 फिल्में हैं, और 'जबड़े' में 4 फिल्में हैं। इसलिए, विकल्प D. 'शुक्रवार 13 वीं' सही उत्तर है।",
"प्रशंसनीय व्यक्तित्व की भ्रांति एक विशिष्ट प्रकार की है
A.दुर्घटना की भ्रांति
B.झूठी दुविधा
C.सवाल भीख माँगना
D.सर्कुलर रीजनिंग (Circular reasoning)",A,"इस प्रश्न में दिए गए विकल्पों में से सही उत्तर है:

D. सर्कुलर रीजनिंग (Circular reasoning)

'प्रशंसनीय व्यक्तित्व की भ्रांति' एक प्रकार का सर्कुलर रीजनिंग (Circular reasoning) या वक्रतार्किक दोष है। इसमें किसी व्यक्ति के व्यक्तित्व या गुणों की प्रशंसा करते समय उसी व्यक्तित्व या गुणों को प्रमाण के रूप में प्रस्तुत किया जाता है।

उदाहरण के लिए, यदि कहा जाए कि ""राम एक अच्छा व्यक्ति है क्योंकि उसका व्यक्तित्व प्रशंसनीय है"" तो यह सर्कुलर रीजनिंग है क्योंकि व्यक्तित्व को प्रशंसनीय होने का कारण बताया गया है और प्रशंसनीय व्यक्तित्व को उसके अच्छे व्यक्तित्व का प्रमाण माना गया है।

अन्य विकल्प इस संदर्भ में उपयुक्त नहीं हैं।",
