Question,CorrectAnswer,GivenAnswer,Correct
"Koji je glumac Antonio Banderas materinji jezik?
A.Španjolski
B.Ruski
C.Njemački
D.Francuski",A,"Točan odgovor je A) Španjolski.

Antonio Banderas je španjolski glumac, rođen 1960. godine u Malagi u Španjolskoj. Španjolski je njegov materinji jezik.

Banderas je poznat po brojnim ulogama u holivudskim filmovima, uključujući filmove poput ""Desperado"", ""Maska Zorra"", ""Spy Kids"" serijala i drugih. Proslavio se ulogama u filmovima Pedra Almodóvara u ranoj fazi svoje karijere. Dobitnik je brojnih nagrada, uključujući nagradu Emi i Zlatni globus.",
"Identificirajte prethodnika sljedećeg uvjetnog prijedloga: Pčele pobjeđuju u prvoj utakmici samo ako Aardvarks ili Chipmunks ne pobijede u svojim prvim igrama.
A.Aardvarksi ne dobivaju prvu utakmicu.
B.Pčele su pobijedile u prvoj utakmici.
C.Vjeverice ne dobivaju prvu utakmicu.
D.Ili Aardvarks ili vjeverice ne pobijediti svoje prve utakmice.",B,"Točan odgovor je D. Ili Aardvarks ili vjeverice ne pobijediti svoje prve utakmice.

Uvjetni prijedlog ""Pčele pobjeđuju u prvoj utakmici samo ako Aardvarks ili Chipmunks ne pobijede u svojim prvim igrama"" ima prethodnik ""Aardvarks ili Chipmunks ne pobijede u svojim prvim igrama"".

Ovaj prethodnik izražava uvjet koji mora biti ispunjen da bi posljedica ""Pčele pobjeđuju u prvoj utakmici"" bila istinita. Dakle, prethodnik je kombinacija ""Aardvarks ne pobijede u svojoj prvoj utakmici"" ili ""Chipmunks ne pobijede u svojoj prvoj utakmici"".",
"Koji je službeni jezik Nizozemske?
A.Danski
B.Švedski
C.Njemački
D.Nizozemski",D,"Točan odgovor je D) Nizozemski.

Nizozemski je službeni jezik Kraljevine Nizozemske. To je zapadnogermanski jezik koji se govori u Nizozemskoj, ali i u Belgiji, Surinamu i na Nizozemskim Antilima.

Ostali ponuđeni odgovori nisu točni:

A) Danski je službeni jezik Danske.
B) Švedski je službeni jezik Švedske. 
C) Njemački je službeni jezik Njemačke, Austrije i jednog od službenih jezika Švicarske i Luksemburga, ali ne i Nizozemske.

Stoga je ispravan odgovor da je nizozemski službeni jezik Nizozemske.",
"U kojem je stanju smješten film Magnolia iz 1999.?
A.Kalifornija
B.Južna Karolina
C.Gruzija
D.Texas",A,"Film Magnolia iz 1999. godine, koji je režirao Paul Thomas Anderson, smješten je u Kaliforniji.

Točan odgovor je stoga:

A. Kalifornija

Magnolia prati isprepletene živote različitih likova u dolini San Fernanda u Los Angelesu tijekom 24 sata. Film se fokusira na teme obiteljskih trauma, slučajnosti, krivnje i pokušaja pronalaska smisla u životu. Iako se radnja odvija u relativno kratkom vremenskom periodu, film obuhvaća složene odnose i priče likova koji žive u tom području Kalifornije.",
" Ovaj marketinški i komunikacijski alat nudi izravan poticaj ili poticaj za poticanje kupaca na kupnju proizvoda / usluge:
A.Oglašavanje.
B.Odnosi s javnošću.
C.Unapređenje prodaje.
D.Izravni marketing.",C,"Točan odgovor je C) Unapređenje prodaje.

Unapređenje prodaje odnosi se na marketinške aktivnosti koje nude izravne poticaje ili dodatne vrijednosti kupcima kako bi ih potaknuli na kupnju proizvoda ili usluge. To uključuje različite taktike poput kupona, popusta, nagradnih igara, besplatnih uzoraka, demonstracija proizvoda i slično.

Cilj unapređenja prodaje je stvoriti dodatnu motivaciju i neposrednu reakciju kod kupaca da kupe proizvod ili uslugu u kratkom roku. Za razliku od oglašavanja ili odnosa s javnošću koji grade svijest o brendu na duži rok, unapređenje prodaje nudi izravne poticaje za poticanje trenutne kupnje.",
"Napon induciran u induktoru predstavljen je kao,
A.proizvod njegove induktivnosti i struje kroz njega.
B.omjer njegove induktivnosti i struje kroz njega.
C.omjer struje kroz nju i njezine induktivnosti.
D.proizvod njegove induktivnosti i brzine promjene struje kroz njega.",D,"Točan odgovor je D. proizvod njegove induktivnosti i brzine promjene struje kroz njega.

Prema Faradayevom zakonu elektromagnetske indukcije, napon induciran u induktoru (zavojnici) proporcionalan je brzini promjene magnetskog toka kroz njega. Magnetski tok kroz induktor ovisi o struji koja teče kroz njega i njegovoj induktivnosti.

Matematički izraz za inducirani napon u induktoru glasi:

ε = -L (di/dt)

gdje je:
ε - inducirani napon (V)
L - induktivnost zavojnice (H)
di/dt - brzina promjene struje kroz zavojnicu (A/s)

Dakle, inducirani napon u induktoru jednak je umnošku njegove induktivnosti L i brzine promjene struje di/dt kroz njega, s negativnim predznakom.",
"Broj, zaokružen na najbližu tisuću, je 47.000. Koji bi broj mogao biti zaokruženi broj?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Za odrediti koji bi broj mogao biti zaokružen na najbližu tisuću na 47.000, moramo pogledati koji su brojevi najbliži 47.000.

A. 46.295 - Ovo je predaleko od 47.000 da bi bilo zaokruženo na tu vrijednost.

B. 46.504 - Ovo je bliže 47.000 nego 46.000, ali i dalje nije dovoljno blizu da bi bilo zaokruženo na 47.000.

C. 47.520 - Ovo je vrlo blizu 47.500, što bi bilo zaokruženo na 48.000, a ne na 47.000.

D. 47.924 - Ovo je najbliže 47.000 od ponuđenih odgovora. Bilo koji broj između 47.500 i 48.499 bi bio zaokružen na 47.000.

Stoga je točan odgovor D. 47.924.",
"Koji bi se od sljedećih čimbenika smatrao faktorom ""privlačenja"" za Rivu kada se razmatra prelazak iz Indije u Sjedinjene Države?
A.Bijedno siromaštvo
B.Bolji posao i veće plaće
C.Indijski kastinski sustav
D.Nasilje u njenom susjedstvu",B,"Među ponuđenim opcijama, faktor ""privlačenja"" koji bi mogao motivirati Rivu da razmišlja o preseljenju iz Indije u Sjedinjene Države je:

B. Bolji posao i veće plaće

Mogućnost boljeg zaposlenja i većih prihoda u Sjedinjenim Državama djeluje kao privlačan čimbenik koji bi Rivu mogao navesti na razmišljanje o preseljenju. Bolje ekonomske prilike i viši životni standard često su glavni razlozi zbog kojih ljudi migriraju u druge zemlje.

Ostale ponuđene opcije poput siromaštva, kastinskog sustava i nasilja u susjedstvu više se odnose na faktore ""odbijanja"" ili potisne čimbenike koji bi je mogli natjerati da napusti Indiju, ali ne nužno privući u Sjedinjene Države.

Dakle, bolji posao i veće plaće u SAD-u predstavljaju privlačan faktor koji bi Rivu mogao motivirati na razmatranje migracije.",
"Zabluda hvalevrijedne osobnosti je specifična vrsta
A.Zabluda nesreće
B.Lažna dilema
C.Prosjačenje pitanja
D.Kružno rasuđivanje",A,"Točan odgovor je A. Zabluda nesreće.

Zabluda hvalevrijedne osobnosti ili ""zabluda nesreće"" je logička pogreška koja se događa kada se pretpostavlja da je neka osoba ili entitet nužno dobar ili pouzdan samo zato što je popularna, slavna ili cijenjena.

Ova zabluda se temelji na pogrešnoj pretpostavci da ako je netko hvaljeni stručnjak ili slavna osoba u nekom području, onda su sve njihove tvrdnje ili stavovi nužno točni i pouzdani, čak i izvan njihovog područja stručnosti.

Primjeri ove zablude uključuju situacije kada se slavnim glumcima, sportašima ili pjevačima daje prevelika težina u pitanjima politike, znanosti ili drugih područja samo zbog njihove slave, a ne zbog stvarne stručnosti u tim područjima.",
"Koje je od ovih jela napravljeno od svinjskih crijeva?
A.Haggis
B.Chitlini
C.krupica
D.Chop Suey",B,"Od navedenih opcija, jelo napravljeno od svinjskih crijeva je:

B. Chitlini

Chitlini su tradicionalno talijansko jelo koje se priprema od očišćenih i kuhanim svinjskih crijeva. Crijeva se obično nadijevaju nadevom od sjeckanog mesa, povrća i začina.

Ostale opcije:

A. Haggis - škotsko nacionalno jelo napravljeno od ovčjih iznutrica (želudac, pluća, jetra) nadjevenih u ovčju vreću.

C. Krupica - vrsta tjestenine u obliku malih zrnaca, obično se koristi u juhi ili kao prilog.

D. Chop Suey - popularno kinesko jelo od povrća i mesa na tanjuru.

Dakle, chitlini su jedina opcija od navedenih koja se odnosi na jelo od svinjskih crijeva.",
