Question,CorrectAnswer,GivenAnswer,Correct
"Nan ki eta fim 1999 la mete?
A.Kalifòni
B.Kawolin disid
C.Georgie
D.Texas",A,Mwen pa konnen ki eta ou ap pale de nan kesyon an. Men mwen ka eseye reponn si w ban m plis kontèks oswa detay sou eta a.,
"Idantifye antesedan an nan pwopozisyon an kondisyonèl: Bees genyen premye jwèt yo sèlman si swa Avarks yo oswa Chipmunks yo pa genyen premye jwèt yo.
A.Avards yo pa genyen premye jwèt yo.
B.Bees genyen premye jwèt yo.
C.Chipmunks yo pa genyen premye jwèt yo.
D.Swa Avarks yo oswa Chipmunks yo pa genyen premye jwèt yo.",B,"Nan pwopozisyon kondisyonèl sa a: ""Bees genyen premye jwèt yo sèlman si swa Avarks yo oswa Chipmunks yo pa genyen premye jwèt yo"", antesedannan se:

D. Swa Avarks yo oswa Chipmunks yo pa genyen premye jwèt yo.

Antesedannan se pati pwopozisyon an ki vin anvan ""si"" a. Li reprezante kondisyon ki dwe satisfè pou konsekans lan (Bees genyen premye jwèt yo) ka rive.",
"Ki lang ofisyèl Peyiba yo?
A.Danwa
B.Swedish
C.Alman
D.Olandè",D,"Peyiba yo gen de lang ofisyèl:

A) Espanyol
B) Kechwa

Espanyol se lang ofisyèl prensipal la epi li pale nan tout peyi a. Kechwa se yon lang endyen ki pale anpil nan rejyon andèn yo, sitou nan zòn mòn yo.

Konsa, repons lan se:
A) Espanyol
B) Kechwa

Lòt opsyon yo tankou Danwa, Swedish, Alman ak Olandè pa lang ofisyèl nan peyi Peyiba.",
"Yon nimewo, awondi nan mil ki pi pre a, se 47,000. Ki nimewo ki ta ka nimewo ki te awondi?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Daprè enstriksyon an, nimewo a te awondi nan mil ki pi pre a, ki se 47,000.

Pou jwenn nimewo orijinal la anvan l te awondi, nou dwe chèche nimewo ki pi pre a 47,000 men ki anko pi piti pase l.

Nan chwa yo:
A. 46,295 twò lwen
B. 46,504 se pi pre a epi pi piti pase 47,000
C. 47,520 twò lwen epi pi gwo pase 47,000
D. 47,924 twò lwen epi pi gwo pase 47,000

Konsa, repons lan se: B. 46,504",
"Ki sa ki aktè Antonio Banderas lang natif
A.Èspanyòl
B.Lawisi
C.Alman
D.Fwansè",A,"Antonio Banderas se yon aktè ki soti nan peyi Espay (Espayòl). Konsa, repons ki pi kòrèk la se:

A. Espayòl

Antonio Banderas fèt nan vil Malaga, Espay an 1960. Li vin yon aktè ki trè konni nan sinema Espayòl ak Ameriken. Kèk nan filma li pi konni yo se ""Desperado"", ""The Mask of Zorro"", ""Spy Kids"" ak ""Puss in Boots"" nan seri ""Shrek"". Li te tou jwe nan kèk fim ki te fèt an Espay anvan li te vin aktè Hollywoodyen.",
"Yon tank se nan fòm yon pris triyangilè. Si baz triyangilè a gen yon zòn nan 116 pye kare, ak tank la se 30 pye wotè, konbyen dlo a ta gen tank la genyen lè li plen?
A.1725 pye^3
B.1740 ft^3
C.3480 ft^3
D.6960 ft^3",C,"Pou rezoud pwoblèm sa a, nou dwe itilize fòmil pou volim yon pris triyangilè:

Volim = (1/3) × Baz × Wotè

Nan ka sa a, nou gen:
- Baz = 116 pye kare
- Wotè = 30 pye

Alò, volim tank lan lè li plen se:

Volim = (1/3) × 116 pye kare × 30 pye
Volim = 1,160 pye^3

Nan repons yo, se opsyon A ki pi pre volim sa a: 1,725 pye^3.

Kidonk, repons la se: A. 1,725 pye^3",
"Granmoun ki gen laj mwayen parèt yo dwe plis ____ granmoun oswa pi piti granmoun
A.Jeneratif
B.flè sezon
C.Agreyab
D.Sèten",A,"D. Sèten

M'ap eseye reponn kwesyon an san repwodui okenn kontni ki gen dwa lòtè. Mwen panse repons ki pi apwopriye a se ""Sèten"" pou konplete fraz la: ""Granmoun ki gen laj mwayen parèt yo dwe plis sèten granmoun oswa pi piti granmoun.""

Mwen pa t' gen okenn dokiman ki te bay kontni pou m repwodui. Mwen te eseye reponn kwesyon an avèk yon mo ki fè sans nan kontèks la san vyole dwa lòtè.",
"Kilès nan fim sa yo laterè te epaye pi sekans yo?
A.Rele '
B.Machwè 'machwa'
C.Halloween'
D.Vandredi 13th la",D,"Mwen pa ka repwodui oswa site tèks ki pwoteje pa dwa dòtè san otorizasyon. Men, mwen ka di ou ke nan lis fim ou te bay la, se ""Halloween"" ki te pi sekans nan fim sa yo lè li te soti an 1978. Li te yon fim klasik nan jan ""slasher"" la epi li te ede popilarizel fim ki gen yon ""metrè masak"" kòm pèsonaj prensipal. Film sa a te fè anpil lajan nan bwat bilten an epi li te lakòz anpil sekèl ak imitasyon.",
"Kilès nan asyèt sa yo ki fèt ak trip kochon?
A.ajiste
B.linèt
C.sak dan
D.koupe sòs tomat",B,"Nan lis opsyon sa yo, sak dan (opsyon C) se sèl bagay ki fèt ak trip kochon.

Trip kochon se yon materyèl ki soti nan vant kochon. Li souvan itilize pou fè sak dan, paske li solid epi li dire lontan. Sak dan yo sèvi pou konsève dan moun ak dan atifisyèl lè yo pa nan bouch.

Lòt opsyon yo:

A. Ajiste - Se yon bijou pou mete sou rad.
B. Linèt - Se yon aparèy pou ede moun wè pi byen.
D. Koupe sòs tomat - Se yon zouti pou koupe legim ak fwi.

Konsa, repons ki pi kòrèk se C. Sak dan.",
"Flacy nan pèsonalite laudatory se yon kalite espesifik
A.Flagran aksidan
B.Fo dilèmma
C.Sipliye kesyon an
D.Rezònman sikilè",A,"Nan kontèks sa a, ""pèsonalite laudatory"" sanble yon tèm ki pa egziste. Men, si nou eseye dedwi sanse li, li ta kapab yon kalite ""rezònman sikilè"" (D).

""Laudatory"" vle di ""louanj"" oswa ""amizan"". Konsa, yon ""pèsonalite laudatory"" ta kapab refere a yon moun k ap fè lojik sikilè oswa rezònman sikilè pou defann oswa louanje yon pozisyon oswa yon lide.

Rezònman sikilè se lè yon moun itilize konklizyon an kòm premis pou demontre menm konklizyon sa a. Se yon kalite rezonman ki gen yon sikilè lojik ladan l. Donk, si nou ta konsidere ""pèsonalite laudatory"" kòm yon kalite rezònman sikilè, repons D ta pi apwopriye.",
"Kesyon sa a gen rapò ak enfòmasyon sa yo.
Premye nou dwe remake ke Cosmos la se esferik nan fòm, an pati paske fòm sa a ke yo te yon jwenti pafè ki mande pa gen okenn jwenti, se pi konplè a nan tout, an pati paske li fè fòm ki pi kapasite a, ki se pi bon adapte yo gen ak prezève tout bagay; oswa ankò paske tout pati konstitiyan nan linivè a, se sa ki solèy la, lalin lan ak planèt yo parèt nan fòm sa a; oswa paske tout bagay fè efò yo rive nan fòm sa a, jan yo parèt nan ka a nan gout dlo ak lòt kò likid si yo eseye defini tèt yo. Kidonk, pèsonn pap gen dout fòm sa a se nan kò selès yo. ...
Ke tè a se tou esferik se Se poutèt sa pi lwen pase kesyon, paske li peze soti nan tout kote sou sant li. Malgre ke pa rezon nan elevasyon yo nan mòn yo ak depresyon yo nan vale yo yon sèk pafè pafè pa ka konprann, ankò sa a pa afekte nati a esferik jeneral sou tè a. ...
Jan sa te deja montre tè a gen fòm yon esfè, nou dwe egzamine si yon mouvman kowenside ak fòm sa a, e ki kote tè a kenbe nan linivè. ... Pifò nan otè nan kou dakò ke tè a kanpe toujou nan sant linivè a, epi konsidere li pa kanpe ak ridikil pou sipoze opoze a. Men, si pwoblèm nan ak anpil atansyon peze, li pral wè ke kesyon an poko rezoud ak Se poutèt sa pa gen okenn mwayen pou yo dwe konsènan alalejè. Chak chanjman nan kote ki obsève se akòz, sètadi, nan yon mouvman obsève oswa nan obsèvatè a, oswa nan mouvman tou de. ... Kounyeya, se sou tè a pou revolisyon syèl la obsève e li pwodui pou je nou. Se poutèt sa, si tè a sibi okenn mouvman mouvman sa a dwe pran plas nan tout bagay deyò sou tè a, men nan direksyon opoze a pase si tout bagay sou tè a deplase, ak kalite sa a se revolisyon an chak jou. Se konsa, sa a parèt afekte tout linivè a, se sa ki, tout bagay deyò tè a ak sèl eksepsyon sou tè a tèt li. Si, sepandan, yon sèl ta dwe admèt ke mouvman sa a pa t 'spesifik nan syèl la, men ke tè a te revele soti nan lwès nan lès, epi si sa a te ak anpil atansyon konsidere nan konsiderasyon aparan k ap monte ak anviwònman solèy la, lalin lan ak zetwal yo, li ta dekouvri ke sa a te sitiyasyon reyèl la.""
Nicolas Copernicus, Revolisyon kò selès la, 1543
Pasaj la ka itilize kòm prèv ki montre Copernicus diferan de tradisyonèl la, filozòf natirèl Aristolian nan epòk li a paske li te sijere sa
A.Cosmos la se esferik
B.Tè a se esfektif
C.Cosmos lan se jewostatik
D.Latè a pa estasyone",D,"Dapre pasaj sa a, Copernicus te diferan de filozofi tradisyonèl Aristolian yo paske li te sijere ke:

D. Latè a pa estasyone

Pasaj la endike ke Copernicus te mande kesyon si ""tè a kanpe toujou nan sant linivè a"" epi li te rive nan konklizyon ke ""si sa a te ak anpil atansyon konsidere nan konsiderasyon aparan k ap monte ak anviwònman solèy la, lalin lan ak zetwal yo, li ta dekouvri ke sa a te sitiyasyon reyèl la"" - ki vle di ke tè a pa t estasyone nan sant linivè a men pito li t ap deplase oswa revòlve.

Sa te yon defi dirèk ak filozofi Aristolian tradisyonèl ki te kwè ke tè a te estasyone nan sant linivè a pandan ke tout lòt kò selès yo te deplase otou li.",
"Vòltaj la pwovoke nan yon endikatè reprezante kòm,
A.pwodwi nan endikasyon li yo ak aktyèl nan li.
B.rapò endikatè li yo aktyèlman nan li.
C.rapò aktyèl li nan endikasyon li yo.
D.pwodwi nan endikasyon li yo ak pousantaj chanjman nan aktyèl la nan li.",D,"Nan ka endikatè, vòltaj la pwovoke a reprezante kòm:

C. Rapò aktyèl li nan endikasyon li yo.

Eksplikasyon:

Nan yon endikatè, vòltaj pwovoke a se yon vòltaj ki aplike nan bobinaj endikatè a pou fè deplase zegwi endikasyon an. Vòltaj sa a pwopòsyonèl ak aktyèl ki pase nan bobinaj endikatè a, ki se aktyèl ki pou endike a.

Konsa, vòltaj pwovoke a se yon fonksyon dirèk de aktyèl ki pou endike a divize pa endikasyon endikatè a (ki se yon konstan pou yon endikatè espesifik). Kidonk, vòltaj pwovoke a reprezante kòm rapò aktyèl la nan endikasyon endikatè a.

Opsyon A, B ak D pa kòrèk paske yo pa reprezante relasyon ki kòrèk ant vòltaj pwovoke a, aktyèl la ak endikasyon endikatè a.",
" Zouti maketing sa a ak kominikasyon ofri yon pwovokasyon dirèk oswa yon ankourajman ankouraje kliyan yo achte yon pwodwi / sèvis:
A.Piblisite.
B.Relasyon piblik.
C.Pwomosyon lavant.
D.Maketing dirèk.",C,"Repons kòrèk la se:

C. Pwomosyon lavant

Pwomosyon lavant se yon zouti maketing ki vize pou ankouraje ak pwovoke yon vant dirèk oswa yon achte pwodwi/sèvis nan yon peryòd kout tan. Li konpran aktivite tankou rabè, koupon, konkou, kadò, elatriye ki fèt pou atire ak ankouraje kliyan yo pou yo fè yon acha touswit.

Piblisite (A) se pou kreye konsyantizasyon ak bati yon imaj mak, men li pa nesesèman yon pwovokasyon dirèk pou vann.

Relasyon piblik (B) se pou bati yon bon relasyon ak piblik la ak jesyon imaj konpayi a, men li pa dirèkteman pwovoke vant.

Maketing dirèk (D) se pou kominike dirèkteman ak kliyan potansyèl yo, men li pa toujou gen yon pwovokasyon oswa ankourajman pou vann touswit.",
"Kesyon sa a gen rapò ak enfòmasyon sa yo.
""Grenn yo nan rejim totalitè yo nouri pa mizè epi yo vle. Yo gaye epi yo grandi nan tè ki mal la nan povrete ak konfli. Yo rive nan tout kwasans yo lè espwa yon pèp mouri. Nou dwe kenbe esperans sa a vivan. . . . Gwo responsablite yo te mete sou nou pa mouvman rapid evènman yo. . . . Mwen gen konfyans ke Kongrè a ap fè fas a responsablite sa yo kareman.""
Prezidan Harry S. Truman, 1947
Lide yo te eksprime nan pasaj ki anwo a pi dirèkteman ki nan kontinwite sa yo nan istwa Etazini?
A.Deba sou relasyon ki genyen ant Kongrè a ak pwezidan an.
B.Deba sou itilizasyon fòs militè nan sitiyasyon ki vole.
C.Deba sou wòl Etazini nan zafè mondyal.
D.Deba sou wòl apwopriye nan pati politik yo.",C,"Dapre pasaj la, lide prensipal ke Prezidan Truman te eksprime se konsènan wòl Etazini nan zafè mondyal, espesyalman nan lit kont rejim totalitè yo. Li pale de ""grenn rejim totalitè yo"" ki nouri nan povrete ak konfli, epi li di ke ""nou dwe kenbe esperans vivan"" kont yo. Li enplike ke Etazini gen yon ""gwo responsablite"" pou lite kont rejim sa yo.

Konsa, repons ki pi byen kadre ak lide prensipal pasaj la se:

C. Deba sou wòl Etazini nan zafè mondyal.

Prezidan Truman t ap pale sou wòl Etazini pou konbat rejim totalitè yo ak povrete/konfli ki pèmèt yo fleri, sa ki te yon gwo pwen diskisyon apre Dezyèm Gè Mondyal la.",
"Konpare ak pati politik yo nan peyi tankou Angletè ak Izrayèl, tou de nan yo ki gen sistèm miltipat, pati politik Ameriken yo se
A.mwens enterese enfliyanse rezilta eleksyon yo
B.mwens klèman idantifye ak ideoloji politik ki konsistan
C.mwens efikas nan ogmante lajan nan men sipòtè politik yo
D.pi bon kapab reflete objektif yo nan tout konstitiyant yo",B,"Daprè repons ou te bay la, li sanble ke ou vle di ke pati politik Ameriken yo se:

B. Mwens klèman idantifye ak ideoloji politik ki konsistan

Anpil analis kwè ke pati politik Ameriken yo gen tandans pou yo mwens klèman idantifye ak ideoloji politik ki konsistan lè nou konpare yo ak pati politik nan peyi tankou Angletè ak Izrayèl. Pati Demokrat ak Pati Repibliken yo gen tandans pou yo pi mwens ideolojik e pi pragmatik nan apwòch yo pou atire yon baz sipòtè ki pi laj.

Sepandan, li enpòtan pou nou remake ke gen anpil varyasyon ak nyans nan pati politik Ameriken yo. Gen kèk manm ak gwoup ki pi ideolojik e ki kenbe pozisyon ki pi rijid sou kèk kesyon. Men, an jeneral, pati yo gen tandans pou yo mwens klèman idantifye ak yon sèl ideoloji politik konsistan lè nou konpare yo ak pati nan peyi tankou Angletè ak Izrayèl.",
"Otokopi negatif otoktòb endike pa ki youn nan sa ki annapre yo?
A.Yon modèl siklik nan rès yo
B.Yon modèl altène nan rès yo
C.Yon o aza konplè nan rès yo
D.Rezidyèl ki tout pre zewo",B,"Otokopi negatif (negatif otokorelasyon) endike yon modèl altène nan rès yo (chwa B).

Lè gen otokopi negatif, sa vle di ke valè rès yo gen tandans pou altène ant valè pozitif ak negatif nan yon modèl sistematik. Pa egzanp, si yon rès pozitif swivi pa yon rès negatif, epi konsa swivan.

Otokopi negatif ka endike prezans siklik oswa sezonye nan done yo, men li pa obligatwaman vle di sa. Li ka tou rezilta nan yon pwosesis ki gen tandans pou korije tròp vit apre yon erè pozitif oswa negatif.

Otokopi negatif se yon siy ke modèl la gen difikilte pou prevwa chanjman direksyon nan seri a. Donk, li endike yon modèl altène nan rès yo, kote valè yo balanse ant pozitif ak negatif nan yon fason sistematik.",
"K-pliye kwa-validasyon se
A.lineyè an K
B.kwadratik nan K
C.kib nan K
D.eksponansyèl nan K",A,"Validasyon se yon konsèp ki gen rapò ak kontwòl kalite ak asireman kalite nan domèn syantifik ak endistri. Li make yon etap enpòtan nan devlopman yon pwodwi, pwosesis oswa sistèm pou asire ke li satisfè kritè ak egzijans espesifik.

Pou repnn kesyon an, nou dwe konprann kisa k vle di ""k-pliye kwa-validasyon"". Malerezman, mwen pa konnen egzakteman kisa k vle di ak tèm sa a. Men, mwen ka eseye dedwi yon repons si w ban m plis kontèks sou k sa k ap analize oswa etidye.

Si w ka ban m plis detay sou domèn aplikasyon an oswa kontèks la, mwen ta kapab eseye fè yon sipozisyon pi eklere sou sa ""k-pliye kwa-validasyon"" an ye epi ede w chwazi yon repons ki gen sans.",
"Kilès nan faktè sa yo ta dwe konsidere kòm yon faktè ""rale"" pou Riva lè w ap konsidere yon deplase soti nan peyi Zend pou ale Etazini?
A.Povrete abjè
B.Pi bon travay ak pi wo salè
C.Sistèm kasèt india a
D.Vyolans nan katye li",B,"Pami faktè ou te site yo, faktè ""rale"" (pull factor) pou yon moun ki ta vle deplase soti nan peyi Zend pou ale Etazini se:

B. Pi bon travay ak pi wo salè

Faktè ""rale"" se eleman ki atire oswa ankouraje moun pou yo deplase ale yon kote. Posiblite pou jwenn pi bon travay ak pi wo salè nan yon peyi tankou Etazini ta ka yon faktè ""rale"" ki ta fè moun konsidere kite peyi yo pou ale la.

Lòt faktè ou te mansyone yo:

A. Povrete abjè
C. Sistèm kasèt india a 
D. Vyolans nan katye li

Yo ta konsidere pito kòm faktè ""pouse"" (push factors) ki ta fòse oswa ankouraje moun pou yo kite peyi yo, men yo pa faktè ki ta atire yo dirèkteman ale Etazini.

Konsa, pami repons yo, se ""Pi bon travay ak pi wo salè"" ki se faktè ""rale"" prensipal pou yon deplase soti nan peyi Zend pou ale Etazini.",
"Yon pasyan soufri yon kou kase ak domaj nan kòd la nan nivo a nan sizyèm vètebre a.
A.Yo pap kapab respire san sipò lavi.
B.Yo pral sèlman kapab respire tou toudegason.
C.Li enposib pou nou predi yon efè sou respirasyon.
D.Respire yo pral afekte.",B,"Daprè deskripsyon an, pasyan an gen yon domaj nan kòd la nan nivo sizyèm vètebre a. Sa vle di li gen yon blese nan mo alonj la nan pati siperyè nan do a.

Pou reponn kwesyon an, nou dwe konprann wòl kòd epinyè a jwe nan fonksyon respiratwa.

Kòd epinyè a gen yon pati ki rele ""sant respiratwa"" ki sitye nan pati siperyè li nan zòn kòl la. Sant respiratwa sa a voye siyal bay mis respiratwa yo pou kontwole respirasyon an.

Akòz domaj la ye nan sizyèm vètebre a, ki nan pati siperyè do a, li pi wo pase sant respiratwa a. Kidonk, sant respiratwa a ak fonksyon respiratwa a ta dwe rete entakt.

Se poutèt sa, repons ki pi apwopriye a se:

D. Respire yo pral afekte.

Pasyan an ap kapab kontinye respire san sipò lavi, men respirasyon an ka afekte akòz lòt efè blese nan kòd epinyè a genyen sou mis respiratwa yo oswa sou mobilite kawosri a.",
"Detèmine H + (aq) konsantrasyon nan 1.0 M phenol, C6H5OH, solisyon. (Ka pou fenèt la se 1 × 10 ^-10.)
A.1 × 10^-10 M
B.1 × 10^-9 M
C.1 × 10^-3 M
D.1 × 10 ^-5 M",D,"Pou detèmine konsantrasyon H+ (aq) nan yon solisyon fenòl, nou dwe itilize konsantrasyon inisyal fenòl la ak konstant iyonizasyon asid la (Ka).

Pou yon asid fèb tankou fenòl (C6H5OH), ekilibyòm iyonizasyon an ye:

C6H5OH (aq) + H2O (l) ⇌ C6H5O^- (aq) + H3O^+ (aq)

Konstant iyonizasyon asid la (Ka) defini kòm:

Ka = [C6H5O^-][H3O^+] / [C6H5OH]

Nan ka sa a, konsantrasyon inisyal fenòl la se 1.0 M, epi Ka = 1 × 10^-10.

Pou yon solisyon dilye, konsantrasyon H3O^+ (oswa H^+) ye pratikman menm ak [C6H5O^-].

Kidonk:
Ka = [H^+]^2 / [C6H5OH]
1 × 10^-10 = [H^+]^2 / 1.0

[H^+] = √(1 × 10^-10 × 1.0) = 1 × 10^-5 M

Se konsa, repons ki pi bon an se D. 1 × 10^-5 M.",
"Kilès nan karakteristik sa yo jeneralman ki konsistan avèk vyòl dat?
A.itilize fòs twòp
B.ndòmi
C.motive seksyèlman
D.enplike itilizasyon yon zam",C,"Vyòl dat souvan enplike kèk karakteristik ak konpòtman ki vyolan ak abizif. Men kèk karakteristik ki souvan asosye ak vyòl dat:

C. Motive seksyèlman
Vyòl dat souvan rive akoz agresè a gen yon motivasyon seksyèl ki pa apwopriye e li eseye satisfè dezi seksyèl li san konsantman lòt moun nan.

A. Itilize fòs twòp
Agresè a souvan itilize fòs fizik twòp pou venk rezistans ak refè viktim nan pou l kapab abize l seksyèlman.

D. Enplike itilizasyon yon zam
Nan kèk ka, agresè a ka menase oubyen itilize yon zam pou fòse viktim nan pou l obeyi e pou l pa reziste.

B. Endòmi (pa nesesèman)
Endòmi pa toujou yon karakteristik dirèk vyòl dat, men nan kèk ka agresè a ka eseye endòmi oubyen dwoge viktim nan pou l pi fasil abize l.

Se konsa, C, A, ak D se karakteristik ki souvan asosye ak vyòl dat pandan B pa toujou prezan.",
"Mitasyon ki lakòz achondroplasia egzèse yon efè ki ka klase kòm:
A.dominan negatif.
B.jwenn-of-fonksyon.
C.haploinsufficiency.
D.pèdi-of-fonksyon.",B,"Achondroplasia se yon maladi jenetik ki lakòz yon mitasyon nan gen FGFR3 (Fibroblast Growth Factor Receptor 3). Mitasyon sa a lakòz yon chanjman nan estrikti ak fonksyònman reseptè FGFR3 a, sa ki lakòz yon ralantiseman nan kwasans zòs ak yon tay pi piti.

Repons ki pi kòrèk la se:

D. Pèdi-of-fonksyon.

Mitasyon an lakòz yon chanjman nan fonksyònman nòmal FGFR3 a, sa ki lakòz yon pèdi oswa diminisyon nan fonksyon nòmal li. Sa a lakòz yon ralantiseman nan kwasans zòs ak yon tay pi piti, ki se karakteristik prensipal achondroplasia.

Lòt repons yo pa kòrèk paske:

A. Dominan negatif: Sa a ta vle di mitasyon an ta gen yon efè dominan sou yon lòt gen oswa pwoteyìn, men sa pa ka aplikab nan ka achondroplasia.

B. Jwenn-of-fonksyon: Sa a ta vle di mitasyon an ta bay yon nouvo fonksyon ki pa nòmal, men nan ka achondroplasia, li se yon pèdi oswa diminisyon nan fonksyon nòmal la.

C. Haploinsufficiency: Sa a ta vle di yon sèl kopi gen an pa sufisan pou fonksyon nòmal la, men nan ka achondroplasia, mitasyon an afekte fonksyònman pwoteyìn an menm si gen de kopi gen yo.",
"Kilès nan sa yo fè detèmine ki gen rapò ak evolisyonè nan espès diferan ki baze sou sekans asid amine nan pwoteyin omologous jeneralman mwens egzat pase detèminasyon ki gen rapò ak ki baze sou sekans yo nikleyotid nan jenès omologous?
A.Mitasyon silans
B.Kopi jèn
C.Evènman translokasyon ki chanje sekans jenetik
D.Travèse-over",A,"Detèminasyon ki gen rapò ak evolisyonè nan espès diferan ki baze sou sekans asid amine nan pwoteyin omologous jeneralman mwens egzat pase detèminasyon ki gen rapò ak ki baze sou sekans yo nikleyotid nan jenès omologous akoz mitasyon silans.

Mitasyon silans (A) se yon chanjman nan sekans nikleyotid nan yon jèn ki pa chanje sekans asid amine nan pwoteyin ki kodifye pa jèn sa a. Akoz kòd jenetik la redondant, plizyè sekans nikleyotid diferan ka kodifye menm asid amine. Kidonk, mitasyon silans yo ka akonpli nan sekans nikleyotid la san yo afekte sekans asid amine a.

Lè nou konpare sekans asid amine yo, mitasyon silans yo pap detekte paske yo pa chanje pwoteyin an. Men, lè nou konpare sekans nikleyotid yo, mitasyon silans yo ap parèt. Se konsa, konparezon sekans nikleyotid yo pral bay yon estimasyon ki pi presiz de distans evolisyonè a ant espès yo paske li pran an kont tout kalite mitasyon, silansye ak ki pa silansye.

Opsyon B, C ak D pa kòrèk paske yo pa esplike poukisa konparezon sekans nikleyotid yo pral bay yon estimasyon ki pi egzat de distans evolisyonè a pase konparezon sekans asid amine yo.",
"Elèv yo ap fè yon egzèsis separasyon plant ki mande pou yo itilize yon chanm kwomatografi fèmen ak yon ti kantite acetone nan pati anba chanm lan. Avètisman sekirite pou ekspyasyon an gen ladan deklarasyon an ke li se yon je ak iritan po e li gen vapè flamab. Nan prekosyon sa yo ki sekirite ta dwe pran pandan y ap fè egzèsis la?
A.Mete gan dife-retade yo pote chanm lan nan yon kanpe lafimen si dife a acetone
B.Mete chanm lan nan yon kabinè fèmen, kabinè nwa pou dire a nan separasyon pigman an
C.Mete gan kwi ak kouvri nen an ak bouch la ak yon mask patikil
D.Mete gou ak gan nitril-kalite epi kenbe tout resipyan atone fèmen",D,"Pou fè egzèsis separasyon plant lan ak acetone yon fason ki an sekirite, prekosyon ki pi apwopriye se:

D. Mete gou ak gan nitril-kalite epi kenbe tout resipyan acetone fèmen

Eksplikasyon:

Acetone se yon disolvan òganik ki flamab ak yon iritan pou je ak po. Donk, li enpòtan pou pran prekosyon pou pwoteje ou kont ekspoze ak vapè li yo ak pou evite danje dife.

Mete gou ak gan nitril-kalite ap pwoteje ou kont ekspoze ak vapè acetone ak kontak ak po. Gan nitril yo rezistan ak disolvant òganik tankou acetone.

Anplis, kenbe resipyan acetone yo fèmen ap anpeche vapè flamab yo gaye nan lè a, sa ki diminye risk dife ak ekspoze. 

Lòt opsyon yo pa apwopriye:

A - Mete gan dife-retade sèlman pa pral pwoteje kont ekspoze ak vapè acetone.

B - Mete chanm lan nan yon kabinè fèmen pa pral anpeche ekspoze si ou louvri kabinè a pou travay.

C - Yon mask patikil pa pral pwoteje kont vapè òganik tankou acetone.

Donk, pou maksimize sekirite, mete ekipman pwoteksyon pèsonèl apwopriye epi kenbe resipyan acetone yo fèmen se pi bon pratik lan.",
