Question,CorrectAnswer,GivenAnswer,Correct
"Gị bụ onye na-eme ihe nkiri Antonio Banderas asụsụ obodo?
A.Asụsụ Spanish
B.Asụsụ Russia
C.Asụụ German
D.Asụsụ French",a,a,true
"K-fold cross-validation bụ
A.linear na K
B.quadratic na K
C.cubic na K
D.Na-arụ ọrụ n'ime K",a,d,false
" Ahịa a na ngwa nkwukọrịta a na-enye mkpali kpọmkwem ma ọ bụ mkpali iji gbaa ndị ahịa ume ịzụta ngwaahịa / ọrụ:
A.Mgbasa ozi.
B.Mmekọrịta ọha na eze.
C.Sales nkwalite.
D.Direct ahịa.",c,c,true
"Kedu ihe bụ nkọwa nke Akaụntụ Akaụntụ na Netherlands?
A.Asụsụ Danish
B.Asụsụ Ndi Swedish
C.Asụụ German
D.Asụsụ Dutch",d,d,true
"The ụgha nke laudatory àgwà bụ a kpọmkwem ụdị nke
A.Ọdịda nke ihe mberede
B.Nsogbu ụgha
C.Na-arịọ ajụjụ ahụ
D.Okirikiri echiche",a,d,false
"Kedu n'ime efere ndị a ka a na-eme site na eriri afọ ezì?
A.haggis
B.chitlins
C.grits
D.bee suey",b,c,false
"Ndị okenye nọ n'etiti afọ na-egosi na ha bụ ____ karịa ndị okenye ma ọ bụ ndị na-eto eto
A.Generative
B.Neurotic
C.Agreeable
D.Ụfọdụ",a,c,false
"Na steeti dị aṅaa bụ ihe nkiri Magnolia nke 1999?
A.California
B.South Carolina
C.Georgia
D.Texas",a,c,false
"Olee n'ime ihe nkiri ndị a dị egwu kpatara usoro kachasị?
A.Mkpu'
B.Jaws '
C.Halloween '
D.Fraịdee 13'",d,d,true
"Mgbanwe ndị na-akpata achondroplasia na-enwe mmetụta nke enwere ike ịkọwa dị ka:
A.Na-achịkwa na-adịghị mma.
B.Uru-nke-ọrụ.
C.Haploinsufficiency.
D.Loss-of-function.",b,d,false
"Kedu n'ime ihe ndị a ga-ewere dị ka ihe ""ndọtị"" maka Riva mgbe ị na-atụle ịkwaga India gaa United States?
A.Abject ịda ogbenye
B.Ọrụ ka mma na ụgwọ ọrụ dị elu
C.India si caste usoro
D.Ime ihe ike n'ógbè ya",b,d,false
"Onye ọrịa na-ata ahụhụ n'olu gbajiri agbaji na mmebi nke ọkpụkpụ azụ na ọkwa nke vertebra cervical nke isii.
A.Ha agaghị enwe ike iku ume n'enweghị nkwado ndụ.
B.Ha ga-enwe ike iku ume naanị n'ụzọ dị jụụ.
C.Ọ gaghị ekwe omume ịkọ mmetụta na iku ume.
D.Iku ume agaghị emetụta.",b,b,true
"A na-egosi autocorrelation na-adịghị mma nke otu n'ime ihe ndị a?
A.A cyclical ụkpụrụ na residuals
B.Usoro na-agbanwe agbanwe na residuals
C.A zuru ezu randomness na residuals
D.Ihe ndị fọdụrụnụ bụ ndị niile dị nso na efu",b,c,false
"Ọ bụ iwu na-akwadoghị igbu ọchụ mere site Minister nke mba X ná mba ọzọ ihe omume jure imperii ma ọ bụ jure gestionis?
A.Omume dị otú ahụ bụ omume ọha na eze (jure imperii)
B.Omume dị otú ahụ anaghị adọta mgbochi
C.Omume dị otú ahụ bụ omume nkeonwe (jure gestionis)
D.Omume dị otú ahụ bụ omume ọha na eze mana a na-echebe ya site na mgbochi",c,c,true
"Kedu n'ime ndị a na-eme ka ịchọpụta njikọ evolushọn nke ụdị dị iche iche dabere na usoro amino acid nke protein homologous n'ozuzu ya na-enweghị ezi karịa mkpebi siri ike nke njikọ dabere na usoro nucleotide nke mkpụrụ ndụ ihe nketa homologous?
A.Mgbanwe nkịtị
B.Gene duplications
C.Ihe omume translocation nke na-agbanwe usoro mkpụrụ ndụ ihe nketa
D.Ịgafe-n'elu",a,c,false
"Chọpụta h + (aq) ịta na 1.0 M phenol, C6H5OH, ngwọta. (The Ka maka phenol bụ 1 × 10 ^ -10.)
A.1 × 10 ^ -10 M
B.1 × 10 ^ -9 M
C.1 × 10 ^ -3 M
D.1 × 10 ^ -5 M",d,b,false
"Ajụjụ a na-ezo aka na ozi na-esonụ.
""A na-azụlite mkpụrụ nke ọchịchị aka ike site na nhụsianya na ọchịchọ. Ha na-agbasa ma na-etolite n'ala ọjọọ nke ịda ogbenye na esemokwu. Ha na-eru uto ha zuru oke mgbe olileanya nke ndị mmadụ maka ndụ ka mma anwụọla. Anyị aghaghị ime ka olileanya ahụ dị ndụ. . . . E tinyewo anyị ọrụ dị ukwuu site na mmegharị ngwa ngwa nke ihe omume. . . . Obi siri m ike na Congress ga-eche ọrụ ndị a ihu n'ụzọ zuru oke.""
Onye isi ala Harry S. Truman, 1947
Echiche ndị e gosipụtara na akụkụ ahụ dị n'elu na-egosipụta kpọmkwem nke n'ime continuities ndị na-esonụ na akụkọ ihe mere eme nke United States?
A.Arụmụka banyere mmekọrịta dị n'etiti Congress na onye isi ala.
B.Arụmụka banyere iji ike ndị agha eme ihe n'ọnọdụ ndị na-adịghị mma.
C.Arụmụka banyere ọrụ nke United States n'ihe gbasara ụwa.
D.Arụmụka banyere ọrụ kwesịrị ekwesị nke otu ndọrọ ndọrọ ọchịchị.",c,c,true
"Ụmụ akwụkwọ na-eduzi mmega ahụ nkewa pigment osisi nke chọrọ ka ha jiri ụlọ chromatography mechiri emechi na obere acetone na ala nke ụlọ ahụ. Ịdọ aka ná ntị nchekwa maka acetone gụnyere nkwupụta ahụ na ọ bụ anya na akpụkpọ ahụ na-akpasu iwe ma nwee vapors na-ere ọkụ. N'ime ihe ndị a' olee nchebe nchebe ụmụ akwụkwọ kwesịrị ime mgbe ha na-eme mmega ahụ?
A.Na-etinye uwe ọkụ ọkụ iji buru ụlọ ahụ gaa na mkpuchi fume ma ọ bụrụ na acetone na-ejide ọkụ
B.Ịtụkwasị ụlọ ahụ n'ime kabinet mechiri emechi, nke gbara ọchịchịrị maka oge nkewa pigment
C.Na-eyi uwe akpụkpọ anụ ma na-ekpuchi imi na ọnụ na mkpuchi particle
D.Na-eyi goggles na nitrile-ụdị uwe na idebe niile acetone containers mechiri emechi",d,d,true
"Chọpụta antecedent nke atụmatụ ọnọdụ ndị a: Aṅụ na-emeri egwuregwu mbụ ha naanị ma ọ bụrụ na ma ndị Aardvarks ma ọ bụ Chipmunks anaghị emeri egwuregwu mbụ ha.
A.Ndị Aardvarks anaghị emeri egwuregwu mbụ ha.
B.A bees na-emeri egwuregwu mbụ ha.
C.Ndị Chipmunks anaghị emeri egwuregwu mbụ ha.
D.Ma ndị Aardvarks ma ọ bụ Chipmunks anaghị emeri egwuregwu mbụ ha.",b,d,false
