Question,CorrectAnswer,GivenAnswer,Correct
"ამ კერძებიდან რომელი მზადდება ღორის ნაწლავებისგან?
A.ჰაგისი
B.ჩიტლინები
C.გრიტი
D.chop suey",B,"ღორის ნაწლავებისგან მზადდება ჩიტლინები.

ჩიტლინები არის კერძი, რომელიც მზადდება ღორის ნაწლავებისგან. ისინი ხშირად ივსება სხვადასხვა სანელებლებითა და ინგრედიენტებით, როგორიცაა ხორცი, კარტოფილი, პრასი და სხვა. ჩიტლინები პოპულარულია გერმანულ, პოლონურ და სლავურ სამზარეულოებში.

ამრიგად, სწორი პასუხია B.ჩიტლინები.",
"სატანკო არის სამკუთხა პრიზმის ფორმა. თუ სამკუთხა ბაზას აქვს ფართობი 116 კვადრატული ფუტი, ხოლო ავზი 30 ფუტის სიმაღლეა, რამდენი წყალი შეიცავს ავზს, როდესაც ის სავსეა?
A.1725 ფუტი^3
B.1740 ფუტი^3
C.3480 ფუტი^3
D.6960 ფუტი^3",C,"ამ ამოცანის ამოხსნისთვის უნდა გამოვიყენოთ სამკუთხა პრიზმის მოცულობის გამოსათვლელი ფორმულა:

მოცულობა = ბაზის ფართობი x სიმაღლე

მოცემულია, რომ ბაზის ფართობი არის 116 კვადრატული ფუტი, ხოლო სიმაღლე 30 ფუტი.

შესაბამისად, მოცულობა იქნება:

მოცულობა = 116 კვ.ფუტი x 30 ფუტი
            = 3480 კუბური ფუტი

ამრიგად, სწორი პასუხია C. 3480 კუბური ფუტი.",
"რა არის ნიდერლანდების ოფიციალური ენა?
A.დანიური
B.შვედური
C.გერმანია
D.ჰოლანდიური",D,"ნიდერლანდების ოფიციალური ენა არის ჰოლანდიური.

სწორი პასუხია: D. ჰოლანდიური

ჰოლანდიური ენა ეკუთვნის გერმანულ ენათა ოჯახს და არის ნიდერლანდების სახელმწიფო ენა. ის ასევე გამოიყენება ბელგიის ჩრდილოეთ ნაწილში, სურინამსა და რამდენიმე სხვა ქვეყანაში, რომლებიც წარსულში იყვნენ ნიდერლანდების კოლონიები. ჰოლანდიურს მსოფლიოში დაახლოებით 23 მილიონი ადამიანი ფლობს.",
"რიცხვი, დამრგვალებული უახლოეს ათასამდე, არის 47,000. რომელი რიცხვი შეიძლება იყოს მომრგვალო რიცხვი?
A.46,295
B.46,504
C.47,520
D.47,924",B,"ამ შემთხვევაში, სწორი პასუხია B) 46,504.

რადგან რიცხვი უნდა დამრგვალდეს უახლოეს ათასამდე, ამიტომ უნდა ვიპოვოთ რიცხვი, რომელიც ყველაზე ახლოსაა 47,000-თან.

A) 46,295 - ძალიან შორსაა 47,000-დან.
B) 46,504 - ყველაზე ახლოსაა 47,000-თან.
C) 47,520 - უფრო შორსაა, ვიდრე 46,504.
D) 47,924 - ასევე შორსაა 47,000-დან.

ამრიგად, სწორი პასუხია B) 46,504, რადგან ეს არის რიცხვი, რომელიც ყველაზე ახლოსაა 47,000-თან და შესაბამისად, დამრგვალებული უახლოეს ათასამდე იქნება 47,000.",
"საშუალო ასაკის მოზარდები, როგორც ჩანს, უფრო ____ ვიდრე ხანდაზმული ან ახალგაზრდა მოზარდები
A.გენეტიკური
B.ნევროზული
C.სასიამოვნო
D.გარკვეული",A,"სწორი პასუხია: B. ნევროზული

ეს წინადადება გულისხმობს, რომ საშუალო ასაკის მოზარდები უფრო ნევროზული ან ნერვიული არიან, ვიდრე ხანდაზმული ან ახალგაზრდა მოზარდები. ნევროზი გულისხმობს ფსიქიკურ აშლილობას, რომელიც გამოიხატება შფოთვით, დაძაბულობით და ნერვიულობით.

სხვა არჩევანები:

A. გენეტიკური - არ არის შესაფერისი კონტექსტში.
C. სასიამოვნო - საპირისპიროა ნევროზულთან.
D. გარკვეული - არ არის შესაფერისი კონტექსტში.

ამრიგად, ნევროზული არის სწორი პასუხი ამ კონტექსტისთვის.",
"ეს კითხვა ეხება შემდეგ ინფორმაციას.
""ტოტალიტარული რეჟიმების თესლი იზრდება უბედურებით და სურვილით. ისინი გავრცელდა და იზრდება სიღარიბისა და დაპირისპირების ბოროტ ნიადაგში. ისინი სრულ ზრდას აღწევენ, როდესაც უკეთესი ცხოვრების იმედის იმედი გარდაიცვალა. ჩვენ ეს იმედი ცოცხალი უნდა შევინარჩუნოთ . . . დიდი პასუხისმგებლობები დაგვეკისრება მოვლენების სწრაფი მოძრაობით . . . დარწმუნებული ვარ, რომ კონგრესი ამ პასუხისმგებლობებს შეასრულებს"".
პრეზიდენტი ჰარი ს. ტრუმანი, 1947 წელი
ზემოთ მოცემულ მონაკვეთში გამოთქმული იდეები პირდაპირ ასახავს აშშ-ს ისტორიაში შემდეგი უწყვეტობის რომელს?
A.დებატები კონგრესსა და პრეზიდენტს შორის ურთიერთობის შესახებ.
B.დებატები სამხედრო ძალის გამოყენების შესახებ არასტაბილურ სიტუაციებში.
C.დებატები შეერთებული შტატების როლის შესახებ მსოფლიო საქმეებში.
D.დებატები პოლიტიკური პარტიების სათანადო როლის შესახებ.",C,"მონაკვეთში გამოთქმული იდეები პირდაპირ ასახავს დებატებს შეერთებული შტატების როლის შესახებ მსოფლიო საქმეებში. ტრუმანი საუბრობს ტოტალიტარული რეჟიმების გავრცელების საფრთხეზე და აშშ-ს პასუხისმგებლობაზე ამ საფრთხის წინააღმდეგ საბრძოლველად. ეს იყო ცივი ომის დასაწყისი, როდესაც აშშ-მა აიღო ლიდერის როლი კომუნისტური გავლენის შესაჩერებლად მსოფლიოში. შესაბამისად, სწორი პასუხია C.",
"დაადგინეთ შემდეგი პირობითი წინადადების წინასიტყვაობა: ფუტკარი მოიგებს მათ პირველ თამაშს მხოლოდ იმ შემთხვევაში, თუ ან Aardvarks ან Chipmunks არ მოიგებს მათ პირველ თამაშებს.
A.Aardvarks არ მოიგებს მათ პირველ თამაშს.
B.ფუტკარი მოიგებს მათ პირველ თამაშს.
C.Chipmunks არ მოიგებს მათ პირველ თამაშს.
D.ან Aardvarks ან Chipmunks არ მოიგებს მათ პირველ თამაშებს.",B,"ეს პირობითი წინადადება შეიძლება გამოვხატოთ შემდეგნაირად:

(A ∨ C) → B

სადაც:

A: Aardvarks არ მოიგებს მათ პირველ თამაშს.
B: ფუტკარი მოიგებს მათ პირველ თამაშს.
C: Chipmunks არ მოიგებს მათ პირველ თამაშს.

ამ გამოსახულებიდან ჩანს, რომ წინასიტყვაობა არის ""D. ან Aardvarks ან Chipmunks არ მოიგებს მათ პირველ თამაშებს.""

ეს იმიტომ, რომ პირობითი წინადადების წინასიტყვაობა არის პირობა, რომლის დროსაც შედეგი ჭეშმარიტია. ამ შემთხვევაში, თუ ან Aardvarks ან Chipmunks არ მოიგებს მათ პირველ თამაშებს (A ∨ C), მაშინ ფუტკარი მოიგებს მათ პირველ თამაშს (B).",
"რა მდგომარეობაშია 1999 წლის ფილმი მაგნოლია?
A.კალიფორნია
B.სამხრეთ კაროლინა
C.საქართველო
D.ტეხასი",A,"ფილმი ""მაგნოლია"" გადაღებულია კალიფორნიაში, კერძოდ ლოს-ანჯელესში. შესაბამისად, სწორი პასუხია:

A. კალიფორნია

""მაგნოლია"" არის 1999 წლის ამერიკული დრამატული ფილმი, რომელიც გადაიღო პოლ ტომას ანდერსონმა. ფილმი მოგვითხრობს რამდენიმე ადამიანის ცხოვრების შესახებ, რომლებიც ერთმანეთთან დაკავშირებული არიან მოულოდნელი გზებით ლოს-ანჯელესში. ფილმი მიიღო დიდი წარმატება და დაჯილდოვდა მრავალი პრესტიჟული ჯილდოთი, მათ შორის ოქროს გლობუსით საუკეთესო რეჟისურისთვის.",
"რა არის მსახიობი ანტონიო ბანდერასი მშობლიური ენა?
A.ესპანური
B.რუსული
C.გერმანია
D.ფრანგული",A,"სწორი პასუხია A. ესპანური.

ანტონიო ბანდერასი არის ცნობილი ესპანელი მსახიობი, რომელიც დაიბადა მალაგაში, ესპანეთში. მისი მშობლიური ენა არის ესპანური ენა.

ბანდერასმა მსახიობობა დაიწყო ესპანურ ფილმებსა და სერიალებში მონაწილეობით, სანამ საერთაშორისო აღიარება მოიპოვა ჰოლივუდის ფილმებში გამოჩენის შემდეგ, როგორებიცაა ""ცხრა სიმი"", ""ზესამკაულის ქურდი"", ""ფრინველი კალავი"" და სხვა. მიუხედავად მისი საერთაშორისო წარმატებისა, ბანდერასი კვლავ ფლობს ესპანურ ენას როგორც მშობლიურს და ხშირად მონაწილეობს ესპანურენოვან პროექტებშიც.",
"ქვემოთ ჩამოთვლილი მახასიათებლებიდან რომელი შეესაბამება თარიღის გაუპატიურებას?
A.გადაჭარბებული ძალის გამოყენება
B.წინასწარგანზრახული
C.სექსუალურად მოტივირებული
D.მოიცავს იარაღის გამოყენებას",C,"თარიღის გაუპატიურება არის სექსუალური ძალადობის ფორმა, რომელიც ხასიათდება შემდეგი მახასიათებლებით:

B. წინასწარგანზრახული - თარიღის გაუპატიურება ხშირად არის წინასწარ განზრახული ქმედება და არა სპონტანური.

C. სექსუალურად მოტივირებული - ეს დანაშაული სექსუალური ბუნებისაა და მოტივირებულია სექსუალური ლტოლვით.

თარიღის გაუპატიურება შეიძლება მოხდეს როგორც ძალის გამოყენებით, ასევე ძალის გამოუყენებლად, მაგრამ მუქარის ან იძულების გამოყენებით. ამიტომ, A და D პუნქტები არ არის აუცილებელი მახასიათებლები თარიღის გაუპატიურებისთვის.

ძირითადად, თარიღის გაუპატიურება გულისხმობს წინასწარგანზრახულ სექსუალურ ქმედებას პარტნიორის თანხმობის გარეშე.",
