Question,CorrectAnswer,GivenAnswer,Correct
"1999 жылғы фильм Магнолияның жинағы қандай күйде?
A.Калифорния
B.Оңтүстік Каролина
C.Грузия
D.Техас",A,"Фильм ""Магнолия"" 1999 жылы түсірілген және оқиғалар Калифорния штатында орналасқан Сан-Вэлли қаласында өрбиді. Сондықтан, дұрыс жауап - A) Калифорния.

Бұл фильм әртүрлі адамдардың өмірлерін және олардың арасындағы байланыстарды көрсетеді. Фильмнің негізгі оқиғалары Сан-Вэлли қаласында өтеді, сондықтан фильмнің жинағы Калифорния штатында болады.",
"Актер Антонио Бандерастың ана тілі дегеніміз не?
A.Испанша
B.Орыс тілі
C.Неміс
D.Французша",A,"Антонио Бандерас испан актері, сондықтан оның ана тілі испан тілі болып табылады.

Сонымен, дұрыс жауап:
A. Испанша

Антонио Бандерас 1960 жылы 10 тамызда Испанияның Малага қаласында дүниеге келген. Ол өз елінің ұлттық тілі болып табылатын испан тілінде сөйлейді.",
"Индукторда индукцияланған кернеу,
A.оның индукциясының өнімі және ол арқылы ток.
B.оның индукциясының сол арқылы токқа қатынасы.
C.ол арқылы токтың оның индукциясына қатынасы.
D.оның индукциясының өнімі және ол арқылы токтың өзгеру жылдамдығы.",D,"Индукторда индукцияланған кернеу оның индукциясының өнімі және ол арқылы өтетін токтың өзгеру жылдамдығына тәуелді болады. Бұл Фарадейдің индукция заңымен түсіндіріледі.

Сондықтан, дұрыс жауап:

D. Оның индукциясының өнімі және ол арқылы токтың өзгеру жылдамдығы.

Индукторда индукцияланған кернеу мына формуламен анықталады:

ε = -L * di/dt

Мұндағы:
ε - индукцияланған кернеу
L - индуктордың индуктивтілігі
di/dt - ток өзгерісінің жылдамдығы

Демек, индукцияланған кернеу индуктордың индуктивтілігіне және ол арқылы өтетін токтың өзгеру жылдамдығына тәуелді болады.",
"Ең жақын мыңға дейін дөңгеленген сан 47 мыңды құрайды. Дөңгеленген сан қандай сан болуы мүмкін?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Бұл есепте біз 47 мыңға жақын мыңға дөңгелеуіміз керек.

Берілген жауаптарды қарастырайық:

A. 46,295 - Бұл сан 47 мыңнан алыс, сондықтан дұрыс жауап емес.

B. 46,504 - Бұл сан да 47 мыңнан алыс, сондықтан дұрыс жауап емес.

C. 47,520 - Бұл сан 47 мыңға жақын және дөңгелеу ережесіне сәйкес келеді. Демек, бұл дұрыс жауап.

D. 47,924 - Бұл сан 48 мыңға жақын, сондықтан дұрыс жауап емес.

Сондықтан, дұрыс жауап C. 47,520 болып табылады.",
"X ел министрінің шетелде жасаған заңсыз кісі өлтіруі іс-әрекет jure imperii немесе jure gestionis болып табыла ма?
A.Мұндай мінез-құлық қоғамдық акт (jure imperii)
B.Мұндай мінез-құлық ешқашан иммунитетті тартпайды
C.Мұндай мінез-құлық жеке акт (jure gestionis)
D.Мұндай мінез-құлық қоғамдық акт болып табылады, бірақ иммунитетпен қоршалған",C,"Бұл жағдайда, ішкі істер министрінің шетелде жасаған заңсыз кісі өлтіруі жеке акт (jure gestionis) болып табылады. Мұндай қылмыстық әрекет оның лауазымдық міндеттеріне кірмейді және мемлекеттік функцияларды орындаумен байланысты емес.

Сондықтан, дұрыс жауап - C. Мұндай мінез-құлық жеке акт (jure gestionis).

Ішкі істер министрі сияқты жоғары лауазымды тұлғалардың заңсыз әрекеттері үшін олар жеке жауапкершілікке тартылуы мүмкін және мемлекеттік иммунитетпен қорғалмайды. Бұл халықаралық құқықтың қағидаларына қайшы келеді және мемлекеттің беделіне нұқсан келтіреді.",
"Нидерландының ресми тілі дегеніміз не?
A.Дат тілі
B.Швед тілі
C.Неміс
D.Голланд тілі",D,"Нидерландының ресми тілі - голланд тілі.

Дұрыс жауап: D. Голланд тілі

Голланд тілі Нидерландтың ресми мемлекеттік тілі болып табылады. Ол герман тілдер тобына жатады және неміс, ағылшын және фламанд тілдеріне жақын. Нидерландтағы голланд тілін шамамен 17 миллион адам ана тілі ретінде қолданады.

Қалған жауап нұсқалары:

A. Дат тілі - Дания елінің ресми тілі.
B. Швед тілі - Швеция елінің ресми тілі. 
C. Неміс тілі - Германия, Австрия және Швейцарияның ресми тілі, бірақ Нидерландтың емес.

Сондықтан, Нидерландтың ресми мемлекеттік тілі - голланд тілі.",
"Теріс қалдық автокорреляция мыналардың қайсысы арқылы көрсетіледі?
A.Қалдықтардағы циклдік әшекей
B.Қалдықтардағы кезектесу үлгісі
C.Қалдықтардағы толық кездейсоқтық
D.Барлығы нөлге жақын қалдықтар",B,"Теріс қалдық автокорреляция қалдықтардағы кезектесу үлгісі арқылы көрсетіледі.

Автокорреляция дегеніміз - қалдықтардың өздері арасындағы корреляция. Егер қалдықтар бір-бірімен байланысты болса, яғни олардың арасында белгілі бір үлгі немесе кезектесу болса, онда автокорреляция бар деп есептеледі.

Теріс автокорреляция қалдықтардағы кезектесу үлгісін білдіреді, яғни оң қалдықтан кейін теріс қалдық келеді және керісінше. Бұл жағдайда қалдықтар бір-бірімен теріс байланысқан болып саналады.

Сондықтан, теріс қалдық автокорреляцияны көрсететін дұрыс жауап - ""B. Қалдықтардағы кезектесу үлгісі"".",
"Н+(aq) концентрациясын 1,0 М фенол, С6Н5ОH, ерітіндіде анықтайды. (Фенолға арналған Ка — 1 × 10×-10.)
A.1 × 10×-10 М
B.1 × 10^-9 М
C.1 × 10×-3 М
D.1 × 10×-5 М",D,"Фенол (C6H5OH) - әлсіз қышқыл. Оның диссоциациялану константасы (Ka) 1 × 10^-10 беріледі.

Әлсіз қышқылдардың ерітінділеріндегі H+ концентрациясын анықтау үшін келесі формуланы қолданамыз:

[H+] = √(Ka × Ca)

Мұндағы:
- Ka - қышқылдың диссоциациялану константасы
- Ca - қышқылдың бастапқы концентрациясы

Берілген жағдайда:
Ka = 1 × 10^-10
Ca = 1,0 М (фенолдің бастапқы концентрациясы)

Сондықтан, [H+] = √(1 × 10^-10 × 1,0) = √(1 × 10^-10) = 1 × 10^-5 М

Демек, дұрыс жауап D) 1 × 10^-5 М.",
"Цистерна үшбұрышты призма түрінде болады. Егер үшбұрышты негіздің ауданы 116 шаршы фут болса, ал цистернаның биіктігі 30 фут болса, онда резервуар толық болған кезде қанша су болады?
A.1725 фут^3
B.1740 фут^3
C.3480 фут^3
D.6960 фут^3",C,"Бұл есепті шешу үшін келесі қадамдарды орындау керек:

1. Үшбұрышты призманың көлемін табу формуласын қолданамыз: V = A * h, мұндағы A - негіздің ауданы, ал h - биіктік.

2. Берілген мәліметтерді қойып, көлемді есептейміз:
V = 116 шаршы фут * 30 фут = 3480 фут^3

Демек, дұрыс жауап C) 3480 фут^3.

Түсіндірме:
- Цистерна үшбұрышты призма пішінінде болғандықтан, оның көлемін табу үшін негіздің ауданын биіктікке көбейту керек.
- Негіздің ауданы 116 шаршы фут, ал биіктігі 30 фут болғандықтан, көлем 3480 фут^3 болады.
- Сондықтан, цистерна толық болған кезде ондағы судың көлемі 3480 фут^3 болады.",
"Бұл сұрақ мынадай ақпаратқа қатысты.
«Тоталитарлық режимдердің тұқымдары мистериямен және қалаумен тәрбиелінеді. Олар кедейлік пен алауыздықтың зұлым топырағында таралып, өседі. Олар халықтың жақсы өмір сүру үміті өлген кезде толыққанды өсуіне жетеді. Біз бұл үмітті тірі қалдыруға тиіспіз. Оқиғалардың жедел қозғалысы бізге үлкен міндеттер жүктеді. «Съезд осы міндеттермен тікелей бетпе-бет келетініне сенімдімін» деп атап өтті.
Президент Гарри С. Трумэн, 1947 жыл
Жоғарыда көрсетілген идеялар АҚШ тарихындағы келесі сабақтастықтардың қайсысын тікелей көрсетеді?
A.Конгресс пен президенттің қарым-қатынасы туралы пікірталастар.
B.Құбылмалы жағдайларда әскери күш қолдану туралы пікірталастар.
C.Ақш-тың әлемдік істердегі рөлі туралы пікірталастар.
D.Саяси партиялардың тиісті рөлі туралы пікірталастар.",C,"Жоғарыда келтірілген Президент Гарри Трумэннің сөзінен, ол тоталитарлық режимдердің пайда болуына қарсы тұру керектігін және АҚШ-тың әлемдік істердегі рөлін арттыру қажеттігін айтып отыр. Сондықтан, берілген жауаптардың ішінен C нұсқасы, яғни ""АҚШ-тың әлемдік істердегі рөлі туралы пікірталастар"" дұрыс жауап болып табылады.

Трумэн тоталитарлық режимдерге қарсы тұру керектігін және АҚШ-тың әлемдік істердегі белсенді рөлін атап өтті. Бұл АҚШ-тың Суық соғыс кезеңіндегі саясатына, яғни коммунизмге қарсы тұру және әлемдік демократияны қолдауға байланысты болды.",
