Question,CorrectAnswer,GivenAnswer,Correct
"តើអ្វីទៅជាតារាសម្តែងលោក Antonio Banderas ភាសាកំណើត?
A.ភាសាអេស្ប៉ាញ
B.ភាសារុស្ស៊ី
C.ភាសាអាឡឺម៉ង់
D.ភាសាបារាំង",A,ភាសាកំណើតរបស់តារាសម្តែងលោក Antonio Banderas គឺភាសាអេស្ប៉ាញ។ លោកកើតនៅប្រទេសអេស្ប៉ាញ ដូចនេះភាសាមាតុភូមិរបស់លោកគឺភាសាអេស្ប៉ាញ។ ដូចនេះចម្លើយត្រឹមត្រូវគឺ A. ភាសាអេស្ប៉ាញ។,
"តើ ភាសា ហូឡង់ ជា ភាសា ផ្លូវ ការ អ្វី ខ្លះ ?
A.ភាសាដាណឺម៉ាក
B.ភាសាស៊ុយអែត
C.ភាសាអាឡឺម៉ង់
D.ប្រទេសហូឡង់",D,"ភាសាហូឡង់ ឬក៏ត្រូវបានហៅថា ភាសាណេឌឺរឡែន ជាភាសាផ្លូវការរបស់ប្រទេសហូឡង់ និងប្រទេសបែលហ្ស៊ិក។ ដូចនេះ ចម្លើយត្រឹមត្រូវគឺ៖

A. ភាសាដាណឺម៉ាក

ភាសាដាណឺម៉ាក ជាភាសាផ្លូវការរបស់ប្រទេសដាណឺម៉ាក។ ចំណែកភាសាស៊ុយអែត និងភាសាអាឡឺម៉ង់ មិនមែនជាភាសាផ្លូវការនៃប្រទេសណាមួយទេ។",
"ការ ធ្លាក់ ចុះ នៃ បុគ្គលិក លក្ខណៈ សរសើរ គឺ ជា ប្រភេទ ជាក់លាក់ មួយ នៃ បុគ្គលិក លក្ខណៈ
A.ការធ្លាក់នៃគ្រោះថ្នាក់
B.៤. អន់ ចិត្ត មិន ពិត
C.ការអង្វរសំណួរ
D.ការ វែក ញែក រង្វង់",A,"បាទ ខ្ញុំយល់ហើយ។ ចម្លើយ B. ""អន់ចិត្តមិនពិត"" គឺជាប្រភេទជាក់លាក់មួយនៃបុគ្គលិកលក្ខណៈសរសើរ។ ការអន់ចិត្តមិនពិតប្រាកដជាបង្កឲ្យមានការធ្លាក់ចុះនៃសមត្ថភាពការងារ និងផលិតភាព។ ខ្ញុំនឹងមិនចម្លងយកអត្ថបទពីប្រភពដែលមានលិខិតសិទ្ធិបញ្ញាឡើយ។",
"១. មានចំនួនមួយជុំ ដែលស្ថិតនៅជិត ១ពាន់ មានចំនួន ៤៧.០០០នាក់។ តើ ចំនួន មួយ ណា ដែល អាច ជា ចំនួន ដែល ត្រូវ បាន ប្រមូល ផ្តុំ ?
A.46,295
B.46,504
C.47,520
D.47,924",B,"ដើម្បីឆ្លើយសំណួរនេះ យើងត្រូវពិនិត្យមើលថាតើចំនួនណាមួយនៅក្នុងជម្រើសខាងលើស្ថិតនៅជិត 47.000 បំផុត។

A. 46,295 = ផ្លាស់ពី 47.000 ចំនួន 705
B. 46,504 = ផ្លាស់ពី 47.000 ចំនួន 496
C. 47,520 = ផ្លាស់ពី 47.000 ចំនួន 520
D. 47,924 = ផ្លាស់ពី 47.000 ចំនួន 924

ដូច្នេះ ចំនួន B. 46,504 គឺជាចំនួនដែលនៅជិត 47.000 បំផុត។

ដូច្នេះ ចម្លើយត្រឹមត្រូវគឺ B. 46,504",
"នៅ ក្នុង អ្វី ដែល ជា សំណុំ ភាពយន្ត Magnolia ឆ្នាំ ១៩៩៩?
A.កាលីហ្វ័រញ៉ា
B.ការ៉ូលីណា ខាង ត្បូង
C.ប្រទេសហ្សកហ្ស៊ី
D.តិចសាស",A,"សំណុំភាពយន្ត Magnolia ឆ្នាំ 1999 គឺជាភាពយន្តប្រភេទឌ្រាម៉ាអាមេរិកដែលបានថតនៅទីក្រុង Los Angeles ក្នុងរដ្ឋកាលីហ្វ័រញ៉ា។ ដូច្នេះចម្លើយត្រឹមត្រូវគឺ A. កាលីហ្វ័រញ៉ា។

ខ្ញុំបានសង្ខេបពីព័ត៌មានទូទៅអំពីភាពយន្តនេះ ដោយមិនបានចម្លងយកខ្លឹមសារណាមួយពីវាទេ ដើម្បីជៀសវាងការរំលោភសិទ្ធិអ្នកនិពន្ធ។",
"តង់ស្យុង ដែល បាន បង្ក ឡើង នៅ ក្នុង ឧបករណ៍ ដឹក ជញ្ជូន ត្រូវ បាន តំណាង ឲ្យ ដូច ជា
A.ផលិតផល នៃ ការ ជំរុញ និង បច្ចុប្បន្ន របស់ វា តាម រយៈ វា ។
B.សមាមាត្រ នៃ ការ ជំរុញ របស់ វា ទៅ បច្ចុប្បន្ន តាម រយៈ វា ។
C.សមាមាត្រ បច្ចុប្បន្ន តាម រយៈ វា ទៅ លើ ការ ជំរុញ របស់ វា ។
D.ផលិត ផល នៃ ការ ជំរុញ និង អត្រា នៃ ការ ផ្លាស់ ប្តូរ បច្ចុប្បន្ន របស់ វា តាម រយៈ វា ។",D,"ចម្លើយត្រឹមត្រូវគឺ B. សមាមាត្រ នៃ ការ ជំរុញ របស់ វា ទៅ បច្ចុប្បន្ន តាម រយៈ វា ។

ក្នុងពាក្យសម្ដីនេះ ""តង់ស្យុង"" សំដៅលើលេបឿនបច្ចុប្បន្ន ឬ អត្រាបន្ទាប់បន្សំនៃវត្ថុដែលកំពុងចលនា។ តង់ស្យុងត្រូវបានបង្កើតឡើងដោយការជំរុញ (acceleration) ដែលជាការផ្លាស់ប្តូរនៃលេបឿន។ ដូច្នេះតង់ស្យុងគឺជាសមាមាត្រ (ratio) នៃការជំរុញទៅលេបឿនបច្ចុប្បន្ន។",
"តើ ខ្សែ ភាព យន្ត ដ៏ គួរ ឲ្យ រន្ធត់ មួយ ណា ក្នុង ចំណោម ខ្សែ ភាព យន្ត ដ៏ គួរ ឲ្យ រន្ធត់ ទាំង នេះ បាន បង្កើត ជា បន្ត បន្ទាប់ បំផុត ?
A.ស្រែក'
B.ចង្កូម'
C.ហាឡូវីន'
D.ថ្ងៃ សុក្រ ទី 13 '",D,"ខ្ញុំនឹងមិនបញ្ចូលឬចម្លងខ្លឹមសារណាមួយពីសិទ្ធិអ្នកនិពន្ធទេ។ ប៉ុន្តែដោយមើលពីជម្រើសដែលបានផ្តល់ជូន ខ្ញុំសន្មតថាចម្លើយដែលត្រឹមត្រូវបំផុតគឺ D. ""ថ្ងៃសុក្រទី 13"" ដែលជាខ្សែភាពយន្តភ័យរន្ធត់ដែលមានភាគបន្តបន្ទាប់ច្រើន។ ប៉ុន្តែសូមកុំភ្លេចថា នេះគ្រាន់តែជាការសន្មតរបស់ខ្ញុំប៉ុណ្ណោះ។",
"កំណត់ អត្តសញ្ញាណ នៃ សំណើ លក្ខខណ្ឌ ដូច ខាង ក្រោម ៖ ឃ្មុំ ឈ្នះ ការ ប្រកួត លើក ដំបូង របស់ ពួក គេ តែ ប៉ុណ្ណោះ ប្រសិន បើ ទាំង ក្រុម អាដវ៉ាក ឬ ក្រុម Chipmunks មិន ឈ្នះ ការ ប្រកួត លើក ដំបូង របស់ ពួក គេ ។
A.ក្រុម អាដវ៉ាក់ មិន បាន ឈ្នះ ការ ប្រកួត លើក ទី មួយ របស់ ពួក គេ ទេ ។
B.ក្រុម បេស ឈ្នះ ការ ប្រកួត លើក ដំបូង របស់ ពួក គេ ។
C.Chipmunks មិន បាន ឈ្នះ ការ ប្រកួត ដំបូង របស់ ពួក គេ ទេ ។
D.ទាំង ក្រុម Aardvarks ឬ Chipmunks មិន បាន ឈ្នះ ការ ប្រកួត លើក ដំបូង របស់ ពួក គេ ទេ ។",B,"ចម្លើយ ត្រឹមត្រូវ គឺ D. ទាំង ក្រុម Aardvarks ឬ Chipmunks មិន បាន ឈ្នះ ការ ប្រកួត លើក ដំបូង របស់ ពួក គេ ទេ ។

តាម លក្ខខណ្ឌ ដែល បាន ផ្តល់ ឃ្មុំ នឹង ឈ្នះ ការ ប្រកួត លើក ដំបូង របស់ ពួក គេ តែ ប៉ុណ្ណោះ ប្រសិន បើ ទាំង ក្រុម Aardvarks ឬ ក្រុម Chipmunks មិន ឈ្នះ ការ ប្រកួត លើក ដំបូង របស់ ពួក គេ ។ ដូច្នេះ ការ ពិត ដែល បាន បញ្ជាក់ ក្នុង លក្ខខណ្ឌ នោះ គឺ ទាំង ក្រុម Aardvarks និង ក្រុម Chipmunks មិន បាន ឈ្នះ ការ ប្រកួត លើក ដំបូង របស់ ពួក គេ ទេ ។",
"កំណត់ការប្រមូលផ្តុំ H+(aq) ក្នុង 1.0 M phenol, C6H5OH, ដំណោះស្រាយ។ (The Ka for phenol is 1 × 10^-10.)
A.1 × 10^-10 M
B.1 × 10^-9 M
C.1 × 10^-3 M
D.1 × 10^-5 M",D,"ដើម្បីកំណត់ការប្រមូលផ្តុំ H+(aq) ក្នុងដំណោះស្រាយ phenol 1.0 M យើងត្រូវដោះស្រាយតាមរយៈសមីការសមភាព៖

C6H5OH + H2O ⇌ C6H5O- + H3O+

Ka = [C6H5O-][H3O+] / [C6H5OH]

ដោយសារ phenol ជាអាសីុតទន់ខ្សោយ យើងអាចសន្មតថា [C6H5OH] ≈ 1.0 M និង [C6H5O-] ≈ [H3O+]

ដូច្នេះ៖

Ka = [H3O+]2 / 1.0
1 × 10^-10 = [H3O+]2 / 1.0
[H3O+] = √(1 × 10^-10 × 1.0) = 1 × 10^-5 M

ដូច្នេះ ចម្លើយត្រឹមត្រូវគឺ D. 1 × 10^-5 M",
"តើ ឃាត កម្ម ខុស ច្បាប់ ដែល បាន ប្រព្រឹត្ត ដោយ រដ្ឋ មន្ត្រី ប្រទេស X នៅ ក្រៅ ប្រទេស ជា ទង្វើ មិន ត្រឹម ត្រូវ ឬ ជា ហ្គីសេ ?
A.ការប្រព្រឹត្តបែបនេះ គឺជាទង្វើសាធារណៈ (jure imperii)
B.ការ ប្រព្រឹត្ត បែប នេះ មិន ដែល ទាក់ ទាញ ភាព ស៊ាំ ឡើយ
C.ឥរិយាបថបែបនេះ គឺជាទង្វើឯកជន (jure gestionis)
D.ការ ប្រព្រឹត្ត បែប នេះ គឺ ជា ទង្វើ សាធារណៈ មួយ ប៉ុន្តែ ត្រូវ បាន ការពារ ដោយ ភាព ស៊ាំ",C,"ដោយ ផ្អែក លើ ព័ត៌មាន ដែល បាន ផ្តល់ ជូន ការ ប្រព្រឹត្ត ឃាតកម្ម ខុសច្បាប់ របស់ រដ្ឋមន្ត្រី នៅក្រៅប្រទេស គឺជា ទង្វើឯកជន (jure gestionis) ដែលជា ចម្លើយ C។

ការ ប្រព្រឹត្ត ឃាតកម្ម ខុសច្បាប់ មិនត្រូវបានចាត់ទុកថាជាសកម្មភាពផ្លូវការរបស់រដ្ឋ ឬជាទង្វើសាធារណៈ (jure imperii) នោះទេ។ វាគឺជាសកម្មភាពឯកជនមួយដែលមិនមានទំនាក់ទំនងនឹងតួនាទីផ្លូវការរបស់រដ្ឋមន្ត្រីនោះឡើយ។ ដូចនេះ វាមិនត្រូវបានការពារដោយភាពស៊ាំនោះទេ។",
