Question,CorrectAnswer,GivenAnswer,Correct
"प्रशंसनीय व्यक्तित्वको भ्रम एक विशिष्ट प्रकारको हो
A.दुर्घटनाको भ्रम[सम्पादन गर्ने]
B.गलत दुविधा
C.प्रश्न को भीख माँगना
D.गोलाकार तर्क",a,b,false
"केडीई-फोल्ड क्रस-प्रमाणीकरण हो
A.केडीई मा रैखिक
B.के मा द्विघात
C.के मा घन
D.केडीई मा एक्सपोनेन्सियल",a,d,false
"नेदरल्याण्ड्सको आधिकारिक भाषा के हो?
A.डेनिस
B.स्विडिस
C.जर्मन
D.डच",d,d,true
"यी मध्ये कुन हरर फिल्मले सबैभन्दा बढी सिक्वेल बनायो?
A.चिल्लाओ'
B.जबड़े'
C.हेलोवीन'
D.शुक्रवार 13 तारीख'",d,d,true
"यीमध्ये कुन परिकार सुँगुरको आन्द्राबाट बनाइन्छ?
A.haggis
B.चिट्लिन
C.grits
D.चोप सई",b,b,true
"सन् १९ मा रिलिज भएको चलचित्र 'म्याग्नोलिया' कुन अवस्थामा आधारित छ?
A.क्यालिफोर्निया
B.दक्षिण क्यारोलिना
C.जर्जिया
D.टेक्सास",a,c,false
"अधबैंसे वयस्कहरू वृद्ध वा साना वयस्कहरूको तुलनामा ___ देखिन्छन्
A.Generative
B.न्यूरोटिक
C.सहमत हुने
D.निश्चित",a,b,false
" यो मार्केटिंग र संचार उपकरणले ग्राहकहरूलाई उत्पादन / सेवा खरीद गर्न प्रोत्साहित गर्न प्रत्यक्ष प्रलोभन वा प्रोत्साहन प्रदान गर्दछ:
A.विज्ञापन।
B.पब्लिक रिलेशंस।
C.बिक्री पदोन्नति।
D.प्रत्यक्ष विपणन।",c,c,true
"अभिनेता एन्टोनियो बान्डेरसको मातृभाषा के हो?
A.स्पानिस
B.रुसी
C.जर्मन
D.फ्रेन्च",a,a,true
"अकोन्ड्रोप्लासियाको कारण हुने उत्परिवर्तनले प्रभाव पार्छ जसलाई निम्न रूपमा वर्गीकृत गर्न सकिन्छ:
A.प्रमुख नकारात्मक।
B.गेन-ऑफ-फंक्शन।
C.हैप्लोअपर्याप्तता।
D.हानि-को-समारोह।",b,c,false
