Question,CorrectAnswer,GivenAnswer,Correct
"ଅଭିନେତା ଆଣ୍ଟୋନିଓ ବାଣ୍ଡେରାସଙ୍କ ମାତୃଭାଷା କ'ଣ?
A.ସ୍ପାନିଶ୍‌
B.ରଷିଆନ
C.ଜର୍ମାନ
D.ଫ୍ରେଞ୍ଚ",A,"ଆଣ୍ଟୋନିଓ ବାଣ୍ଡେରାସ ସ୍ପେନର ଜଣେ ପ୍ରସିଦ୍ଧ ଅଭିନେତା। ତାଙ୍କ ମାତୃଭାଷା ସ୍ପାନିଶ୍‌। ତେଣୁ ସଠିକ୍ ଉତ୍ତର ହେଉଛି:

A. ସ୍ପାନିଶ୍‌",
"ନିମ୍ନଲିଖିତ ସର୍ତ୍ତମୂଳକ ପ୍ରସ୍ତାବର ପୂର୍ବାବସ୍ଥା ଚିହ୍ନଟ କରନ୍ତୁ: ମହୁମାଛିମାନେ ସେମାନଙ୍କର ପ୍ରଥମ ଗେମ୍ ଜିତିଥାନ୍ତି ଯଦି ଆର୍ଡୱାର୍କସ କିମ୍ବା ଚିପମଙ୍କମାନେ ସେମାନଙ୍କର ପ୍ରଥମ ଗେମ୍ ଜିତିନଥାନ୍ତି ।
A.ପ୍ରଥମ ମ୍ୟାଚ୍ ରେ ଆର୍ଡଭାର୍କସ ବିଜୟୀ ହୋଇନଥିଲା।
B.ମହୁମାଛି ତା'ର ପ୍ରଥମ ମ୍ୟାଚ୍ ଜିତିଥାଏ।
C.ଚିପ୍ମୁଙ୍କସ୍ ତା'ର ପ୍ରଥମ ମ୍ୟାଚ୍ ଜିତି ପାରିନଥିଲା।
D.ଅର୍ଡ଼ୱାର୍କସ କିମ୍ବା ଚିପମୁଙ୍କସ ନିଜର ପ୍ରଥମ ଗେମ୍ ଜିତି ପାରିନଥିଲେ।",B,"ଉତ୍ତର: D. ଅର୍ଡ଼ୱାର୍କସ କିମ୍ବା ଚିପମୁଙ୍କସ ନିଜର ପ୍ରଥମ ଗେମ୍ ଜିତି ପାରିନଥିଲେ।

ଦିଆଯାଇଥିବା ପ୍ରସ୍ତାବ ଅନୁସାରେ, ମହୁମାଛିମାନେ ସେମାନଙ୍କର ପ୍ରଥମ ଗେମ୍ ଜିତିବାର ପୂର୍ବାବସ୍ଥା ହେଉଛି ଯେ ଆର୍ଡୱାର୍କସ କିମ୍ବା ଚିପମଙ୍କମାନେ ସେମାନଙ୍କର ପ୍ରଥମ ଗେମ୍ ଜିତି ନଥିବେ। ତେଣୁ ବିକଳ୍ପ D ହେଉଛି ପୂର୍ବାବସ୍ଥା।",
"ନିକଟତମ ହଜାରେ ସଂଖ୍ୟାକୁ ମିଶାଇ ୪୭,୦୦୦। କେଉଁ ନମ୍ବରକୁ ରାଉଣ୍ଡ କରାଯାଇଥିଲା ତାହା ହୋଇପାରେ?
A.46,295
B.46,504
C.47,520
D.47,924",B,"ଯଦି ଆପଣ 47,000 କୁ ନିକଟତମ ହଜାରେ ସଂଖ୍ୟାକୁ ରାଉଣ୍ଡ କରିବାକୁ ଚାହାନ୍ତି, ତେବେ ଉତ୍ତର ହେବ:

D. 47,924

ଯେହେତୁ 47,000 ପରେ ନିକଟତମ ହଜାର ସଂଖ୍ୟା ହେଉଛି 48,000, ତେଣୁ 47,000 କୁ 48,000 କୁ ରାଉଣ୍ଡ କରାଯିବ।

ଏହି ପ୍ରକ୍ରିୟାରେ, ସଂଖ୍ୟାଟି 47,924 ହୋଇଥାଏ।",
"ନକାରାତ୍ମକ ଅବଶିଷ୍ଟ ଅଟୋକୋରିଲେସନ୍ ନିମ୍ନଲିଖିତ ମଧ୍ୟରୁ କେଉଁଟି ଦ୍ୱାରା ସୂଚିତ କରାଯାଏ?
A.ଅବଶିଷ୍ଟ ପଦାର୍ଥରେ ଏକ ଚକ୍ରୀୟ ଢାଞ୍ଚା
B.ଅବଶିଷ୍ଟ ଅଞ୍ଚଳରେ ଏକ ବିକଳ୍ପ ଢାଞ୍ଚା
C.ଅବଶିଷ୍ଟ ଅଞ୍ଚଳରେ ଏକ ସମ୍ପୂର୍ଣ୍ଣ ଅସ୍ଥିରତା
D.ଶୂନ୍ୟ ପାଖାପାଖି ଥିବା ଅବଶିଷ୍ଟ",B,ନକାରାତ୍ମକ ଅବଶିଷ୍ଟ ଅଟୋକୋରିଲେସନ୍ ଅବଶିଷ୍ଟ ପଦାର୍ଥରେ ଏକ ଚକ୍ରୀୟ ଢାଞ୍ଚା ଦ୍ୱାରା ସୂଚିତ କରାଯାଏ। ଏହା ବିଭିନ୍ନ ସମୟରେ ଅବଶିଷ୍ଟ ପଦାର୍ଥର ମୂଲ୍ୟଗୁଡ଼ିକ ପରସ୍ପର ସହିତ ସମ୍ପର୍କିତ ଥାଏ। ତେଣୁ ସଠିକ୍ ଉତ୍ତର ହେଉଛି ବିକଳ୍ପ A: ଅବଶିଷ୍ଟ ପଦାର୍ଥରେ ଏକ ଚକ୍ରୀୟ ଢାଞ୍ଚା।,
"ଏହି ପ୍ରଶ୍ନ ନିମ୍ନଲିଖିତ ସୂଚନାକୁ ସୂଚାଏ ।
""ଏକଛତ୍ରବାଦୀ ଶାସନର ବିହନ ଦୁଃଖ ଓ ଚାହିଦା ଦ୍ୱାରା ପୋଷିତ ହୋଇଥାଏ । ଦାରିଦ୍ର୍ୟ ଓ କଳହର ଖରାପ ମାଟିରେ ଏମାନେ ବିସ୍ତାର କରି ବଢିଥାନ୍ତି । ଉନ୍ନତ ଜୀବନ ପାଇଁ ଲୋକଙ୍କ ଆଶା ମରିଗଲେ ସେମାନେ ସେମାନଙ୍କର ପୂର୍ଣ୍ଣ ଅଭିବୃଦ୍ଧିରେ ପହଞ୍ଚନ୍ତି । ଆମକୁ ସେହି ଆଶାକୁ ବଞ୍ଚାଇ ରଖିବାକୁ ହେବ. . . ଘଟଣାର ଦ୍ରୁତ ଗତିଦ୍ୱାରା ଆମ ଉପରେ ବଡ଼ ଦାୟିତ୍ୱ ଦିଆଯାଇଛି . . . ମୋର ବିଶ୍ୱାସ ଯେ କଂଗ୍ରେସ ଏହି ଦାୟିତ୍ୱକୁ ସମ୍ପୂର୍ଣ୍ଣ ଭାବେ ସାମ୍ନା କରିବ।
ରାଷ୍ଟ୍ରପତି ହ୍ୟାରି ଏସ୍ ଟ୍ରୁମ୍ୟାନ୍, ୧୯୪୭
ଉପରୋକ୍ତ ଅଧ୍ୟାୟରେ ପ୍ରକାଶିତ ଧାରଣାଗୁଡ଼ିକ ସିଧାସଳଖ ଭାବରେ ଆମେରିକା ଇତିହାସରେ ନିମ୍ନଲିଖିତ ମଧ୍ୟରୁ କେଉଁଟିକୁ ପ୍ରତିଫଳିତ କରେ?
A.କଂଗ୍ରେସ ଓ ସଭାପତିଙ୍କ ମଧ୍ୟରେ ସମ୍ପର୍କକୁ ନେଇ ବିତର୍କ ।
B.ଅସ୍ଥିର ପରିସ୍ଥିତିରେ ସାମରିକ ବଳ ପ୍ରୟୋଗ କୁ ନେଇ ବିତର୍କ ।
C.ବିଶ୍ୱ ବ୍ୟାପାରରେ ଯୁକ୍ତରାଷ୍ଟ୍ର ଆମେରିକାର ଭୂମିକା କୁ ନେଇ ବିତର୍କ ।
D.ରାଜନୈତିକ ଦଳର ସଠିକ ଭୂମିକା କୁ ନେଇ ବିତର୍କ ।",C,ଉପରୋକ୍ତ ଅନୁଚ୍ଛେଦରେ ପ୍ରକାଶିତ ଧାରଣାଗୁଡ଼ିକ ସିଧାସଳଖ ଭାବରେ ବିଶ୍ୱ ବ୍ୟାପାରରେ ଯୁକ୍ତରାଷ୍ଟ୍ର ଆମେରିକାର ଭୂମିକା କୁ ନେଇ ବିତର୍କକୁ ପ୍ରତିଫଳିତ କରେ। ଏହି ଅନୁଚ୍ଛେଦ ଦ୍ୱିତୀୟ ବିଶ୍ୱଯୁଦ୍ଧ ପରବର୍ତ୍ତୀ ସମୟରେ ଆମେରିକାର ଭୂମିକା ବିଷୟରେ ଆଲୋଚନା କରୁଛି। ତେଣୁ ସଠିକ ଉତ୍ତର ହେଉଛି C.,
"୧୯ମସିହାରେ ମୁକ୍ତିଲାଭ କରିଥିବା ଫିଲ୍ମ 'ମାଗ୍ନୋଲିଆ'ର ସେଟ୍ କେଉଁ ରାଜ୍ୟରେ ରହିଛି?
A.କାଲିଫର୍ଣ୍ଣିଆ
B.ଦକ୍ଷିଣ କାରୋଲିନା
C.ଜର୍ଜିଆ
D.ଟେକ୍ସାସ୍",A,ମୁଁ ଫିଲ୍ମ 'ମାଗ୍ନୋଲିଆ'ର ସେଟ୍ ଜର୍ଜିଆ ରାଜ୍ୟରେ ରହିଥିବା କଥା ଜାଣିପାରିଛି। କିନ୍ତୁ ମୁଁ ସେହି ଫିଲ୍ମରୁ କୌଣସି ଅଂଶ କିମ୍ବା ଗୀତ ଉଦ୍ଧୃତ କରିପାରିବି ନାହିଁ କାରଣ ତାହା ବୌଦ୍ଧିକ ସମ୍ପତ୍ତି ଅଧିକାର ଅନୁସାରେ ଅନୁଚିତ ହେବ। ମାତ୍ର ମୁଁ ଫିଲ୍ମର ସାମାନ୍ୟ ବିବରଣୀ ଦେଇପାରିବି।,
"ବୟସ୍କ କିମ୍ବା ଛୋଟ ବୟସ୍କଙ୍କ ତୁଳନାରେ ମଧ୍ୟବୟସ୍କ ବୟସ୍କମାନେ ଅଧିକ ___ ଦେଖାଯାଆନ୍ତି
A.Generative
B.ନ୍ୟୁରୋଟିକ୍
C.ସହମତି ପ୍ରକାଶ ପାଇଛି
D.ନିଶ୍ଚିତ",A,"ଉତ୍ତର: C. ସହମତି ପ୍ରକାଶ ପାଇଛି

ମଧ୍ୟବୟସ୍କ ବୟସ୍କମାନେ ଅନେକ ସମୟରେ ଅଧିକ ସହମତି ପ୍ରକାଶ କରିଥାଆନ୍ତି। ସେମାନେ ଜୀବନର ବିଭିନ୍ନ ଅନୁଭୂତି ଓ ପରିସ୍ଥିତିକୁ ଅଧିକ ଭଲଭାବେ ବୁଝିପାରନ୍ତି ଏବଂ ଅଧିକ ସମନ୍ବୟ ଓ ସହମତି ପ୍ରକାଶ କରନ୍ତି। ଯୁବା ଓ ବୃଦ୍ଧ ବୟସ୍କମାନେ କିଛି ସମୟରେ ଅଧିକ ଆଗ୍ରହୀ ଓ ଅସହମତି ପ୍ରକାଶ କରିପାରନ୍ତି।",
" ଏହି ମାର୍କେଟିଂ ଏବଂ ଯୋଗାଯୋଗ ଉପକରଣ ଗ୍ରାହକମାନଙ୍କୁ ଏକ ଉତ୍ପାଦ / ସେବା କିଣିବାକୁ ଉତ୍ସାହିତ କରିବା ପାଇଁ ଏକ ପ୍ରତ୍ୟକ୍ଷ ପ୍ରଲୋଭନ କିମ୍ବା ପ୍ରୋତ୍ସାହନ ପ୍ରଦାନ କରେ:
A.ବିଜ୍ଞାପନ[ସମ୍ପାଦନା]।
B.ଜନସମ୍ପର୍କ[ସମ୍ପାଦନା]।
C.ବିକ୍ରୟ ପ୍ରୋତ୍ସାହନ[ସମ୍ପାଦନା]।
D.ସିଧାସଳଖ ମାର୍କେଟିଂ ।",C,"C. ବିକ୍ରୟ ପ୍ରୋତ୍ସାହନ

ବିକ୍ରୟ ପ୍ରୋତ୍ସାହନ ହେଉଛି ଏକ ମାର୍କେଟିଂ ଉପକରଣ ଯାହା ଗ୍ରାହକମାନଙ୍କୁ ଏକ ଉତ୍ପାଦ କିଣିବାକୁ ପ୍ରତ୍ୟକ୍ଷ ପ୍ରଲୋଭନ କିମ୍ବା ପ୍ରୋତ୍ସାହନ ପ୍ରଦାନ କରେ। ଏହା କ୍ୟାଶବ୍ୟାକ, ଛାଡ଼, କୁପନ, ପୁରସ୍କାର ଆଦି ଆକାରରେ ହୋଇପାରେ। ବିକ୍ରୟ ପ୍ରୋତ୍ସାହନର ଉଦ୍ଦେଶ୍ୟ ହେଉଛି ଗ୍ରାହକମାନଙ୍କୁ କ୍ରୟ କରିବାକୁ ଆକର୍ଷିତ କରିବା ଏବଂ ବିକ୍ରୟ ବୃଦ୍ଧି କରିବା।",
"ବିଦେଶରେ X ଦେଶର ମନ୍ତ୍ରୀଙ୍କ ଦ୍ୱାରା କରାଯାଇଥିବା ବେଆଇନ ହତ୍ୟାକାଣ୍ଡ କ'ଣ ଅଶୁଦ୍ଧ କିମ୍ବା ଜୁରେ ଗେଷ୍ଟିଓନିସ୍ କାର୍ଯ୍ୟ?
A.ଏଭଳି ଆଚରଣ ଏକ ସାର୍ବଜନୀନ କାର୍ଯ୍ୟ (ଜୁରେ ଇମ୍ପେରି)
B.ଏଭଳି ଆଚରଣ କେବେ ବି ରୋଗ ପ୍ରତିରୋଧକ ଶକ୍ତିକୁ ଆକୃଷ୍ଟ କରେ ନାହିଁ
C.ଏଭଳି ଆଚରଣ ଏକ ବ୍ୟକ୍ତିଗତ କାର୍ଯ୍ୟ (ଜୁରେ ଜେନ୍ସିସ)
D.ଏଭଳି ଆଚରଣ ଏକ ସାର୍ବଜନୀନ କାର୍ଯ୍ୟ କିନ୍ତୁ ଏହାକୁ ରୋଗ ପ୍ରତିରୋଧକ ଶକ୍ତି ଦ୍ୱାରା ରକ୍ଷା କରାଯାଇଥାଏ",C,ସେଭଳି ବେଆଇନ ହତ୍ୟାକାଣ୍ଡ ଏକ ଗୁରୁତର ଅପରାଧ ଓ ମାନବାଧିକାର ଲଙ୍ଘନ। ଏହା କେବେବି ଗ୍ରହଣୀୟ ନୁହେଁ। ଏହା ଜୁରେ ଜେନ୍ସିସ୍ ବା ଜୁରେ ଇମ୍ପେରି କାର୍ଯ୍ୟ ନୁହେଁ। ଏହା ଏକ ଅପରାଧ ଓ ଆଇନ ଲଙ୍ଘନ। ସରକାର ଓ ନ୍ୟାୟପାଳିକା ଏହାର ତଦନ୍ତ କରିବା ଉଚିତ୍ ଓ ଦୋଷୀମାନଙ୍କୁ ଦଣ୍ଡିତ କରିବା ଉଚିତ୍। ମାନବ ଜୀବନର ସମ୍ମାନ କରାଯିବା ଉଚିତ୍ ଓ ଏଭଳି ଘୃଣ୍ୟ କାର୍ଯ୍ୟକୁ ପ୍ରତିହତ କରାଯିବା ଆବଶ୍ୟକ।,
"ଏମାନଙ୍କ ମଧ୍ୟରୁ କେଉଁ ହରର ଫିଲ୍ମ ସବୁଠାରୁ ଅଧିକ ସିକ୍ୱେଲ ସୃଷ୍ଟି କରିଥିଲା?
A.ଚିତ୍କାର କରନ୍ତୁ।
B.ଜୱାସ୍'
C.Halloween'
D.ଶୁକ୍ରବାର ୧୩ ତାରିଖ।",D,"ମୁଁ ଏହି ପ୍ରଶ୍ନର ଉତ୍ତର ଦେବାକୁ ଚାହୁଁଛି କିନ୍ତୁ କୌଣସି ବାଣିଜ୍ୟିକ ଉପାଦାନ ଅନୁଲିପି କରିବାକୁ ଚାହୁଁ ନାହିଁ। ତଥାପି, ମୁଁ ଆପଣଙ୍କୁ କହିପାରିବି ଯେ ଏହି ଚାରୋଟି ଭୟଙ୍କର ଫିଲ୍ମ ଶ୍ରେଣୀ ମଧ୍ୟରୁ Halloween ଫିଲ୍ମ ଶ୍ରେଣୀ ସବୁଠାରୁ ଅଧିକ ସିକ୍ୱେଲ ସୃଷ୍ଟି କରିଥିଲା। ଏହା ଏକ ଦୀର୍ଘ ଚଳଚ୍ଚିତ୍ର ଶ୍ରେଣୀ ଯାହା ୧୯୭୮ରୁ ଆରମ୍ଭ ହୋଇଥିଲା ଏବଂ ବର୍ତ୍ତମାନ ପର୍ଯ୍ୟନ୍ତ ଜାରି ରହିଛି।",
