Question,CorrectAnswer,GivenAnswer,Correct
"Jaki jest język urzędowy Holandii?
A.Duński
B.Szwedzki
C.Niemiecki
D.Holenderski",D,"Językiem urzędowym Holandii jest holenderski.

Prawidłowa odpowiedź to: D. Holenderski

Holenderski, nazywany również niderlandzkim, jest językiem z grupy języków germańskich zachodnich. Jest to język narodowy i urzędowy Holandii, a także jeden z trzech języków urzędowych Belgii (obok francuskiego i niemieckiego). Holenderski jest również używany jako język urzędowy na niektórych Karaibach, m.in. na Antylach Holenderskich.",
"W jakim stanie jest akcja filmu Magnolia z 1999 roku?
A.Kalifornia
B.Karolina Południowa
C.Gruzja
D.Teksas",A,"Akcja filmu ""Magnolia"" z 1999 roku w reżyserii Paula Thomasa Andersona rozgrywa się w Kalifornii.

Poprawna odpowiedź to zatem: A. Kalifornia

Film przedstawia losy grupy ludzi mieszkających w dolinie San Fernando w Los Angeles i ich wzajemnie splatające się historie. Kalifornijskie miasto jest więc głównym miejscem akcji tego wielowątkowego dramatu.",
"Które z tych dań jest zrobione z jelit wieprzowych?
A.haggis
B.chitliny
C.Grits
D.Chop Suey",B,"Chitliny są daniem przygotowywanym z jelit wieprzowych.

Wyjaśnienie:

A. Haggis - to tradycyjna szkocka potrawa z baranich żołądków, cebuli, tłuszczu, owsianki i przypraw.

B. Chitliny (chitterlings) - to potrawa z oczyszczonych i ugotowanych jelit wieprzowych.

C. Grits - to rodzaj kaszy kukurydzianej, popularna w kuchni amerykańskiej.

D. Chop Suey - mieszanka warzyw, mięsa i makaronu, potrawa kuchni chińskiej.

Więc odpowiedzią na pytanie ""Które z tych dań jest zrobione z jelit wieprzowych?"" jest B. Chitliny.",
"Napięcie indukowane w cewce indukcyjnej jest reprezentowane jako:
A.iloczyn jego indukcyjności i przepływającego przez nią prądu.
B.stosunek jego indukcyjności do przepływającego przez niego prądu.
C.stosunek przepływającego przez niego prądu do jego indukcyjności.
D.iloczyn jego indukcyjności i szybkości zmian prądu przez niego.",D,"Poprawną odpowiedzią jest D.

Napięcie indukowane w cewce indukcyjnej jest proporcjonalne do szybkości zmian prądu przepływającego przez tę cewkę. Związek ten opisuje prawo indukcji elektromagnetycznej Faradaya, które można zapisać w postaci:

ε = -L * (di/dt)

gdzie:
ε - napięcie indukowane w cewce [V]
L - indukcyjność cewki [H]
di/dt - szybkość zmian prądu przepływającego przez cewkę [A/s]

Ujemny znak oznacza, że napięcie indukowane ma przeciwny zwrot do zmian prądu, które je wywołują (zgodnie z prawem Lenza).

Zatem napięcie indukowane w cewce jest iloczynem jej indukcyjności L i szybkości zmian prądu di/dt przez nią przepływającego.",
"Jaki jest język ojczysty aktora Antonio Banderasa?
A.Hiszpański
B.Rosyjski
C.Niemiecki
D.Francuski",A,"Poprawna odpowiedź to:

A. Hiszpański

Antonio Banderas urodził się w Maladze w Hiszpanii, więc jego językiem ojczystym jest hiszpański. Jest jednym z najbardziej znanych hiszpańskich aktorów na świecie, który zagrał w wielu hollywoodzkich produkcjach. Mimo ogromnego sukcesu na arenie międzynarodowej, Banderas zawsze podkreślał swoje hiszpańskie korzenie i dumę z pochodzenia z tego kraju.",
"Który z poniższych czynników można uznać za czynnik ""przyciągający"" dla Rivy, gdy rozważa się przeprowadzkę z Indii do Stanów Zjednoczonych?
A.Skrajne ubóstwo
B.Lepsza praca i wyższe zarobki
C.System kastowy w Indiach
D.Przemoc w jej sąsiedztwie",B,"Na podstawie podanych opcji, czynnikiem ""przyciągającym"" Rivę do przeprowadzki z Indii do Stanów Zjednoczonych byłaby opcja B - lepsza praca i wyższe zarobki.

Wyższe zarobki i lepsze perspektywy zawodowe są często jednym z głównych powodów, dla których ludzie decydują się na migrację do innych krajów w poszukiwaniu lepszych możliwości życiowych. Stany Zjednoczone są postrzegane jako kraj oferujący wiele możliwości zatrudnienia i wyższy standard życia, co może przyciągać osoby takie jak Riva.

Pozostałe opcje, takie jak skrajne ubóstwo (A), system kastowy (C) i przemoc w sąsiedztwie (D), raczej nie byłyby czynnikami przyciągającymi, a raczej czynnikami ""wypychającymi"" z Indii, które mogłyby skłonić Rivę do rozważenia emigracji w poszukiwaniu lepszych warunków życia.",
"K-krotna walidacja krzyżowa jest
A.liniowy w K
B.kwadratowy w K
C.sześcienny w K
D.wykładniczy w K",A,"Złożoność obliczeniowa k-krotnej walidacji krzyżowej jest liniowa w stosunku do k, czyli odpowiedź prawidłowa to:

A. liniowa w K

Wyjaśnienie:
W k-krotnej walidacji krzyżowej cały zbiór danych dzielony jest na k podzbiorów (foldów). Następnie proces uczenia i testowania modelu powtarzany jest k razy, za każdym razem z innym podzbiorem danych testowych. Zatem całkowita liczba operacji uczenia i testowania modelu jest proporcjonalna do k. Stąd złożoność obliczeniowa jest liniowa w stosunku do k.

Pozostałe odpowiedzi:
B. kwadratowa w K - nieprawidłowa
C. sześcienna w K - nieprawidłowa 
D. wykładnicza w K - nieprawidłowa

Żadna z tych opcji nie odzwierciedla właściwej złożoności obliczeniowej k-krotnej walidacji krzyżowej.",
"Liczba zaokrąglona do najbliższego tysiąca wynosi 47 000. Która liczba może być liczbą zaokrągloną?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Aby odpowiedzieć na to pytanie, musimy określić, które liczby po zaokrągleniu do najbliższego tysiąca dadzą 47 000.

Liczby, które po zaokrągleniu do najbliższego tysiąca dadzą 47 000, muszą znajdować się w przedziale od 46 500 do 47 499.

A. 46 295 - Ta liczba znajduje się poza przedziałem, więc nie może być liczbą zaokrągloną do 47 000.
B. 46 504 - Ta liczba znajduje się w przedziale, więc może być liczbą zaokrągloną do 47 000.
C. 47 520 - Ta liczba znajduje się poza przedziałem, więc nie może być liczbą zaokrągloną do 47 000.
D. 47 924 - Ta liczba znajduje się poza przedziałem, więc nie może być liczbą zaokrągloną do 47 000.

Zatem poprawną odpowiedzią jest B. 46 504.",
"Dorośli w średnim wieku wydają się być bardziej ____ niż starsi lub młodsi dorośli
A.Generatywnych
B.Neurotyczny
C.Przyjemny
D.Pewny",A,"Odpowiedź poprawna to B. Neurotyczny.

Neurotyzm jest cechą osobowości związaną z tendencją do doświadczania negatywnych emocji, takich jak lęk, gniew, depresja czy poczucie winy. Badania sugerują, że poziom neurotyzmu może być najwyższy u osób w średnim wieku, w porównaniu z młodszymi i starszymi dorosłymi.

Wyjaśnienie pozostałych opcji:

A. Generatywnych - generatywność odnosi się do troski o przyszłe pokolenia i pozostawienia po sobie czegoś trwałego. Nie jest to cecha bezpośrednio związana z wiekiem średnim.

C. Przyjemny - nie ma bezpośredniego związku między wiekiem średnim a poziomem przyjemności.

D. Pewny - pewność siebie nie jest cechą szczególnie kojarzoną z osobami w średnim wieku w porównaniu z innymi grupami wiekowymi.",
"Zidentyfikuj poprzednika następującego zdania warunkowego: Pszczoły wygrywają swoją pierwszą grę tylko wtedy, gdy Mrówniki lub Wiewiórki nie wygrają swoich pierwszych gier.
A.Mrównicy nie wygrywają swojego pierwszego meczu.
B.Pszczoły wygrywają swój pierwszy mecz.
C.Wiewiórki nie wygrywają swojego pierwszego meczu.
D.Ani Mrówniki, ani Wiewiórki nie wygrywają swoich pierwszych gier.",B,"Poprawną odpowiedzią jest D. Ani Mrówniki, ani Wiewiórki nie wygrywają swoich pierwszych gier.

Wyjaśnienie:
Zdanie warunkowe ""Pszczoły wygrywają swoją pierwszą grę tylko wtedy, gdy Mrówniki lub Wiewiórki nie wygrają swoich pierwszych gier"" oznacza, że warunkiem koniecznym dla wygranej Pszczół jest to, że ani Mrówniki, ani Wiewiórki nie wygrają swoich pierwszych gier. Innymi słowy, poprzednikiem tego zdania warunkowego jest stwierdzenie, że ani Mrówniki, ani Wiewiórki nie wygrywają swoich pierwszych gier.

Pozostałe odpowiedzi:
A. Mrównicy nie wygrywają swojego pierwszego meczu - jest to tylko część poprzednika, ale nie obejmuje Wiewiórek.
B. Pszczoły wygrywają swój pierwszy mecz - to jest konsekwencja, a nie poprzednik zdania warunkowego.
C. Wiewiórki nie wygrywają swojego pierwszego meczu - podobnie jak w przypadku A, jest to tylko część poprzednika, ale nie obejmuje Mrówników.",
