Question,CorrectAnswer,GivenAnswer,Correct
"Qual é a língua oficial dos Países Baixos?
A.Dinamarquês
B.Sueco
C.Alemão
D.Holandês",D,"A língua oficial dos Países Baixos é o holandês.

A resposta correta é a letra D.

O holandês, também conhecido como neerlandês, é a língua nacional e oficial dos Países Baixos (Holanda). É uma língua germânica ocidental, muito próxima do alemão e do inglês.

As outras opções estão incorretas:

A. Dinamarquês é a língua oficial da Dinamarca.
B. Sueco é a língua oficial da Suécia. 
C. Alemão é a língua oficial da Alemanha, Áustria e alguns outros países, mas não dos Países Baixos.

Portanto, a língua oficial falada nos Países Baixos é o holandês.",
"Em que estado se passa o filme Magnólia, de 1999?
A.Califórnia
B.Carolina do Sul
C.Geórgia
D.Texas",A,"A resposta correta é a opção A. Califórnia.

O filme Magnólia, de 1999, dirigido por Paul Thomas Anderson, se passa na cidade de San Fernando Valley, na região metropolitana de Los Angeles, Califórnia.

O filme entrelaça várias histórias e personagens que vivem nessa região da Califórnia. As cenas foram filmadas em locações reais em Los Angeles e arredores, retratando a paisagem urbana e suburbana típica do sul da Califórnia.

Então, apesar de ser um filme com múltiplas tramas, toda a ação de Magnólia se desenrola no estado da Califórnia, mais especificamente na região da Grande Los Angeles.",
"A tensão induzida em um indutor é representada como,
A.produto de sua indutância e corrente através dele.
B.relação entre sua indutância e corrente através dela.
C.relação entre a corrente que a atravessa e a sua indutância.
D.produto de sua indutância e taxa de mudança de corrente através dele.",D,"A resposta correta é a opção D: ""produto de sua indutância e taxa de mudança de corrente através dele"".

A tensão induzida em um indutor é dada pela lei da indução eletromagnética de Faraday, que estabelece que a tensão induzida em um indutor é proporcional à taxa de variação da corrente que o atravessa, multiplicada pela indutância do indutor.

Matematicamente, essa relação é expressa pela equação:

V = L * (di/dt)

Onde:
V é a tensão induzida no indutor (em volts)
L é a indutância do indutor (em henries)
di/dt é a taxa de variação da corrente que atravessa o indutor (em amperes por segundo)

Portanto, a tensão induzida em um indutor é diretamente proporcional ao produto de sua indutância e à taxa de mudança da corrente que o atravessa, o que corresponde à opção D.",
"Identifique o antecedente da seguinte proposição condicional: As Bees só vencem seu primeiro jogo se os Aardvarks ou os Chipmunks não vencerem seus primeiros jogos.
A.Os Aardvarks não vencem o primeiro jogo.
B.As Abelhas vencem seu primeiro jogo.
C.Os Chipmunks não vencem seu primeiro jogo.
D.Ou os Aardvarks ou os Chipmunks não vencem seus primeiros jogos.",B,"O antecedente da proposição condicional ""As Bees só vencem seu primeiro jogo se os Aardvarks ou os Chipmunks não vencerem seus primeiros jogos"" é:

D. Ou os Aardvarks ou os Chipmunks não vencem seus primeiros jogos.

Explicação:
Em uma proposição condicional da forma ""Se P, então Q"", a parte P é chamada de antecedente, e a parte Q é chamada de consequente.

Neste caso, a proposição condicional é: ""As Bees só vencem seu primeiro jogo (consequente) se os Aardvarks ou os Chipmunks não vencerem seus primeiros jogos (antecedente)"".

Portanto, o antecedente é a condição ""Ou os Aardvarks ou os Chipmunks não vencem seus primeiros jogos"", que deve ser verdadeira para que o consequente ""As Bees vencem seu primeiro jogo"" seja verdadeiro.",
"A falácia da personalidade laudatória é um tipo específico de
A.A falácia do acidente
B.Falso dilema
C.Levantando a questão
D.Raciocínio circular",A,"A falácia da personalidade laudatória é um tipo específico de falácia ad hominem, que não está listada entre as opções fornecidas. 

A falácia ad hominem envolve atacar ou elogiar a pessoa que faz um argumento, em vez de abordar o mérito do próprio argumento. A falácia da personalidade laudatória é uma variante disso, onde se elogia excessivamente a pessoa que apresenta o argumento, em vez de avaliar o argumento em si.

Portanto, nenhuma das opções fornecidas (falácia do acidente, falso dilema, levantando a questão ou raciocínio circular) está correta para classificar a falácia da personalidade laudatória. A resposta correta seria que ela é um tipo de falácia ad hominem.",
"As mutações que causam acondroplasia exercem um efeito que pode ser classificado como:
A.Negativo dominante.
B.ganho de função.
C.haploinsuficiência.
D.perda de função.",B,"A resposta correta é a letra B: ganho de função.

A acondroplasia é uma forma de nanismo causada por uma mutação no gene FGFR3 (Fibroblast Growth Factor Receptor 3), que codifica um receptor de fator de crescimento envolvido na regulação do crescimento ósseo.

As mutações que causam a acondroplasia levam a uma ativação constitutiva ou excessiva do receptor FGFR3, resultando em uma sinalização anormal que inibe o crescimento ósseo. Essa ativação excessiva do receptor é considerada um ganho de função, pois confere uma nova função ou atividade aumentada ao receptor, em comparação com sua função normal.

Portanto, as mutações que causam a acondroplasia exercem um efeito de ganho de função, levando a uma sinalização anormal que prejudica o crescimento ósseo normal.",
"Um paciente sofre um pescoço quebrado com danos à medula espinhal no nível da sexta vértebra cervical.
A.Eles serão incapazes de respirar sem suporte de vida.
B.Eles só poderão respirar tranquilamente.
C.É impossível prever um efeito na respiração.
D.A respiração não será afetada.",B,"A resposta correta é a letra A: ""Eles serão incapazes de respirar sem suporte de vida"".

Explicação:
A medula espinhal é responsável por transmitir sinais nervosos entre o cérebro e o corpo. Quando há uma lesão na medula espinhal no nível da sexta vértebra cervical (C6), isso pode afetar a função dos músculos respiratórios, como o diafragma e os músculos intercostais.

Lesões na medula espinhal acima do nível C3-C5 geralmente resultam em paralisia dos músculos respiratórios, tornando o paciente incapaz de respirar de forma independente. Nesses casos, é necessário o uso de suporte de vida, como ventilação mecânica, para manter a respiração.

Portanto, uma lesão na medula espinhal no nível da sexta vértebra cervical (C6) provavelmente afetará a capacidade de respirar sem assistência, tornando necessário o uso de suporte de vida para manter a respiração adequada.",
"Qual dos seguintes fatores seria considerado um fator de ""puxada"" para Riva ao considerar uma mudança da Índia para os Estados Unidos?
A.Pobreza abjeta
B.Melhor emprego e salários mais altos
C.O sistema de castas da Índia
D.Violência em seu bairro",B,"Com base nas opções fornecidas, o fator que seria considerado um fator de ""puxada"" (pull factor) para Riva ao considerar uma mudança da Índia para os Estados Unidos é:

B. Melhor emprego e salários mais altos

Os fatores de ""puxada"" são aqueles que atraem as pessoas para um novo local, como melhores oportunidades econômicas, padrão de vida mais alto, liberdades políticas e civis, entre outros. Nesse caso, a perspectiva de melhores empregos e salários mais altos nos Estados Unidos seria um fator que ""puxaria"" ou atrairia Riva a considerar a mudança.

As outras opções, como pobreza abjeta (A), o sistema de castas (C) e violência no bairro (D), seriam considerados fatores de ""expulsão"" (push factors), que levariam as pessoas a deixar seu local de origem, em vez de atraí-las para um novo destino.",
"Qual desses filmes de terror gerou mais sequências?
A.Grito'
B.Tubarão'
C.Dia das Bruxas'
D.Sexta-feira 13'",D,"A franquia de filmes de terror que gerou mais sequências é Sexta-feira 13 (Friday the 13th).

Explicação:

A) Grito (Scream) - Teve 4 sequências até o momento (Grito 2, 3, 4 e uma nova sequência lançada em 2022).

B) Tubarão (Jaws) - Teve 3 sequências (Tubarão 2, 3 e 4).

C) Dia das Bruxas (Halloween) - Teve 12 sequências até o momento, sendo uma das franquias de terror mais longas.

D) Sexta-feira 13 (Friday the 13th) - Esta é a franquia que gerou o maior número de sequências, com 12 filmes no total, desde o original de 1980 até o mais recente lançado em 2009.

Portanto, a resposta correta é a opção D) Sexta-feira 13, que superou até mesmo a popular franquia Dia das Bruxas em número de sequências produzidas.",
"Adultos de meia-idade parecem ser mais ____ do que adultos mais velhos ou mais jovens
A.Gerador
B.Neurótico
C.Agradável
D.Certo",A,"A opção correta é B. Neurótico.

Estudos psicológicos têm mostrado que adultos de meia-idade (geralmente entre 40 e 60 anos) tendem a apresentar níveis mais altos de neuroticismo em comparação com adultos mais jovens ou mais velhos.

O neuroticismo é um traço de personalidade caracterizado por instabilidade emocional, ansiedade, preocupação excessiva, baixa autoestima e tendência a experimentar emoções negativas, como tristeza, raiva e culpa.

Algumas possíveis razões para o aumento do neuroticismo na meia-idade incluem:

1. Estresse relacionado a responsabilidades profissionais e familiares.
2. Preocupações com o envelhecimento e a mortalidade.
3. Mudanças hormonais e físicas associadas à meia-idade.
4. Eventos de vida estressantes, como divórcio ou perda de entes queridos.

No entanto, é importante ressaltar que o neuroticismo é um traço de personalidade e pode variar de indivíduo para indivíduo, independentemente da idade.",
