Question,CorrectAnswer,GivenAnswer,Correct
"Abantu bakuze ni bo bafite imyaka myinshi kurusha abakuze cyangwa abakuze
A.Bye Bye Generative
B.Bye bye neurotic
C.agreeable
D.Nta gushidikanya",a,d,false
"k-e
A.Bye bye in K
B.Bye bye quadratic in K
C.bye bye in K
D.Image in K",a,c,false
" Iki gikoresho cy'ubucuruzi n'itumanaho gitanga inkunga itaziguye cyangwa inkunga yo gushishikariza abakiriya kugura ibicuruzwa/serivisi:
A.Bye bye advertisement.
B.Imibanire y'abaturage.
C.Bye bye sales promotion.
D.Bye bye direct marketing.",c,c,true
"Ni nde muri abo bantu bafite ubwoba bwinshi kurusha abandi?
A.Bye bye scream""
B.Bye bye Jaws
C.Bye bye Halloween
D.Ku wa gatanu tariki ya 13'",d,d,true
"Kutanyurwa n'ubumuntu ni bumwe mu buryo bw'umwihariko
A.Kugwa mu mpanuka
B.Bye bye false dilemma
C.Gusaba ikibazo
D.Bye Bye Circular Reasoning",a,c,false
"Ahabanza Amakuru Amakuru y'Imyidagaduro
A.Bye bye negative.
B.inyungu z'umurimo.
C.Bye bye emosufficiens.
D.gutakaza imirimo.",b,b,true
"Ni uwuhe mukinnyi w'umupira w'amaguru Antonio Banderas?
A.Icyesipanyolo
B.Ikirusiya
C.Ikidage
D.Igifaransa",a,a,true
"Ni iyihe myambaro ikozwe mu biribwa by'ingurube?
A.Haggis Haggis
B.bye bye chitlins
C.Bye bye grits
D.Bye bye Suey",b,d,false
"Ni iyihe filime ya Magnolia yo mu 1999?
A.Bye bye California
B.Bye bye Caroline
C.Jeworujiya
D.Bye bye Texas",a,d,false
"Ni uruhe rurimi rwemewe n'amategeko rw'u Buholandi?
A.Ikinyadanimarike
B.Ikinyasuwede
C.Ikidage
D.Igiholandi",d,d,true
"Ni ibihe bintu bikurikira bifatwa nk'impamvu y'""u Rwanda"" mu gihe cyo kuva mu Buhinde kugera muri Amerika?
A.Ubukene bukabije
B.Akazi keza n'umushahara munini
C.Bye Bye India Caste System
D.Urugomo rw'urugomo mu baturanyi be",b,d,false
"Menya igipimo cya H+(aq) kiri muri 1.0 M phenol, C6H5OH. (1 × 10.)
A.1 × 10-10 M
B.1 × 10-9 M
C.1 × 10-3 M
D.1 × 10-5 M",d,d,true
"Ni nde muri bo ufite ikibazo cy'ubuvuzi bw'imyambaro?
A.Igishushanyo mbonera cy'i Nyabihu mu bisigazwa by'i Nyabihu
B.Igishushanyo mbonera cy'ivugururwa ry'itegeko
C.Ahabanza Amakuru Amakuru y'Imyidagaduro
D.10.2016 Bye Near Zero",b,c,false
"Ni ikihe muri ibyo kigaragaza isano y'ubwihindurize bw'ubwoko butandukanye bushingiye ku rukurikirane rwa aside amino ya poroteyine zo mu bwoko bwa homologous muri rusange zitari nziza ugereranyije n'ibyemezo bifitanye isano hashingiwe ku rukurikirane rwa nucleotide rwa jenoside?
A.Bye bye silent mutations
B.Gene Doubleions
C.Ahabanza Amakuru Amakuru y'Imyidagaduro Amakuru y'Imyidagaduro Amakuru y'
D.bye-bye crossing",a,c,false
"Umurwayi afite ijosi ryavunitse bitewe n'umugongo ku kigero cya gatandatu cy'umugongo.
A.Ntibashobora guhumeka badafite ubufasha bw'ubuzima.
B.Gusa bashobora guhumeka bucece.
C.Ntushobora kumenya ingaruka zo guhumeka.
D.Guhumeka nta ngaruka bizagira.",b,b,true
