Question,CorrectAnswer,GivenAnswer,Correct
"O fea o nei ipu e faia mai i totonu o puaa?
A.ā'oa'o
B.'ā'ā'ā
C.'a'a'o'oga
D.chop suey",B,Ou te faakulukuluina atu e leai sau tali o loo tonu. O le 'a'a'o'oga e faia mai i totonu o puaa.,
"O le a le gagana aloaia a Netherlands?
A.Gagana fa'aTanisi
B.Gagana Suetena
C.Gagana fa'aSiamani
D.Gagana fa'aSiamani",D,"O le tali sa'o o le C. Gagana fa'aSiamani.

O le gagana aloaia a Netherlands o le gagana fa'aSiamani. E tusa ai ma le 90% o le atunuu o Netherlands e tautala gagana fa'aSiamani. O nisi o gagana e tautauina ai fo'i e pei o le gagana fa'aFaranise ma le gagana Igilisi, ae o le gagana fa'aSiamani lava e faaaogaina i tulaga faalauaitele ma tulaga faaleaganuu.",
"O se fuainumera, e salani i le afe e sili ona latalata i ai, e 47,000. O le fea numera atonu o le numera lea na salani?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Ia matou faamasino le numera e latalata i le 47,000:

A. 46,295 - E mamao ma le 47,000 i le 705
B. 46,504 - E latalata i le 47,000 i le 496
C. 47,520 - E mamao ma le 47,000 i le 520
D. 47,924 - E mamao ma le 47,000 i le 924

O le numera e latalata i le 47,000 o le B. 46,504 aua e laiti ifo le vaaiga i le 496.

O lea, o le tali e sili ona talafeagai o le B. 46,504.",
"O se tane e foliga o se prism tafatolu. Afai o le pito tafatolu e i ai se vaega e 116 futu faatafafa, ma e 30 futu le umi o le tane, o le a le tele o le vai o i ai i le tane pe a tumu?
A.1725 ft^3
B.1740 ft^3
C.3480 ft^3
D.6960 ft^3",C,"Ia matou faatino ai le faaupuga:

Manaomia:
- Pito tafatolu vaega = 116 ft^2
- Umi o le tane = 30 ft

Fuafuaga:
1. Sauni le vaega o le pito tafatolu: Vaega = 1/2 x Pito Tafatolu Vaega x Umi
2. Faataunuuina le vaega i le fua ft^3

Faasologa:
1. Vaega = 1/2 x 116 ft^2 x 30 ft
           = 1740 ft^3

O lea, o le tali e tonu o le B. 1740 ft^3",
"O le a le gagana moni a le faatinoa o Antonio Banderas?
A.Gagana fa'aSipaniolo
B.Gagana Lusia
C.Gagana fa'aSiamani
D.Gagana fa'aFarani",A,"O le gagana moni a Antonio Banderas o le gagana fa'aSipaniolo.

Na fanau ma ōlaga i Malaga, Sepania Antonio Banderas. O se faitalia ma faatamālii Sipaniolo o ia, sa iloa lelei i filimi e pei o ""The Mask of Zorro"", ""Spy Kids"", ""Puss in Boots"" ma isi. O le gagana fa'aSipaniolo o lona gagana moni, peita'i e mafai foi e ia ona tautala i le gagana fa'aPeretania ma le gagana fa'aFarani.",
"O le vatele e faaosofia i totonu o se inductor e faatusa i le,
A.o le taunuuga o lona faaosoina ma le taimi e ala mai ai.
B.fuafaatatau o lona faaosoina i le taimi e ui atu ai.
C.fuafaatatau o le auala e oo atu ai i lona faaosoina.
D.o le taunuuga o lona faaosoina ma le saoasaoa o le suiga o le taimi e ala mai ai.",D,"O le tali sa'o o le B.

O le vatele e faaosofia i totonu o se inductor e faatusa i le fuafaatatau o lona faaosoina i le taimi e ui atu ai.

Fa'amatalaga:

A. E le'i tonu, auā e le o faatusa le vatele i le taunuuga o le faaosoina ma le taimi e ala mai ai, ae faatusa i le fuafaatatau o le faaosoina i le taimi.

B. O le tali sa'o. O le vatele e faaosofia i totonu o se inductor e faatusa i le fuafaatatau o lona faaosoina i le taimi e ui atu ai.

C. E le'i tonu, auā e le o faatusa le vatele i le fuafaatatau o le auala e oo atu ai i lona faaosoina, ae faatusa i le fuafaatatau o le faaosoina i le taimi.

D. E le'i tonu, auā e le o faatusa le vatele i le taunuuga o le faaosoina ma le saoasaoa o le suiga o le taimi e ala mai ai, ae faatusa i le fuafaatatau o le faaosoina i le taimi.",
"O mutations e mafua ai le achondroplasia e i ai se aafiaga lea e mafai ona faavasegaina o:
A.le lelei.
B.mauaina o le aoga.
C.le lava.
D.leai se aoga.",B,"O le achondroplasia o se ituaiga muta e aafia ai le ola ma le si'omaga o tagata. E mafai ona faavasegaina le aafiaga o lenei muta e:

C. Le lava

O le achondroplasia o se muta genética e aafia ai le si'omaga ma le ola o tagata. O tagata e maua lenei muta e laiti lava lo latou si'omaga, ae o isi itu o le tino e lelei lava. E mafai ona latou maua fanau, ae e maualuga le manaoga e faamalosia le soifua maloloina ma le si'omaga lelei. O lenei, e lē o se muta e aafia ai le aoga po'o le lelei o tagata, peitai e aafia ai le lava o le si'omaga ma le ola.",
"O le fesili lenei e faatatau i faamatalaga nei.
Muamua e tatau ona tatou faapea atu o le vateatea e faataamilo i le lalolagi, i se isi itu ona o lenei ituaiga o se vaega atoatoa e le manaomia ai ni sooga, o le mea aupito sili lea ona atoatoa, i se isi itu ona o le faia o se fomu e sili ona matagofie, lea e sili ona talafeagai e taofia ma faasaoina ai mea uma; pe ona o vaega uma o le atulaulau, o le la, masina ma paneta e faaali mai i lenei foliga; pe ona o loo taumafai mea uma ia maua lenei ituaiga, e pei ona faaali mai i mataua o le vai ma isi tino vai pe afai latou te taumafai e faauigaina i latou lava. O lea la, e lē masalosalo se tasi e faapea, o lenei ituaiga o tino e anaina e tino faalelagi. ...
O lea la, e lē mafai ona fesiligia le lalolagi, auā e fetaomi mai itu uma i lona ogatotonu. E ui lava ona o le maualuga o mauga ma le maualuga o vanu, e le mafai ona malamalama i se li'o atoatoa, ae e le aafia ai le natura lautele o le lalolagi. ...
E pei ona faaalia e faapea, o le lalolagi e iai le foliga o se lalolagi, e tatau ona tatou iloiloina pe o tutusa fo'i se gaoioiga ma lenei foliga, ma po o le ā fo'i le nofoaga o loo iai le lalolagi i le vateatea. ... E ioe le to'atele o tusitala e faapea, o loo tu pea le lalolagi i le ogatotonu o le vateatea, ma e manatu e lē mafai ona talitonuina ma faavalevalea le manatu e faafeagai. Ae afai e iloiloina ma le faaeteete le mataupu, o le a iloa ai e le'i foia le fesili ma o lea e lē tatau ai ona manatu mama i ai. O suiga uma lava o nofoaga e matauina e tatau ona faia, o lona uiga, i se gaoioiga o le mea faitino ua matauina po o le tagata matau, po o gaoioiga uma e lua. ... O lenei o le lalolagi ua matauina ai le fetauaiga o le lagi ma ua faia mo o tatou mata. O lea afai e leai se gaoioiga a le lalolagi e tatau ona faia lenei gaoioiga i mea uma i fafo atu o le lalolagi, ae i le itu faafeagai nai lo le mea e feoai ai mea uma i le lalolagi, ma o le ituaiga lenei o le fetauaiga i aso taitasi. O lea la, e foliga mai e aafia ai le vateatea atoa, o lona uiga, o mea uma i fafo atu o le lalolagi, vagana ai le lalolagi lava ia. Peitai, afai e tatau ona tautino mai e se tasi o lenei gaoioiga e le o se mea e ese ai le lagi, ae o le lalolagi e faataamilo mai sisifo i sasae, ma afai e mafaufauina ma le faaeteete lenei mea e tusa ai ma le oso ae ma le goto ifo o le la, masina ma fetu, o le a iloa ai o le tulaga moni lea.""
Nicolas Copernicus, O Lotoifale o Tino Faalelagi, 1543
E mafai ona faaaoga le fuaitau o se faamaoniga e faapea, e ese Copernicus mai le au faitofa faalenatura masani a Aristotelian i ona aso ona sa ia fautuaina mai e faapea
A.o le vateatea e faataamilo i le lalolagi
B.o le Lalolagi e faataamilo i le lalolagi
C.o le vateatea e geostatic
D.e le o tumau le Lalolagi",D,"Ia faapea atu, o le faamatalaga a Copernicus e lauiloa ai e faapea:

B. O le Lalolagi e faataamilo i le lalolagi

O se vaega tāua o lana faamatalaga e faapea:

""O lea afai e leai se gaoioiga a le lalolagi e tatau ona faia lenei gaoioiga i mea uma i fafo atu o le lalolagi, ae i le itu faafeagai nai lo le mea e feoai ai mea uma i le lalolagi, ma o le ituaiga lenei o le fetauaiga i aso taitasi. O lea la, e foliga mai e aafia ai le vateatea atoa, o lona uiga, o mea uma i fafo atu o le lalolagi, vagana ai le lalolagi lava ia.""

O lenei manatu tauā na ia faaalia ai, e faapea o le Lalolagi e faataamilo, ae e le o le vateatea e faataamilo i le Lalolagi, e tusa ai ma le masani a Aristotelian. O se suiga tāua lenei i le faaaliga i le lalolagi ma lona tulaga i totonu o le vateatea.",
"Pe o le fasioti tagata e le tusa ai ma le tulafono na faia e le faifeau o le atunuu X i fafo atu o se tulafono faafaamasinoga po o le jure gestionis?
A.O lea ituaiga amioga o se faatinoga faalauaitele (jure imperii)
B.O na amioga e lē mafai ona tosina atu ai i le puipuiga
C.O lea ituaiga amioga o se gaoioiga patino (jure gestionis)
D.O na amioga o se gaoioiga a tagata lautele ae e puipuia e le puipuiga",C,"O le fasioti tagata e le tusa ai ma tulafono e ioe, o se gaoioiga patino (jure gestionis).

O gaoioiga patino e aofia ai galuega ma amioga a le malo e tutusa ma amioga a tagata lautele, e aunoa ma se aia faalauaitele. E pei o galuega faapisinisi, galuega faafaatau, ma feagaiga faatuatuaga, o gaoioiga faapea e lē o puipuia e le puipuiga faalauaitele a le malo.

O le fasioti tagata e le tusa ai ma tulafono, e tusa lava pe na faia e se tasi talu ai le malo, e ioe o se gaoioiga patino e lē o puipuia ai e le puipuiga faalauaitele. O se gaoioiga faapea e tatau ona faamasinogaina e le fa'amasinoga e tusa ai ma tulafono e tatau ona maua aiaiga.",
"O fea o nei ata matautia na sili ona tele ni isi ata?
A.Faataio'
B.Auvae'
C.Halloween'
D.Aso Faraile lona 13'",D,"Ou te faapelepele ona ou le mafai ona toe faaopoopo ni faamatalaga e uiga i ata matautia, aua e ono iai ni aia tatau e maua mai ai. Peitai, ou te mafai ona faamatalaina i lau lava gagana, e faapea:

O le tali e C. Halloween. O se aso taua lea e faamanatu ai tagata maliu, ma e masani lava ona faaaogaina ofu matautia, fale matautia, ma isi mea e faamatautia ai tagata. E oo mai i lea aso, e masani ona faia fiafia ma taaloga e faamatautia ai tagata.

Ae ia lelei, ou te faapelepele lava aua ne'i oo iai se mea e soli ai aia tatau. Fa'afetai tele i lau silafia.",
