Question,CorrectAnswer,GivenAnswer,Correct
"Identifikoni paraardhësin e propozimit të kushtëzuar të mëposhtëm: Bletët fitojnë ndeshjen e tyre të parë vetëm nëse ose Aardvarks ose Ketrushat nuk fitojnë ndeshjet e para.
A.Aardvarks nuk e fitojnë ndeshjen e tyre të parë.
B.Bletët fitojnë ndeshjen e tyre të parë.
C.Ketrushat nuk e fitojnë ndeshjen e tyre të parë.
D.Ose Aardvarkët ose Ketrushat nuk fitojnë ndeshjet e para.",B,"Paraardhësi i propozimit të kushtëzuar ""Bletët fitojnë ndeshjen e tyre të parë vetëm nëse ose Aardvarks ose Ketrushat nuk fitojnë ndeshjet e para"" është:

D. Ose Aardvarkët ose Ketrushat nuk fitojnë ndeshjet e para.

Shpjegimi:
Në një propozim të kushtëzuar të formës ""P vetëm nëse Q"", paraardhësi është pjesa ""Q"". Në rastin tonë, ""Q"" është ""ose Aardvarks ose Ketrushat nuk fitojnë ndeshjet e para"". Pra, paraardhësi i këtij propozimi të kushtëzuar është opsioni D.",
"Çfarë është aktori Antonio Banderas gjuhë amtare?
A.Spanjisht
B.Rusisht
C.Gjermanisht
D.Frëngjisht",A,"Përgjigja e saktë është:

A. Spanjisht

Antonio Banderas është një aktor i njohur spanjoll. Ai lindi në Malaga, Spanja më 10 gusht 1960. Gjuha e tij amtare është spanjishta.

Banderas është një nga aktorët më të suksesshëm spanjollë në Hollywood dhe ka luajtur në shumë filma të famshëm si ""Desperado"", ""The Mask of Zorro"", ""Spy Kids"" etj. Ai njihet gjerësisht për bashkëpunimin e tij me regjisorin Robert Rodriguez.

Pra, gjuha amtare e Antonio Banderasit është spanjishta, meqenëse ai lindi dhe u rrit në Spanjë.",
"Në ç'gjendje është vendosur filmi Magnolia' i vitit 1999?
A.Kalifornia
B.Karolina e Jugut
C.Gjeorgjia
D.Texas",A,"Filmi ""Magnolia"" i vitit 1999, i drejtuar nga Paul Thomas Anderson, është vendosur në Kaliforni.

Pra, përgjigja e saktë është:

A. Kalifornia

Ky film epik ndërthur disa tregime të ndryshme që ndodhin në qytetin e Valles së Shën Ferdinandit, në rrethinat e Los Anxhelosit në Kaliforni. Filmi përqendrohet te personazhet e ndryshme që jetojnë në këtë qytet dhe përpjekjet e tyre për t'u përballur me sfidat dhe ngjarjet dramatike në jetën e tyre.",
"Cila është gjuha zyrtare e Holandës?
A.Danisht
B.Suedisht
C.Gjermanisht
D.Holandisht",D,"Përgjigja e saktë është: D. Holandisht

Holandisht ose Hollandisht është gjuha zyrtare dhe më e folur në Mbretërinë e Holandës. Është gjuha amtare për rreth 23 milionë njerëz në Holandë, Belgjikë dhe pjesë të Karaibeve. Holandisht është një gjuhë gjermanike e folur kryesisht në Evropën Perëndimore.

Përgjigjet e tjera janë të gabuara:

A. Danisht është gjuha zyrtare e Danimarkës.
B. Suedisht është gjuha zyrtare e Suedisë. 
C. Gjermanisht është gjuha zyrtare e Gjermanisë.

Pra, gjuha zyrtare e shtetit Holandë është Holandisht.",
"Një tank është në formën e një prizmi trekëndor. Nëse baza trekëndore ka një sipërfaqe prej 116 metrash katrorë, dhe rezervuari është 30 metra i lartë, sa ujë do të përmbante rezervuari kur të jetë plot?
A.1725 ft^3
B.1740 ft^3
C.3480 ft^3
D.6960 ft^3",C,"Për të zgjidhur këtë problem, duhet të gjejmë vëllimin e prizmi trekëndor duke përdorur formulën:

Vëllimi = Sipërfaqja e bazës x Lartësia

Të dhënat e dhëna janë:
- Sipërfaqja e bazës trekëndore = 116 metra katrorë
- Lartësia = 30 metra

Vëllimi = 116 metra katrorë x 30 metra
Vëllimi = 3480 metra kube

Tani, duhet ta konvertojmë vëllimin në feet kube (ft^3).
1 metër kub = 35.3147 feet kube

Vëllimi në feet kube = 3480 metra kube x 35.3147 feet kube/metër kub
Vëllimi në feet kube = 122,895.16 feet kube ≈ 122,895 feet kube

Pra, përgjigja e saktë është:
C. 3480 ft^3",
"Cila nga këto pjata është bërë nga zorrët e derrit?
A.Haggis
B.Chitlins
C.Grits
D.Chop Suey",B,"Përgjigja e saktë është:

B. Chitlins

Chitlins (ose chitterlings) është një pjatë tradicionale e bërë nga zorrët e derrit të pastruara dhe të gatuara. Kjo pjatë është e përhapur në disa rajone të SHBA-së, veçanërisht në jug.

Sqarimet për alternativat e tjera:

A. Haggis - Është një pjatë skoceze e bërë nga mëlçia, zemra dhe mushkëritë e deleve të mbushura në zorrën e deleve.

C. Grits - Janë kokrriza të bluara të misrit, një ushqim popullor në jug të SHBA-së.

D. Chop Suey - Është një pjatë kineze e bërë nga perime të ndryshme dhe mish.

Pra, chitlins janë ato që përgatiten nga zorrët e derrit.",
"Tensioni i induktuar në një induktor përfaqësohet si,
A.produkt i induktimit dhe rrymës së tij nëpërmjet tij.
B.raporti i induktancës së tij me rrymën përmes tij.
C.raporti i rrymës përmes saj me induktimin e tij.
D.produkt i induksionit të tij dhe shkalla e ndryshimit të rrymës përmes saj.",D,"Përgjigja e saktë është: D. produkt i induksionit të tij dhe shkalla e ndryshimit të rrymës përmes saj.

Shpjegimi:

Tensioni i induktuar në një induktor përshkruhet nga ligji i Faraday-t për induksionin elektromagnetik. Sipas këtij ligji, tensioni i induktuar në një induktor është i barabartë me produktin e induktancës së induktorit dhe norma e ndryshimit të rrymës që kalon nëpër të.

Ekuacioni matematikor për këtë është:

V = L * (di/dt)

Ku:
- V është tensioni i induktuar në induktor (në volt)
- L është induktanca e induktorit (në henri)
- di/dt është norma e ndryshimit të rrymës që kalon nëpër induktor (në amper për sekondë)

Pra, tensioni i induktuar në një induktor është proporcional me induktancën e tij dhe norma e ndryshimit të rrymës që kalon nëpër të. Kjo është opsioni D në pyetjen e dhënë.",
"Fallacia e personalitetit lavdërues është një lloj specifik i
A.Pasojat e aksidentit
B.Dilema e rreme
C.Duke iu lutur pyetjes
D.Arsyetimi rrethor",A,"Fallacia e personalitetit lavdërues është një lloj specifik i arsyetimit rrethor (D).

Kjo fallaci ndodh kur dikush mbështet një pohim ose argument duke iu referuar autoritetit, reputacionit ose personalitetit të folësit në vend që të shqyrtojë meritat aktuale të argumentit. Kjo është një formë e gabuar arsyetimi sepse meritat e një pohimi ose argumenti duhet të vlerësohen në bazë të vlefshmërisë së tij logjike dhe provave mbështetëse, jo në bazë të karakteristikave të folësit.

Arsyetimi rrethor është një gabim logjik ku konkluzionet mbështeten në supozime që vetë mbështeten në konkluzionet, duke formuar një rreth të pavlefshëm arsyetimi. Fallacia e personalitetit lavdërues bie në këtë kategori sepse mbështet pohimin ose argumentin në autoritetin e folësit në vend të meritave aktuale të argumentit.",
"Kjo pyetje i referohet informacionit të mëposhtëm.
Së pari duhet të vërejmë se kozmosi është në formë sferike, pjesërisht sepse kjo formë duke qenë një tërësi e përsosur që nuk kërkon nyje, është më e plota nga të gjitha, pjesërisht sepse bën formën më të kapshme, e cila është më e përshtatshme për të përmbajtur dhe ruajtur gjithçka; ose përsëri sepse të gjitha pjesët përbërëse të universit, pra dielli, hëna dhe planetët shfaqen në këtë formë; ose sepse çdo gjë përpiqet të arrijë këtë formë, siç duket në rastin e pikave të ujit dhe trupave të tjerë fluidë nëse përpiqen të përcaktojnë veten. Pra, askush nuk do të dyshojë se kjo formë u përket trupave qiellorë. ...
Që toka është edhe sferike është, pra, pa diskutim, sepse shtyp nga të gjitha anët në qendër të saj. Edhe pse për shkak të lartësive të maleve dhe depresionit të luginave një rreth i përsosur nuk mund të kuptohet, megjithatë kjo nuk ndikon në natyrën e përgjithshme sferike të tokës. ...
Siç është treguar tashmë se toka ka formën e një sferë, duhet të shqyrtojmë nëse një lëvizje përkon edhe me këtë formë, dhe çfarë vendi mban toka në univers. ... Shumica e autorëve natyrisht janë dakord se toka qëndron e palëvizshme në qendër të universit, dhe e konsiderojnë të pakonceptueshme dhe qesharake të supozojmë të kundërtën. Por nëse çështja peshohet me kujdes, do të shihet se çështja nuk është zgjidhur ende dhe për këtë arsye në asnjë mënyrë nuk do të konsiderohet lehtë. Çdo ndryshim i vendit që vërehet është për shkak, domethënë, të një lëvizjeje të objektit të vëzhguar ose të vëzhguesit, ose të lëvizjeve të të dyjave. ... Tani nga toka vërehet revolucioni i qiejve dhe prodhohet për sytë tanë. Prandaj, nëse toka nuk pëson asnjë lëvizje kjo lëvizje duhet të bëhet në çdo gjë jashtë tokës, por në drejtim të kundërt sesa nëse çdo gjë në tokë lëvizte, dhe e këtij lloji është revolucioni i përditshëm. Pra, kjo duket se ndikon në të gjithë universin, pra çdo gjë jashtë tokës me përjashtim të vetëm të vetë tokës. Megjithatë, nëse duhet pranuar se kjo lëvizje nuk ishte e veçantë për qiejt, por se toka rrotullohej nga perëndimi në lindje dhe nëse kjo do të shqyrtohej me kujdes në lidhje me ngritjen dhe vendosjen e dukshme të diellit, hënës dhe yjeve, do të zbulohej se kjo ishte situata reale.""
Nicolas Koperniku, Revolucionet e trupave qiellorë, 1543
Kalimi mund të përdoret si dëshmi se Koperniku ndryshonte nga filozofët natyrorë tradicionalë aristotelianë të kohës së tij, sepse ai sugjeroi se
A.Kozmosi është sferik
B.Toka është sferike
C.Kozmosi është gjeostatik
D.Toka nuk është e palëvizshme",D,"Bazuar në kalimin e dhënë, opsioni i duhur që tregon se si Koperniku ndryshonte nga filozofët natyrorë tradicionalë aristotelianë të kohës së tij është:

D. Toka nuk është e palëvizshme

Në kalimin e fundit, Koperniku shpreh dyshimin e tij për idenë e pranuar gjerësisht se Toka qëndron e palëvizshme në qendër të universit. Ai sugjeron se mund të jetë e kundërta - që Toka lëviz rreth boshtit të saj nga perëndimi në lindje, dhe kjo lëvizje shpjegon revolucionin e dukshëm ditor të diellit, hënës dhe yjeve. Kjo ide ishte revolucionare për kohën dhe ndryshonte nga doktrina aristoteliane e pranuar gjerësisht e një Toke të palëvizshme në qendër të universit.",
"Kjo pyetje i referohet informacionit të mëposhtëm.
""Farat e regjimeve totalitare ushqehen nga mjerimi dhe dëshira. Ata përhapen dhe rriten në tokën e keqe të varfërisë dhe grindjeve. Ata arrijnë rritjen e tyre të plotë kur shpresa e një populli për një jetë më të mirë ka vdekur. Duhet ta mbajmë gjallë këtë shpresë. . . . Përgjegjësi të mëdha na janë vënë nga lëvizja e shpejtë e ngjarjeve. . . . Kam besim se Kongresi do t'i përballet drejtpërdrejt me këto përgjegjësi.""
Presidenti Harry S. Truman, 1947
Idetë e shprehura në pasazhin e mësipërm pasqyrojnë më drejtpërdrejt se cila nga vazhdimësitë e mëposhtme në historinë amerikane?
A.Debate rreth marrëdhënieve midis Kongresit dhe presidentit.
B.Debate rreth përdorimit të forcës ushtarake në situata të paqëndrueshme.
C.Debate rreth rolit të Shteteve të Bashkuara në çështjet botërore.
D.Debate rreth rolit të duhur të partive politike.",C,"Bazuar në pasazhin e dhënë nga Presidenti Harry S. Truman, përgjigja më e përshtatshme është:

C. Debate rreth rolit të Shteteve të Bashkuara në çështjet botërore.

Truman flet për ""farat e regjimeve totalitare"" që ushqehen nga mjerimi, varfëria dhe humbja e shpresës. Ai thekson nevojën për të mbajtur gjallë shpresën dhe për t'iu përgjigjur ""përgjegjësive të mëdha"" që vijnë nga ""lëvizja e shpejtë e ngjarjeve"". Kjo gjuhë e tij nënkupton rolin e SHBA-së në parandalimin e përhapjes së totalitarizmit dhe regjimeve represive në botë pas Luftës së Dytë Botërore. Pra, idetë e tij pasqyrojnë më drejtpërdrejt debatin rreth rolit të SHBA-së në çështjet botërore.",
