Question,CorrectAnswer,GivenAnswer,Correct
"1999 ஆம் ஆண்டு வெளியான மாக்னோலியா திரைப்படம் எந்த நிலையில் உள்ளது?
A.கலிபோர்னியா
B.தென் கரொலைனா
C.ஜார்ஜியா
D.டெக்சாஸ்",A,"மாக்னோலியா திரைப்படம் 1999 ஆம் ஆண்டு வெளியானது. இந்த திரைப்படம் ஜார்ஜியா மாநிலத்தில் நடந்தது.

எனவே, சரியான விடை: C. ஜார்ஜியா",
"1.0 M பீனால், C6H5OH, கரைசலில் H+(aq) செறிவைக் காண்க. (பீனாலுக்கான கா 1 × 10^-10 ஆகும்.)
A.1 × 10^-10 மீ
B.1 × 10^-9 மீ
C.1 × 10^-3 மீ
D.1 × 10^-5 மீ",D,"இந்தப் பிரச்சினையை தீர்க்க, நாம் பீனாலின் அமிலத்தன்மை விதிவிலக்கை பயன்படுத்த வேண்டும்.

பீனாலின் அமிலத்தன்மை விதிவிலக்கு (Ka) = 1 × 10^-10

Ka = [H+][C6H5O-] / [C6H5OH]

1 × 10^-10 = [H+][C6H5O-] / 1.0 M (ஏனெனில் தொடக்க பீனால் சேர்மம் 1.0 M)

[H+] = Ka × [C6H5OH]
       = 1 × 10^-10 × 1.0
       = 1 × 10^-10 M

எனவே, சரியான விடை B. 1 × 10^-10 M ஆகும்.",
"நடிகர் அன்டோனியோ பண்டேராவின் தாய்மொழி என்ன?
A.ஸ்பானிஷ்
B.ருஷ்ய
C.ஜெர்மன்
D.பிரெஞ்சு",A,"நடிகர் அன்டோனியோ பண்டேராஸ் ஸ்பானிய தாய்மொழி பேசுபவர். எனவே, சரியான விடை A) ஸ்பானிஷ் ஆகும்.

அவரது முழுப்பெயர் அன்டோனியோ பண்டேராஸ் நிக்கோலாஸ் ஆகும். அவர் ஸ்பெயினில் உள்ள மாலாகா நகரில் பிறந்தவர். ஸ்பானிய சினிமாவில் முன்னணி நடிகராக விளங்குகிறார். அவரது சிறந்த நடிப்புக்காக பல விருதுகளையும் பெற்றுள்ளார்.",
"நெதர்லாந்தின் அதிகாரப்பூர்வ மொழி என்ன?
A.டானிஷ்
B.ஸ்வீடிஷ்
C.ஜெர்மன்
D.டச்சு",D,"நெதர்லாந்தின் அதிகாரப்பூர்வ மொழி டச்சு ஆகும்.

சரியான விடை: D. டச்சு

டச்சு மொழி நெதர்லாந்து நாட்டின் அதிகாரப்பூர்வ மொழியாகும். இது ஜெர்மானிக் மொழிகுடும்பத்தைச் சேர்ந்தது. டானிஷ் மொழி டென்மார்க் நாட்டிலும், ஸ்வீடிஷ் மொழி ஸ்வீடன் நாட்டிலும் பேசப்படுகிறது. ஜெர்மன் மொழி ஜெர்மனி நாட்டின் அதிகாரப்பூர்வ மொழியாகும். எனவே, நெதர்லாந்தின் அதிகாரப்பூர்வ மொழி டச்சு என்பது சரியான விடையாகும்.",
"பின்வரும் நிபந்தனை முன்மொழிவின் முன்னோடியை அடையாளம் காணவும்: ஆர்ட்வார்க்ஸ் அல்லது சிப்மங்க்ஸ் தங்கள் முதல் ஆட்டங்களை வெல்லாவிட்டால் மட்டுமே தேனீக்கள் தங்கள் முதல் ஆட்டத்தை வெல்லும்.
A.ஆர்ட்வார்க்ஸ் தங்கள் முதல் ஆட்டத்தை வெல்லவில்லை.
B.தேனீக்கள் தங்கள் முதல் ஆட்டத்தில் வெற்றி பெறுகின்றன.
C.சிப்மங்க்ஸ் அவர்களின் முதல் ஆட்டத்தை வெல்லவில்லை.
D.ஆர்ட்வார்க்ஸ் அல்லது சிப்மங்க்ஸ் தங்கள் முதல் ஆட்டங்களை வெல்லவில்லை.",B,"பின்வரும் நிபந்தனை முன்மொழிவின் முன்னோடி:

""ஆர்ட்வார்க்ஸ் அல்லது சிப்மங்க்ஸ் தங்கள் முதல் ஆட்டங்களை வெல்லாவிட்டால் மட்டுமே தேனீக்கள் தங்கள் முதல் ஆட்டத்தை வெல்லும்.""

இந்த முன்மொழிவின் முன்னோடி D ஆகும்: ""ஆர்ட்வார்க்ஸ் அல்லது சிப்மங்க்ஸ் தங்கள் முதல் ஆட்டங்களை வெல்லவில்லை.""

ஏனெனில், இந்த முன்னோடி உண்மையாக இருந்தால், நிபந்தனை முன்மொழிவின் பிற்பகுதி ""தேனீக்கள் தங்கள் முதல் ஆட்டத்தை வெல்லும்"" என்பது உண்மையாகும்.",
"இந்த உணவுகளில் எது பன்றியின் குடலில் இருந்து தயாரிக்கப்படுகிறது?
A.ஹாகிஸ்
B.சிட்லின்கள்
C.கிரிட்ஸ்
D.சாப் சூயி",B,"சாப் சூயி (Chop suey) என்பது பன்றியின் குடலில் இருந்து தயாரிக்கப்படுகிறது.

சாப் சூயி என்பது சீன உணவு வகையாகும். இதில் வெவ்வேறு காய்கறிகள், இறைச்சி மற்றும் சமையல் சுவைகள் கலந்து தயாரிக்கப்படுகிறது. பன்றியின் குடலை சுத்தம் செய்து, நறுக்கி, சமையலில் சேர்க்கப்படுகிறது. இது சாப் சூயிக்கு தனித்துவமான சுவையை அளிக்கிறது.

எனவே, கொடுக்கப்பட்ட விருப்பங்களில் ""D. சாப் சூயி"" என்பது சரியான பதில் ஆகும்.",
"ஒரு நோயாளி ஆறாவது கர்ப்பப்பை வாய் முதுகெலும்பு மட்டத்தில் முதுகெலும்பு சேதமடைந்து கழுத்து உடைந்து பாதிக்கப்படுகிறார்.
A.உயிர் காக்கும் கருவிகள் இல்லாமல் அவர்களால் சுவாசிக்க முடியாது.
B.அவர்களால் அமைதியாக மட்டுமே சுவாசிக்க முடியும்.
C.சுவாசத்தில் ஒரு விளைவை கணிக்க முடியாது.
D.சுவாசம் பாதிக்கப்படாது.",B,"இந்த சூழ்நிலையில், ஆறாவது கர்ப்பப்பை வாய் முதுகெலும்பு மட்டத்தில் முதுகெலும்பு சேதமடைந்து கழுத்து உடைந்திருப்பதால், நோயாளியால் சுவாசிக்க முடியாத நிலை ஏற்படும். எனவே, சரியான விடை A: உயிர் காக்கும் கருவிகள் இல்லாமல் அவர்களால் சுவாசிக்க முடியாது.

கழுத்து முதுகெலும்பு பாதிப்பு காரணமாக நரம்பு மண்டலத்தின் செயல்பாடு பாதிக்கப்படுகிறது, இதனால் சுவாசிக்கும் தசைகளின் இயக்கம் பாதிக்கப்படுகிறது. இந்த நிலையில், நோயாளிக்கு வெளிப்புற உயிர் காக்கும் கருவிகளை பயன்படுத்தாமல் சுவாசிக்க முடியாது.",
"புகழ்ச்சி ஆளுமை என்ற தவறான கருத்து ஒரு குறிப்பிட்ட வகை
A.விபத்தின் மாயை[தொகு]
B.தவறான சங்கடம்
C.கேள்வி கேட்டு
D.வட்ட பகுத்தறிவு",A,"சரியான விடை: D. வட்ட பகுத்தறிவு

விளக்கம்: 'புகழ்ச்சி ஆளுமை' என்பது ஒரு தவறான கருத்தாகும். இது ஒரு வகையான வட்ட பகுத்தறிவு (Circular reasoning) ஆகும். வட்ட பகுத்தறிவு என்பது ஒரு முடிவை நிரூபிக்க அதே முடிவை பயன்படுத்துவதாகும். இது ஒரு தர்க்க விதிமீறல் ஆகும்.

மற்ற விருப்பங்கள்:

A. விபத்தின் மாயை - இது சரியான விளக்கம் அல்ல.
B. தவறான சங்கடம் - இதுவும் சரியான விளக்கம் அல்ல.
C. கேள்வி கேட்டு - இதுவும் சரியான விளக்கம் அல்ல.

எனவே, 'புகழ்ச்சி ஆளுமை' என்பது வட்ட பகுத்தறிவு என்பதே சரியான விடை.",
"எதிர்மறை எஞ்சிய தன்தொடர்பு பின்வருவனவற்றில் எதனால் குறிக்கப்படுகிறது?
A.எச்சங்களில் ஒரு சுழற்சி முறை
B.எச்சங்களில் ஒரு மாற்று முறை
C.எச்சங்களில் ஒரு முழுமையான சீரற்ற தன்மை
D.எச்சங்கள் அனைத்தும் பூஜ்ஜியத்திற்கு அருகில் உள்ளன",B,"எதிர்மறை எஞ்சிய தன்தொடர்பு என்பது எச்சங்களில் ஒரு சீரற்ற தன்மையைக் குறிக்கிறது. எனவே, சரியான விடை C. எச்சங்களில் ஒரு முழுமையான சீரற்ற தன்மை ஆகும்.

எதிர்மறை எஞ்சிய தன்தொடர்பு என்பது நிகழ்வுகளின் தொடரில் ஒவ்வொரு நிகழ்வும் முந்தைய நிகழ்வுகளுடன் எதிர்மறையாக தொடர்புடையதாக இருப்பதைக் குறிக்கிறது. இதன் பொருள், ஒரு நிகழ்வின் நிகழ்தகவு அதற்கு முந்தைய நிகழ்வுகளின் நிகழ்தகவுகளை குறைக்கிறது என்பதாகும். இது எச்சங்களில் ஒரு சீரற்ற தன்மையை உருவாக்குகிறது, அதாவது அவை ஒருவரை ஒருவர் சார்ந்திருப்பதில்லை.",
"கே-மடிப்பு குறுக்கு-சரிபார்ப்பு என்பது
A.நேரியல் ஓ இல்
B.ஓ ல் இருபடி
C.கனச்சதுரம் ஓ
D.K இல் அடுக்குக்குறி",A,"கே-மடிப்பு குறுக்கு-சரிபார்ப்பு என்பது கணினி அறிவியலில் பயன்படுத்தப்படும் ஒரு தரவு கட்டமைப்பாகும். இது தரவுகளை சேமிக்கவும், அணுகவும் பயன்படுகிறது.

இதன் விடை: D. K இல் அடுக்குக்குறி

கே-மடிப்பு குறுக்கு-சரிபார்ப்பு என்பது K-ary tree (அடுக்குக்குறி மரம்) எனவும் அழைக்கப்படுகிறது. இதில் K என்பது ஒவ்வொரு குறியிடத்திலும் அதிகபட்ச குழந்தைகளின் எண்ணிக்கையைக் குறிக்கிறது. இது தரவுகளை அணுகுவதற்கும், சேமிப்பதற்கும் பயன்படுகிறது. இந்த கட்டமைப்பு தேடல் மற்றும் சேர்க்கை செயல்முறைகளை விரைவாக செய்ய உதவுகிறது.",
