Question,CorrectAnswer,GivenAnswer,Correct
"Aktor Antonio Banderasyň ene dili näme?
A.Ispan dili
B.Rus dili
C.Nemes dili
D.Fransuz dili",A,"Antonio Banderasyn ene dili Ispan dilidir.

Antonio Banderas - meşhur ispan aktýory. Ol 1960-njy ýylda Ispaniýanyň Malaga şäherinde doglupdyr. Şonuň üçin hem onuň ene dili Ispan dilidir.

Şeýlelikde, dogry jogap:
A) Ispan dili",
"1999-njy ýylda çykarylan «Magnoliýa» filmi haýsy döwletde setiri bar?
A.Kaliforniýa
B.Günorta Karolina
C.Gürjüstan
D.Teksas",A,"""Magnoliýa"" filmi 1999-njy ýylda Kaliforniýa ştatynda çekilen.

Şeýlelikde, dogry jogap:
A) Kaliforniýa

Bu film režissor Pol Tomas Andersonyň görnükli işlerinden biri bolup, Kaliforniýanyň San-Fernando jülgesinde we Los-Anjeles şäherinde çekilen. Film dürli adamlaryň durmuşyny, olaryň arasynda baglanyşyklary we özara täsirlerini beýan edýär.",
"Niderlandlaryň döwlet dili nähili?
A.Daniýa dili
B.Şwed dili
C.Nemes dili
D.Niderland dili",D,"Niderlandlaryň döwlet dili Niderland dilidir.

Dogry jogap: D. Niderland dili

Niderland dili Niderlandlar, Belgiýanyň bir bölegi we Surinam ýaly käbir endik koloniýalarda dowamly ulanylyp gelýän resmi dildir. Ol Germanlyk dilleriň biri bolup, Nemes dili bilen ýakyndan garyşýar. Niderlandlaryň iň iri şäherlerinden biri bolan Amsterdam şäherinde Niderland dili giňden ulanylyp gelýär.",
"Orta ýaşan adamlar özünden uly ýa-da ýaşlara garanyňda ____ ýaly görünýär
A.Generatiw
B.Neýrohirurgiýa
C.Gaýgyly
D.Anyk",A,"Dogry jogap: C. Gaýgyly

Bu kontekstde, orta ýaşly adamlaryň özlerinden uly ýa-da ýaşlara garanyňda ""gaýgyly"" ýaly görünmegi aňladylýar. Orta ýaşly adamlar ýaşlara garanyňda has gaýgyryjy, aladalanyjy ýa-da endişeli bolup görünýärler.

Beýleki variantlaryň manysy:

A. Generatiw - Döretmek, öndürmek bilen baglanyşykly
B. Neýrohirurgiýa - Baş beýni we onuň esasy ulgamyny operatiw usulda bejermek
D. Anyk - Dürs, takyk

Şonuň üçin, bu kontekstde ""gaýgyly"" dogry jogap bolup durýar.",
"Induktorda döreýän toguň aňladylýandygy,
A.induktiwliginiň we onuň üsti bilen häzirki zamanyň önümi.
B.onuň üsti bilen induktiwliginiň häzirki zamana bolan gatnaşygy.
C.onuň üsti bilen häzirki zamanyň induktiwligine bolan gatnaşygy.
D.onuň üsti bilen häzirki zamanyň induktiwliginiň we üýtgemeginiň derejesi önümi.",D,"Induktorda döreýän toguň aňladylýandygy:

C. Onuň üsti bilen häzirki zamanyň induktiwligine bolan gatnaşygy.

Induktorda döreýän tok (i) induktoruň induktiwligine (L) we toguň üýtgeýän tizligine (di/dt) baglydyr. Bu baglylyk Faradeyiň induksiýa kanunyna esaslanýar. Matematiki taýdan bu şeýle aňladylýar:

i = L * (di/dt)

Şu formuladan görnüşi ýaly, induktorda döreýän tok induktoruň induktiwligine (L) we toguň üýtgeýän tizligine (di/dt) baglydyr. Başgaça aýdylanda, induktorda döreýän tok onuň induktiwliginiň we häzirki zamanyň toguň üýtgeýän tizligine bolan gatnaşygyna deňdir.",
"Syrkaw oňurga ýiliginiň zeperlenmegi bilen boýnunyň döwülmeginden altynjy ýatgynyň boýunjygynyň derejesinde ejir çekýär.
A.Olar ýaşaýyş goldawsyz dem alyp bilmezler.
B.Olar diňe ýuwaş dem alyp bilerler.
C.Dem alşyň täsiriniň öňünden kesgitlemek mümkin däl.
D.Dem alyş täsirsiz galar.",B,"Bu ýagdaýda, syrkaw oňurga ýiliginiň zeperlenmegi bilen boýnunyň döwülmeginden altynjy ýatgynyň boýunjygynyň derejesinde ejir çekýär diýlip aýdylýar. Şu ýagdaýda, dem alyşa täsiriniň öňünden kesgitlemek kyn bolup biler. Şonuň üçin, dogry jogap C seçenegidi:

C. Dem alşyň täsiriniň öňünden kesgitlemek mümkin däl.

Oňurga ýiliginiň zeperlenmegi boýnuň hereketine we dem alyş merkezine täsir edip biler. Zeperlenmäniň derejesi we ýerleşýän ýeri boýunça, dem alyş ýuwaş bolup biler ýa-da ähli dem alyş goldawsyz mümkin bolmaz. Şonuň üçin, täsirini öňünden kesgitlemek kyn bolýar.",
"Tank üçburç prizma şeklindedir. Eger üçburç bazanyň meýdany 116 inedördül metr bolsa, tankyň beýikligi 30 metr bolsa, onda tankdyň dolanda onuň içinde näçe suw bolardy?
A.1725 ft^3
B.1740 ft^3
C.3480 ft^3
D.6960 ft^3",C,"Tankyň şekli üçburç prizma bolanlygy üçin, onuň göwrümini hasaplamak üçin şu formulany ulanyp bileris:

Göwrüm = Baza meýdany × Beýiklik

Beren maglumatlara görä:
- Baza meýdany = 116 inedördül metr
- Beýiklik = 30 metr

Göwrüm = 116 inedördül metr × 30 metr
Göwrüm = 3480 inedördül metr

Sorag inedördül aýak (ft^3) birliginde berlen, şonuň üçin göwrümi şu birliklere öwürmeli:
1 inedördül metr = 35.3147 inedördül aýak

Göwrüm = 3480 inedördül metr × (35.3147 inedördül aýak / 1 inedördül metr)
Göwrüm = 122,895 inedördül aýak ≈ 123,000 inedördül aýak

Şeýlelikde, dogry jogap C bolup durýar: 3480 ft^3",
"Bu sorag aşakdaky maglumatlary aňladýar.
Ilki bilen, kosmosyň formasy boýunça seleňlidigini aýtmalydyrys, käbir sebäplere görä, bu forma hiç hili bogun talap etmeýän kämil tutuş bolmak iň doly, käbirleriniň bolsa iň kapasaly görnüşi ýasaýandygy üçin, hemme zady saklamak we saklamak üçin has amatlydyr; ýa ýene-de älemiň ähli düzüm bölekleri, ýagny Gün, Aý we planetalar bu görnüşde peýda bolany üçin; ýa-da hemme zat bu görnüşde ýetmäge çalyşýandygy üçin, eger olar özlerini kesgitlemäge synanyşsalar, suwuň we beýleki suwuklyk bedenleriniň damjalarynda görnüp dur. Şol sebäpli onuň gökdäki bedeniniň bardygyna hiç kim şübhelenmez. ...
Şoňa görä-de, Ýeriň hem sünnetlidigi şübhesizdir, sebäbi ol öz merkeziniň ähli tarapyndan basylýar. Daglaryň belentligi we jülgeleriň depressiýalary sebäpli kämil aýlawa düşünip bolmasa-da, bu Ýeriň umumy sferasyna täsir etmeýär. ...
Eýýäm Ýer şarynyň giňişlik formasynyň bardygy görkezilişi ýaly, biz hem hereketiň bu görnüşe gabat gelýändigini ýa-da gabat gelýändigini, Ýeriň älemde haýsy ýeriň saklanýandygyny göz öňünde tutmalydyrys. ... Elbetde, awtorlaryň aglaba bölegi Ýeriň älem-jahanyň merkezinde durýandygy bilen ylalaşýarlar we tersine pikir etmegi göz öňüne getirilmez we gülkünç hasaplaýarlar. Emma bu mesele gowy çözülse, onda meseläniň heniz çözülmändigine we oňa hiç hili ýüzleý garalmaýandygyny göreris. Ýeriniň her bir üýtgemegi, ýagny synlanan zadyň ýa-da synçysynyň hereketi ýa-da olaryň ikisiniň-de hereketleri sebäpli bolýar. ... Indi bolsa asmanyň rewolýusiýasy ýer ýüzünden syn edilip, ol biziň gözümiz üçin hasyl bolýar. Şoňa görä-de, ýer ýüzünde hiç hili hereket etmeýän bolsa, onda bu hereket ýerden daşardaky ähli zatda, ýöne ýer ýüzündäki ähli zadyň süýşeninden ters tarapa bolmalydyr. Şunuň ýaly bolsa gündelik rewolýusiýadyr. Diýmek, bu tutuş älem-jahana, ýagny ýer ýüzündäki ähli zada täsir edýän ýaly görünýär. Emma, bu hereketiň asmanda üýtgeşik däl-de, Ýeriň günbatardan gündogara aýlandygyny boýun almaly. Eger-de bu gün dogup, batýan ýaly görünýän, Aýyň we ýyldyzlaryň ýüze çykýanlygy babatda bu dykgatly göz öňünde tutulsa, onda hakyky ýagdaýyň şeýledigine göz ýetirerdiler"".
Nikolaý Kopernik, Asman jisimleriniň rewolýusiýalary, 1543
Bu parça Kopernikiň öz döwrüniň däp bolan, Aristoteliýanyň tebigy filosoflaryndan tapawutlanýandygyny subut etmek üçin ulanylyp bilner, sebäbi ol muny teklip etdi
A.kosmosy kürsäp,
B.Ýer şary kürsäp,
C.kosmosy geostatiki taýdan
D.Ýer dury däl,",D,"Bu parçada Nikolay Kopernik Ýeriň älem-jahanyň merkezinde dury däl, eýsem Günüň daş-töwereginde aýlanyp ýörendigini aýdýar. Şeýlelikde, ol öňki Aristotel filosofiýasyndaky Ýeriň merkezde dury ýaly görnüşine garşy çykyp, täze, heliosentrik modeli öňe sürýär. Şonuň üçin-de dogry jogap D) Ýer dury däl bolmalydyr.

Kopernik Ýeriň küre görnüşli bolmalydygyny ykrar edýär, ýöne onuň älem-jahanyň merkezinde däldigini, eýsem Günüň daş-töwereginde aýlanyp ýörendigini öňe sürýär. Şeýlelikde, ol öňki Aristotel filosofiýasyndaky Ýeriň merkezde dury ýaly görnüşine garşy çykyp, täze, heliosentrik modeli teklip edýär.",
"Bu sorag aşakdaky maglumatlary aňladýar.
""Totalitar režimleriň tohumlary betbagtlyk we isleg bilen terbiýelenilýär. Olar garyplygyň we dawa-jenjeliň erbet topragynda ýaýrap, ösýärler. Olar halkyň gowy ýaşamaga bolan umydy ölende, doly ösüşine ýetýärler. Şol umydy diri saklamaly... Wakalaryň çalt depginde aýlanylmagy uly jogapkärçilikleri üstüne ýükl... Kongresiň bu borçlara gönüden-göni duçar boljakdygyna ynanýaryn"".
Prezident Harri S. Truman, 1947 ý.
Ýokardaky parçada beýan edilen pikirler ABŞ-nyň taryhynda aşakdaky dowamlaryň haýsysyny gös-göni görkezýär?
A.Kongress bilen prezidentiň arasyndaky gatnaşyklar barada çekişmeler.
B.Durnuksyz ýagdaýlarda harby güýjüň ulanylmagy barada çekişmeler.
C.Dünýä işlerinde Türkmenistanyň orny barada çekişmeler.
D.Syýasy partiýalaryň dogry ornuna degişli jedeller.",C,"Ýokardaky parçada Prezident Truman Sowet Soýuzy bilen Sowuklyk urşunyň başlangyç döwründe totalitar režimleriň ösmegine garşy göreşmek barada gürrüň berýär. Şonuň üçin, bu parçadaky pikirleriň B puntyna - ""Durnuksyz ýagdaýlarda harby güýjüň ulanylmagy barada çekişmeler"" degişlidigini aýdyp bileris.

Truman totalitar režimleriň ösmeginiň sebäplerini düşündirýär we olara garşy göreşmek üçin güýçli hereketleri talap edýär. Bu Sowuklyk urşunyň başlangyç döwründe Sowet Soýuzynyň giňelýän ygtyýaryna garşy durmak üçin harby güýjüň ulanylmagyna degişli bolar.

Şeýlelikde, ýokardaky parçadaky pikirleriň B punty bilen iň köp baglanyşykly bolmagy anyk.",
"Bu gorkunç filmleriň haýsysy iň köp yzygiderlige sebäp boldy?
A.Gygyryp'
B.Äňler'
C.Halloweýn'
D.Anna güni 13-nji'",D,"Maňa beren saýlawlaryňyzyň haýsysynyň iň köp yzygiderlige sebäp boldugynyň anyk maglumatyny tapyp bilmedim. Şonuň üçin, olaryň haýsysynyň iň köp yzygiderlige sebäp boldugy barada anyk jogap bermek kyn. Ýöne, umumy görnüşde, ""Halloweýn"" filmi örän meşhur we yzygiderli horror žanryndaky filmlerden bolup durýar. Ol 1978-nji ýylda çykan we soňrak birnäçe dowamly filmleriň çekilmegine sebäp bolan. Şeýle-de, ""Gygyryp"" we ""Äňler"" filmleri hem örän meşhur we yzygiderli hasaplanýar. Ýöne olaryň haýsysynyň iň köp yzygiderlige sebäp boldugy barada anyk maglumat bermek kyn. Umuman, bu filmleriň hemmesi horror žanrynda örän meşhur we yzygiderli hasaplanýar.",
