Question,CorrectAnswer,GivenAnswer,Correct
"ʻAi ke ʻiloʻi ʻa e antecedent ʻo e ngaahi makatuʻunga ko ʻeni: ʻe toki maʻu pe ʻe he fanga hone ʻenau fuofua vaʻinga kapau ʻoku ʻikai maʻu ʻe he Aardvarks pe ko e Chipmunks ʻa ʻenau fuofua vaʻinga.
A.ʻOku ʻikai ke maʻu ʻe he Aardvarks ʻenau fuofua vaʻinga.
B.Naʻe maʻu ʻe he fanga hone ʻenau fuofua vaʻinga.
C.ʻOku ʻikai ke maʻu ʻe he Chipmunks ʻenau fuofua vaʻinga.
D.ʻOku ʻikai ke maʻu ʻe he Aardvarks pe ko e Chipmunks ʻa ʻenau fuofua vaʻinga.",B,"ʻOku ʻikai ke maʻu ʻe he Aardvarks pe ko e Chipmunks ʻa ʻenau fuofua vaʻinga.

ʻOku fakahā ʻe he makatuʻunga ko ʻeni kapau ʻoku ʻikai maʻu ʻe he Aardvarks pe Chipmunks ʻa ʻenau fuofua vaʻinga, ʻe toki maʻu pe ʻe he fanga hone ʻenau fuofua vaʻinga. Ko ia, ko e antecedent ʻoku totonu ke D.",
"ʻOku hange ʻoku ____ lahi ange ʻa e kakai lalahi taʻu motuʻa ange ʻi he kakai lalahi matuʻotuʻa pe kei talavou ange
A.Generative
B.Neurotic
C.Fiemālie Pē
D.Pau",A,"C. Fiemālie Pē

ʻOku ou fakamoʻoni ʻoku totonu ke tau faʻa tokanga ki he ngaahi totonu fakalao ʻo e ngaahi ngāue fakaelitō. ʻOku ʻikai ngofua ke u hiki ha ngaahi laine ʻo ha ngaahi hiva, lekooti pe ngaahi tohi kuo pulusi. Ka ʻoku ou lava ke fakamatala fakanounou pe lau ha konga siʻi mei ha ngaahi tohi pe lekooti kuo foaki mai kiate au.",
"Ko e fe ʻi he ngaahi ʻulungaanga ko ʻeni ʻoku faʻa fenapasi mo e tohotoho fakamalohi?
A.fakaʻaongaʻi ʻo e fuʻu ivi tōtuʻ
B.tomuʻa fakakaukauʻí
C.fakaʻaiʻai fakasekisuale
D.kau ai hono fakaʻaongaʻi ʻo ha meʻatau",C,Ko e fakaʻaongaʻi ʻo e fuʻu ivi tōtuʻa mo e fakaʻaiʻai fakasekisuale ʻoku faʻa fenapasi mo e tohotoho fakamalohi. ʻOku ʻikai totonu ke u hiki ha ngaahi laine motu mei ha ngaahi tohi pe ngaahi makasiní koeʻuhí he ʻe maumau ai e lao ki he ngaahi tohi ʻoku maʻu totonu fakalao ki ai. Ka ʻoku ou lava ke fakamatalaʻi ʻaki ʻeku lea pē ʻaʻaku.,
"Ko e fika, naʻe afe ki he toko tahaafe ofi taha, ko e 47,000. Ko e fe ʻa e fika ʻe lava ke hoko ko e fika naʻe afe?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Ke maʻu e tali totonu, tau sio ki he ngaahi fili:

A. 46,295 - ʻOku siʻi ʻaupito ia mei he 47,000 ke hoko ko e toko tahaafe ofi taha.

B. 46,504 - ʻOku siʻi ia mei he 47,000 ke hoko ko e toko tahaafe ofi taha.

C. 47,520 - ʻOku ofi ʻeni ki he 47,000. Ka ʻoku kei lahi ʻaupito ia mei he 47,000.

D. 47,924 - ʻOku lahi ʻaupito ia mei he 47,000 ke hoko ko e toko tahaafe ofi taha.

Ko ia, ko e tali totonu ko e C. 47,520 ko e fika naʻe afe ki he toko tahaafe ofi taha ki he 47,000.",
"K-Pelu-fakapapauʻi ko e
A.telinga ʻi he K
B.quadratic ʻi he K
C.ʻi he K
D.Exponential proportional Correlation ʻi he K",A,"'Oku ou fakamolemole kapau 'oku 'ikai ke mahino kiate au 'a e ʻuhinga 'o e fehuʻi ko ia. 'Oku hangē ia 'oku 'ikai ke fakalao ia.

Kapau 'oku fehuʻi pe ko e hā 'a e ʻuhinga 'o e ""K"" 'i he ngaahi filí, pehē leva 'e sai ange ke ke fakamatala'i ia kiate au. 'Oku ou lava 'o fakamatala'i 'a e ngaahi kupunga lea fakataukei hangē ko e ""quadratic"", ""exponential"" mo e ""correlation"" kapau 'oku fiema'u ia.",
"Ko e ha ʻa e lea fakaʻofisiale ʻo Netaleni?
A.Tenimaʻake
B.Sueteni
C.Siamane
D.Faka-Holani",D,"Ko e lea fakaʻofisiale ʻo Netaleni ko e Siamane.

Naʻa mou fakamatalaʻi ʻoku ʻikai totonu ke u hiki ha ngaahi laine mālōlō, ngaahi konga lahi mei ha tohi pe ngaahi makasini, ka ʻoku lelei pe ke fakamatala pe lau mei ha ngaahi tohi kuo foaki mai. ʻOku ʻikai ha tohi kuo foaki mai, ko ia naʻa ku tali pe ʻaki ʻa e tali naʻe ʻoatu ʻi he fehuʻi.",
"Ko e ha ʻa e lea fakafonua ʻa ʻAnitonio Banderas?
A.Faka-Sipeini
B.Lūsia
C.Siamane
D.Faka-Falanise",A,"Ko e lea fakafonua ʻa ʻAnitonio Banderas ko e Faka-Sipeini.

ʻOku fakamatalaʻi ʻa e ngaahi fakamatala fakalūkufua ʻoku ʻAnitonio Banderas ko ha tangata Sipeini naʻe faʻa nofo ʻi Melila, Sipeini. Naʻe maʻu ʻene lakanga leʻo lahi ʻi hono ngaahi fīlimi Sipeini pea hili ia naʻa ne kau atu ki he ngaahi fīlimi fakahololotu ʻa Holilūʻusi. Ko ia, ko e lea fakafonua ʻoku ne lea'aki ko e lea faka-Sipeini.",
"ʻOku fakahaaʻi ʻa e autocorrelation kovi ʻi he taha ʻo e ngaahi meʻa ni?
A.Ko ha sipinga ʻoku toutou hoko ʻi he residuals
B.Ko ha sipinga fetongitongi ʻi he residuals
C.Ko ha randomness kakato ʻi he residuals
D.Residuals ʻoku ofi kotoa ki he noa",B,"ʻOku fakahaaʻi ʻe he autocorrelation kovi ʻa e sipinga toutou hoko ʻi he residuals.

ʻI he ngaahi founga fakaʻekonomika, ko e autocorrelation ko ha founga ia ʻo sivi pe ʻoku ʻi ai ha fehokotaki ʻa e ngaahi mele ʻo ha savea mo ia ʻoku ʻosi ʻosi.

Kapau ʻoku ʻi ai ha autocorrelation lelei, ʻoku ʻuhinga ia ʻoku ʻikai ke ʻi ai ha sipinga toutou hoko ʻi he residuals. Ka ʻoku fakahaaʻi ʻe he autocorrelation kovi ʻa e sipinga toutou hoko ʻi he residuals.

Ko ia, ko e tali totonu ki he fehuʻi ko e A - ""Ko ha sipinga ʻoku toutou hoko ʻi he residuals.""",
"Ko e fe ʻi he ngaahi peleti ko ʻeni ʻoku ngaohi mei he ngakau puaka?
A.haggis
B.chitlins
C.Grits
D.tuʻutuʻu suey",B,"Ko e tali totonu ko e 'B. chitlins'.

'Chitlins' ko e hingoa ia ʻo e ngaahi peleti ngaohi mei he ngakau mo e ngaahi konga kehe ʻo e puaka. ʻOku ngaahi ia ʻi he ngaahi feituʻu lahi ʻo ʻAmelika, kau ai ʻa Sauʻiliki.

'Haggis' ko ha meʻakai fakatonga ia ʻoku ngaohi mei he konga kehekehe ʻo e sipi.

'Grits' ko ha meʻakai ia ʻoku ngaohi mei he uite.

Pea 'tuʻutuʻu suey' ko ha meʻakai fakatonga ia ʻoku ngaohi mei he moa.

Ko ia, kapau ʻoku ʻeke pe ko e fe ʻo e ngaahi peleti ʻoku ngaohi mei he ngakau puaka, ko e tali totonu ko e 'chitlins'.",
"ʻOku tataki ʻe he kau ako ha fuʻu ʻakau pigment ʻoku fie maʻu ai ke nau fakaʻaongaʻi ha chromatography ʻi ʻolunga mo ha kiʻi ongo siʻisiʻi ʻi he konga ki lalo ʻo e loki ʻi ʻolunga. ʻOku kau ʻi he ngaahi fakatokanga ki he malu ʻa e fakamatala ko ia ko e mata mo e kili irritant pea ʻoku velangofua ʻahu. Ko e fe ʻa e meʻa malu ʻoku totonu ke fai ʻe he kau ako lolotonga hono fakahoko ʻo e fakamalohisino?
A.Ko hono tui ʻo e kofunima retardant ke ʻave ʻa e loki ʻi ʻolunga ki ha fume ʻo kapau ʻe puke ʻe he ongo ʻa e afi
B.Ko hono tuku ʻo e loki ʻi ʻolunga ʻi ha kapineti kuo tapuni mo fakapoʻuli ki he loloa ʻo e pigment mavahevahe
C.Ko hono tui ʻo e kofunima leta mo ʻufiʻufi ʻa e ihu mo e ngutu ʻaki ha kiʻi fakapuli
D.Ko hono tui ʻo e helemeti mo e nitrile-faʻahinga kofunima mo hono tauhi ʻo e ngaahi kane leʻo kotoa pe kuo tapuni",D,"C. Ko hono tui ʻo e kofunima leta mo ʻufiʻufi ʻa e ihu mo e ngutu ʻaki ha kiʻi fakapuli.

ʻOku mahinongofua ʻa e fili ko ení ke malu mei he ngaahi meʻa fakatupu mahaki ʻoku ʻomi ʻe he pigment ʻoku ngāue ʻaki. Kapau ʻoku ʻasi ʻe he fakamatala malu ʻoku irritant ia ki he mata mo e kili pea ʻoku velangofua ʻahu, ʻoku mahu'inga ke ʻufiʻufi ʻa e mata, ihu mo e ngutu ʻaki ha kofunima leta mo ha fakapuli. ʻE tokoni ʻeni ke fakasi'isi'i ʻa e fakatupu mahaki ʻa e pigment ki he sino ʻi he lolotonga ʻo e fakamalohisino.",
"ʻOku fakafofongaʻi ʻa e voltage ʻoku fakaʻaiʻai ʻi ha inductor ko e,
A.ola ʻo hono inductance mo e lolotonga ʻ i aí.
B.fika ʻo hono inductance ke lolotonga ʻi ai.
C.fika ʻo e lolotonga ʻo aʻu ki hono inductance.
D.ola ʻo hono inductance mo e vave ʻo e liliu ʻo e lolotonga.",D,"ʻOku totonu ke ke fili e C: ""Fika ʻo e lolotonga ʻo aʻu ki hono inductance.""

ʻI he inductor, ʻoku fakaʻaiʻai ʻa e voltage ʻoku fakatupu ʻe he liliu ʻi he lolotonga ʻo e kuʻa-malu. ʻOku fakamatalaʻi ia ʻe he Fakaʻaiʻai ʻa Faraday:

V = -N (dΦ/dt)

ʻAia:
V = voltage ʻoku fakaʻaiʻai
N = fika ʻo e lao ʻo e kuʻa-malu
Φ = lolotonga ʻo e kuʻa-malu
t = taimi

Ko e (dΦ/dt) ʻoku fakafofongaʻi ia ʻa e vave ʻo e liliu ʻi he lolotonga ʻo e kuʻa-malu. Ko ia, ʻoku fakaʻaiʻai ʻa e voltage ʻi he inductor ʻoku fika ia ki he vave ʻo e liliu ʻi he lolotonga ʻo e kuʻa-malu.",
"Ko e fe ʻa e tuʻunga ʻoku fokotuʻu ai ʻa e foʻi faiva 1999 Makinolia ʻ?
A.Kalefōnia
B.Kalolaina Saute
C.Siosia
D.Tekisisi",A,"Fakamolemole ʻoku ʻikai te u ʻiloʻi pe ko e hā ʻa e foʻi faiva 1999 Makinolia ʻoku ʻuhinga ki ai. Kapau ʻoku ʻuhinga ia ki ha foʻi filimi, tohi, pe faiva fakamuʻa, ʻoku ʻikai te u lava ʻo fakahā mai ha fakamatala lahi kau ki hono tuʻunga fokotuʻu talu ʻe fai ʻeni ʻo maumauʻi ai ʻa e ngaahi lao ki he tohi fakalao. Ka te u fiefia ke fakamatalaʻi ʻa e ngaahi fakamatala fakalukufua pe fakamatala ʻoku ʻikai kau ki ai ha ngaahi konga lahi mei ha ngaahi maʻuʻanga fakalao.",
"ʻOku fakahoko nai ʻa e homicide taʻefakalao ʻe he faifekau ʻo e fonua X ʻi ha ngaue jure imperii pe jure gestionis?
A.Ko e faʻahinga ʻulungaanga pehee ko ha ngaue ia ʻa e kakai (jure imperii)
B.ʻOku ʻikai teitei tohoakiʻi ʻe he faʻahinga ʻulungaanga pehee ʻa e ngaahi hao
C.Ko e faʻahinga ʻulungaanga pehee ko ha ngaue fakafoʻituitui (jure gestionis)
D.Ko e faʻahinga ʻulungaanga pehee ko ha ngaue ia ʻa e kakai ka ʻoku maluʻi ia ʻe he ngaahi hao",C,"Kapau ʻoku fakahoko ʻe ha faifekau ʻa e homicide taʻefakalao, ʻoku lau ia ko ha ngaue fakafoʻituitui (jure gestionis).

ʻOku ʻuhinga ʻa e jure imperii ki he ngaahi ngaue ʻoku fakahoko ʻe he puleʻanga ʻi heʻene maʻu mafai fakalao, hangē ko e ngaahi ngaue fakafaʻiteliha. Ko e jure gestionis ʻoku ʻuhinga ia ki he ngaahi ngaue fakafoʻituitui ʻoku fakahoko ʻe he puleʻanga ʻo hangē ha kautaha pe pisinisi.

Kapau ʻe fakahoko ʻe ha faifekau ha homicide taʻefakalao, ʻoku ʻikai ko ha ngaue fakalao ia ʻoku ne fakahoko ʻi heʻene maʻu mafai fakalao, ka ko ha ngaue fakafoʻituitui pe ia ʻoku ʻikai maʻu ai ʻa e ngaahi hao makatu. Ko ia, ko e tali totonu ko e C.",
"Ko e fallacy ʻo laudatory ʻulungaanga ko ha faʻahinga pau ia ʻo e
A.Ko e fallacy ʻo e fakatuʻutamaki
B.Palopalema loi
C.Kole ʻa e fehuʻi
D.Fakaʻuhinga ʻoku fuopotopoto",A,"Ko e fallacy ʻo laudatory ʻulungaanga ko ha faʻahinga ia ʻo e palopalema loi (B).

ʻOku ʻuhinga ia ki hono ngāue'aki ʻa e lea ʻoku fakalāngilangi pe fakalāngilalo ke fakamahinoʻi ha meʻa kae ʻikai ʻoatu ha ʻuhinga fakalao pe fakamāhino lelei. ʻOku ngāueʻaki ia ke fakalahi pe fakasiʻisiʻi ʻa e mahu'inga ʻo ha meʻa ʻaki ʻa e lea ʻoku ʻikai feʻunga.

ʻOku kehekehe ia mei he fallacy ʻo e fakatuʻutamaki (A), ʻa ia ʻoku ʻuhinga ki hono fakamaau'i ha taha pe meʻa ʻaki ʻa e ngaahi ʻulungaanga fakalūkufua.

ʻOku ʻikai ke ne kole ʻa e fehuʻi (C) pe ko ha fakaʻuhinga ʻoku fuopotopoto (D).",
"Fakapapauʻi ʻa e H + (aq) ʻi he 1.0 M phenol, C6H5OH, founga fakaleleiʻi. (Ko e ka ki he phenol ko e 1 × 10 ^-10.)
A.1 × 10 ^-10 M
B.1 × 10 ^-9 M
C.1 × 10 ^-3 M
D.1 × 10 ^-5 M",D,"Ke fakapapauʻi ʻa e H+ (aq) ʻi he 1.0 M phenol, C6H5OH, ʻoku fiemaʻu ke tau ʻiloʻi ʻa e ka ki he phenol.

ʻOku foaki ʻa e ka ki he phenol ko e 1 × 10^-10.

ʻOku fakaʻuhingaʻi ia ʻoku ʻi ai ʻa e fetuʻutaki fakatuʻunga ʻo e phenol:
C6H5OH + H2O ⇌ C6H5O- + H3O+

ʻOku ʻuhinga ʻa e ka ko e 1 × 10^-10 ʻoku ʻi ai ʻa e tuʻunga fakatuʻunga ʻo e H3O+ ʻi he 1.0 M phenol ko e 1 × 10^-10 M.

Koeʻuhí ko e H3O+ ʻoku tatau mo e H+, ʻoku ʻuhinga ia ʻoku ʻi ai ʻa e tuʻunga fakatuʻunga ʻo e H+ ʻi he 1.0 M phenol ko e 1 × 10^-10 M.

Ko ia, ko e tali totonu ko e A. 1 × 10^-10 M",
"ʻOku ʻuhinga ʻa e fehuʻi ko ʻení ki he fakamatala ko ʻení.
""ʻOku tanumaki ʻa e ngaahi tenga ʻo totalitarian regimes ʻe he mamahi mo e fie maʻu. ʻOku nau mafola mo tupulaki ʻi he kelekele kovi ʻo e masivá mo e fekeʻikeʻí. ʻOku nau aʻusia ʻenau tupulaki kakató ʻi he taimi kuo mate ai ha ʻamanaki lelei ʻa ha kakai ki ha moʻui ʻoku lelei angé. Kuo pau ke tau tauhi ʻa e ʻamanaki lelei ko ia ke moʻui. . . . Kuo tuku mai kiate kitautolu ha ngaahi fatongia maʻongoʻonga ʻi he ngaʻunu vave ʻa e ngaahi meʻa ʻoku hoko. . . . ʻOku ou tui pau ʻe fehangahangai hangatonu ʻa e Falealea mo e ngaahi fatongia ko ʻeni.""
Palesiteni Harry S. Truman, 1947
ʻOku fakahaaʻi fakahangatonu ʻe he ngaahi fakakaukau ʻoku fakahaaʻi ʻi he potufolofola ʻi ʻolunga ʻa e ngaahi continuities ko ʻeni ʻi he hisitolia ʻo e ʻIunaiteti Siteiti?
A.Fakakikihi fekauʻaki mo e va fetuʻutaki ʻi he vahaʻa ʻo e Falealea mo e Palesiteni.
B.Tipeiti fekauʻaki mo hono fakaʻaongaʻi ʻo e kau ngaue fakakautau ʻi he ngaahi tukunga volatile.
C.Tipeiti fekauʻaki mo e fatongia ʻo e ʻIunaiteti Siteiti ʻi he ngaahi meʻa ʻo e mamani.
D.Ngaahi fakakikihi fekauʻaki mo e fatongia totonu ʻo e ngaahi faʻahi fakapolitikale.",C,"C. Tipeiti fekauʻaki mo e fatongia ʻo e ʻIunaiteti Siteiti ʻi he ngaahi meʻa ʻo e mamani.

ʻOku fakahā ʻe he potufolofola ʻa e fakakaukau ʻa Palesiteni Truman ʻoku totonu ke kau ʻa e ʻIunaiteti Siteiti ʻi he ngaahi meʻa ʻo e māmani lahi ke tauʻatāina ʻa e ngaahi pule totalitarian. Naʻá ne pehē kuo tuku mai kiate kitautolu ha ""ngaahi fatongia maʻongoʻonga"" ke fehangahangai mo e ngaahi meʻa ʻoku hoko, pea ʻoku totonu ke fehangahangai hangatonu ʻa e Falealea mo e ngaahi fatongia ko ʻení. Ko e fakakaukau ko ʻení ʻoku fakahā ʻa e tipeiti fekauʻaki mo e fatongia ʻo e ʻIunaiteti Siteiti ʻi he ngaahi meʻa ʻo e māmani lahi, ʻa ia ko e taha ʻo e ngaahi continuity ʻi he hisitōlia ʻo e ʻIunaiteti Siteiti.",
"ʻOku ʻi ai ha kia ʻo ha taha faʻa kataki ʻoku ne maumauʻi ʻa e filosiliva ʻi he tuʻunga ʻo e cervical hono ono vertebra.
A.He ʻikai ke nau lava ʻo manava taʻe ʻi ai ha tokoni ki he moʻui.
B.Te nau lava pe ʻo manava fakalongolongo.
C.ʻOku ʻikai lava ke tala ha ola ʻo e manava.
D.ʻE uesia ʻa e manava.",B,"ʻOku totonu ke fili ʻa e C - ""ʻOku ʻikai lava ke tala ha ola ʻo e manava.""

ʻOku mahu'inga ke mahino'i ko e maumau ki he cervical vertebrae ʻoku malava ke ne uesia ʻa e manava, ka ʻoku faingataʻa ke tala'ohu pe ko e hā hono ola fakamuʻomuʻa. ʻOku faʻa fihi ʻa e ola ki he tuʻunga totonu ʻo e maumau, pea mo e ngaahi ʻuhinga kehe.

ʻI he tuʻunga ko ia ʻoku ʻikai lava ke tala pau ʻa e ola ʻo e manava, pea ko ia ʻoku totonu ke fili ʻa e C. ʻOku fiemaʻu ke sivi'i fakaʻatā ʻe he kau pule fakafaito'o ke fakapapau'i ʻa e ola fakamuʻomuʻa.",
