Question,CorrectAnswer,GivenAnswer,Correct
"اداکار انتونیو بینڈیرس کی مادری زبان کیا ہے؟
A.سپينش
B.رشئن
C.جرمن
D.فرنچ",A,"انتونیو بینڈیراس ایک مشہور اسپینوی اداکار ہیں، لہذا ان کی مادری زبان سپینش ہے۔

تو صحیح جواب ہے: A. سپینش",
"مندرجہ ذیل مشروط تجویز کے پیش رو کی شناخت کریں: شہد کی مکھیاں اپنا پہلا گیم صرف اسی صورت میں جیتتی ہیں جب آرڈوارکس یا چپمنکس میں سے کوئی ایک اپنا پہلا کھیل نہیں جیتتا ہے۔
A.آرڈوارکس اپنا پہلا گیم نہیں جیت سکے۔
B.شہد کی مکھیوں نے اپنا پہلا کھیل جیتا.
C.چپمنکس اپنا پہلا گیم نہیں جیت سکے۔
D.یا تو آرڈوارکس یا چپمنکس اپنے پہلے کھیل نہیں جیت پاتے ہیں۔",B,"The antecedent of the given conditional statement is:

D. یا تو آرڈوارکس یا چپمنکس اپنے پہلے کھیل نہیں جیت پاتے ہیں۔

The statement says that honeybees will win their first game only if either Ardvarks or Chipmunks do not win their first game. So, the antecedent or condition is that either Ardvarks or Chipmunks (or both) do not win their first game.",
"ہالینڈ کی سرکاری زبان کیا ہے؟
A.ڈينش
B.سؤڈش
C.جرمن
D.ڈچ",D,"ہالینڈ کی سرکاری زبان ڈچ (Dutch) ہے۔

ڈچ زبان جرمنک زبانوں کے گروپ سے تعلق رکھتی ہے۔ اس کے علاوہ فرائزک اور انگریزی زبانیں بھی ہالینڈ میں بولی جاتی ہیں، لیکن ڈچ ہی ملک کی سرکاری اور قومی زبان ہے۔

لہذا، درست جواب ہے: D. ڈچ",
"انڈیکٹر میں پیدا ہونے والے وولٹیج کو اس طرح پیش کیا جاتا ہے،
A.اس کے ذریعے اس کی تحریک اور کرنٹ کی پیداوار.
B.اس کے ذریعے کرنٹ سے اس کی منتقلی کا تناسب۔
C.اس کے ذریعے کرنٹ کا تناسب اور اس کی انڈکشن۔
D.اس کے ذریعے کرنٹ کی تبدیلی کی شرح اور اس کے ذریعے اس کی آمد و رفت کی پیداوار۔",D,"انڈیکٹر میں پیدا ہونے والے وولٹیج کو اس کے ذریعے کرنٹ کی تبدیلی کی شرح اور اس کے ذریعے اس کی آمد و رفت کی پیداوار کے ذریعے پیش کیا جاتا ہے۔

تو جواب ہے:

D. اس کے ذریعے کرنٹ کی تبدیلی کی شرح اور اس کے ذریعے اس کی آمد و رفت کی پیداوار۔

انڈکٹر میں پیدا ہونے والا وولٹیج فیراڈے کے قانون پر مبنی ہوتا ہے، جس کے مطابق انڈکٹر میں پیدا ہونے والا وولٹیج اس کے ذریعے گزرنے والی کرنٹ کی تبدیلی کی شرح اور اس کے ذریعے اس کی آمد و رفت کی پیداوار کے تناسب کے برابر ہوتا ہے۔",
"1999 کی فلم میگنولیا کس ریاست میں سیٹ کی گئی ہے؟
A.کیلیفورنیا
B.جنوبی کیرولائنا
C.جورجيا
D.ٹیکساس",A,"جواب: A. کیلیفورنیا

1999 کی کلاسیک فلم ""میگنولیا"" کیلیفورنیا کے شہر لاس اینجلس میں واقع ہے۔ اس فلم کا نگار اور ڈائریکٹر پال ٹھامس اینڈرسن ہے، جس نے اس فلم میں متعدد کردار اور کہانیوں کو ایک دوسرے سے باریک انداز میں جوڑا ہے۔ فلم میں ایسے کلیدی اداکار شامل ہیں جیسے ٹوم کروز، جولیان مور اور ملینڈا ڈیلون۔ میگنولیا کو موضوعاتی طور پر ایک کلاسیکی اور اہم فلم سمجھا جاتا ہے۔",
"درمیانی عمر کے بالغ افراد بوڑھے یا نوجوان بالغوں کے مقابلے میں زیادہ ____ دکھائی دیتے ہیں
A.جنریٹیو
B.اعصابی اعصابی
C.قابل قبول
D.کچھ",A,"درمیانی عمر کے بالغ افراد بوڑھے یا نوجوان بالغوں کی نسبت زیادہ قابل قبول (C) دکھائی دیتے ہیں۔

یہ اس لیے ہے کیونکہ درمیانی عمر کے لوگ زندگی کے تجربات سے گزر چکے ہوتے ہیں اور ان کی سوچ زیادہ پختہ اور متوازن ہوتی ہے۔ وہ نہ صرف جوانوں کی طرح بےقرار ہوتے ہیں اور نہ ہی بڑھاپے کی طرح کٹھور۔ انہیں زندگی کے مختلف پہلوؤں کا تجربہ ہوتا ہے اور وہ زیادہ قابل قبول اور متوازن رویہ اپناتے ہیں۔",
"ان ڈراؤنی فلموں میں سے کس نے سب سے زیادہ سیکوئل تیار کیے؟
A.چیخو'
B.جبڑے'
C.ہالووین'
D.جمعہ 13 تاریخ کو",D,"سب سے زیادہ سیکوئل بنانے والی ڈراؤنی فلم فرنچائز ""جمعہ 13 تاریخ کو"" ہے۔

""جمعہ 13 تاریخ کو"" کی پہلی فلم 1980 میں ریلیز ہوئی تھی اور اس کے بعد اب تک اس سیریز کی 12 سیکوئل فلمیں بن چکی ہیں۔ یہ ایک ریکارڈ ہے کہ کسی ایک ڈراؤنی فلم فرنچائز کی اتنی زیادہ سیکوئلز بنائی گئی ہیں۔

دوسری پرکشش ڈراؤنی فلم فرنچائزز جیسے ""ہالووین""، ""چیخو"" اور ""جبڑے"" کی بھی متعدد سیکوئلز بنی ہیں، لیکن ان کی تعداد ""جمعہ 13 تاریخ کو"" سے کم ہے۔

لہذا، درست جواب ہے: D. جمعہ 13 تاریخ کو",
"منفی بقیہ آٹوکوریلیشن کی نشاندہی مندرجہ ذیل میں سے کس سے ہوتی ہے؟
A.باقیات میں ایک گردشی نمونہ
B.باقیات میں ایک متبادل نمونہ
C.باقیات میں مکمل بے ترتیبی
D.باقیات جو سب صفر کے قریب ہیں",B,"منفی بقیہ آٹوکوریلیشن کی نشاندہی باقیات میں ایک متبادل نمونے سے ہوتی ہے۔

جب باقیات میں ایک متبادل نمونہ ہوتا ہے، تو اس کا مطلب ہے کہ ایک مثبت باقی کے بعد ایک منفی باقی آنے کی زیادہ امکان ہوتا ہے، اور اس کے برعکس بھی۔ یہ ایک قسم کی آٹوکوریلیشن ہے جس میں باقیات کے درمیان ایک منفی تعلق ہوتا ہے۔

منفی آٹوکوریلیشن کا مطلب ہے کہ باقیات میں ایک متبادل نمونہ موجود ہے، جس سے انہیں ایک دوسرے سے منفی طور پر متعلق ہونے کی نشاندہی ہوتی ہے۔ اس کے برعکس، مثبت آٹوکوریلیشن باقیات میں ایک گردشی نمونے کی نشاندہی کرتی ہے۔

لہذا، جواب B ""باقیات میں ایک متبادل نمونہ"" درست ہے۔",
"تعریفی شخصیت کا مغالطہ ایک خاص قسم کا ہے۔
A.حادثے کی غلط فہمی
B.جھوٹی الجھن
C.سوال پوچھنا
D.سرکلر استدلال",A,"تعریف کا مغالطہ ایک خاص قسم کا مغالطہ ہے جس میں کسی الفاظ یا اصطلاح کی تعریف کو غلط طریقے سے استعمال کیا جاتا ہے۔

اس مغالطے میں، بحث کرنے والا فریق کسی لفظ یا اصطلاح کی تعریف کو اپنے موقف کے مطابق بنا لیتا ہے یا پھر اس کی تعریف کو اتنا وسیع کر دیتا ہے کہ اس میں بہت ساری چیزیں آ جائیں۔ اس طرح وہ اپنے موقف کو درست ثابت کرنے کی کوشش کرتا ہے۔

لہذا، اس سوال میں دیے گئے اختیارات میں سے ""B. جھوٹی الجھن"" تعریف کے مغالطے کی بہترین وضاحت کرتا ہے۔",
"ان میں سے کون سا پکوان کی آنتوں سے بنایا جاتا ہے؟
A.haggis
B.chitlins
C.grits
D.chop suey",B,"B. Chitlins

چٹلنز یا چٹرلنگز گائے یا بکری کی آنتوں سے بنایا جانے والا ایک پکوان ہے۔ یہ خاص طور پر امریکی جنوبی کلچر میں مقبول ہے۔

دوسری آپشنز کے بارے میں:

A. Haggis - اسکاٹ لینڈ کا ایک مشہور پکوان ہے جو بھیڑ کے آنتوں، دل، پھیپھڑوں وغیرہ سے بنایا جاتا ہے۔

C. Grits - مکئی کے آٹے سے بنایا جانے والا ایک امریکی جنوبی ناشتہ ہے۔

D. Chop Suey - چائنیز باشندوں کا ایک مشہور پکوان ہے جس میں گوشت، سبزیاں اور نوڈلز شامل ہوتے ہیں۔

لہذا، آنتوں سے بننے والا پکوان چٹلنز (Chitlins) ہے۔",
