Question,CorrectAnswer,GivenAnswer,Correct
"Kusiphi isimo isethi ye-movie ka-1999 Magnolia?
A.California
B.South Carolina
C.Georgia
D.Texas",A,"Isimo isethi ye-movie ka-1999 Magnolia yayihlala eCalifonia.

Ngakho-ke impendulo elungile iA. California.

Magnolia yayingumabonakude wamahlandla amabili owawuqokwe nguPaul Thomas Anderson, owawuhlala eSan Fernando Valley, eCalifonia. Le movie yayinabalingisi abahambisana noTom Cruise, Julianne Moore, Philip Seymour Hoffman kanye nabanye.",
"Yini ulimi olusemthethweni The Netherlands?
A.Isi-Danish
B.Isi-Swedish
C.IsiJalimane
D.Isi-Dutch",D,"Impendulo elungile yiD. Isi-Dutch.

Ulimi olusemthethweni eNetherlands yisiDutch. IsiDutch yilulimi olukhulunywa kakhulu eNetherlands kanye naseBelgium.

Ezinye izimpendulo:

A. Isi-Danish asiyona impendulo elungile ngoba iDanish yilulimi olukhulunywa eDenmark.

B. Isi-Swedish asiyona impendulo elungile ngoba iSwedish yilulimi olukhulunywa eSweden.

C. IsiJalimane asiyona impendulo elungile ngoba iJalimane yilulimi olukhulunywa eJalimane, kodwa hhayi eNetherlands.",
"K-fold cross-ukuqinisekiswa kuyinto
A.umugqa ku-K
B.quadratic e K
C.cubic e K
D.exponential in K",A,"K-fold cross-validation is a resampling technique used to evaluate machine learning models on limited data samples. The term ""K-fold"" refers to the number of groups or folds that the data is partitioned into.

In K-fold cross-validation, the original dataset is randomly partitioned into K equal-sized subsamples or folds. The model is then trained on K-1 folds, and the remaining single fold is used for validation or testing. This process is repeated K times, with each fold being used once for validation or testing.

The computational complexity of K-fold cross-validation depends on the value of K and the complexity of the machine learning algorithm being evaluated.

In general, the time complexity of K-fold cross-validation is linear in K, meaning that it scales linearly with the number of folds. This is because the training and evaluation process needs to be repeated K times, once for each fold.

Therefore, the correct answer is:

A. linear in K

The time complexity of K-fold cross-validation is not quadratic, cubic, or exponential in K, as those options would imply a higher computational cost that grows more rapidly with increasing values of K.",
"Yiziphi kulezi zici ezilandelayo ngokuvamile ezihambisana nokudlwengula usuku?
A.ukusetshenziswa kwamandla ngokweqile
B.Premeditated
C.ukugqugquzelwa ngokocansi
D.kuhilela ukusetshenziswa kwesikhali",C,"Ngokuvamile izici ezihambisana nokudlwengula usuku zingu:

B. Premeditated - Okuchaza ukucabanga nokuhlela ngaphambilini ukwenza icala.

C. ukugqugquzelwa ngokocansi - Okuchaza ukuba nomqondo wokudlwengula ngenxa yokufuna ukuncelisa inkanuko zokocansi.

Izici ezinjengalezi zivamise ukusetshenziswa uma kuchazwa amacala okudlwengula usuku, njengokudlwengulwa ngokwesiko noma ukudlwengulwa ngokwemvelo. Zichaza ukuhlela ngaphambilini nokuba nomqondo wokudlwengula.",
"Kuyini umlingisi Antonio Banderas ulimi lwendabuko?
A.I-Spanish
B.Isi-Russia
C.IsiJalimane
D.Isi-French",A,"Umlingisi omdumileyo uAntonio Banderas ulimi lwendabuko lakhe lingu-Spanish. Wazalwa ngo-1960 eSpain.

Ngaphandle kokukhuphula amalungelo obunini bomsebenzi, ngingakuchazela nje ukuthi uAntonio Banderas wazalelwa eMalaga, eSpain futhi ulimi lwendabuko lakhe lingu-Spanish. Waqala ukudlala amabhangekhaya eMalaga ngaphambi kokuba asebenze ezingxoxweni eziningi ezaziwayo ezifana ne-The Mask of Zorro, Spy Kids, namanye amashadi.",
"Abantu abadala abaneminyaka ephakathi babonakala bengaphezu ____ kunabantu abadala noma abancane
A.Generative
B.Neurotic
C.Kuyavumelana
D.Ngokuqinisekile",A,"Impendulo elungile iD. Ngokuqinisekile.

Intshayelelo ethi ""abantu abadala abaneminyaka ephakathi babonakala bengaphezu ngokuqinisekile kunabantu abadala noma abancane"" ithetha ukuthi abantu abadala abaneminyaka ephakathi bamele ukuziphatha ngokuqinisekile kunalabo abancane kakhulu noma abadala kakhulu.

Amagama amanye anjengalawo:

A. Generative - Okwenza into ethile iqhubekele phambili
B. Neurotic - Okubonisa ukungaqiniseki nokukhathazeka okukhulu
C. Kuyavumelana - Ukuvumelana nento ethile

Ngakho-ke, intshayelelo ikhuluma ngokuziphatha ngokuqinisekile, ngoko ke impendulo elungile iD. Ngokuqinisekile.",
"Isiguli siphuke intamo ngokulimala komgogodla ezingeni le-vertebra yesithupha yomlomo wesibeletho.
A.Ngeke bakwazi ukuphefumula ngaphandle kokuxhaswa ukuphila.
B.Bazokwazi ukuphefumula ngokuthula kuphela.
C.Akunakwenzeka ukubikezela umphumela wokuphefumula.
D.Ukuphefumula ngeke kuthinteke.",B,"Isinqumo esifanele ngokwenkcazelo enikwe yile:

A. Ngeke bakwazi ukuphefumula ngaphandle kokuxhaswa ukuphila.

Ukuba umgogodla ulimazekile kwizinga le-vertebra yesithandathu yomlomo wesibeletho, oku kungachaphazela ukusebenza kwemisipha ephefumulayo nemiyo, ngoko ke kungabangela ukuba umntu angakwazi ukuphefumula ngokuzimeleyo. Oku kuya kufuna uncedo lweenkonzo zezempilo ukuze umntu akwazi ukuphefumula ngokuxhaswayo.

Iinkcazelo ezinye azizange zikhethe ngokucacileyo ukuba ukuphefumula kungathinteka kangakanani na, ngoko ke inkcazelo A iyeyona ifanelekileyo.",
"Inani, elizungeze izinkulungwane eziseduze,ngu-47 000. Iyiphi inombolo okungaba inombolo eyayizungezile?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Ngokuya ngemibuzo enikeyiwe, inombolo eyayizungezile izinkulungwane eziseduze ku-47 000 ingaba:

C. 47,520

Lena inombolo isondele kakhulu ku-47 000 uma izinkulungwane eziseduze zizungezwa. Ngakho-ke, impendulo ethi C. 47,520 ingumbono owenziwe ngokucophelela.

Ngikucelela ungabi nesankahlukhuni uma ngingakwazanga ukukunika impendulo egcwele ngoba ngizame ukungabiki noma ukuphinda noma yini engase ibenemvume yobunxanvatho. Ngiyathemba ukuthi le mpendulo iyasiza.",
"Chonga i-antecedent yesiphakamiso esilandelayo esinemibandela: I-Bees inqoba umdlalo wayo wokuqala kuphela uma noma i-Aardvarks noma i-Chipmunks ingawinanga imidlalo yayo yokuqala.
A.Ama-Aardvarks awanqobi umdlalo wawo wokuqala.
B.Izinyosi zinqoba umdlalo wazo wokuqala.
C.AmaChipmunks awanqobi umdlalo wawo wokuqala.
D.Kungenzeka ukuthi ama-Aardvarks noma amaChipmunks awanqobi imidlalo yawo yokuqala.",B,"Ukuze siqonde kahle isiphakamiso esinemibandela, asibheke imibandela yaso:

""I-Bees inqoba umdlalo wayo wokuqala kuphela uma noma i-Aardvarks noma i-Chipmunks ingawinanga imidlalo yayo yokuqala.""

Lesi siphakamiso sisho ukuthi i-Bees inqoba umdlalo wayo wokuqala kuphela uma omunye walawo amaqembu amabili (Aardvarks noma Chipmunks) engawunqobanga umdlalo wawo wokuqala.

Ngakho-ke, i-antecedent yalesi siphakamiso esinemibandela ithi:

D. Kungenzeka ukuthi ama-Aardvarks noma amaChipmunks awanqobi imidlalo yawo yokuqala.

Uma lesi simo senzeka, i-Bees ingaba nesibopho sokuba inqobe umdlalo wayo wokuqala. Ngakho-ke, D iyona mpendulo efanele.",
"Lo mbuzo ubhekisela olwazini olulandelayo.
Okokuqala kumele siphawule ukuthi i-cosmos iyindilinga ngefomu, ngokwengxenye ngoba leli fomu liyonke eliphelele elingadingi amalunga, liphelele kunazo zonke, ngokwengxenye ngoba lenza ifomu le-capacious kakhulu, elifanele kakhulu ukuqukatha nokulondoloza yonke into; noma futhi ngoba zonke izingxenye ezihlanganisiwe zendalo yonke, okungukuthi ilanga, inyanga namaplanethi zivela kuleli fomu; noma ngoba yonke into izama ukuthola leli fomu, njengoba kubonakala esimweni samaconsi amanzi nezinye imizimba yamanzi uma bezama ukuzichaza. Ngakho akekho oyothandabuza ukuthi lesi simo singesemizimba yasezulwini. ...
Ngakho-ke ukuthi umhlaba nawo uyindilinga akubuzwa, ngoba ucindezela kusuka kuzo zonke izinhlangothi maphakathi nawo. Nakuba ngenxa yokuphakama kwezintaba kanye nokucindezeleka kwezigodi isiyingi esiphelele asikwazi ukuqondwa, nokho lokhu akuphazamisi imvelo ejwayelekile eyindilinga yomhlaba. ...
Njengoba sekukhonjisiwe ukuthi umhlaba unesimo se-sphere, kumele sicabangele ukuthi ukunyakaza nakho kuhambisana yini nalesi simo, nokuthi umhlaba uphethe yiphi indawo endaweni yonke. ... Iningi elikhulu lababhali yebo liyavuma ukuthi umhlaba umi maphakathi nendawo yonke, futhi ubheka njengento engacabangeki futhi ehlekisayo ukucabanga okuphambene nalokho. Kodwa uma udaba lulinganiswa ngokucophelela, kuzobonakala ukuthi umbuzo awukalungiswa ngakho-ke akufanele neze ubhekwe kalula. Lonke ushintsho lwendawo olubonwayo lufanele, okungukuthi, ukunyakaza kwento ebonakalayo noma yombukeli, noma ukunyakaza kokubili. ... Manje kuvela emhlabeni ukuthi ukuguquka kwamazulu kubonwa futhi kukhiqizwa amehlo ethu. Ngakho-ke uma umhlaba unganyakazi lokhu kunyakaza kumele kwenzeke kukho konke okungaphandle komhlaba, kodwa ngendlela ehlukile kunokuba yonke into emhlabeni ihambe, futhi kulolu hlobo kuyinguquko yansuku zonke. Ngakho lokhu kubonakala kuthinta yonke indalo, okungukuthi, yonke into engaphandle komhlaba ngaphandle komhlaba owodwa uqobo. Uma, nokho, umuntu kufanele avume ukuthi lokhu kunyakaza kwakungeyona into engavamile emazulwini, kodwa ukuthi umhlaba wawujikeleza usuka entshonalanga uye empumalanga, futhi uma lokhu kwakubhekwa ngokucophelela maqondana nokuphuma nokushona kwelanga okubonakalayo, inyanga nezinkanyezi, kwakuzotholakala ukuthi lesi kwakuyisimo sangempela.""
UNicolas Copernicus, Izinguquko Zemizimba Yasezulwini, 1543
Isiqephu singasetshenziswa njengobufakazi bokuthi uCopernicus wayehlukile kwizazi zefilosofi zemvelo zendabuko, ze-Aristotelian zosuku lwakhe ngoba wasikisela ukuthi
A.i-cosmos iyindilinga
B.uMhlaba uyindilinga
C.i-cosmos i-geostatic
D.umhlaba awumile",D,"Ngokulandelela isiqephu esikhishwe, impendulo efanele ukuba yi-D, okungukuthi umhlaba awumile.

Isiqephu sikhombisa ukuthi uCopernicus wayehlukile nezazi zefilosofi zemvelo zendabuko ze-Aristotelian ngaleso sikhathi ngoba wayekholwa ukuthi umhlaba awumile kodwa unyakaza, lapho abanye babecabanga ukuthi umhlaba umi maphakathi nendawo yonke.

Isiqephu sithi: ""Iningi elikhulu lababhali yebo liyavuma ukuthi umhlaba umi maphakathi nendawo yonke, futhi ubheka njengento engacabangeki futhi ehlekisayo ukucabanga okuphambene nalokho. Kodwa uma udaba lulinganiswa ngokucophelela, kuzobonakala ukuthi umbuzo awukalungiswa ngakho-ke akufanele neze ubhekwe kalula.""

Ngakho-ke uCopernicus wayephikisana nombono wosuku lwakhe wokuthi umhlaba umi maphakathi nendawo yonke, kodwa wayekholwa ukuthi unyakaza.",
