Question,CorrectAnswer,GivenAnswer,Correct
"زمانی فەرمی هۆڵەندا چییە؟
A.دانیمارکی
B.سویدی
C.ئەڵمانی
D.هۆڵەندی",D,D. هۆڵەندی,D
"لە چ وڵاتێکدا فیلمی ماگنۆلیای ساڵی ۱۹۹۹یە؟
A.کالیفۆرنیا
B.کارۆلینای باشوور
C.جۆرجیا
D.تێکساس",A,B. کارۆلینای باشوور,B
"کام ڕوانگەی دەروونی بەناوبانگترین بوو لە سەدەی بیستەم لە ئەوروپای ڕۆژئاوا؟
A.دەمارزانی
B.پەرەسەندن
C.ڕەفتارکار
D.دەروونشیکاری",D,B. پەرەسەندن,B
"کام لەو خواردنانە لە ڕیخۆڵەی بەراز دروست دەکرێت؟
A.هاگیس
B.چیتلینس
C.گریان
D.چۆپ سوی",B,B.چیتلینس,B
"کام لەو وڵاتانە زۆرترین ڕێژەی CO2یان لە ساڵی 2017دا بڵاوکردەوە؟
A.ژاپۆن
B.کەنەدا
C.ڕووسیا
D.ئێران",B,B. کەنەدا,B
"فێربوونی بێهاوتایی ئەگەری ئەوەی هەیە کە ڕاستەوخۆ پەیوەندی هەبێت بە
A.کاریگەری بارنۆم.
B.خۆپەرستی.
C.ده رکێکى ده ره کیى کۆنترۆڵکردن.
D.ئەرێنی بێ مەرج.",C,B.خۆپەرستی.,B
"ئەو ڕاستییەی کە ڕێژەی هەڵمژینی ژێر سوور لە کلۆرایدی دۆتێریۆم (DCl) لە هایدرۆجین کلۆراید (HCl) دەگۆڕێت بەهۆی جیاوازیەکانی
A.دابەشکردنی ئەلکترۆن
B.ساتی دیپۆل
C.نەگۆڕی هێز
D.کەمبونەوەی بارستە",D,B. ساتی دیپۆل,B
"کام لەو فیلمانە زۆرترین بەرهەمیان هێناوە؟
A.هاوار
B.جاوس
C.هەڵۆوین
D.هەینی 13'.",D,D. هەینی 13'.,D
"لە زنجیرەیەک سووڕدا، ئەگەر تەزوەکە لە یەک گڵۆپدا ۲ ئەی بێت، تەزوەکە لە گڵۆپەکەی تەنیشت ئەوەیە
A.نیو ۱ ئەی
B.2:00 بەیانی
C.چۆن گۆ دەکرێ battery
D.زانیاری تەواو نییە بۆ ئەوەی بڵێین",B,A.نیو ۱ ئەی,A
"گه نجانی ته مه ن زیاتر له گه نج و گه نجن
A.دروستکەر
B.دەمار
C.ڕەزامەند
D.دڵنیا",A,B. دەمار,B
"دەتوانن باشتر بێژەی بکەن؟ یا بە زاراوەیەکی تر؟ بێژە کردنی Riva بە ئیتالیایی
A.هەژاری
B.کاری باشتر و کرێی زیاتر
C.سیستەمی کاستی ھیندستان
D.توندوتیژی له گه ڕه که که ی خۆیدا",B,B. کاری باشتر و کرێی زیاتر,B
"ئەو گۆڕانکاریانەی کە دەبنە هۆی ئەکۆندرۆپلاسیا کاریگەری هەیە کە دەتوانرێت پۆلێن بکرێت وەک:
A.زاڵبوونی نەرێنی.
B.قازانج.
C.هاپلۆین.
D.- لەدەستدانی ئەرک.",B,C. هاپلۆین.,C
"k-fold-validation
A.هێڵی لە کەی
B.ckbwiki ک.ک
C.سێجا لە K
D.لە کەی",A,C.سێجا لە K,C
"ژمارەی ئەو کەسانەی کە نزیکن لە هەزار کەس ۴۷ هەزار کەسن چ ژمارەیەک دەکرێت ئەو ژمارەیە بێت کە دەورە دراوە؟
A.46,295
B.46,504
C.47,520
D.47,924",B,"B. 46,504",B
"دەتوانن باشتر بێژەی بکەن؟ یا بە زاراوەیەکی تر؟ بێژە کردنی X بە ئیتالیایی
A.ئەم ڕەفتارە گشتیە (Jure imperii)
B.ئەم جۆرە ڕەفتارانە هەرگیز بەرگری ڕاناکێشێت
C.ئەم ڕەفتارە کارێکی تایبەتە (Jure gestionis)
D.ئەم جۆرە ڕەفتارانە کردەوەیەکی گشتییە بەڵام پارێزراوە بە پاراستن",C,A. Questo comportamento è generale (Jure imperii),A
"ئەو وزەیەی کە لە تێکشکانی فۆسفاتە وزە بەرزەکان، ئەی تی پی و فۆسفۆرکریاتینەوە دەردەچێت، دەتوانێت زۆرترین ڕاهێنانی هەوڵدان بەردەوام بێت بۆ نزیکەی:
A.۱-۲ چرکە
B.۵-۱۰ چرکە
C.۳۰-۴۰ چرکە
D.۵۰-۶۰ چرکە",B,D. ۵۰-۶۰ چرکە,D
"دیاریکردنی چڕی H+(aq) لە 1.0 M phenol ، C6H5OH. (۱ × ۱۰-۱۰)
A.1 × 10^-10 م
B.۱ × ۱۰^-۹ م
C.۱ × ۱۰^-۳ م
D.۱ × ۱۰^-۵ م",D,B. 1 × 10^-9 م,B
" ئەم ئامرازە بە بازاڕکردن و پەیوەندیکردن هاندەرێکی ڕاستەوخۆ یان هاندەرێک پێشکەش دەکات بۆ هاندانی کڕیاران بۆ کڕینی بەرهەمێک یان خزمەتگوزاریەک:
A.ڕیکلام.
B.پەیوەندییە گشتییەکان.
C.بەرزکردنەوەى فرۆشتن.
D.بازاڕکردنی راستەوخۆ.",C,C.بەرزکردنەوەى فرۆشتن.,C
"که سایه تی هه ڵس و که وتین جۆرێکی تایبه تی
A.هەڵەی ڕووداو
B.کێشەی هەڵە
C.پرسیارکردن
D.لێکدانەوەی بازنەیی",A,B.کێشەی هەڵە,B
"ئایا تا چ ڕادەیەک کێبڕکێ لە وڵاتێکدا کاریگەری لەسەر کێبڕکێ لە وڵاتانی دیکەدا هەیە؟
A.بازرگانی نێودەوڵەتی
B.ئابووری جیهانی
C.پێشبڕکێی جیهانی
D.جیهانگیری",D,A.بازرگانی نێودەوڵەتی,A
"بەیاننامەی ۱ | لە گرووپێکدا (ab)^{{-2} = b^{-2}} بەیاننامەی ۲ | لە گرووپێکدا (ab)^n = a^n^n.
A.ڕاستە
B.ساختە
C.ڕاست - ساختە
D.هەڵە - ڕاستە",B,C. ڕاست - ساختە,C
"ئایا ڕێککەوتنەکە لەگەڵ کام لەم خاڵانەی خوارەوەدا دەکرێت؟
A.شێوازی سووڕانەوە لە پاشماوەکاندا
B.شێوازێکی گۆڕاو لە پاشماوەکاندا
C.هه ڕه مه کییه کی ته واو له پاشماوه کاندا
D.پاشماوەکان کە هەموویان نزیکن لە سفر",B,B.شێوازێکی گۆڕاو لە پاشماوەکاندا,B
"ئەم پرسیارە دەگەڕێتەوە بۆ ئەم زانیارییانەی خوارەوە.
سەرەتا پێویستە ئاماژە بەوە بکەین کە گەردوون لە شێوەدا گۆییە، بەشێکی لەبەر ئەوەی ئەم شێوەیە تەواوە و پێویستی بە هیچ جومگەیەک نییە، تەواوترینە لە هەموویان، بەشێکی لەبەر ئەوەی بەهێزترین شێوە دروست دەکات، کە بە باشترین شێوە گونجاوە بۆ گرتن و پاراستنی هەموو شتێک. یان دووبارە لەبەر ئەوەی هەموو بەشە پێکهێنەرەکانی گەردوون، واتە خۆر و مانگ و هەسارەکان لەم شێوەیەدا دەردەکەون. یان لەبەر ئەوەی هەموو شتێک هەوڵ دەدات بۆ بەدەستهێنانی ئەم شێوەیە، وەک ئەوەی لە حاڵەتی دڵۆپەکانی ئاو و جەستەی شلەکانی تردا دەردەکەوێت ئەگەر هەوڵ بدەن خۆیان پێناسە بکەن. بۆیە کەس گومانی لەوە نییە کە ئەم جۆرە لە جەستەی ئاسمانییە. ...
لەبەر ئەوە کە زەوی گۆییە، لەبەر ئەوەی لە هەموو لایەکەوە فشار دەخاتە سەر ناوەندەکەی. هەرچەندە بەهۆی بەرزبوونەوەی چیاکان و خەمۆکییەکانی دۆڵەکان، بازنەیەکی تەواو ناتوانرێت تێبگەین، بەڵام ئەمە کاریگەری لەسەر سروشتی گۆیی گشتی زەوی نییە. ...
هەروەک پێشتر نیشاندراوە کە زەوی شێوەی گۆی هەیە، پێویستە ڕەچاوی ئەوە بکەین کە ئایا جووڵەیەک هاوکات دەبێت لەگەڵ ئەم شێوەیە و زەوی چ جێگایەکی هەیە لە گەردووندا. ... بە دڵنیاییەوە زۆربەی نووسەرە گەورەکان هاوڕان لەسەر ئەوەی کە زەوی هێشتا لە ناوەندی گەردووندا وەستاوە و پێی وایە کە پێچەوانەکەی بێمانایە و پێکەنیناوییە. بەڵام ئەگەر بابەتەکە بە وردی ڕەچاو بکرێت، ئەوا دەبینرێت کە پرسیارەکە هێشتا چارەسەر نەکراوە و بۆیە بە هیچ شێوەیەک بە سووکی سەیر ناکرێت. هەر گۆڕانکارییەکی شوێن کە تێبینی دەکرێت، بۆ جووڵەی تەنێکی تێبینیکراو یان چاودێرەکە، یان بۆ جووڵەی هەردووکیانە. ... ئێستا لە زەوییەوە شۆڕشی ئاسمان دەبینرێت و بۆ چاومان بەرهەم هاتووە. بۆیە ئەگەر زەوی بە هیچ جووڵەیەکدا نەجوڵێت، ئەوا دەبێت لە هەموو شتێکی دەرەوەی زەویدا ڕوو بدات، بەڵام بە ئاراستەیەکی پێچەوانەدا لەوەی کە هەموو شتێک لەسەر زەوی بجوڵێت و لەم جۆرە شۆڕشی ڕۆژانەیە. کەواتە ئەمە وا دەردەکەوێت کە کاریگەری لەسەر هەموو گەردوون هەبێت، واتە هەموو شتێک لە دەرەوەی زەوی جگە لە خودی زەوی. بەڵام ئەگەر کەسێک دان بەوەدا بنێت کە ئەم جووڵەیە تایبەت نییە بە ئاسمان، بەڵکو زەوی لە ڕۆژئاواوە بۆ ڕۆژهەڵات دەخولێتەوە، و ئەگەر ئەمە بە وردی ڕەچاو بکرێت سەبارەت بە هەڵاتن و ئاوابوونی خۆر، مانگ و ئەستێرەکان، ئەوا بۆی دەرکەوت کە ئەمە بارودۆخی ڕاستەقینەیە.""
نیکۆلاس کۆپەرنیکۆس، شۆڕشەکانی جەستەی ئاسمانی ۱۵۴۳
لەوانەیە ئەم پەڕەیە وەک بەڵگەیەک بەکاربهێنرێت کە کۆپەرنیکۆس جیاواز بوو لە فەیلەسوفە سروشتییە نەریتییەکانی سەردەمی خۆی چونکە پێشنیاری ئەوەی کرد کە
A.چۆن گۆ دەکرێ spherical
B.چۆن گۆ دەکرێpher
C.چۆن گۆ دەکرێت Geostatic
D.زەوی جێگیر نییە",D,ب. چۆن گۆ دەکرێpher,B
"لێکۆڵینەوەکانی گارسیا و کۆلینگ دەربارەی ڕق و کینە فێربووەکان ئەوەیان سەلماند کە کام لە جووتەکانی UCS و CS بەهێزترینن و بە خێرایی فێر دەبن؟
A.ئه نجامدانی کارێک و وه رگرتنی خه ڵاتێکی خۆراکی
B.هەڵامەت و خواردن یان خواردنەوە
C.جوڵە و شۆک
D.سزا و پاداشت",B,B. هەڵامەت و خواردن یان خواردنەوە,B
