Question,CorrectAnswer,GivenAnswer,Correct
"W jakim stanie jest akcja filmu Magnolia z 1999 roku?
A.Kalifornia
B.Karolina Południowa
C.Gruzja
D.Teksas",A,A. Kalifornia,A
"Który z wymienionych krajów wyemitował najwięcej CO2 na mieszkańca w 2017 roku?
A.Japonia
B.Kanada
C.Rosja
D.Iran",B,B.Kanada,B
"Jaki jest język urzędowy Holandii?
A.Duński
B.Szwedzki
C.Niemiecki
D.Holenderski",D,D. Holenderski,D
"Który z tych horrorów doczekał się najwięcej sequeli?
A.Krzyk""
B.Szczęki""
C.Halloween""
D.Piątek 13-go",D,D. Piątek 13-go,D
"Liczba zaokrąglona do najbliższego tysiąca wynosi 47 000. Która liczba może być liczbą zaokrągloną?
A.46,295
B.46,504
C.47,520
D.47,924",B,"C. 47,520",C
"Jaki jest język ojczysty aktora Antonio Banderasa?
A.Hiszpański
B.Rosyjski
C.Niemiecki
D.Francuski",A,A. Hiszpański,A
"Badania Garcii i Koellinga dotyczące wyuczonych awersji ustaliły, która z poniższych par UCS i CS jest najpotężniejsza i najszybciej się uczy?
A.wykonanie zadania i otrzymanie nagrody w postaci jedzenia
B.nudności a jedzenie lub picie
C.Ruch i wstrząs
D.Kary i nagrody",B,B. nudności a jedzenie lub picie,B
"Błąd osobowości pochwalnej jest specyficznym rodzajem osobowości
A.Błąd przypadku
B.Fałszywy dylemat
C.Błagam o pytanie
D.Rozumowanie okrężne",A,D.Rozumowanie okrężne,D
"Która z poniższych wartości wskazuje na ujemną autokorelację resztkową?
A.Cykliczny wzorzec w resztach
B.Naprzemienny wzór w resztach
C.Całkowita losowość w resztach
D.Resztki, które są bliskie zeru",B,A.Cykliczny wzorzec w resztach,A
"Które z tych dań jest zrobione z jelit wieprzowych?
A.haggis
B.chitliny
C.Grits
D.Chop Suey",B,B. chitliny,B
"Jak określa się stopień, w jakim konkurencja w jednym kraju jest uzależniona od konkurencji w innych krajach?
A.Handel międzynarodowy
B.Globalna ekonomia
C.Globalna konkurencja
D.Globalizacja",D,D. Globalizacja,D
"Mutacje powodujące achondroplazję wywierają efekt, który można sklasyfikować jako:
A.dominujący negatyw.
B.wzmocnienie funkcji.
C.haploinsufficien.
D.utrata funkcji.",B,D. utrata funkcji.,D
"Na płaszczyźnie xy wykres x^(log y) = y^log x wynosi
A.Otwarty pierwszy kwadrant
B.Krzywa zamknięta
C.Promień w otwartym pierwszym kwadrancie
D.pojedynczy punkt",A,D. pojedynczy punkt,D
"Dorośli w średnim wieku wydają się być bardziej ____ niż starsi lub młodsi dorośli
A.Generatywnych
B.Neurotyczny
C.Przyjemny
D.Pewny",A,D. Pewny,D
"Energia uwolniona z rozpadu wysokoenergetycznych fosforanów, ATP i fosfokreatyny, może utrzymać maksymalny wysiłek fizyczny przez około:
A.1-2 sekundy.
B.5-10 sekund.
C.30-40 sekund.
D.50-60 sekund.",B,B. 5-10 sekund.,B
"Które z poniższych czynników z największym prawdopodobieństwem doprowadzi z czasem do silniejszego wzrostu gospodarczego?
A.Szybsze zużycie zasobów naturalnych.
B.Wyższe wskaźniki analfabetyzmu wśród dorosłych.
C.Spadające zasoby dóbr kapitałowych.
D.Ulgi podatkowe na inwestycje.",D,D. Ulgi podatkowe na inwestycje.,D
"Co to jest atak powtórkowy?
A.Gdy osoba atakująca odpowie na wiadomość wysłaną do niej przez system
B.Atak, który ciągle się powtarza, szukając słabych punktów
C.Atak, który wykorzystuje własne komunikaty systemu, a więc nie można się przed nim bronić
D.Osoba atakująca ponownie wysyła przechwyconą wiadomość, a witryna akceptuje ją i odpowiada na jej korzyść",D,"B.Atak, który ciągle się powtarza, szukając słabych punktów",B
"Czy bezprawne zabójstwo popełnione przez ministra państwa X za granicą jest aktem iure imperii lub iure gestionis?
A.Takie zachowanie jest aktem publicznym (iure imperii)
B.Takie postępowanie nigdy nie pociąga za sobą immunitetu
C.Takie zachowanie jest aktem prywatnym (iure gestionis)
D.Takie zachowanie jest aktem publicznym, ale jest chronione immunitetem",C,A. Takie zachowanie jest aktem publicznym (iure imperii),A
"K-krotna walidacja krzyżowa jest
A.liniowy w K
B.kwadratowy w K
C.sześcienny w K
D.wykładniczy w K",A,B.kwadratowy w K,B
" To narzędzie marketingowe i komunikacyjne oferuje bezpośrednią zachętę lub zachętę do zachęcenia klientów do zakupu produktu/usługi:
A.Reklama.
B.Public relations.
C.Promocja sprzedaży.
D.Marketing bezpośredni.",C,C. Promocja sprzedaży.,C
"Które z poniższych cech są ogólnie zgodne z gwałtem na randce?
A.użycie nadmiernej siły
B.umyślny
C.motywowane seksualnie
D.wiąże się z użyciem broni",C,"B. umyślny
C. motywowane seksualnie",C
"Pacjent doznaje złamania szyi z uszkodzeniem rdzenia kręgowego na wysokości szóstego kręgu szyjnego.
A.Nie będą w stanie oddychać bez aparatury podtrzymującej życie.
B.Będą mogli oddychać tylko spokojnie.
C.Nie da się przewidzieć wpływu na oddychanie.
D.Oddychanie pozostanie nienaruszone.",B,A. Nie będą w stanie oddychać bez aparatury podtrzymującej życie.,A
"To pytanie odnosi się do następujących informacji.
""Rzeczywiście, zarówno fatwy wybitnych [uczonych], którzy opierają swoją opinię zarówno na rozumie, jak i tradycji, jak i konsensus społeczności sunnickiej zgadzają się, że starożytny obowiązek wytępienia, eksterminacji i wypędzenia złych innowacji musi być celem naszych wzniosłych aspiracji, ponieważ ""gorliwość religijna jest zwycięstwem Wiary Boga Dobroczynnego""; Następnie, zgodnie ze słowami Proroka (Pokój z nim!) ""Ktokolwiek wprowadza złą innowację do naszego porządku, musi zostać wydalony"" i ""Ktokolwiek czyni coś przeciwko naszemu porządkowi, musi zostać wydalony"", działanie stało się konieczne i konieczne...""
List sułtana osmańskiego Selima I do Safawida Szacha Ismaila I, 1514
Safawidzi ściągnęli na siebie gniew imperiów islamskich, takich jak imperium osmańskie i imperium Mogołów, głównie dlatego, że Safawidzi
A.były imperium ekspansjonistycznym geograficznie położonym pomiędzy dwoma innymi ekspansjonistami
B.odrzucił główne zasady islamu
C.zniewolił chrześcijan i zamienił ich w bojowników Safawidów
D.Ismail ogłosił się kalifem",A,B. odrzucił główne zasady islamu,B
"Uczniowie przeprowadzają ćwiczenie separacji pigmentu roślinnego, które wymaga od nich użycia zamkniętej komory chromatograficznej z niewielką ilością acetonu na dnie komory. Ostrzeżenia dotyczące bezpieczeństwa acetonu zawierają stwierdzenie, że działa on drażniąco na oczy i skórę oraz zawiera łatwopalne opary. Jakie środki ostrożności powinni podjąć uczniowie podczas wykonywania ćwiczenia?
A.Zakładanie rękawic ognioodpornych w celu przeniesienia komory do dygestoria w przypadku zapalenia się acetonu
B.Umieszczenie komory w zamkniętej, zaciemnionej szafce na czas separacji pigmentu
C.Noszenie skórzanych rękawiczek i zakrywanie nosa i ust maską przeciwcząsteczkową
D.Noszenie okularów i rękawic nitrylowych oraz zamykanie wszystkich pojemników z acetonem",D,"

D. Noszenie okularów i rękawic nitrylowych oraz zamykanie wszystkich pojemników z acetonem.",D
"Gospodarka znajduje się w głębokiej recesji. Biorąc pod uwagę obecną sytuację gospodarczą, które z poniższych stwierdzeń dotyczących polityki pieniężnej jest trafne?
A.Ekspansywna polityka tylko pogłębiłaby recesję.
B.Ekspansywna polityka znacznie zwiększa zagregowany popyt, jeśli inwestycje są wrażliwe na zmiany stóp procentowych.
C.Polityka restrykcyjna jest odpowiednim bodźcem dla inwestycji i konsumpcji.
D.Jeśli popyt na pieniądz jest doskonale elastyczny, ekspansywna polityka pieniężna może być całkiem skuteczna.",B,A. Ekspansywna polityka tylko pogłębiłaby recesję.,A
"Napięcie indukowane w cewce indukcyjnej jest reprezentowane jako:
A.iloczyn jego indukcyjności i przepływającego przez nią prądu.
B.stosunek jego indukcyjności do przepływającego przez niego prądu.
C.stosunek przepływającego przez niego prądu do jego indukcyjności.
D.iloczyn jego indukcyjności i szybkości zmian prądu przez niego.",D,A. Iloczyn jego indukcyjności i przepływającego przez nią prądu.,A
"Wyuczona bezradność jest najprawdopodobniej bezpośrednio związana z
A.efekt Barnuma.
B.stronniczość wyrachowana.
C.zewnętrzne umiejscowienie kontroli.
D.bezwarunkowy pozytywny szacunek.",C,C.zewnętrzne umiejscowienie kontroli.,C
