Question,CorrectAnswer,GivenAnswer,Correct
"د شلمې پیړۍ په پیل کې په لویدیځه اروپا کې کوم روانی لید خورا مشهور و؟
A.عصبی اعصاب
B.تکاملی
C.چلند پال
D.ارواپوه",D,C. چلند پال,C
"د هالنډ رسمی ژبه څه ده؟
A.ډنمارکي
B.سویډني
C.الماني ژبه
D.هالنډي",D,D.هالنډي,D
"هغه بدلونونه چې د Achondroplasia لامل کیږی یو اغیز لری چې کیدای شی په لاندې ډول طبقه بندی شی:
A.غالب منفی.
B.د دندې ترلاسه کول.
C.د هیپولین کافی.
D.د فعالیت له لاسه ورکول.",B,B. د دندې ترلاسه کول.,B
"یو شمیر ، نږدې زرو ته ګردی ، 47000 دی. کوم شمیره کیدی شی هغه شمیره وی چې شاوخوا وه؟
A.46,295
B.46,504
C.47,520
D.47,924",B,"B.46,504",B
"د انتونیو بانډیراس اصلی ژبه څه ده؟
A.هسپانوي
B.روسي
C.الماني ژبه
D.فرانسوي ژبه",A,A. هسپانوي,A
"د انسان د شخصیت د ښه والی له امله د انسان د شخصیت په اړه د هغه د شخصیت د شخصیت په اړه د هغه
A.د حادثې په اړه د غلطۍ
B.غلطه ستونزه
C.د پوښتنې غوښتنه کول
D.دایروی استدلال",A,B. غلطه ستونزه,B
"د منځنی عمر لرونکی بالغان د زړو یا ځوانو لویانو په پرتله ډیر ښکاری
A.تولید
B.نیوروټیک
C.د منلو وړ
D.ډاډه",A,B.نیوروټیک,B
"$-\dfrac موندل{1} {-3}\cdot\cfrac{1} {~frac{1} {-3}~.$
A.1
B.-1
C.0
D.2",B,B. -1,B
"کوم هیوادونه په 2017 کې د سر سر CO2 ډیر اخراج کړی؟
A.جاپان
B.کانادا
C.روسیه
D.ایران",B,B. کانادا,B
"د ۱۹م کال د مګنولیا فلم په کوم حالت کې دی؟
A.کالیفورنیا
B.جنوبی کارولینا
C.ګورجستان
D.ټیکساس",A,B. جنوبی کارولینا,B
" دا بازارموندنه او مخابراتی وسیله مستقیم هڅونه یا هڅونه وړاندې کوی ترڅو پیرودونکی د محصول / خدمت پیرود لپاره وهڅوی:
A.اعلانونه
B.عامه اړیکې.
C.د پلور ترویج.
D.په مستقیم ډول د بازارموندنې.",C,B. عامه اړیکې.,B
"حقیقت دا دی چې د Deuterium کلورایډ (DCl) د انفراډ جذب فریکوینسی د هایدروجن کلورایډ (HCl) څخه لیږدول کیږی د دوی د توپیرونو له امله دی.
A.الکترون وېش
B.د ډیپول شیبه
C.زور پرله پسې
D.کم شوی ډله",D,B. د ډیپول شیبه,B
"هغه انرژی چې د لوړې انرژۍ فاسفیټونو ، ATP او فاسفوکرټین ماتولو څخه خوشې کیږی کولی شی د شاوخوا لپاره اعظمی تمرین وساتی:
A.1-2 ثانیې.
B.5-10 ثانیې.
C.30-40 ثانیې.
D.50-60 ثانیې.",B,B. 5-10 ثانیې.,B
"کوم ځانګړتیاوې عموما د جنسی تیری سره مطابقت لری؟
A.زور زیاتی
B.پلانی
C.جنسی هڅونکی
D.د یوې وسیلې کارول شامل دی",C,C. جنسی هڅونکی,C
"د دې وحشتناک فلمونو څخه کوم یو ترټولو ډیر سیکولونه رامینځته کړی؟
A.چیغې
B.د
C.هالووین
D.دجمعې په ۱۳مه",D,B. د,B
"اعلامیه 1 | په یوه ډله کې == ^{-2}a^{-2}. اعلامیه ۲ | په یوه ډله کې (ab) n = n ^ n n.
A.په رښتیا، په رښتیا
B.غلط، غلط
C.په رښتیا، غلط
D.غلط، ریښتینی",B,C. په رښتیا، غلط,C
"په xy-الوتکه کې ، د x ^(log y) ګراف = y ^ log x دی
A.د لومړی ځل لپاره د پرانیستې څلورمه برخه
B.یوه تړل شوې کږه
C.په پرانیستې څلورمه برخه کې د ریل ګاډی
D.یو ټکی",A,B. یوه تړل شوې کږه,B
"په 1.0 M فینول ، C6H5OH ، محلول کې د H + (aq) غلظت وټاکئ. (د فینول لپاره KA د 1 × 10^-10 دی.)
A.۱ × ۱۰^۱۰م
B.1 × 10^9 M
C.1 × 10^3 متر
D.1 × 10^5 متر",D,A. ۱ × ۱۰^۱۰م,A
"په یو هیواد کې د سیالۍ تر کومې کچې پورې د سیالۍ اصطلاح د نورو هیوادونو سیالۍ اغیزه کوی؟
A.نړیواله سوداګری
B.نړیوال اقتصاد
C.نړیواله سیالی
D.نړیوال کیدل",D,B.نړیوال اقتصاد,B
"یو ټانک د مثلث پرزم په شکل کې دی. که چیرې مثلث اډه د 116 مربع فوټ ساحه ولری ، او ټانک 30 فوټ لوړ وی ، نو ټانک به څومره اوبه ولری کله چې ډک وی؟
A.1725 فټه ^3
B.۱۷۴۰ فټه ^۳
C.۳۴۸۰ فټه ^۳
D.6960 فټه",C,C. ۳۴۸۰ فټه ^۳,C
"د K-Fold د اعتبار وړ دی
A.په K کې لینار
B.په K کې څلور اړخیزه
C.کیوبک په K
D.په K کې توان لرونکی",A,B. په K کې څلور اړخیزه,B
"په لړۍ سرکټ کې ، که چیرې اوسنی په یو چراغ کې 2 A وی ، نو اوسنی په چراغ کې د دې تر څنګ دی
A.نیمایی، 1 A
B.د 2:00 بجو
C.دا په دې پورې اړه لری چې کوم چراغ د بیټرۍ سره نږدې دی
D.د ویلو لپاره کافی معلومات نشته",B,A. نیمایی، 1 A,A
"د انګلستان او اسراییلو په څیر هیوادونو کې د سیاسی ګوندونو سره پرتله کول ، چې دواړه څو اړخیز سیسټمونه لری ، د امریکا سیاسی ګوندونه دی.
A.د ټاکنو د پایلو په اړه د ولسی جرګې د غړو اندېښنه
B.د سیاسی ګوندونو له خوا د سیاسی
C.د سیاسی ملاتړ کونکو څخه د پیسو په لوړولو کې لږ اغیزمن
D.د خپلو ټولو اهدافو د لاسته را وړولو لپاره غوره",B,B.د سیاسی ګوندونو له خوا د سیاسی,B
