Question,CorrectAnswer,GivenAnswer,Correct
"Adultos de meia-idade parecem ser mais ____ do que adultos mais velhos ou mais jovens
A.Gerador
B.Neurótico
C.Agradável
D.Certo",A,C.Agradável,C
"Qual é a língua nativa do ator Antonio Banderas?
A.Espanhol
B.Russo
C.Alemão
D.Francês",A,A. Espanhol,A
"Qual é o termo para determinar até que ponto a concorrência num país é influenciada pela concorrência noutros países?
A.Comércio internacional
B.Economia global
C.Competição global
D.Globalização",D,C. Competição global,C
"No plano xy, o gráfico de x^(log y) = y^log x é
A.o primeiro quadrante aberto
B.uma curva fechada
C.um raio no primeiro quadrante aberto
D.um único ponto",A,B. uma curva fechada,B
"Qual desses pratos é feito de intestino de porco?
A.haggis
B.Dobradinha
C.canjica
D.Corte Suey",B,B. Dobradinha,B
"Qual é a língua oficial dos Países Baixos?
A.Dinamarquês
B.Sueco
C.Alemão
D.Holandês",D,D. Holandês,D
"A validação cruzada K-fold é
A.linear em K
B.quadrático em K
C.cúbico em K
D.exponencial em K",A,B. quadrático em K,B
"O desamparo aprendido provavelmente está diretamente relacionado a
A.o efeito Barnum.
B.viés interesseiro.
C.um locus de controle externo.
D.consideração positiva incondicional.",C,C.um locus de controle externo.,C
"Em que estado se passa o filme Magnólia, de 1999?
A.Califórnia
B.Carolina do Sul
C.Geórgia
D.Texas",A,A. Califórnia,A
"As mutações que causam acondroplasia exercem um efeito que pode ser classificado como:
A.Negativo dominante.
B.ganho de função.
C.haploinsuficiência.
D.perda de função.",B,B. ganho de função.,B
"Qual perspectiva psicológica era mais popular na virada do século XX na Europa Ocidental?
A.neurociência
B.evolutivo
C.Behaviorista
D.psicanalítico",D,D. psicanalítico,D
"A autocorrelação residual negativa é indicada por qual das seguintes opções?
A.Um padrão cíclico nos resíduos
B.Um padrão alternado nos resíduos
C.Uma aleatoriedade completa nos resíduos
D.Resíduos próximos de zero",B,B.Um padrão alternado nos resíduos,B
"Qual dos seguintes países emitiu mais CO2 per capita em 2017?
A.Japão
B.Canadá
C.Rússia
D.Irã",B,B. Canadá,B
"Quais das seguintes características são geralmente consistentes com estupro de namoro?
A.uso de força excessiva
B.premeditado
C.sexualmente motivado
D.envolve o uso de uma arma",C,"A. uso de força excessiva
C. sexualmente motivado",A
"A pesquisa de Garcia e Koelling sobre aversões aprendidas estabeleceu que qual dos seguintes pares UCS e CS são os mais poderosos e aprendidos mais rapidamente?
A.realizar uma tarefa e receber uma recompensa alimentar
B.náuseas e alimentos ou bebidas
C.movimento e choque
D.punições e recompensas",B,B. náuseas e alimentos ou bebidas,B
"Qual desses filmes de terror gerou mais sequências?
A.Grito'
B.Tubarão'
C.Dia das Bruxas'
D.Sexta-feira 13'",D,D. Sexta-feira 13',D
" Esta ferramenta de marketing e comunicação oferece um incentivo direto ou um incentivo para incentivar os clientes a comprar um produto/serviço:
A.Publicidade.
B.Relações públicas.
C.Promoção de vendas.
D.Marketing direto.",C,C. Promoção de vendas.,C
"Qual dos seguintes fatores seria considerado um fator de ""puxada"" para Riva ao considerar uma mudança da Índia para os Estados Unidos?
A.Pobreza abjeta
B.Melhor emprego e salários mais altos
C.O sistema de castas da Índia
D.Violência em seu bairro",B,B. Melhor emprego e salários mais altos,B
"Qual delas torna a determinação do parentesco evolutivo de diferentes espécies com base na sequência de aminoácidos de proteínas homólogas geralmente menos precisa do que determinações de parentesco baseadas nas sequências de nucleotídeos de genes homólogos?
A.Mutações silenciosas
B.Duplicações gênicas
C.Eventos de translocação que alteram sequências gênicas
D.Travessia",A,C.Eventos de translocação que alteram sequências gênicas,C
"A energia liberada pela quebra dos fosfatos de alta energia, ATP e fosfocreatina, pode sustentar o exercício de esforço máximo por cerca de:
A.1-2 segundos.
B.5-10 segundos.
C.30-40 segundos.
D.50-60 segundos.",B,B. 5-10 segundos.,B
"Em comparação com partidos políticos em países como Inglaterra e Israel, ambos com sistemas multipartidários, os partidos políticos americanos são
A.menos interessados em influenciar o resultado das eleições
B.menos claramente identificados com ideologias políticas consistentes
C.menos eficaz na angariação de dinheiro junto de apoiantes políticos
D.mais capazes de refletir os objetivos de todo o seu eleitorado",B,B.menos claramente identificados com ideologias políticas consistentes,B
"Qual dos seguintes conjuntos de cadeias de caracteres de bits NÃO pode ser descrito com uma expressão regular?
A.Todas as cadeias de bits cujo número de zeros é um múltiplo de cinco
B.Todas as cadeias de bits começando com um zero e terminando com um
C.Todas as cadeias de bits com um número par de zeros
D.Todas as cadeias de bits com mais uns do que zeros",D,D. Todas as cadeias de bits com mais uns do que zeros.,D
"O homicídio ilícito cometido pelo Ministro do país X no exterior é um ato jure imperii ou jure gestionis?
A.Tal conduta é ato público (jure imperii)
B.Tal conduta nunca atrai imunidade
C.Tal conduta é um ato privado (jure gestionis)
D.Tal conduta é um ato público, mas está blindada pela imunidade",C,C. Tal conduta é um ato privado (jure gestionis),C
"Identifique o antecedente da seguinte proposição condicional: As Bees só vencem seu primeiro jogo se os Aardvarks ou os Chipmunks não vencerem seus primeiros jogos.
A.Os Aardvarks não vencem o primeiro jogo.
B.As Abelhas vencem seu primeiro jogo.
C.Os Chipmunks não vencem seu primeiro jogo.
D.Ou os Aardvarks ou os Chipmunks não vencem seus primeiros jogos.",B,D. Ou os Aardvarks ou os Chipmunks não vencem seus primeiros jogos.,D
"A tensão induzida em um indutor é representada como,
A.produto de sua indutância e corrente através dele.
B.relação entre sua indutância e corrente através dela.
C.relação entre a corrente que a atravessa e a sua indutância.
D.produto de sua indutância e taxa de mudança de corrente através dele.",D,D. produto de sua indutância e taxa de mudança de corrente através dele.,D
"Esta pergunta refere-se às seguintes informações.
""De fato, tanto os fatwas de ilustres [estudiosos] que baseiam sua opinião na razão e na tradição quanto o consenso da comunidade sunita concordam que a antiga obrigação de extirpação, extermínio e expulsão da inovação maligna deve ser o objetivo de nossa exaltada aspiração, pois ""O zelo religioso é uma vitória para a Fé de Deus, o Beneficente""; depois, de acordo com as palavras do Profeta (Paz sobre ele!) ""Quem introduzir a inovação maligna em nossa ordem deve ser expulso"" e ""Quem fizer algo contra nossa ordem deve ser expulso"", a ação tornou-se necessária e exigente...""
Carta do sultão otomano Selim I ao xá safávida Ismail I, 1514
Os safávidas atraíram a ira de impérios islâmicos como o Império Otomano e o Império Mogol, principalmente porque os safávidas
A.eram um império expansionista geograficamente localizado entre dois outros expansionistas
B.rejeitou os princípios centrais do Islã
C.escravizou cristãos e os transformou em combatentes safávidas
D.Ismail proclamou-se califa",A,A. eram um império expansionista geograficamente localizado entre dois outros expansionistas,A
"Esta pergunta refere-se às seguintes informações.
Ando ao lado da coluna, pergunto o que está acontecendo.
Um soldado diz simplesmente: ""Eles ligam mais a cada dia.
""Alguns de nós fomos enviados para o norte para o rio Amarelo aos quinze anos,
E agora aos quarenta estamos indo para as guarnições no oeste.
Em nossa primeira turnê, o chefe da aldeia teve que amarrar nossas bandanas para nós.
Quando voltamos, nossos cabelos estavam brancos, mas ainda há mais agitação.
As guarnições fronteiriças correm com sangue, o suficiente para encher um oceano,
Mas as ambições territoriais do Imperador Marcial ainda não se concretizaram.
Nos cem distritos a leste das montanhas, em toda a terra de Han,
Deve haver dez mil aldeias que agora infestam.
Mesmo que as esposas sejam fortes o suficiente para manusear uma enxada e arado,
As lavouras crescem de todas as formas, os campos são todos uma bagunça.
É mais difícil para os homens Shanxi, com suas reputações como lutadores:
Eles são cercados como cães ou galinhas, todos os machos impressionados.
""Mas senhor, embora seja bom da sua parte perguntar,
Reclamar não faz parte da tarefa do soldado.
Só podemos abanar a cabeça. Tome este inverno:
As tropas de Shanxi nunca foram mandadas para casa.
Os Oficiais Distritais estão exigindo o imposto predial,
Mas de onde virá? Não dá para tirar leite de pedra!
Eu sinceramente acho que é azar ter um filho agora,
É melhor ter uma filha: pelo menos ela pode se casar
E morar com os vizinhos ao lado.
Mas um filho acabará deitado em alguma pradaria distante.""
Du Fu, ""Balada das Carretas do Exército"", cerca de 750 d.C.
O poema fornece evidências de qual dos seguintes com relação às relações de gênero na sociedade Tang?
A.As relações confucionistas entre marido e mulher ainda eram fortes na sociedade Tang.
B.Os rescripts imperiais enfatizavam o nascimento de filhos capazes sobre filhas para cumprir cotas de alistamento militar.
C.O trabalho agrícola poderia ser partilhado por mulheres e homens.
D.As relações tradicionais de gênero chinesas foram invertidas durante o reinado da imperatriz Wu Zetian.",C,C. O trabalho agrícola poderia ser partilhado por mulheres e homens.,C
"O que é um ataque de replay?
A.Quando o invasor responde a uma mensagem enviada pelo sistema
B.Um ataque que se repete continuamente, sondando uma fraqueza
C.Um ataque que usa as próprias mensagens do sistema e, portanto, não pode ser defendido
D.O invasor reenvia uma mensagem capturada, e o site a aceita e responde a favor do invasor",D,"D.O invasor reenvia uma mensagem capturada, e o site a aceita e responde a favor do invasor",D
