Question,CorrectAnswer,GivenAnswer,Correct
"Aký je termín pre rozsah, v akom je hospodárska súťaž v jednej krajine ovplyvnená konkurenciou v iných krajinách?
A.Medzinárodný obchod
B.Globálna ekonomika
C.Celosvetová konkurencia
D.Globalizácia",D,D.Globalizácia,D
"Aký je úradný jazyk Holandska?
A.Dánčina
B.Švédčina
C.Nemčina
D.Holandčina",D,D. Holandčina,D
"Číslo zaokrúhlené na najbližšiu tisícku je 47 000. Ktoré číslo môže byť číslo, ktoré bolo zaokrúhlené?
A.46,295
B.46,504
C.47,520
D.47,924",B,"B. 46,504",B
"Ktoré z týchto jedál je vyrobené z čriev ošípaných?
A.Haggis
B.chitlins
C.Krupice
D.Chop Suey",B,B. chitlins,B
"V sériovom obvode, ak je prúd v jednej žiarovke 2 A, prúd v žiarovke vedľa nej je
A.polovica, 1 A
B.2:00
C.Závisí od toho, ktorá lampa je bližšie k batérii
D.Nedostatok informácií na vyjadrenie",B,B. 1 A,A
"Ktorá psychologická perspektíva bola najpopulárnejšia na prelome dvadsiateho storočia v západnej Európe?
A.Neurovedu
B.evolučný
C.behaviorista
D.Psychoanalytický",D,D. Psychoanalytický,D
"Dospelí v strednom veku sa zdajú byť viac _____ ako starší alebo mladší dospelí
A.Generativní
B.Neurotický
C.Príjemný
D.Istý",A,A.Generativní,A
"Ktorá z nasledujúcich možností s najväčšou pravdepodobnosťou časom povedie k silnejšiemu hospodárskemu rastu?
A.Rýchlejšia spotreba prírodných zdrojov.
B.Vyššia miera negramotnosti dospelých.
C.Klesajúce zásoby investičného majetku.
D.Investičné daňové úvery.",D,D. Investičné daňové úvery.,D
"Vyhlásenie 1 | V skupine (ab)^{-2} = b^{-2}a^{-2}. Vyhlásenie 2 | V skupine (ab)^n = a^nb^n.
A.Pravda, pravda
B.Nepravda, nepravda
C.Pravda, nepravda
D.Nepravda, pravda",B,"C. Pravda, nepravda",C
"Ktorý z týchto hororov priniesol najviac pokračovaní?
A.Kričať""
B.Čeľuste""
C.Halloween""
D.Piatok 13.",D,D. Piatok 13.,D
"V akom stave sa odohráva film Magnólia z roku 1999?
A.Kalifornia
B.Južná Karolína
C.Gruzínsko
D.Texas",A,A. Kalifornia,A
"Mutácie, ktoré spôsobujú achondropláziu, majú účinok, ktorý možno klasifikovať ako:
A.dominantné negatívne.
B.zisk funkcie.
C.haploinsuficiencia.
D.strata funkcie.",B,A. dominantné negatívne.,A
"Skutočnosť, že frekvencia infračervenej absorpcie chloridu deutéria (DCl) je posunutá od frekvencie chlorovodíka (HCl), je spôsobená rozdielmi v ich
A.Distribúcia elektrónov
B.Dipólový moment
C.silová konštanta
D.znížená hmotnosť",D,B.Dipólový moment,B
"K-násobná krížová validácia je
A.lineárne v K
B.kvadratický v K
C.kubický v K
D.exponenciálny v K",A,C.kubický v K,C
" Tento marketingový a komunikačný nástroj ponúka priamy stimul alebo stimul na povzbudenie zákazníkov, aby si kúpili produkt/službu:
A.Reklama.
B.Vzťahy s verejnosťou.
C.Podpora predaja.
D.Priamy marketing.",C,D. Priamy marketing.,D
