Question,CorrectAnswer,GivenAnswer,Correct
"Koji je termin u kojoj meri je konkurencija u jednoj zemlji pod uticajem konkurencije u drugim zemljama?
A.Međunarodna trgovina
B.Globalna ekonomija
C.Globalna konkurencija
D.Globalizacija",D,D. Globalizacija,D
"Garsija i Koellingovo istraživanje u vezi sa naučenim averzijama ustanovilo je da je koji od sledećih UCS i CS parova najmoćniji i najbrže naučen?
A.obavljanje zadatka i primanje nagrade za hranu
B.mučnina i hrana ili piće
C.kretanje i šok
D.kazne i nagrade",B,B. mučnina i hrana ili piće,B
"Koje od ovih jela je napravljeno od svinjskog creva?
A.Hagis
B.čitlini
C.Griz
D.iseckati suey",B,B. čitlini,B
"U xy-avionu, grafikon x^(log y) = y^log x je
A.otvoreni prvi kvadrant
B.zatvorena krivina
C.zrak na otvorenom prvom kvadrantu
D.jednu tačku",A,B. zatvorena krivina,B
"Energija oslobođena od sloma visokoenergetskog fosfata, ATP-a i fosforatina, može da održi maksimalnu vežbu naprezanja za oko:
A.1-2 sekunde.
B.5-10 sekundi.
C.30-40 sekundi.
D.50-60 sekundi.",B,A. 1-2 sekunde.,A
"U poređenju sa političkim strankama u zemljama kao što su Engleska i Izrael, koje imaju višestranačke sisteme, američke političke stranke su
A.manje zainteresovan da utiče na ishod izbora
B.manje jasno identifikovan sa doslednim političkim ideologijama
C.manje efikasan u prikupljanju novca od političkih pristalica
D.bolje sposobni da odražavaju ciljeve čitavih svojih izbornih jedinica",B,B. manje jasno identifikovan sa doslednim političkim ideologijama,B
"Sredovečni odrasli su izgleda više ____ od starijih ili mlađih odraslih osoba
A.Generativni
B.Neurotiиna
C.Prijatan
D.Određene",A,A. Generativni,A
"Koji od ovih horor filmova je iznedrio najviše nastavaka?
A.Vrišti'
B.Čeljusti
C.Noć veštica'
D.Petak 13-ti",D,D. Petak 13-ti,D
"Koja od ovih čini utvrđivanje evolucione srodnosti različitih vrsta na osnovu aminokiseline sekvence homologoznih proteina generalno manje tačnih od utvrđivanja srodnosti na osnovu nukleotidnih sekvenci homologovanih gena?
A.Tihe mutacije
B.Genska dupliranja
C.Događaji translokacije koji menjaju sekvence gena
D.Prelazak",A,A.Tihe mutacije,A
"Koji je zvanični jezik Holandije?
A.Danski
B.Švedski
C.Nemački
D.Holandski",D,D. Holandski,D
"U kom stanju je scenografija filma Magnolija iz 1999?
A.Kalifornija
B.Južna Karolina
C.Gruzija
D.Teksas",A,B. Južna Karolina,B
" Ovaj alat za marketing i komunikaciju nudi direktan podsticaj ili podsticaj da se kupci podstaknu da kupe proizvod/uslugu:
A.Reklama.
B.Javnošću.
C.Promocija prodaje.
D.Direktan marketing.",C,C. Promocija prodaje.,C
"K-fold unakrsna provera valjanosti je
A.linearno u K
B.kvadrat u K
C.kubikaže u K
D.eksponencijalno u K",A,A. linearno u K,A
"Koja od sledećih zemalja emituje najviše CO2 po glavi stanovnika u 2017?
A.Japan
B.Kanada
C.Rusija
D.Iran",B,B. Kanada,B
"Mutacije koje izazivaju ahondroplaziju vrše efekat koji se može klasifikovati kao:
A.dominantno negativan.
B.dobitak-funkcija.
C.haploinsufficiency.
D.gubitak funkcije.",B,A. dominantno negativan.,A
