Question,CorrectAnswer,GivenAnswer,Correct
"مندرجہ ذیل میں سے کس ملک نے 2017 میں فی کس سب سے زیادہ کاربن ڈائی آکسائیڈ کا اخراج کیا؟
A.جاپان
B.کينڈا
C.رشيہ
D.ايران",B,C. رشیہ,C
"ایک تعداد، جو قریب ترین ہزار کے قریب ہے، 47،000 ہے. کون سا نمبر وہ نمبر ہو سکتا ہے جو گول تھا؟
A.46,295
B.46,504
C.47,520
D.47,924",B,"B. 46,504",B
"درمیانی عمر کے بالغ افراد بوڑھے یا نوجوان بالغوں کے مقابلے میں زیادہ ____ دکھائی دیتے ہیں
A.جنریٹیو
B.اعصابی اعصابی
C.قابل قبول
D.کچھ",A,B. اعصابی اعصابی,B
"حقیقت یہ ہے کہ ڈیوٹیریئم کلورائڈ (ڈی سی ایل) کی انفراریڈ جذب فریکوئنسی ہائیڈروجن کلورائڈ (ایچ سی ایل) سے منتقل ہوتی ہے جس کی وجہ ان کے اختلافات ہیں۔
A.الیکٹران کی تقسیم
B.dipole لمحے
C.قوت مستقل
D.کمیت میں کمی",D,B. dipole لمحے,B
"ان میں سے کون سا پکوان کی آنتوں سے بنایا جاتا ہے؟
A.haggis
B.chitlins
C.grits
D.chop suey",B,B. chitlins,B
"1999 کی فلم میگنولیا کس ریاست میں سیٹ کی گئی ہے؟
A.کیلیفورنیا
B.جنوبی کیرولائنا
C.جورجيا
D.ٹیکساس",A,A. کیلیفورنیا,A
"1.0 ایم فینول ، سی 6 ایچ 5 او ایچ ، حل میں ایچ + (اے کیو) ارتکاز کا تعین کریں۔ (فینول کے لئے کا 1 × 10^-10 ہے۔
A.1 × 10^-10 M
B.1 × 10^-9 M
C.1 × 10^-3 M
D.1 × 10^-5 M",D,A. 1 × 10^-10 M,A
"ایک ملک میں مسابقت کس حد تک دوسرے ممالک میں مسابقت سے متاثر ہوتی ہے اس کے لئے کیا اصطلاح ہے؟
A.بین الاقوامی تجارت
B.عالمی معاشیات
C.عالمی مقابلہ
D.گلوبلائزیشن",D,C. عالمی مقابلہ,C
"اکونڈروپلیسیا کا سبب بننے والی تبدیلیاں ایک اثر ڈالتی ہیں جس کی درجہ بندی اس طرح کی جاسکتی ہے:
A.غالب منفی.
B.فنکشن کا فائدہ.
C.ہیپلوفیکیشن.
D.فنکشن کا نقصان.",B,C. ہیپلوفیکیشن۔,C
" یہ مارکیٹنگ اور مواصلات کا آلہ گاہکوں کو مصنوعات / خدمت خریدنے کی ترغیب دینے کے لئے براہ راست ترغیب یا حوصلہ افزائی پیش کرتا ہے:
A.اشتہار بازی.
B.تعلقات عامہ.
C.فروخت کی ترویج.
D.براہ راست مارکیٹنگ.",C,D. براہ راست مارکیٹنگ.,D
"ان میں سے کون سی چیز ہم جنس پروٹین کے امینو ایسڈ کی ترتیب کی بنیاد پر مختلف انواع کی ارتقائی وابستگی کا تعین کرتی ہے جو عام طور پر ہم جنس جینز کے نیوکلیوٹائڈ سیکونس کی بنیاد پر تعلق کے تعین کے مقابلے میں کم درست ہے؟
A.خاموش تبدیلیاں
B.جین کی نقل
C.منتقلی کے واقعات جو جین کی ترتیب کو تبدیل کرتے ہیں
D.کراسنگ اوور",A,B. جین کی نقل,B
"K-فولڈ کراس-توثیق ہے
A.K میں لکیری
B.چٹخی in K
C.کے میں مکعب
D.K میں تیزی سے اضافہ",A,B. چٹخی in K,B
"اداکار انتونیو بینڈیرس کی مادری زبان کیا ہے؟
A.سپينش
B.رشئن
C.جرمن
D.فرنچ",A,A. سپینش,A
"مغربی یورپ میں بیسویں صدی کے آغاز میں کون سا نفسیاتی نقطہ نظر سب سے زیادہ مقبول تھا؟
A.نفسیات
B.ارتقائی
C.برتاؤ پسند
D.نفسیاتی تجزیہ",D,C. برتاؤ پسند,C
"ان ڈراؤنی فلموں میں سے کس نے سب سے زیادہ سیکوئل تیار کیے؟
A.چیخو'
B.جبڑے'
C.ہالووین'
D.جمعہ 13 تاریخ کو",D,B. جبڑے',B
"ہائی انرجی فاسفیٹس، اے ٹی پی اور فاسفوکریٹین کے ٹوٹنے سے خارج ہونے والی توانائی، تقریبا زیادہ سے زیادہ مشقت کی مشق کو برقرار رکھ سکتی ہے:
A.1-2 سیکنڈ
B.5-10 سیکنڈ
C.30-40 سیکنڈ
D.50-60 سیکنڈ",B,B. 5-10 سیکنڈ,B
"ہالینڈ کی سرکاری زبان کیا ہے؟
A.ڈينش
B.سؤڈش
C.جرمن
D.ڈچ",D,D. ڈچ,D
"سیریز سرکٹ میں ، اگر ایک چراغ میں کرنٹ 2 اے ہے تو ، اس کے ساتھ والے چراغ میں کرنٹ ہے۔
A.آدھا، 1 اے
B.2:00 بجے
C.اس پر منحصر ہے کہ کون سا لیمپ بیٹری کے قریب ہے
D.کہنے کے لئے کافی معلومات نہیں",B,A. آدھا، 1 اے,D
"سیکھی ہوئی بے بسی کا براہ راست تعلق اس سے ہونے کا زیادہ امکان ہے
A.بارنم اثر.
B.خود کی خدمت کرنے والا تعصب۔
C.کنٹرول کا ایک بیرونی ٹکڑا۔
D.غیر مشروط مثبت احترام.",C,B.خود کی خدمت کرنے والا تعصب۔,B
"منفی بقیہ آٹوکوریلیشن کی نشاندہی مندرجہ ذیل میں سے کس سے ہوتی ہے؟
A.باقیات میں ایک گردشی نمونہ
B.باقیات میں ایک متبادل نمونہ
C.باقیات میں مکمل بے ترتیبی
D.باقیات جو سب صفر کے قریب ہیں",B,D.باقیات جو سب صفر کے قریب ہیں,D
"یہ سوال مندرجہ ذیل معلومات کی طرف اشارہ کرتا ہے.
""درحقیقت علماء کرام کے فتوے جو عقل و روایت پر یکساں طور پر اپنی رائے رکھتے ہیں اور اہل سنت کا اجماع اس بات پر متفق ہیں کہ بدعت کو ختم کرنے، ختم کرنے اور خارج کرنے کی قدیم ذمہ داری ہماری عظیم آرزو کا مقصد ہونی چاہیے، کیونکہ ""مذہبی جوش و جذبہ اللہ سبحانہ و تعالیٰ کے ایمان کی فتح ہے""۔ پھر نبی صلی اللہ علیہ وسلم کے ارشادات کے مطابق! ''جو کوئی ہمارے حکم میں بدعت متعارف کرائے اسے نکال دیا جائے'' اور ''جو کوئی ہمارے حکم کے خلاف کچھ بھی کرے اسے نکال دیا جائے''۔
عثمانی سلطان سلیم اول کا صفوی شاہ اسماعیل اول کے نام خط، 1514ء
صفویوں کو عثمانی اور مغل سلطنتوں جیسی اسلامی سلطنتوں کی ناراضگی کا سامنا کرنا پڑا کیونکہ بنیادی طور پر صفوی تھے۔
A.جغرافیائی طور پر دو دیگر توسیع پسندوں کے درمیان واقع ایک توسیع پسند سلطنت تھی۔
B.اسلام کے مرکزی اصولوں کو مسترد کر دیا
C.عیسائیوں کو غلام بنا لیا اور انہیں صفوی جنگجو بنا دیا۔
D.اسماعیل نے خود کو خلیفہ ہونے کا اعلان کیا",A,B.اسلام کے مرکزی اصولوں کو مسترد کر دیا,B
"ہندوستان سے امریکہ منتقلی پر غور کرتے وقت ریوا کے لئے مندرجہ ذیل میں سے کون سے عوامل کو ""پل"" عنصر سمجھا جائے گا؟
A.انتہائی غربت
B.بہتر ملازمت اور زیادہ اجرت
C.بھارت کا ذات پات کا نظام
D.اس کے پڑوس میں تشدد",B,B. بہتر ملازمت اور زیادہ اجرت,B
"مندرجہ ذیل میں سے کون سی خصوصیات عام طور پر ڈیٹ ریپ سے مطابقت رکھتی ہیں؟
A.ضرورت سے زیادہ طاقت کا استعمال
B.پہلے سے طے شدہ
C.جنسی طور پر حوصلہ افزائی
D.ہتھیار کا استعمال شامل ہے",C,C. جنسی طور پر حوصلہ افزائی,C
"مندرجہ ذیل مشروط تجویز کے پیش رو کی شناخت کریں: شہد کی مکھیاں اپنا پہلا گیم صرف اسی صورت میں جیتتی ہیں جب آرڈوارکس یا چپمنکس میں سے کوئی ایک اپنا پہلا کھیل نہیں جیتتا ہے۔
A.آرڈوارکس اپنا پہلا گیم نہیں جیت سکے۔
B.شہد کی مکھیوں نے اپنا پہلا کھیل جیتا.
C.چپمنکس اپنا پہلا گیم نہیں جیت سکے۔
D.یا تو آرڈوارکس یا چپمنکس اپنے پہلے کھیل نہیں جیت پاتے ہیں۔",B,B.شہد کی مکھیوں نے اپنا پہلا کھیل جیتا۔,B
"مندرجہ ذیل میں سے کون سا وقت کے ساتھ مضبوط معاشی ترقی پیدا کرنے کا سب سے زیادہ امکان ہے؟
A.قدرتی وسائل کی زیادہ تیزی سے کھپت.
B.بالغوں کی ناخواندگی کی بلند شرح۔
C.کیپٹل گڈز کا گرتا ہوا اسٹاک۔
D.سرمایہ کاری ٹیکس کریڈٹ.",D,B. بالغوں کی ناخواندگی کی بلند شرح۔,B
"ایک مریض کی گردن ٹوٹ جاتی ہے جس سے ریڑھ کی ہڈی کو چھٹے سروائیکل ریڑھ کی ہڈی کی سطح پر نقصان پہنچتا ہے۔
A.وہ لائف سپورٹ کے بغیر سانس لینے سے قاصر ہوں گے۔
B.وہ صرف خاموشی سے سانس لے سکیں گے۔
C.سانس لینے پر اثرات کی پیش گوئی کرنا ناممکن ہے۔
D.سانس لینے پر کوئی اثر نہیں پڑے گا۔",B,A.وہ لائف سپورٹ کے بغیر سانس لینے سے قاصر ہوں گے۔,A
"بٹ سٹرنگز کے مندرجہ ذیل میں سے کون سا سیٹ باقاعدہ اظہار کے ساتھ بیان نہیں کیا جاسکتا ہے؟
A.وہ تمام بٹ سٹرنگز جن کے صفر کی تعداد پانچ کا ملٹی پل ہے
B.تمام بٹ سٹرنگز صفر سے شروع ہوتی ہیں اور ایک کے ساتھ ختم ہوتی ہیں۔
C.صفر کی برابر تعداد کے ساتھ تمام بٹ تاریں
D.صفر سے زیادہ کے ساتھ تمام بٹ سٹرنگز",D,C.صفر کی برابر تعداد کے ساتھ تمام بٹ تاریں,C
"انڈیکٹر میں پیدا ہونے والے وولٹیج کو اس طرح پیش کیا جاتا ہے،
A.اس کے ذریعے اس کی تحریک اور کرنٹ کی پیداوار.
B.اس کے ذریعے کرنٹ سے اس کی منتقلی کا تناسب۔
C.اس کے ذریعے کرنٹ کا تناسب اور اس کی انڈکشن۔
D.اس کے ذریعے کرنٹ کی تبدیلی کی شرح اور اس کے ذریعے اس کی آمد و رفت کی پیداوار۔",D,A. اس کے ذریعے اس کی تحریک اور کرنٹ کی پیداوار۔,A
"کیا بیرون ملک ملک X کے وزیر کی طرف سے کیا جانے والا غیر قانونی قتل ایک غیر قانونی عمل ہے یا غلط ہے؟
A.اس طرح کا طرز عمل ایک عوامی عمل ہے (جوئے خطرے میں)
B.ایسا طرز عمل کبھی بھی قوت مدافعت کو راغب نہیں کرتا
C.اس طرح کا طرز عمل ایک نجی عمل ہے (جور گیسٹونس)
D.اس طرح کا طرز عمل ایک عوامی عمل ہے لیکن اسے استثنیٰ حاصل ہے۔",C,B. ایسا طرز عمل کبھی بھی قوت مدافعت کو راغب نہیں کرتا۔,B
"یہ سوال مندرجہ ذیل معلومات کی طرف اشارہ کرتا ہے.
''مطلق العنان حکومتوں کے بیج بدحالی اور تنگدستی سے پروان چڑھتے ہیں۔ وہ غربت اور فساد کی بری مٹی میں پھیلتے اور پروان چڑھتے ہیں۔ وہ اپنی مکمل نشوونما تک اس وقت پہنچتے ہیں جب لوگوں کی بہتر زندگی کی امید دم توڑ جاتی ہے۔ ہمیں اس امید کو زندہ رکھنا چاہئے... واقعات کی تیز رفتار نقل و حرکت نے ہم پر بڑی ذمہ داریاں عائد کر دی ہیں۔ ۔ ۔ ۔ مجھے یقین ہے کہ کانگریس ان ذمہ داریوں کا پوری طرح سامنا کرے گی۔
صدر ہیری ایس ٹرومین، 1947
مندرجہ بالا اقتباس میں بیان کردہ خیالات امریکی تاریخ میں درج ذیل میں سے کس تسلسل کی براہ راست عکاسی کرتے ہیں؟
A.کانگریس اور صدر کے درمیان تعلقات کے بارے میں بحث.
B.غیر مستحکم حالات میں فوجی طاقت کے استعمال کے بارے میں بحث.
C.عالمی معاملات میں امریکہ کے کردار کے بارے میں بحث.
D.سیاسی جماعتوں کے مناسب کردار کے بارے میں بحث۔",C,D. سیاسی جماعتوں کے مناسب کردار کے بارے میں بحث۔,D
"انگلستان اور اسرائیل جیسے ممالک کی سیاسی جماعتوں کے مقابلے میں ، جن دونوں میں کثیر الجماعتی نظام موجود ہیں ، امریکی سیاسی جماعتیں ہیں۔
A.انتخابات کے نتائج پر اثر انداز ہونے میں کم دلچسپی
B.مستقل سیاسی نظریات کے ساتھ کم واضح طور پر شناخت کی جاتی ہے
C.سیاسی حامیوں سے پیسے جمع کرنے میں کم مؤثر
D.اپنے پورے حلقوں کے اہداف کی بہتر عکاسی کرنے کے قابل",B,"
E.سیاسی جماعتوں کے اندر کی تنازعات اور فرق برق کم ہوتے ہیں",D
"یہ سوال مندرجہ ذیل معلومات کی طرف اشارہ کرتا ہے.
سب سے پہلے ہمیں یہ کہنا چاہیے کہ کائنات شکل میں گول ہے، جزوی طور پر کیونکہ یہ شکل ایک کامل مکمل ہے جس میں جوڑوں کی ضرورت نہیں ہے، سب سے زیادہ مکمل ہے، جزوی طور پر اس وجہ سے کہ یہ سب سے زیادہ پیچیدہ شکل بناتا ہے، جو ہر چیز کو شامل کرنے اور محفوظ کرنے کے لئے سب سے زیادہ موزوں ہے. یا پھر اس لیے کہ کائنات کے تمام اجزاء یعنی سورج، چاند اور سیارے اس شکل میں ظاہر ہوتے ہیں۔ یا کیونکہ ہر چیز اس شکل کو حاصل کرنے کی کوشش کرتی ہے ، جیسا کہ پانی کے قطروں اور دیگر سیال اجسام کے معاملے میں ظاہر ہوتا ہے اگر وہ خود کو بیان کرنے کی کوشش کرتے ہیں۔ لہٰذا کسی کو شک نہیں ہوگا کہ یہ شکل آسمانی اجسام کی ہے۔ ...
لہٰذا اس بات میں کوئی شک نہیں کہ زمین بھی گول ہے کیونکہ یہ اپنے مرکز پر چاروں طرف سے دباتی ہے۔ اگرچہ پہاڑوں کی اونچائی اور وادیوں کے دباؤ کی وجہ سے ایک کامل دائرے کو سمجھا نہیں جا سکتا ہے ، پھر بھی اس سے زمین کی عمومی کروی فطرت متاثر نہیں ہوتی ہے۔ ...
جیسا کہ یہ پہلے ہی دکھایا جا چکا ہے کہ زمین ایک گولے کی شکل رکھتی ہے، ہمیں اس بات پر غور کرنا چاہئے کہ آیا کوئی حرکت بھی اس شکل کے ساتھ میل کھاتی ہے، اور کائنات میں زمین کا کیا مقام ہے۔ ... مصنفین کی اکثریت یقینا اس بات پر متفق ہے کہ زمین اب بھی کائنات کے مرکز میں کھڑی ہے ، اور اس کے برعکس تصور کرنا ناقابل فہم اور مضحکہ خیز سمجھتے ہیں۔ لیکن اگر اس معاملے کا بغور جائزہ لیا جائے تو یہ دیکھا جائے گا کہ یہ سوال ابھی تک حل نہیں ہوا ہے اور اس لیے اسے کسی بھی طرح ہلکے سے نہیں لیا جا سکتا۔ جگہ کی ہر تبدیلی جو مشاہدہ کی جاتی ہے، یعنی مشاہدے میں آنے والی شے یا مبصر کی حرکت، یا دونوں کی حرکات کی وجہ سے ہوتی ہے۔ ... اب یہ زمین سے ہے کہ آسمان کا انقلاب دیکھا جاتا ہے اور یہ ہماری آنکھوں کے لئے پیدا ہوتا ہے۔ لہٰذا اگر زمین حرکت نہ کرے تو یہ حرکت زمین سے باہر کی ہر چیز میں ہونی چاہیے، لیکن اس کے برعکس سمت میں ہوتی ہے اگر زمین پر ہر چیز حرکت کرتی ہے، اور اس طرح کا روزانہ کا انقلاب ہوتا ہے۔ تو ایسا لگتا ہے کہ یہ پوری کائنات کو متاثر کرتا ہے، یعنی زمین سے باہر کی ہر چیز کو صرف زمین کے علاوہ. تاہم، اگر کسی کو یہ تسلیم کرنا چاہئے کہ یہ حرکت آسمانوں کے لئے مخصوص نہیں تھی، بلکہ یہ کہ زمین مغرب سے مشرق کی طرف گردش کر رہی تھی، اور اگر سورج، چاند اور ستاروں کے ظاہری طلوع اور غروب ہونے کے بارے میں احتیاط سے غور کیا جائے تو پتہ چلے گا کہ یہ اصل صورتحال تھی.
- نکولس کوپرنیکس، آسمانی اجسام کے انقلابات، 1543
اس اقتباس کو اس بات کے ثبوت کے طور پر استعمال کیا جاسکتا ہے کہ کوپرنیکس اپنے وقت کے روایتی ، آرسٹولیائی قدرتی فلسفیوں سے مختلف تھا کیونکہ اس نے مشورہ دیا تھا کہ
A.کائنات گول ہے
B.زمین گول ہے
C.کائنات جغرافیائی ہے
D.زمین مستحکم نہیں ہے",D,A. کائنات گول ہے,A
"بیان 1 | ایک گروپ میں (ab)^{-2} = b^{-2}a^{-2}. بیان 2 | ایک گروپ میں (ab)^n = a^nb^n.
A.سچ، سچ
B.جھوٹ، جھوٹ
C.سچ ہے، جھوٹ
D.جھوٹ، سچ",B,"C. سچ ہے، جھوٹ

بیان 1 درست ہے، جبکہ بیان 2 غلط ہے۔",C
"طالب علم پودوں کی رنگت کو الگ کرنے کی مشق کر رہے ہیں جس کے لئے انہیں چیمبر کے نچلے حصے میں تھوڑی مقدار میں ایسیٹون کے ساتھ ایک بند کروماٹوگرافی چیمبر کا استعمال کرنے کی ضرورت ہوتی ہے۔ ایسیٹون کے لئے حفاظتی انتباہ میں یہ بیان شامل ہے کہ یہ آنکھ اور جلد کی جلن ہے اور اس میں آتش گیر بخارات ہیں۔ مندرجہ ذیل میں سے ' مشق کے دوران طلباء کو کون سی حفاظتی احتیاط ی تدابیر اختیار کرنی چاہئیں؟
A.اگر ایسیٹون میں آگ لگ جاتی ہے تو چیمبر کو فوم ہوڈ تک لے جانے کے لئے آگ سے بچنے والے دستانے پہننا
B.پیگمنٹ کی علیحدگی کی مدت کے لئے چیمبر کو ایک بند ، تاریک کیبنٹ میں رکھنا
C.چمڑے کے دستانے پہننا اور ذراتی ماسک سے ناک اور منہ کو ڈھانپنا
D.چشمے اور نائٹریل قسم کے دستانے پہننا اور تمام ایسیٹون کنٹینرز کو بند رکھنا",D,C. چمڑے کے دستانے پہننا اور ذراتی ماسک سے ناک اور منہ کو ڈھانپنا۔,C
