Question,CorrectAnswer,GivenAnswer,Correct
"O'rta yoshdagi kattalar katta yoki kichik yoshdagilarga qaraganda ko'proq _______ bo'lib ko'rinadi
A.Generativ
B.Nevrotik
C.Ma'qul
D.Ba'zi",A,B.Nevrotik,B
"Aktyor Antonio Banderas ona tili nima?
A.Ispan tili
B.Rus tili
C.Nemis tili
D.Fransuz tili",A,A.Ispan tili,A
"Quyidagi davlatlardan qaysi biri 2017 yilda aholi jon boshiga eng ko'p CO2 chiqargan?
A.Yaponiya
B.Kanada
C.Rossiya
D.Eron",B,B. Kanada,B
"$-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$ ni toping
A.1
B.-1
C.0
D.2",B,B. -1,B
"Ushbu taomlardan qaysi biri cho'chqa ichaklaridan tayyorlanadi?
A.haggis
B.chitlinlar
C.gritlar
D.chop suey",B,B. chitlinlar,B
"K-buklangan xoch-tekshirish
A.K da chiziqli
B.K da kvadratik
C.K da kubik
D.K da eksponent",A,B.K da kvadratik,B
"Niderlandiyaning davlat tili nima?
A.Dan tili
B.Shved tili
C.Nemis tili
D.Niderland tili",D,D. Niderland tili,D
"Quyidagi omillardan qaysi biri Hindistondan AQShga koʻchib oʻtish masalasini koʻrib chiqishda Riva uchun ""tortish"" omili hisoblanar edi?
A.Abjek qashqylyq
B.Yaxshiroq ish va yuqori ish haqi
C.Hindistonning kasta tizimi
D.Mahallasida zo'ravonlik",B,B.Yaxshiroq ish va yuqori ish haqi,B
"Deuterium xloridning (DCl) infraqizil yutish chastotasi vodorod xlorid (HCl) dan o'tkazilishi ularning farqiga bog'liq
A.elektron taqsimoti
B.dipol momenti
C.majburlash konstantasi
D.kamaytirilgan massa",D,B. dipol momenti,B
"1999-yilgi «Magnoliya» kinofilmi qaysi shtatda o'rnatilgan?
A.Kaliforniya
B.Janubiy Karolina
C.Gruziya
D.Texas",A,A. Kaliforniya,A
"Achondroplaziyaga olib keladigan mutatsiyalar quyidagicha tasniflanishi mumkin bo'lgan ta'sirni amalga oshiradi:
A.dominant manfiy.
B.funksiyani qo'lga kiritish.
C.haploinsufficiency.
D.funksiyani yo'qotish.",B,"

A.dominant manfiy.",A
