Question,CorrectAnswer,GivenAnswer,Correct
"Pacient utrpí zlomeninu krčku s poškozením míchy na úrovni šestého krčního obratle.
A.Bez podpory životních funkcí nebudou moci dýchat.
B.Budou moci dýchat pouze tiše.
C.Je nemožné předpovědět vliv na dýchání.
D.Dýchání nebude ovlivněno.",b,a.,false
"Která z následujících sad bitových řetězců NEMŮŽE být popsána regulárním výrazem?
A.Všechny bitové řetězce, jejichž počet nul je násobkem pěti
B.Všechny bitové řetězce začínající nulou a končící jedničkou
C.Všechny bitové řetězce se sudým počtem nul
D.Všechny bitové řetězce s více jedničkami než nulami",d,c.,false
"Která z následujících zemí vypouštěla v roce 2017 nejvíce CO2 na obyvatele?
A.Japonsko
B.Kanada
C.Rusko
D.Írán",b,b. kanada,true
"Skutečnost, že infračervená absorpční frekvence chloridu deuteria (DCl) je posunuta od frekvence chlorovodíku (HCl), je způsobena rozdíly v jejich
A.distribuce elektronů
B.dipólový moment
C.Konstanta síly
D.snížená hmotnost",d,b. dipólový moment,false
"Číslo zaokrouhlené na nejbližší tisícovku je 47 000. Které číslo by mohlo být číslo, které bylo zaokrouhleno?
A.46,295
B.46,504
C.47,520
D.47,924",b,"c. 47,520",false
"Jaký je rodný jazyk herce Antonia Banderase?
A.Španělština
B.Ruština
C.Němčina
D.Francouzština",a,a. španělština,true
"Klam pochvalné osobnosti je specifickým typem
A.Omyl náhody
B.Falešné dilema
C.Prosí o otázku
D.Uvažování v kruhu",a,b. falešné dilema,false
"Jak se označuje míra, do jaké je hospodářská soutěž v jedné zemi ovlivněna konkurencí v jiných zemích?
A.Mezinárodní obchod
B.Globální ekonomika
C.Celosvětová konkurence
D.Globalizace",d,d. globalizace,true
"Tato otázka se týká následujících informací.
Nejprve je třeba poznamenat, že kosmos má kulovitý tvar, částečně proto, že tato forma, která je dokonalým celkem, který nevyžaduje žádné klouby, je ze všech nejúplnější, částečně proto, že vytváří nejprostornější formu, která se nejlépe hodí k tomu, aby vše obsáhla a uchovala; nebo také proto, že všechny součásti vesmíru, tj. Slunce, Měsíc a planety, se objevují v této podobě; Nebo proto, že všechno usiluje o dosažení této formy, jak se to jeví u kapek vody a jiných tekutých těles, pokud se pokoušejí vymezit. Nikdo tedy nebude pochybovat o tom, že tato podoba patří k nebeským tělesům. ...
Že Země je také kulatá, je tedy nesporné, protože ze všech stran tlačí na svůj střed. I když kvůli vyvýšeninám hor a prohlubním údolí nelze pochopit dokonalý kruh, přece to nemá vliv na celkovou kulatost Země. ...
Protože již bylo ukázáno, že Země má tvar koule, musíme uvážit, zda se s tímto tvarem kryje také pohyb a jaké místo zaujímá Země ve vesmíru. ... Velká většina autorů se samozřejmě shoduje na tom, že Země stojí nehybně ve středu vesmíru, a považuje za nemyslitelné a směšné předpokládat opak. Budeme-li však tuto záležitost pečlivě zvažovat, ukáže se, že tato otázka ještě není rozhodnuta, a proto ji nelze brát na lehkou váhu. Každá změna místa, která je pozorována, je způsobena pohybem pozorovaného předmětu nebo pozorovatele, nebo pohybem obou. ... Ze země se však pozoruje otáčení nebes a vytváří se pro naše oči. Nepohybuje-li se tedy Země, musí se tento pohyb dít ve všem mimo Zemi, ale opačným směrem, než kdyby se všechno na Zemi pohybovalo, a k tomu patří každodenní oběžení. Zdá se tedy, že to ovlivňuje celý vesmír, to jest všechno mimo Zemi, s jedinou výjimkou samotné Země. Připustíme-li však, že tento pohyb není charakteristický pro nebesa, ale že Země se otáčí od západu k východu, a budeme-li to pečlivě uvažovat s ohledem na zdánlivé východy a západy slunce, měsíce a hvězd, zjistíme, že tomu tak skutečně je.""
Mikuláš Koperník, Revoluce nebeských těles, 1543
Tato pasáž může být použita jako důkaz, že se Koperník lišil od tradičních, aristotelských přírodních filozofů své doby, protože tvrdil, že
A.Vesmír je kulovitý
B.Země je kulatá,
C.Vesmír je geostatický
D.Země není nehybná",d,c. vesmír je geostatický,false
"Energie uvolněná rozkladem vysokoenergetických fosfátů, ATP a kreatinfosfátu, může udržet maximální námahu po dobu přibližně:
A.1-2 sekundy.
B.5-10 sekund.
C.30-40 sekund.
D.50-60 sekund.",b,b. 5-10 sekund.,true
"Která z těchto možností činí určení evoluční příbuznosti různých druhů na základě aminokyselinové sekvence homologních proteinů obecně méně přesným než určení příbuznosti založené na nukleotidových sekvencích homologních genů?
A.Tiché mutace
B.Genové duplikace
C.Translokační události, které mění genové sekvence
D.Přechod přes",a,d. přechod přes,false
"Najděte $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$
A.1
B.-1
C.0
D.2",b,b. -1,true
"Stanovte koncentraci H+(aq) v 1.0 M fenolu, C6H5OH, roztok. (Ka pro fenol je 1 × 10^-10.)
A.1 × 10^-10 M
B.1 × 10^-9 M
C.1 × 10^-3 M
D.1 × 10^-5 M",d,c. 1 × 10^-3 m,false
"Najděte délku křivky y = ln x mezi body, kde y = 1/2 a y = 1.
A.0.53
B.0.86
C.1.18
D.1.36",c,c.1.18,true
"Která z následujících charakteristik je obecně v souladu se znásilněním na schůzce?
A.použití nadměrné síly
B.promyšlený
C.sexuálně motivovaný
D.zahrnuje použití zbraně",c,c.,true
"Kvantová účinnost fotonového detektoru je 0,1. Pokud je do detektoru vysláno 100 fotonů, jeden po druhém, detektor detekuje fotony
A.v průměru 10krát, s RMS odchylkou asi 4
B.v průměru 10krát, s RMS odchylkou asi 3
C.Průměrně 10krát, s RMS odchylkou asi 1
D.v průměru 10krát, s odchylkou RMS asi 0,1",b,a.,false
"Prohlášení 1 | Ve skupině (ab)^{-2} = b^{-2}a^{-2}. Prohlášení 2 | Ve skupině (ab)^n = a^nb^n.
A.Pravda, pravda
B.Nepravda, nepravda
C.Pravda, Nepravda
D.Nepravda, pravda",b,"c. pravda, nepravda",true
"Tato otázka se týká následujících informací.
""Vskutku, jak fatwy význačných [učenců], kteří zakládají svůj názor na rozumu i tradici, tak konsensus sunnitské komunity se shodují na tom, že cílem naší vznešené aspirace musí být odvěká povinnost vymýtit, vyhladit a vyhnat zlé inovace, protože ""náboženská horlivost je vítězstvím víry v Boha Dobrotivého""; pak, v souladu se slovy Proroka (mír s ním!) ""Každý, kdo vnese do našeho řádu zlou inovaci, musí být vyhnán"" a ""Každý, kdo udělá něco proti našemu řádu, musí být vyhnán.""
Dopis osmanského sultána Selima I. Safíovskému šáhovi Ismailovi I., 1514
Safíovci na sebe přivolali hněv islámských říší, jako byla Osmanská a Mughalská říše, především proto, že Safíovci
A.byly expanzionistickým impériem geograficky umístěným mezi dvěma dalšími expanzionisty,
B.odmítl ústřední principy islámu
C.zotročili křesťany a udělali z nich safíovské bojovníky
D.Ismaíl se prohlásil za chalífu",a,b. odmítl ústřední principy islámu,false
"Nádrž je ve tvaru trojúhelníkového hranolu. Pokud má trojúhelníková základna plochu 116 čtverečních stop a nádrž je vysoká 30 stop, kolik vody by nádrž obsahovala, když je plná?
A.1725 ft^3
B.1740 ft^3
C.3480 ft^3
D.6960 ft^3",c,c. 3480 ft^3,true
"Která z následujících možností indikuje negativní reziduální autokorelaci?
A.Cyklický vzorec v reziduích
B.Střídající se vzor v reziduích
C.Naprostá náhodnost v reziduích
D.Rezidua, která se všechna blíží nule",b,a. cyklický vzorec v reziduích,false
"Dospělí středního věku se zdají být více ____ než starší nebo mladší dospělí
A.Generativní
B.Neurotický
C.Příjemný
D.Jistý",a,a. generativní,true
"Pohybem počáteční rychlosti 1,5 × 10^6 m/s vstupuje proton do oblasti konstantního magnetického pole o magnitudě 1,5 T. Pokud počáteční vektor rychlosti protonu svírá s magnetickým polem úhel 30°, vypočítejte rychlost protonu 4 s po vstupu do magnetického pole.
A.5,0 × 10^6 m/s
B.7,5 × 10^6 m/s
C.1,5 × 10^6 m/s
D.3,0 × 10^6 m/s",c,"b. 7,5 × 10^6 m/s",false
"Garciův a Koellingův výzkum týkající se naučených averzí prokázal, že který z následujících párů UCS a CS je nejsilnější a nejrychleji se učí?
A.splnění úkolu a získání odměny v podobě jídla
B.nevolnost a jídlo nebo pití
C.Pohyb a šok
D.Tresty a odměny",b,b. nevolnost a jídlo nebo pití,true
"Která psychologická perspektiva byla na přelomu 19. a 20. století v západní Evropě nejpopulárnější?
A.vědy zkoumající neurony
B.evoluční
C.behaviorista
D.psychoanalytický",d,d. psychoanalytický,true
"Které z těchto pokrmů se vyrábí z vepřových střev?
A.haggis
B.chitliny
C.ovesná kaše
D.Chop Suey",b,b. chitliny,true
