Question,CorrectAnswer,GivenAnswer,Correct
"Potso ena e bua ka tlhaiso-leseling e latelang.
Pele re tlameha ho hlalosa hore cosmos ke spherical ka sebopeho, karolo e 'ngoe hobane sebopeho sena e le kakaretso e phethahetseng e hlokang manonyeletso, ke eona e felletseng ka ho fetisisa, karolo e le hobane e etsa sebopeho se nang le capacious, se loketseng hantle ho ba le le ho boloka tsohle; kapa hape hobane likarolo tsohle tsa bokahohle, ke hore ke letsatsi, khoeli le lipolanete li hlaha ka mokhoa ona; Kapa hobane ntho e 'ngoe le e' ngoe e loanela ho fihlela foromo ena, joalo ka ha ho hlaha maemong a marotholi a metsi le 'mele e meng ea metsi haeba ba leka ho itlhalosa. Kahoo ha ho motho ea tla belaela hore mofuta ona ke oa 'mele oa leholimo. ...
Hore lefatše le lona le lona le spherical le ka nģ'ane ho potso, hobane le hatella ho tloha mahlakoreng 'ohle holim'a bohareng ba eona. Le hoja ka lebaka la ho phahama ha lithaba le ho tepella maikutlo a liphula selikalikoe se phethahetseng se ke ke sa utloisisoa, leha ho le joalo sena ha se ame tlhaho e akaretsang ea lefats'e. ...
Joalokaha ho se ho bontšitsoe hore lefatše le na le sebopeho sa sebaka, re tlameha ho nahana hore na motsamao o boetse o lumellana le sebopeho sena, le hore na lefatše le na le sebaka sefe bokahohleng. ... Bangoli ba bangata ba hlile ba lumela hore lefats'e le ntse le le bohareng ba bokahohle, 'me ba e nka e ke ke ea e-ba ntho e sa utloahaleng ho nahana se fapaneng. Empa haeba taba e le boima ka hloko, ho tla bonoa hore potso ha e e-s'o rarolle mme ka hona ha ho na mokhoa o lokelang ho nkuoa ha bobebe. Phetoho e 'ngoe le e' ngoe ea sebaka se hlokomeloang e bakoa ke, e leng, ho motsamao oa ntho e hlokometsoeng kapa ea moshebelli, kapa ho metsamao ea bobeli. ... Hona joale e tsoa lefatšeng hore phetohelo ea maholimo e bonoa 'me e hlahisoa bakeng sa mahlo a rōna. Ka hona, haeba lefatše le se ke la sisinyeha motsamao ona o tlameha ho etsahala nthong e ngoe le e ngoe kantle ho lefatše, empa ntlheng e fapaneng ho feta haeba ntho e ngoe le e ngoe lefatšeng e falliselitsoe, 'me ea mofuta ona ke phetohelo ea letsatsi le letsatsi. Kahoo sena se bonahala se ama bokahohle bohle, ke hore, ntho e ngoe le e ngoe e kantle ho lefatše ka ntle ho mokhelo o le mong oa lefats'e ka boeona. Haeba, leha ho le joalo, motho o lokela ho lumela hore mokhatlo ona o ne o sa ikhethang ho ea leholimong, empa hore lefats'e le ile la fetoha ho tloha bophirima ho ea bochabela, 'me haeba sena se ne se nkoa ka hloko mabapi le ho chaba le ho chaba ha letsatsi, khoeli le linaleli, ho ka fumanoa hore ena ke boemo ba nnete. ""
Nicolas Copernicus, Phetohelo ea 'Mele ea Leholimo, 1543
Litemana tsena li ka 'na tsa sebelisoa e le bopaki ba hore Copernicus e fapane le bo-rafilosofi ba tlhaho ba Aristotelian ba mehleng ea hae hobane o ile a fana ka tlhahiso ea hore
A.Cosmos ke spherical ho
B.Duniya Ke Baas Ho
C.ʻO ke kaʻaʻana o Geostatic
D.Lefatše ha lea lokela ho ba teng",d,a. cosmos ke spherical ho,true
"Puo ea lapeng ea Antonio Banderas ke eng?
A.Sepanishe
B.Serussia
C.Sejeremane
D.Sefora",a,a. sepanishe,true
"Fumana $ --dfrac{1} {cdot{1}{1}{{{1}{/f/f/3}}.$$/3/3/3/200
A.1
B.-1
C.0
D.2",b,c.0,false
"Ke efe ea lijana tsee tse entsoeng ka mala a kolobe?
A.hahes ea
B.Chitlins Ho
C.Grits ea
D.Chop Sue ho",b,c. grits ea,false
"Liphetoho tse bakang achondroplasia li na le phello e ka khetholloang e le:
A.ʻO ka hoʻohaʻo ʻo
B.Ho sebetsa ka phaello.
C.Ho ba le ho hloka matla.
D.Ho lahleheloa ke mosebetsi.",b,b. ho sebetsa ka phaello.,true
"Ke eng e bontšang hore na ho na le tlholisano e kae naheng e 'ngoe?
A.Khoebo ea Machabeng
B.Moruo oa Lefatše
C.Tlhōlisano ea Lefatše
D.Globale Wholesale",d,c. tlhōlisano ea lefatše,false
"Moqapi o ngotse lenaneo le ka tlase. Lenaneo lena le sebelisa lenane la linomoro tse bitsoang Numere. Lenaneo le reretsoe ho bonts'a palo ea linomoro lenaneng.
 Palo ← Lenane [1]
 Ka hoʻohaʻana i ka hoʻohaʻana i ka hoʻohaʻana
 Sum ← + Boalemo
 Ponts'o ea Sum
 Bakeng sa ho leka lenaneo, lenaneo le qala ho numList ho [0 , 1 , 4 , 5]. Lenaneo le bonts'a 10, mme moqapi o phethela ka hore lenaneo le sebetsa joalo ka ha ho reretsoe. Ke efe ho tse latelang e leng 'nete?
A.Sephetho se nepahetse; Lenaneo le sebetsa ka hohle kamoo ho reretsoeng kateng.
B.Liphetho ha lia nepahala; ʻO ka hoʻohaʻo ʻoe e hoʻopopo [ 1, 4,
C.Liphetho ha lia nepahala; Ho sebelisa nyeoe ea teko [0, 1, 4, 5] ha hoa lekana ho phethela lenaneo le nepahetse.
D.Liphetho ha lia nepahala; Ho sebelisa nyeoe ea liteko [0, 1, 4, 5] e tiisa feela hore lenaneo le sebetsa bakeng sa manane ka tatellano e ntseng e eketseha.",c,c.,true
"Matla a lokollotsoeng ke ho senyeha ha phosphates e matla, ATP le phosphocreatine, e ka boloka boikoetliso bo matlafatsang haholo bakeng sa hoo e ka bang:
A.Metsotsoana e 1-2.
B.Metsotsoana e 5-10.
C.Metsotsoana e 30-40.
D.Metsotsoana e 50-60.",b,b. metsotsoana e 5-10.,true
"Ho bonahala eka batho ba baholo ba tsofetseng kapa ba baholo
A.Ho hlahisa
B.Neurotic ea
C.E lumellana le
D.Ho ho ho sure",a,a. ho hlahisa,true
"Ke efe ho tsena e etsang qeto ea ho iphetola ha lintho tse amanang le mefuta e sa tšoaneng e thehiloeng tatellano ea amino acid ea homologous liprotheine ka kakaretso e sa nepahalang ho feta boikemisetso ba amanang le ho latela tatellano ea nucleotide ea liphatsa tsa lefutso homologous?
A.Liphetoho tse khutsitseng
B.Gene Duplications
C.Liketsahalo tsa Translocation tse fetolang tatellano ea gene
D.Ho ho ho crossing",a,b.gene duplications,false
