Question,CorrectAnswer,GivenAnswer,Correct
"يبدو أن البالغين في منتصف العمر أكثر ____ من البالغين الأكبر سنا أو الأصغر سنا
A.توليدي
B.العصبيه
C.مقبوله
D.متأكد",a,b. العصبية,false
"في أي حالة تم تعيين فيلم ماغنوليا عام 1999؟
A.كاليفورنيا
B.ساوث كارولينا
C.جورجيا
D.تكساس",a,a. كاليفورنيا,true
"ما هي اللغة الأم للممثل أنطونيو بانديراس؟
A.الإسبانية
B.الروسية
C.الألمانية
D.الفرنسية",a,a.الإسبانية,true
"ما هي اللغة الرسمية في هولندا؟
A.الدانماركية
B.السويدية
C.الألمانية
D.الهولندية",d,d.الهولندية,true
" تقدم أداة التسويق والاتصال هذه حافزا مباشرا أو حافزا لتشجيع العملاء على شراء منتج / خدمة:
A.الاعلان.
B.العلاقات العامة.
C.ترويج المبيعات.
D.التسويق المباشر.",c,c.ترويج المبيعات.,true
"أي من العوامل التالية يمكن اعتباره عامل ""جذب"" لريفا عند التفكير في الانتقال من الهند إلى الولايات المتحدة؟
A.الفقر المدقع
B.وظائف أفضل وأجور أعلى
C.النظام الطبقي في الهند
D.العنف في حيها",b,b. وظائف أفضل وأجور أعلى,true
"مغالطة شخصية الثناء هي نوع محدد من
A.مغالطة الحادث
B.معضلة كاذبة
C.استجداء السؤال
D.الاستدلال الدائري",a,"مغالطة شخصية الثناء هي نوع محدد من
a. مغالطة الحادث",true
"يشير هذا السؤال إلى المعلومات الآتية.
""إن بذور الأنظمة الشمولية يغذيها البؤس والعوز. إنها تنتشر وتنمو في تربة الفقر والصراع الشريرة. إنهم يصلون إلى نموهم الكامل عندما يموت أمل شعب في حياة أفضل. يجب أن نبقي هذا الأمل حيا. . . . لقد تم وضع مسؤوليات كبيرة على عاتقنا من خلال الحركة السريعة للأحداث. . . . أنا واثق من أن الكونغرس سيواجه هذه المسؤوليات بشكل مباشر"".
الرئيس هاري ترومان ، 1947
تعكس الأفكار المعبر عنها في المقطع أعلاه بشكل مباشر أي من الاستمرارية التالية في تاريخ الولايات المتحدة؟
A.مناقشات حول العلاقة بين الكونغرس والرئيس.
B.مناقشات حول استخدام القوة العسكرية في المواقف المتقلبة.
C.مناقشات حول دور الولايات المتحدة في الشؤون العالمية.
D.مناقشات حول الدور المناسب للأحزاب السياسية.",c,c. مناقشات حول دور الولايات المتحدة في الشؤون العالمية.,true
"أي من هذه الأطباق مصنوع من أمعاء الخنازير؟
A.هاغيس
B.كيتلينز
C.الحصي
D.تشوب سوي",b,"b. كيتلينز

كيتلينز (chitlins أو chitterlings) هو الطبق المصنوع من أمعاء الخنازير.",true
"يشار إلى الارتباط الذاتي المتبقي السلبي بأي مما يلي؟
A.نمط دوري في المخلفات
B.نمط متناوب في البقايا
C.عشوائية كاملة في المخلفات
D.المخلفات التي تقترب جميعها من الصفر",b,"الارتباط الذاتي المتبقي السلبي يشير إلى وجود نمط متناوب في البقايا. لذلك، الإجابة الصحيحة هي:

b. نمط متناوب في البقايا",true
"يشير هذا السؤال إلى المعلومات الآتية.
أولا يجب أن نلاحظ أن الكون كروي في الشكل ، ويرجع ذلك جزئيا إلى أن هذا الشكل هو كل كامل لا يتطلب أي مفاصل ، هو الأكثر اكتمالا على الإطلاق ، جزئيا لأنه يصنع الشكل الأكثر رحابة ، وهو الأنسب لاحتواء كل شيء والحفاظ عليه. أو مرة أخرى لأن جميع الأجزاء المكونة للكون ، أي الشمس والقمر والكواكب تظهر بهذا الشكل ؛ أو لأن كل شيء يسعى جاهدا للوصول إلى هذا الشكل ، كما يظهر في حالة قطرات الماء والأجسام السائلة الأخرى إذا حاولوا تعريف أنفسهم. لذلك لن يشك أحد في أن هذا الشكل ينتمي إلى الأجرام السماوية. ...
لذلك فإن كون الأرض كروية أيضا أمر لا جدال فيه ، لأنه يضغط من جميع الجهات على مركزها. على الرغم من أنه بسبب ارتفاعات الجبال ومنخفضات الوديان ، لا يمكن فهم دائرة كاملة ، إلا أن هذا لا يؤثر على الطبيعة الكروية العامة للأرض. ...
كما ثبت بالفعل أن الأرض لها شكل كرة ، يجب أن نفكر فيما إذا كانت الحركة تتزامن أيضا مع هذا الشكل ، وما هي المكانة التي تحتلها الأرض في الكون. ... تتفق الغالبية العظمى من المؤلفين بالطبع على أن الأرض لا تزال في مركز الكون ، ويعتبرون أنه من غير المعقول والسخف افتراض عكس ذلك. ولكن إذا تم تقييم المسألة بعناية ، فسوف يتبين أن المسألة لم تتم تسويتها بعد ، وبالتالي لا يمكن بأي حال من الأحوال النظر إليها باستخفاف. كل تغيير في المكان يتم ملاحظته يرجع ، أي إلى حركة الجسم المرصود أو المراقب ، أو إلى حركات كليهما. ... الآن من الأرض يتم ملاحظة ثورة السماوات ويتم إنتاجها لأعيننا. لذلك إذا لم تخضع الأرض لأي حركة ، فيجب أن تحدث هذه الحركة في كل شيء خارج الأرض ، ولكن في الاتجاه المعاكس مما لو تحرك كل شيء على الأرض ، وهذا النوع هو الثورة اليومية. لذلك يبدو أن هذا يؤثر على الكون كله ، أي كل شيء خارج الأرض باستثناء واحد للأرض نفسها. ومع ذلك ، إذا كان على المرء أن يعترف بأن هذه الحركة لم تكن خاصة بالسماء ، ولكن الأرض تدور من الغرب إلى الشرق ، وإذا تم النظر في ذلك بعناية فيما يتعلق بالشروق والغروب الظاهري للشمس والقمر والنجوم ، اكتشاف أن هذا هو الوضع الحقيقي "".
نيكولاس كوبرنيكوس ، ثورات الأجرام السماوية ، 1543
يمكن استخدام المقطع كدليل على أن كوبرنيكوس اختلف عن الفلاسفة الطبيعيين الأرسطيين التقليديين في عصره لأنه اقترح ذلك
A.الكون كروي
B.الأرض كروية
C.الكون جيوستاتيكي
D.الأرض ليست ثابتة",d,d. الأرض ليست ثابتة,true
"يتم تمثيل الجهد المستحث في المحث على النحو التالي ،
A.نتاج محاثه والتيار من خلاله.
B.نسبة محاثه إلى التيار من خلاله.
C.نسبة التيار من خلاله إلى محاثه.
D.ناتج محاثه ومعدل تغير التيار من خلاله.",d,"d. ناتج محاثه ومعدل تغير التيار من خلاله.

الجهد المستحث في المحث يتم تمثيله بالعلاقة \(v = l \frac{di}{dt}\)، حيث \(v\) هو الجهد المستحث، \(l\) هو محاثة الملف، و\(\frac{di}{dt}\) هو معدل تغير التيار بالنسبة للزمن.",true
"أي من الخصائص التالية تتفق بشكل عام مع الاغتصاب في موعد غرامي؟
A.استخدام القوة المفرطة
B.مع سبق الاصرار
C.دوافع جنسية
D.ينطوي على استخدام سلاح",c,"c. دوافع جنسية

الاغتصاب في موعد غرامي غالبًا ما يكون مدفوعًا بدوافع جنسية. في حين أن القوة قد تُستخدم، فإن استخدام القوة المفرطة أو السلاح ليس بالضرورة خاصية مميزة لهذا النوع من الاغتصاب. كما أنه لا يتطلب بالضرورة التخطيط المسبق أو سبق الإصرار.",true
"الطفرات التي تسبب الودانة لها تأثير يمكن تصنيفه على النحو التالي:
A.السلبية المهيمنة.
B.كسب الوظيفة.
C.هابلوينكفاي.
D.فقدان الوظيفة.",b,"الطفرات التي تسبب الودانة (وهي حالة تتميز بوجود أذنين صغيرتين أو غير مكتملتي النمو) يمكن أن تكون نتيجة لطفرات تؤدي إلى ""فقدان الوظيفة"" (d). هذا النوع من الطفرات يؤدي إلى فقدان أو تقليل وظيفة الجين المتأثر، مما قد يؤدي إلى عدم تطور الأذنين بشكل طبيعي.",true
"دبابة على شكل منشور مثلث. إذا كانت القاعدة المثلثة مساحتها ١١٦ قدما مربعا، وكان طول الخزان ٣٠ قدما، فما كمية الماء التي سيحتوي عليها الخزان عندما يكون ممتلئا؟
A.1725 قدم ^ 3
B.1740 قدم ^ 3
C.3480 قدم ^ 3
D.6960 قدم ^ 3",c,"لحساب حجم الخزان الذي على شكل منشور مثلث، نستخدم الصيغة:

\[ \text{حجم المنشور} = \text{مساحة القاعدة} \times \text{الارتفاع} \]

حيث أن مساحة القاعدة المثلثة هي 116 قدمًا مربعًا، وطول الخزان (الذي يعتبر الارتفاع في هذه الحالة) هو 30 قدمًا، نحصل على:

\[ \text{حجم المنشور} = 116 \, \text{قدم}^2 \times 30 \, \text{قدم} = 3480 \, \text{قدم}^3 \]

إذًا، الخيار الصحيح هو:

c. 3480 قدم ^ 3",true
"مريض يعاني من كسر في الرقبة مع تلف في الحبل الشوكي على مستوى الفقرة العنقية السادسة.
A.لن يكونوا قادرين على التنفس بدون دعم الحياة.
B.سيكونون قادرين فقط على التنفس بهدوء.
C.من المستحيل التنبؤ بتأثير على التنفس.
D.لن يتأثر التنفس.",b,"a. لن يكونوا قادرين على التنفس بدون دعم الحياة.

الإصابة في الفقرة العنقية السادسة (c6) يمكن أن تؤثر بشكل كبير على القدرة على التنفس. هذا لأن الأعصاب التي تنظم وظائف العضلات الرئيسية المستخدمة في التنفس، مثل الحجاب الحاجز، يمكن أن تتأثر. في حالات كثيرة، قد يحتاج المرضى إلى دعم الحياة للمساعدة في التنفس، خاصة في المراحل الأولى بعد الإصابة. ومع ذلك، القدرة على التنفس بشكل مستقل يمكن أن تتحسن مع الوقت والعلاج الفيزيائي في بعض الحالات.",false
"بالمقارنة مع الأحزاب السياسية في دول مثل إنجلترا وإسرائيل ، وكلاهما لديه أنظمة متعددة الأحزاب ، فإن الأحزاب السياسية الأمريكية
A.أقل اهتماما بالتأثير على نتائج الانتخابات
B.أقل وضوحا مع الأيديولوجيات السياسية المتسقة
C.أقل فعالية في جمع الأموال من المؤيدين السياسيين
D.أكثر قدرة على عكس أهداف دوائرهم الانتخابية بأكملها",b,"b.أقل وضوحا مع الأيديولوجيات السياسية المتسقة

في الولايات المتحدة، النظام الثنائي الحزبي يعني أن هناك حزبين رئيسيين يهيمنان على السياسة: الحزب الديمقراطي والحزب الجمهوري. بينما يمكن تحديد الأيديولوجيات العامة لكل حزب، فإن الطيف الواسع للآراء داخل كل حزب يعني أن الأيديولوجيات قد تكون أقل وضوحًا وتناسقًا مقارنة بالأحزاب في أنظمة متعددة الأحزاب مثل إنجلترا وإسرائيل، حيث يمكن للأحزاب أن تمثل نطاقًا أوسع من الآراء والمواقف الأيديولوجية بشكل أكثر تحديدًا.",true
