Question,CorrectAnswer,GivenAnswer,Correct
"Уларҙың ҡайһыһы гомология аҡһымдарының аминокислота эҙмә-эҙлелегенә нигеҙләнгән төрлө төрҙәрҙең эволюцион бәйлелеген билдәләүҙе гомология гендарының нуклеотидтар эҙмә-эҙлелегенә нигеҙләнгән туғанлыҡты билдәләүгә ҡарағанда теүәлерәк итә?
A.Тауышһыҙ мутациялар
B.Гендарҙы ҡабатлау
C.Гендар эҙмә-эҙлелеген үҙгәртеүсе транслокация ваҡиғалары
D.Кисеү",a,a,true
"Тәьмин итеүсегә һалынған һалым, әгәр булһа, ҡулланыусыға хаҡ артыу рәүешендә күберәк тапшырыласаҡ
A.ихтыяждың хаҡ һығылмалылығы юғары һығылмалы.
B.ихтыяждың хаҡ һығылмалылығы бик нескә.
C.ихтыяждың хаҡ һығылмалылығы берәмеге һығылмалы.
D.эш хаҡы буйынса ихтыяждың һығылмалылығы бик һығылмалы.",b,b,true
"X ил министрының сит илдә ҡылған законһыҙ үлтереүе юре империимы, әллә юре гестионисмы?
A.Бындай тәртип — йәмәғәт акты (юре империи)
B.Бындай тәртип бер ҡасан да иммунитет йәлеп итә
C.Бындай тәртип — хосуси ғәмәл (юре гестионис)
D.Бындай тәртип йәмәғәт акты булып тора, әммә иммунитет менән ҡалҡа",c,c.,true
"Һиндостандан АҠШ-ҡа күсеү тураһында фекер йөрөткәндә Рива өсөн түбәндәге факторҙарҙың ҡайһыһы «тартыу» факторы тип һаналыр ине?
A.Әшәке фәҡирлек
B.Яҡшыраҡ эш һәм юғары эш хаҡы
C.Һиндостандың касталар системаһы
D.Күршеләрендә көс ҡулланыу",b,b,true
"Башланғыс тиҙлек менән 1,5 × 10^6 м/с тиҙлектә йөрөп, протон 1,5 Т магнит ҡырының даими өлкәһенә инә. Әгәр протондың башланғыс тиҙлек векторы магнит ҡыры менән 30° мөйөш яһаһа, магнит ҡырына ингәндән һуң протондың тиҙлеген 4 с тип иҫәпләегеҙ.
A.5.0 × 10^6 м/с
B.7.5 × 10^6 м/с
C.1,5 × 10^6 м/с
D.3.0 × 10^6 м/с",c,c,true
"Иҡтисад тәрән рецессия хәлендә. Ошо иҡтисади хәлде иҫәпкә алғанда, аҡса-кредит сәйәсәте тураһында түбәндәге белдереүҙәрҙең ҡайһыһы дөрөҫ?
A.Экспансион сәйәсәт рецессияны насарайтыр ине генә.
B.Экспансион сәйәсәт, әгәр инвестициялар процент ставкаһының үҙгәреүенә һиҙгер булһа, тулайым ихтыяжды күпкә арттыра.
C.Ҡыҫҡартыу сәйәсәте инвестициялар һәм ҡулланыу өсөн тейешле стимул булып тора.
D.Әгәр аҡсаға ихтыяж бик һығылмалы экспансион аҡса-кредит сәйәсәте ярайһы уҡ һөҙөмтәле булырға мөмкин.",b,b,true
"Индукторҙа индукцияланған көсөргәнеш шулай күрһәтелгән,
A.уның индукцияһы һәм уның аша ток продукты.
B.индукцияның уның аша токҡа нисбәте.
C.уның аша токтың индукцияға нисбәте.
D.уның индукцияһы һәм уның аша токтың үҙгәреү тиҙлеге продукты.",d,d,true
"Кире ҡалдыҡ автокорреляция түбәндәгеләрҙең ҡайһыһы менән күрһәтелгән?
A.Ҡалдыҡтарҙа циклик ҡалып
B.Ҡалдыҡтарҙа сиратлашыу рәүеше
C.Ҡалдыҡтарҙа бөтөнләй осраҡлылыҡ
D.Бөтәһе лә нулгә яҡын ҡалдыҡтар",b,b,true
"Пациенттың муйыны һынған, умыртҡа һөйәге алтынсы муйын умыртҡа һөйәге кимәлендә зарарланған.
A.Тормош тәьминәтен ҡулланмайынса тын ала алмайҙар.
B.Тик улар тыныс ҡына тын ала ала.
C.Тын алыуға йоғонтоһон алдан әйтеп булмай.
D.Тын алыуға йоғонто яһамаясаҡ.",b,a,false
"Был ҡурҡыныс фильмдарҙың ҡайһыһы иң дауамлыһын тыуҙырҙы?
A.Ҡысҡырыу'
B.Джавс'
C.Хэллоуин'
D.13-сө йома'",d,c.,false
"Нидерландтың рәсми теле ниндәй?
A.Дат теле
B.Швед теле
C.Немец теле
D.Нидерланд теле",d,d,true
"y= ln x кәкрелегенең оҙонлоғон y=1/2 һәм y=1 нөктәләре араһында табығыҙ.
A.0.53
B.0.86
C.1.18
D.1.36",c,b.,false
"Иң яҡын меңгә тиклем түңәрәкләнгән һан — 47 000. Түңәрәкләнгән һан ниндәй һан булырға мөмкин?
A.46,295
B.46,504
C.47,520
D.47,924",b,"a.46,295",false
"Ни өсөн Парфит тигеҙлеккә ҡаршы сыға?
A.Тиңһеҙ йәмғиәт ҡотолғоһоҙ, тип раҫлай ул.
B.Ярлыларҙың ихтыяжына өҫтөнлөк биреп, тигеҙлекте арттыра алабыҙ, тип белдерә ул.
C.Фәҡирлегебеҙ өсөн һәр беребеҙ яуаплы, тип раҫлай ул.
D.Тигеҙлек идеяһын ул бөтөнләй кире ҡаға.",b,b,true
