Question,CorrectAnswer,GivenAnswer,Correct
"Ποια είναι η επίσημη γλώσσα της Ολλανδίας;
A.Δανικά
B.Σουηδικά
C.Γερμανικά
D.Ολλανδικά",d,d. ολλανδικά,true
"Οι μεσήλικες ενήλικες φαίνεται να είναι περισσότερο ____ από τους μεγαλύτερους ή νεότερους ενήλικες
A.Παραγωγική
B.Νευρωτικός
C.Ευχάριστος
D.Βέβαιος",a,a.παραγωγική,true
"Η πλάνη της εγκωμιαστικής προσωπικότητας είναι ένας συγκεκριμένος τύπος
A.Η πλάνη του ατυχήματος
B.Ψευδές δίλημμα
C.Ζητώντας την ερώτηση
D.Κυκλική συλλογιστική",a,a. η πλάνη του ατυχήματος,true
"Σε ποια κατάσταση διαδραματίζεται η ταινία Magnolia του 1999;
A.Καλιφόρνια
B.Νότια Καρολίνα
C.Γεωργία
D.Τέξας",a,a. καλιφόρνια,true
"Ποια είναι η μητρική γλώσσα του ηθοποιού Antonio Banderas;
A.Ισπανικά
B.Ρωσικά
C.Γερμανικά
D.Γαλλικά",a,a. ισπανικά,true
" Αυτό το εργαλείο μάρκετινγκ και επικοινωνίας προσφέρει ένα άμεσο κίνητρο ή ένα κίνητρο για να ενθαρρύνει τους πελάτες να αγοράσουν ένα προϊόν / υπηρεσία:
A.Διαφήμιση.
B.Δημόσιες σχέσεις.
C.Προώθηση πωλήσεων.
D.Άμεσο μάρκετινγκ.",c,c.προώθηση πωλήσεων.,true
"Ποιος από τους ακόλουθους παράγοντες θα μπορούσε να θεωρηθεί παράγοντας «έλξης» για τη Riva όταν εξετάζει μια μετακόμιση από την Ινδία στις Ηνωμένες Πολιτείες;
A.Άθλια φτώχεια
B.Καλύτερη δουλειά και υψηλότεροι μισθοί
C.Το σύστημα καστών της Ινδίας
D.Βία στη γειτονιά της",b,b. καλύτερη δουλειά και υψηλότεροι μισθοί,true
"Αυτή η ερώτηση αναφέρεται στις ακόλουθες πληροφορίες.
Πρώτα πρέπει να παρατηρήσουμε ότι ο κόσμος έχει σφαιρική μορφή, εν μέρει επειδή αυτή η μορφή είναι ένα τέλειο σύνολο που δεν απαιτεί αρθρώσεις, είναι η πιο πλήρης από όλες, εν μέρει επειδή κάνει την πιο ευρύχωρη μορφή, η οποία είναι η πλέον κατάλληλη για να περιέχει και να διατηρεί τα πάντα. ή πάλι επειδή όλα τα συστατικά μέρη του σύμπαντος, δηλαδή ο ήλιος, η σελήνη και οι πλανήτες εμφανίζονται με αυτή τη μορφή. ή επειδή όλα προσπαθούν να επιτύχουν αυτή τη μορφή, όπως φαίνεται στην περίπτωση σταγόνων νερού και άλλων υγρών σωμάτων αν προσπαθήσουν να αυτοπροσδιοριστούν. Έτσι κανείς δεν θα αμφιβάλλει ότι αυτή η μορφή ανήκει στα ουράνια σώματα. ...
Το ότι η γη είναι επίσης σφαιρική είναι επομένως πέρα από κάθε αμφιβολία, επειδή πιέζει από όλες τις πλευρές στο κέντρο της. Αν και λόγω των υψομέτρων των βουνών και των κοιλοτήτων των κοιλάδων ένας τέλειος κύκλος δεν μπορεί να γίνει κατανοητός, ωστόσο αυτό δεν επηρεάζει τη γενική σφαιρική φύση της γης. ...
Όπως έχει ήδη αποδειχθεί ότι η γη έχει τη μορφή σφαίρας, πρέπει να εξετάσουμε αν μια κίνηση συμπίπτει επίσης με αυτή τη μορφή και ποια θέση κατέχει η γη στο σύμπαν. ... Η μεγάλη πλειοψηφία των συγγραφέων φυσικά συμφωνεί ότι η γη βρίσκεται ακίνητη στο κέντρο του σύμπαντος και θεωρεί αδιανόητο και γελοίο να υποθέσουμε το αντίθετο. Αλλά αν το θέμα σταθμιστεί προσεκτικά, θα φανεί ότι το ζήτημα δεν έχει ακόμη διευθετηθεί και επομένως σε καμία περίπτωση δεν πρέπει να αντιμετωπιστεί ελαφρά τη καρδία. Κάθε αλλαγή τόπου που παρατηρείται οφείλεται, δηλαδή, σε μια κίνηση του παρατηρούμενου αντικειμένου ή του παρατηρητή, ή σε κινήσεις και των δύο. ... Τώρα είναι από τη γη που παρατηρείται η επανάσταση των ουρανών και παράγεται για τα μάτια μας. Επομένως, αν η γη δεν υφίσταται καμία κίνηση, αυτή η κίνηση πρέπει να λάβει χώρα σε όλα έξω από τη γη, αλλά προς την αντίθετη κατεύθυνση από ό, τι αν τα πάντα στη γη κινούνταν, και αυτού του είδους είναι η καθημερινή επανάσταση. Έτσι, αυτό φαίνεται να επηρεάζει ολόκληρο το σύμπαν, δηλαδή τα πάντα έξω από τη γη με μοναδική εξαίρεση την ίδια τη γη. Αν, ωστόσο, κάποιος έπρεπε να παραδεχτεί ότι αυτή η κίνηση δεν ήταν χαρακτηριστική των ουρανών, αλλά ότι η γη περιστρεφόταν από τη δύση προς την ανατολή, και αν αυτό εξεταστεί προσεκτικά σε σχέση με τη φαινομενική ανατολή και δύση του ήλιου, της σελήνης και των αστεριών, θα ανακαλυπτόταν ότι αυτή ήταν η πραγματική κατάσταση.
Νικόλαος Κοπέρνικος, Οι επαναστάσεις των ουράνιων σωμάτων, 1543
Το απόσπασμα μπορεί να χρησιμοποιηθεί ως απόδειξη ότι ο Κοπέρνικος διέφερε από τους παραδοσιακούς, αριστοτελικούς φυσικούς φιλοσόφους της εποχής του, επειδή πρότεινε ότι
A.Ο κόσμος είναι σφαιρικός
B.η Γη είναι σφαιρική
C.Ο κόσμος είναι γεωστατικός
D.η Γη δεν είναι στάσιμη",d,d. η γη δεν είναι στάσιμη,true
"Ποιο από αυτά τα πιάτα είναι φτιαγμένο από έντερα χοίρου;
A.Χάγκις
B.Τσίτλινς
C.Χονδραλεσμένος
D.Μπριζόλα Suey",b,"b. τσίτλινς

τα τσίτλινς είναι ένα πιάτο που είναι φτιαγμένο από τα έντερα του χοίρου. είναι παραδοσιακό φαγητό σε πολλές κουλτούρες, ιδιαίτερα στην αφροαμερικανική κουζίνα των ηνωμένων πολιτειών.",true
"Ποια από αυτές τις ταινίες τρόμου γέννησε τις περισσότερες συνέχειες;
A.Κραυγή»
B.Σιαγόνες»
C.Απόκριες»
D.Παρασκευή και 13'",d,"η ταινία που γέννησε τις περισσότερες συνέχειες από αυτές που αναφέρετε είναι η ""παρασκευή και 13"" (friday the 13th). αυτή η σειρά ταινιών τρόμου έχει παράξει πολλές συνέχειες, spin-offs και ακόμα και μια τηλεοπτική σειρά, καθιστώντας την μία από τις πιο παραγωγικές και αναγνωρίσιμες στο είδος του τρόμου.",true
