Question,CorrectAnswer,GivenAnswer,Correct
"زبان مادری انتونیو باندراس چیست؟
A.اسپانیایی
B.روسی
C.آلمانی
D.فرانسوی",a,a.اسپانیایی,true
"به نظر می رسد بزرگسالان میانسال بیشتر از بزرگسالان مسن تر یا جوان تر هستند
A.مولد
B.نوروتیک
C.قابل قبول
D.خاص",a,a. مولد,true
"مغنطه شخصیت ستایشی یک نوع خاص از
A.مغنطه تصادف
B.معضل کاذب
C.التماس سؤال
D.استدلال دایره ای",a,c. التماس سؤال,false
" این ابزار بازاریابی و ارتباطی یک انگیزه مستقیم یا انگیزه ای برای تشویق مشتریان به خرید یک محصول / خدمات ارائه می دهد:
A.تبلیغات.
B.روابط عمومی
C.ارتقاء فروش.
D.بازاریابی مستقیم.",c,c. ارتقاء فروش.,true
"فیلم ماگنولیا در سال 1999 در چه وضعیتی قرار دارد؟
A.کالیفرنیا
B.کارولینای جنوبی
C.گرجستان
D.تگزاس",a,a.کالیفرنیا,true
"زبان رسمی هلند چیست؟
A.دانمارکی
B.سوئدی
C.آلمانی
D.هلندی",d,d. هلندی,true
"این سوال به اطلاعات زیر اشاره دارد.
اول باید بگوییم که کیهان به شکل کروی است، بخشی به این دلیل که این فرم یک کل کامل است که نیازی به مفاصل ندارد، کامل ترین است، بخشی به این دلیل که بزرگ ترین شکل را ایجاد می کند، که برای مهار و حفظ همه چیز مناسب است. یا دوباره به این دلیل که تمام اجزای تشکیل دهنده جهان، یعنی خورشید، ماه و سیارات به این شکل ظاهر می شوند. یا به این دلیل که همه چیز تلاش می کند تا به این شکل برسد، همانطور که در مورد قطرات اب و سایر اجسام سیال ظاهر می شود، اگر انها تلاش می کنند خود را تعریف کنند. بنابراین هیچ شک نخواهد کرد که این شکل متعلق به اجسام اسمانی است. ...
بنابراین کروی بودن زمین فراتر از سوال است، زیرا از همه طرف به مرکز ان فشار می دهد. اگر چه به دلیل ارتفاعات کوه ها و فرورفتگی دره ها نمی توان یک دایره کامل را درک کرد، اما این بر ماهیت کروی عمومی زمین تاثیر نمی گذارد. ...
همانطور که قبلا نشان داده شده است که زمین به شکل یک کره است، باید در نظر بگیریم که ایا یک حرکت نیز با این شکل همزمان است و زمین چه جایگاهی در جهان دارد. ... البته اکثریت قریب به اتفاق نویسندگان موافقند که زمین هنوز در مرکز جهان قرار دارد و تصور برعکس ان را غیر قابل تصور و مسخره می دانند. اما اگر موضوع به دقت سنجیده شود، دیده خواهد شد که این مسئله هنوز حل نشده است و بنابراین به هیچ وجه نباید به راحتی مورد توجه قرار گیرد. هر تغییر مکان که مشاهده می شود، یعنی حرکت جسم مشاهده شده یا ناظر یا حرکات هر دو است. ... اکنون از زمین است که انقلاب اسمان دیده می شود و برای چشمان ما تولید می شود. بنابراین اگر زمین تحت هیچ حرکتی قرار نگیرد، این حرکت باید در همه چیز خارج از زمین انجام شود، اما در جهت مخالف از اینکه همه چیز بر روی زمین حرکت کند، و از این نوع انقلاب روزانه است. بنابراین به نظر می رسد که این بر کل جهان تاثیر می گذارد، یعنی همه چیز خارج از زمین به استثنای خود زمین. با این حال، اگر بپذیریم که این حرکت مختص اسمان ها نیست، بلکه زمین از غرب به شرق می چرخد، و اگر این موضوع با توجه به طلوع و غروب ظاهری خورشید، ماه و ستاره ها به دقت مورد توجه قرار گیرد، کشف خواهد شد که این وضعیت واقعی است.
نیکلاس کوپرنیک، انقلابهای اجسام اسمانی، ۱۵۴۳
این متن ممکن است به عنوان شواهدی مورد استفاده قرار گیرد که کوپرنیک با فیلسوفان طبیعی سنتی و ارسطویی زمان خود متفاوت است، زیرا او پیشنهاد کرد که
A.کیهان کروی است
B.زمین کروی است
C.کیهان ژئواستاتیک است
D.زمین ثابت نیست",d,d. زمین ثابت نیست,true
"کدام یک از ویژگی های زیر به طور کلی با تجاوز تاریخی سازگار است؟
A.استفاده از نیروی بیش از حد
B.از پیش برنامه ریزی شده
C.انگیزه جنسی
D.استفاده از یک سلاح",c,b. از پیش برنامه ریزی شده,false
"کدام یک از عوامل زیر به عنوان یک عامل ""کشش"" برای ریوا در هنگام در نظر گرفتن حرکت از هند به ایالات متحده در نظر گرفته می شود؟
A.فقر مطلق
B.شغل بهتر و دستمزد بالاتر
C.سیستم کاست هند
D.خشونت در محله",b,"b. شغل بهتر و دستمزد بالاتر

این گزینه به عنوان یک عامل ""کشش"" در نظر گرفته می‌شود زیرا افراد را به سمت مقصد جدیدی مانند ایالات متحده جذب می‌کند به دلیل امید به دستیابی به فرصت‌های شغلی بهتر و دستمزدهای بالاتر.",true
"خودبستگی باقی مانده منفی نشان داده شده است که کدام یک از زیر است؟
A.یک الگوی چرخه ای در باقی مانده ها
B.یک الگوی متناوب در باقی مانده ها
C.یک تصادف کامل در باقی مانده ها
D.باقی مانده هایی که همگی نزدیک به صفر هستند",b,خودبستگی باقی مانده منفی نشان دهنده آن است که باقی مانده‌ها به گونه‌ای هستند که یک باقی مانده مثبت معمولاً توسط یک باقی مانده منفی دنبال می‌شود و برعکس. این الگو نشان دهنده یک الگوی متناوب در باقی مانده‌ها است. بنابراین، پاسخ صحیح گزینه b است: یک الگوی متناوب در باقی مانده‌ها.,true
"کدام یک از این ظروف از روده خوک ساخته شده است؟
A.هاگیس
B.چیتلین
C.بلغور
D.چو چوی",b,گزینه b. چیتلین (chitlins یا chitterlings) از روده خوک ساخته می‌شود. چیتلین‌ها، که به طور سنتی در آمریکای جنوبی و بخش‌هایی از اروپا مصرف می‌شوند، شامل قسمت‌هایی از روده کوچک خوک هستند که پاک‌سازی، پخته و سپس به عنوان غذا مصرف می‌شوند.,true
"یک تانک به شکل منشور مثلثی است. اگر پایه مثلثی دارای مساحت 116 فوت مربع باشد و مخزن 30 فوت ارتفاع داشته باشد، مخزن در هنگام پر شدن چقدر اب دارد؟
A.1725 فوت ^ 3
B.1740 فوت ^ 3
C.3480 فوت ^ 3
D.6960 فوت ^ 3",c,"برای محاسبه حجم آب درون یک منشور مثلثی، می‌توانیم از فرمول حجم منشور استفاده کنیم که به صورت زیر است:

\[ \text{حجم} = \text{مساحت پایه} \times \text{ارتفاع} \]

در این مورد، مساحت پایه 116 فوت مربع و ارتفاع 30 فوت است. بنابراین، حجم آب درون مخزن به صورت زیر محاسبه می‌شود:

\[ \text{حجم} = 116 \, \text{فوت}^2 \times 30 \, \text{فوت} = 3480 \, \text{فوت}^3 \]

پس گزینه صحیح c. 3480 فوت ^ 3 است.",true
"جهش هایی که باعث اکوندروپلازی می شوند، تاثیری را ایجاد می کنند که می تواند به صورت زیر طبقه بندی شود:
A.غالب منفی
B.سود از عملکرد.
C.haploinsiciency.
D.از دست دادن عملکرد.",b,"جهش‌هایی که باعث اکوندروپلازی می‌شوند، تاثیری را ایجاد می‌کنند که به صورت ""b. سود از عملکرد"" (gain of function) طبقه‌بندی می‌شود. این نوع جهش‌ها باعث می‌شوند پروتئین تولید شده از ژن جهش‌یافته، فعالیت بیشتری نسبت به حالت عادی داشته باشد. در مورد اکوندروپلازی، جهش در ژن fgfr3 باعث می‌شود که این گیرنده فاکتور رشد بیش از حد فعال شود، که این امر مانع از رشد طبیعی استخوان‌ها می‌شود و به بروز اکوندروپلازی منجر می‌گردد.",true
"این سوال به اطلاعات زیر اشاره دارد.
بذر رژیمهای توتالیتر با بدبختی و نیاز پرورش داده میشود. انها گسترش می یابند و در خاک بد فقر و نزاع رشد می کنند. انها زمانی به رشد کامل خود می رسند که امید مردم برای زندگی بهتر از بین رفته است. ما باید این امید را زنده نگه داریم. مسئولیت های بزرگی با حرکت سریع حوادث بر عهده ما گذاشته شده است. من اطمینان دارم که کنگره به طور مستقیم با این مسئولیت ها روبرو خواهد شد. ""
رئیس جمهور هری ترومن، 1947
ایده های بیان شده در متن بالا به طور مستقیم منعکس کننده کدام یک از پیوستگی های زیر در تاریخ ایالات متحده است؟
A.بحث در مورد رابطه بین کنگره و رئیس جمهور.
B.بحث در مورد استفاده از نیروی نظامی در شرایط ناپایدار.
C.بحث در مورد نقش ایالات متحده در امور جهانی.
D.بحث در مورد نقش مناسب احزاب سیاسی.",c,"c. بحث در مورد نقش ایالات متحده در امور جهانی.

این بخش از سخنان رئیس جمهور هری ترومن در سال 1947 به خوبی نشان دهنده دیدگاه وی در مورد نقش ایالات متحده در امور جهانی است. ترومن در این سخنان بر اهمیت حفظ امید و مقابله با رژیم‌های توتالیتر تاکید می‌کند، که این امر به طور غیرمستقیم به سیاست خارجی ایالات متحده و تعهد آن به مبارزه با گسترش کمونیسم و حمایت از دموکراسی در دوران جنگ سرد اشاره دارد.",true
"دانش اموزان در حال انجام یک تمرین جداسازی رنگدانه گیاهی هستند که نیاز به استفاده از یک محفظه کروماتوگرافی بسته با مقدار کمی استون در پایین محفظه دارد. هشدارهای ایمنی برای استون شامل این بیانیه است که چشم و پوست تحریک کننده است و بخارات قابل اشتعال دارد. از موارد زیر که احتیاط ایمنی باید دانش اموزان را در هنگام انجام تمرین؟
A.قرار دادن دستکش های مقاوم در برابر اتش برای حمل محفظه به یک هود دود اگر استون اتش بگیرد
B.قرار دادن محفظه در یک کابینت بسته و تیره برای مدت زمان جداسازی رنگدانه
C.پوشیدن دستکش های چرمی و پوشاندن بینی و دهان با ماسک ذرات
D.پوشیدن عینک ایمنی و دستکش نیتریل و بسته نگه داشتن تمام ظروف استون",d,"d. پوشیدن عینک ایمنی و دستکش نیتریل و بسته نگه داشتن تمام ظروف استون

این گزینه بهترین اقدام احتیاطی است زیرا عینک ایمنی از چشم‌ها در برابر تحریک ناشی از بخارات استون محافظت می‌کند و دستکش‌های نیتریل محافظت خوبی در برابر مواد شیمیایی مانند استون ارائه می‌دهند. همچنین، بسته نگه داشتن ظروف استون به جلوگیری از تبخیر بیش از حد و کاهش خطر آتش‌سوزی کمک می‌کند.",true
"یک بیمار از شکستگی گردن با اسیب به نخاع در سطح مهره ششم گردن رنج می برد.
A.انها بدون حمایت از زندگی قادر به نفس کشیدن نخواهند بود.
B.انها فقط می توانند به ارامی نفس بکشند.
C.پیش بینی تاثیر ان بر تنفس غیرممکن است.
D.تنفس تحت تاثیر قرار نخواهد گرفت.",b,"a. انها بدون حمایت از زندگی قادر به نفس کشیدن نخواهند بود.

شکستگی گردن با آسیب به نخاع در سطح مهره ششم گردن (c6) می‌تواند منجر به اختلالات جدی در توانایی فرد برای تنفس شود. این به دلیل آن است که عصب‌هایی که از نخاع خارج می‌شوند و به عضلات تنفسی از جمله دیافراگم کنترل می‌دهند، ممکن است آسیب ببینند. دیافراگم نقش اصلی را در فرآیند تنفس ایفا می‌کند، و آسیب به نخاع در سطح c6 می‌تواند به این عضله آسیب برساند یا عملکرد آن را مختل کند. در نتیجه، بیماران ممکن است به حمایت تنفسی مانند ونتیلاتور نیاز داشته باشند تا بتوانند به طور موثر نفس بکشند.",false
"کدام یک از اینها باعث می شود تعیین ارتباط تکاملی گونه های مختلف بر اساس توالی اسید امینه پروتئین های همولوگ به طور کلی کمتر از تعیین ارتباط بر اساس توالی نوکلئوتیدی ژن های همولوگ باشد؟
A.جهش های خاموش
B.تکثیر ژن
C.رویدادهای جابجایی که توالی ژن را تغییر می دهند
D.عبور بیش از",a,"a. جهش های خاموش

جهش‌های خاموش (silent mutations) تغییراتی در توالی dna هستند که باعث تغییر در توالی اسید آمینه پروتئین تولیدی نمی‌شوند. این نوع جهش‌ها می‌توانند در توالی نوکلئوتیدی ژن‌های همولوگ وجود داشته باشند بدون اینکه تغییری در توالی اسید آمینه پروتئین‌های مربوطه ایجاد کنند. بنابراین، وقتی ارتباط تکاملی گونه‌های مختلف بر اساس توالی اسید آمینه پروتئین‌های همولوگ تعیین می‌شود، این جهش‌های خاموش نادیده گرفته می‌شوند و اطلاعات کمتری نسبت به تحلیل‌هایی که بر اساس توالی نوکلئوتیدی انجام می‌شوند، فراهم می‌کنند. این موضوع می‌تواند باعث شود که تعیین ارتباط تکاملی بر اساس توالی اسید آمینه کمتر دقیق از تعیین ارتباط بر اساس توالی نوکلئوتیدی باشد.",true
"در مقایسه با احزاب سیاسی در کشورهایی مانند انگلستان و اسرائیل، که هر دو دارای سیستم های چند حزبی هستند، احزاب سیاسی امریکا هستند.
A.کمتر علاقه مند به تاثیر بر نتیجه انتخابات
B.کمتر به وضوح با ایدئولوژی های سیاسی سازگار شناخته شده است
C.کمتر موثر در جمع اوری پول از طرفداران سیاسی
D.بهتر می توانند اهداف کل حوزه های انتخاباتی خود را منعکس کنند",b,"b. کمتر به وضوح با ایدئولوژی های سیاسی سازگار شناخته شده است

در مقایسه با احزاب سیاسی در کشورهایی مانند انگلستان و اسرائیل که دارای سیستم‌های چند حزبی هستند و احزاب متعددی با ایدئولوژی‌های مختلف وجود دارند، سیستم دو حزبی ایالات متحده (دموکرات‌ها و جمهوری‌خواهان) کمتر به وضوح با ایدئولوژی‌های سیاسی خاصی سازگار شناخته می‌شود. این به این معناست که در حالی که احزاب در انگلستان و اسرائیل ممکن است به طور دقیق بر اساس ایدئولوژی‌های خاصی مانند سوسیالیسم، لیبرالیسم، محافظه‌کاری و غیره شناخته شوند، در ایالات متحده، دو حزب اصلی ممکن است طیف وسیع‌تری از دیدگاه‌ها را در بر گیرند و ایدئولوژی‌های مختلفی را درون خود جای دهند.",true
"کدام یک از این فیلمهای ترسناک بیشترین دنباله را به وجود اورد؟
A.جیغ بزن
B.اروارهها
C.هالووین
D.جمعه سیزدهم",d,"تا زمان برش دانش من در سال 2023، فیلم ""جمعه سیزدهم"" (friday the 13th) بیشترین دنباله را در میان گزینه‌های موجود به وجود آورده است. این مجموعه شامل 12 فیلم است که اولین آن در سال 1980 منتشر شد و آخرین فیلم (تا کنون) در سال 2009، که یک بازسازی از فیلم اصلی بود، به نمایش درآمد. این مجموعه بر روی شخصیت جیسون وورهیز و افسانه‌های اطراف دریاچه کریستال متمرکز است.

در مقایسه، سایر گزینه‌ها به شرح زیر هستند:
- ""هالووین"" (halloween) دارای 13 فیلم تا سال 2022 است، اگر احتساب کنیم که ""halloween ends"" آخرین فیلم از این مجموعه است.
- ""جیغ بزن"" (scream) تا سال 2023، پنج فیلم دارد.
- ""ارواح"" (jaws) فقط چهار فیلم دارد.

بنابراین، با توجه به اطلاعات فوق، ""هالووین"" با 13 فیلم، بیشترین دنباله را دارد، نه ""جمعه سیزدهم"". پوزش بابت اشتباه قبلی؛ ""هالووین"" درست است.",false
