Question,CorrectAnswer,GivenAnswer,Correct
"Lequel de ces plats est fabriqué à partir d’intestins de porc ?
A.haggis
B.chitlins
C.gruau de maïs
D.chop suey",b,b. chitlins,true
" Cet outil de marketing et de communication offre une incitation directe ou une incitation pour inciter les clients à acheter un produit/service :
A.Publicités.
B.Relations publiques.
C.Promotion des ventes.
D.Vente directe.",c,c.promotion des ventes.,true
"Quelle est la langue maternelle de l’acteur Antonio Banderas ?
A.Espagnol
B.Russe
C.Allemand
D.Français",a,a. espagnol,true
"Les adultes d’âge moyen semblent être plus ____ que les adultes plus âgés ou plus jeunes
A.Génératif
B.Névrosé
C.Agréable
D.Certain",a,a. génératif,true
"Comparés aux partis politiques de pays comme l’Angleterre et Israël, qui ont tous deux des systèmes multipartites, les partis politiques américains sont plus nombreux.
A.moins intéressé à influencer le résultat des élections
B.moins clairement identifiés à des idéologies politiques cohérentes
C.moins efficace pour recueillir des fonds auprès de sympathisants politiques
D.mieux à même de refléter les objectifs de l’ensemble de leurs circonscriptions",b,b. moins clairement identifiés à des idéologies politiques cohérentes,true
"L’erreur de la personnalité élogieuse est un type spécifique de
A.Le sophisme de l’accident
B.Faux dilemme
C.Se poser la question
D.Raisonnement circulaire",a,"l'erreur de la personnalité élogieuse est un type spécifique de
a. le sophisme de l'accident",true
"Quelle est la langue officielle des Pays-Bas ?
A.Danois
B.Suédois
C.Allemand
D.Néerlandais",d,d.néerlandais,true
"Dans quel état se trouve le film Magnolia de 1999 ?
A.Californie
B.Caroline du Sud
C.Géorgie
D.Texas",a,a. californie,true
"Lequel des facteurs suivants serait considéré comme un facteur d’attraction pour Riva lorsqu’il envisage de déménager de l’Inde aux États-Unis ?
A.Pauvreté extrême
B.De meilleurs emplois et des salaires plus élevés
C.Le système des castes de l’Inde
D.Violence dans son quartier",b,b.de meilleurs emplois et des salaires plus élevés,true
"La validation croisée K-fold est
A.linéaire en K
B.quadratique en K
C.cubique en K
D.exponentielle en K",a,"la validation croisée k-fold est **a. linéaire en k** en termes de complexité computationnelle par rapport à k, si on considère que le coût de l'entraînement et de l'évaluation du modèle pour chaque pli (fold) est constant. cela signifie que si vous augmentez le nombre de plis k, le temps de calcul nécessaire pour effectuer la validation croisée k-fold augmentera linéairement avec k, en supposant que chaque pli nécessite le même temps de calcul.",true
"Laquelle des caractéristiques suivantes est généralement compatible avec un viol par rendez-vous ?
A.Recours à une force excessive
B.prémédité
C.sexuellement motivé
D.implique l’utilisation d’une arme",c,"b. prémédité

le terme ""viol par rendez-vous"" fait souvent référence à des situations où l'agresseur planifie à l'avance de rencontrer la victime, parfois sous un prétexte amical ou romantique, avant de commettre l'agression. cela implique une certaine préméditation, car l'agresseur a l'intention de profiter de cette rencontre pour commettre le viol. les autres options peuvent ou non être présentes dans un cas de viol par rendez-vous, mais la préméditation est un élément clé qui le distingue.",false
"L’autocorrélation résiduelle négative est indiquée par lequel des éléments suivants ?
A.Une évolution cyclique des résidus
B.Une alternance des résidus
C.Un caractère aléatoire complet dans les résidus
D.Des résidus qui sont tous proches de zéro",b,"l'autocorrélation résiduelle négative est indiquée par :

b. une alternance des résidus

cela signifie que les résidus (les erreurs de prévision) alternent régulièrement entre des valeurs positives et négatives, indiquant une tendance des erreurs à changer de signe d'une observation à l'autre. cela peut suggérer que le modèle est surajusté ou qu'il manque une composante importante dans le modèle.",true
"La tension induite dans une inductance est représentée comme,
A.produit de son inductance et de son courant à travers elle.
B.rapport de son inductance au courant qui le traverse.
C.rapport entre le courant qui le traverse et son inductance.
D.produit de son inductance et du taux de variation du courant qui le traverse.",d,"la tension induite dans une inductance est représentée comme,

d. produit de son inductance et du taux de variation du courant qui le traverse.

cela est exprimé par la loi de faraday pour l'induction électromagnétique, qui peut être formulée comme \(v = l \frac{di}{dt}\), où \(v\) est la tension induite, \(l\) est l'inductance, et \(\frac{di}{dt}\) est le taux de variation du courant avec le temps.",true
"Cette question fait référence aux informations suivantes.
Tout d’abord, nous devons remarquer que le cosmos est de forme sphérique, en partie parce que cette forme, étant un tout parfait ne nécessitant pas d’articulations, est la plus complète de toutes, en partie parce qu’elle forme la forme la plus spacieuse, qui est la plus propre à tout contenir et à tout conserver ; ou encore parce que toutes les parties constitutives de l’univers, c’est-à-dire le soleil, la lune et les planètes apparaissent sous cette forme ; ou parce que tout s’efforce d’atteindre cette forme, comme on le voit dans le cas des gouttes d’eau et d’autres corps fluides s’ils tentent de se définir. Personne ne doutera donc que cette forme appartient aux corps célestes. ...
Que la terre soit aussi sphérique, c’est donc hors de doute, parce qu’elle appuie de tous côtés sur son centre. Bien qu’en raison de l’élévation des montagnes et des dépressions des vallées, un cercle parfait ne puisse pas être compris, cela n’affecte cependant pas la nature sphérique générale de la terre. ...
Comme il a déjà été démontré que la terre a la forme d’une sphère, nous devons examiner si un mouvement coïncide aussi avec cette forme, et quelle place la terre occupe dans l’univers. ... La grande majorité des auteurs s’accordent bien sûr à dire que la terre est immobile au centre de l’univers, et considèrent qu’il est inconcevable et ridicule de supposer le contraire. Mais si l’on pèse la question avec soin, on verra que la question n’est pas encore réglée et qu’elle ne doit donc pas être prise à la légère. Tout changement de lieu qui est observé est dû, c’est-à-dire à un mouvement de l’objet observé ou de l’observateur, ou aux mouvements des deux. ... Or, c’est de la terre que l’on observe la révolution des cieux et qu’elle se produit pour nos yeux. Par conséquent, si la terre ne subit aucun mouvement, ce mouvement doit avoir lieu dans tout ce qui est en dehors de la terre, mais dans le sens opposé à celui où tout se meut sur la terre, et c’est de ce genre que se trouve la révolution quotidienne. Cela semble donc affecter tout l’univers, c’est-à-dire tout ce qui se trouve en dehors de la terre, à la seule exception de la terre elle-même. Cependant, si l’on admettait que ce mouvement n’était pas particulier aux cieux, mais que la terre tournait de l’ouest à l’est, et si l’on considérait attentivement cela en ce qui concerne le lever et le coucher apparents du soleil, de la lune et des étoiles, on découvrirait que c’était là la situation réelle.
Nicolas Copernic, Les révolutions des corps célestes, 1543
Ce passage peut être utilisé comme preuve que Copernic différait des philosophes de la nature aristotéliciens traditionnels de son époque parce qu’il a suggéré que
A.Le cosmos est sphérique
B.la Terre est sphérique
C.Le cosmos est géostatique
D.la Terre n’est pas stationnaire",d,"d. la terre n'est pas stationnaire

ce passage montre que copernic a remis en question l'idée traditionnelle aristotélicienne et ptolémaïque que la terre était immobile au centre de l'univers (une conception géocentrique de l'univers). il a suggéré que la terre n'est pas stationnaire et qu'elle se déplace, ce qui est une différence fondamentale par rapport aux philosophes de la nature aristotéliciens de son époque.",true
