Question,CorrectAnswer,GivenAnswer,Correct
"A wane yanayi ne fim na 1999 Na'ama' set?
A.California
B.South Carolina
C.Jojiya
D.Texas",a,a. california,true
"Menene harshen da ake amfani da shi a ƙasar Holland?
A.Harshen Denmak
B.Harshen Siwidin
C.Jamusanci
D.Harshen Holan",d,d. harshen holan,true
"Wane cikin abubuwa da ke gaba za a ɗauki ""cire"" dalilin Dan'uwa Sa'ad da yake tunanin ƙaura daga Indiya zuwa Amirka?
A.Talauci mai tsanani
B.Aikin da ya fi kyau da biyan kuɗi mai ɗaya
C.Tsarin jama'a na Indiya
D.Zalunci a unguwarta",b,d.zalunci a unguwarta,false
" Wannan kayan kasuwanci da tattaunawa yana ba da motsa kai tsaye ko kuma ƙarfafa masu sayan kayan aiki/hidimar:
A.Suna yin sanarwa.
B.Ƙulla dangantaka da jama'a.
C.Yadda ake sayar da kayan agaji.
D.Sayar da kai tsaye.",c,d. sayar da kai tsaye.,false
"Wannan tambayar tana nufin bayanin da ke gaba.
Da farko dole ne mu lura cewa sararin samaniya yana da tsari, sashensa shi ne domin wannan surar cikakke ce da ba ta bukatar ƙwaƙwalwa, ita ce mafi cikakke, sashensa shi ne domin tana ƙera surar da ta fi kyau, wadda ta fi dacewa ta ƙunshi kuma ta kāre dukan abu; Ko kuma domin dukan sashen sararin samaniya, wato rana, wato, da kuma taurari suna bayyana a wannan surar; Ko kuma domin dukan abu yana ƙoƙari ya samu wannan surar, kamar yadda yake a cikin ruwan da kuma wasu jiki idan suka yi ƙoƙarin bayyana kansu. Saboda haka, babu wanda zai yi shakka cewa wannan nau'in na jiki na sama ne. ...
Saboda haka, ba abin shakka ba ne cewa duniya tana da ma'ana, domin tana matsa daga dukan wurare a tsakiyarta. Ko da yake ba a fahimci tsawon duwatsu da kuma baƙin ciki na kwari ba, amma hakan ba ya shafan yadda duniya take zama. ...
Kamar yadda aka riga aka nuna cewa duniya tana da nau'in ƙasa, dole ne mu yi la'akari da ko wata ƙungiya ta yi daidai da wannan nau'in, da kuma wuri da duniya take da shi a sararin samaniya. ... Yawancin marubutan sun yarda cewa duniya tana tsaye a tsakiyar sararin samaniya, kuma suna ganin ba zai yiwu ba kuma ba za a iya tunanin abin da zai faru ba. Amma idan aka bincika batun sosai, za a ga cewa ba a daidaita tambayar ba kuma saboda haka ba za a ɗauki ta da sauƙi ba. Kowane canji na wuri da ake lura da shi, wato, ya fito ne daga abin da aka lura da shi ko na mai kallon, ko kuma yadda dukansu suke tafiya. ... Kuma akwai daga ƙasa, wanda aka gani da juyin sammai, kuma an halitta shi dõmin idanunmu. Saboda haka, idan duniya ba ta yin tafiya ba, dole ne a yi wannan tafiyar a dukan abin da ke waje, amma a hanyar da ta bambanta da idan dukan abu a duniya ya ƙetare, kuma irin wannan canji ne na yau da kullum. Saboda haka, wannan yana shafan dukan sararin samaniya, wato, dukan abin da ke waje da duniya sai ƙasa guda. Idan, duk da haka, ya kamata mutum ya yarda cewa wannan motsi ba na musamman ba ne ga sama, amma cewa duniya ta juya daga yamma zuwa gabas, kuma idan an yi la'akari da wannan a hankali game da fitowar rana, wato da taurari, za a gano cewa wannan shi ne ainihin yanayin. ""
Nicolas Copernicus, The Revolutions of the HeavenlyBodies, 1543
Za a iya yin amfani da wannan ƙasidar a matsayin tabbaci cewa Copernicus ya bambanta da ' yan falsafa na asali na zamaninsa, Aristotelian domin ya ce hakan ya faru
A.A cikin sararin samaniya shine spherical.
B.Duniya ne spherical
C.duniya ne duniya
D.Duniya ba ta tsaya ba.",d,d.duniya ba ta tsaya ba.,true
"Halayen da ke nuna cewa mutum yana da halin yabo yana da muhimmanci sosai
A.Kuskure na haɗari
B.Matsala ta ƙarya
C.Ka yi roƙon tambayar
D.Yin tunani a kai a kai",a,d. yin tunani a kai a kai,false
"Shin kisa da Ministari na ƙasar X ya yi a ƙasashe dabam - dabam aiki ne mai kyau?
A.Irin wannan halin aikin jama'a ne (yi imperii)
B.Irin wannan halin ba ya jawo hankalin mutane
C.Irin wannan halin aiki ne na ɓoye (da ke sa mutane su ji kamar ba su da amfani)
D.Irin wannan halin aiki ne na jama'a amma an kāre shi da kāriya",c,d. irin wannan halin aiki ne na jama'a amma an kāre shi da kāriya,false
"A gwada da ' yan siyasa a ƙasashe kamar Ingila da Isra'ila, dukansu suna da tsarin rukuni dabam dabam, ƙungiyoyin siyasa na Amirka suna
A.Ba su da sha'awar yin amfani da sakamakon zaben.
B.Ba a bayyana shi da kyau ba game da ra'ayoyin siyasa da suka jitu
C.Ba shi da amfani wajen tara kuɗi daga masu goyon bayan siyasa
D.Za su iya yin la'akari da abubuwan da suka fi dacewa da su a duk yankunan da suke da su.",b,d.za su iya yin la'akari da abubuwan da suka fi dacewa da su a duk yankunan da suke da su.,false
"Wannan tambayar tana nufin bayanin da ke gaba.
""Iri na mulkin mulkin mallaka suna kula da wahala da son kai. Suna yaɗuwa kuma suna girma a cikin ƙasa mai mugunta na talauci da jayayya. Suna samun ci gaba sosai sa'ad da begen mutane na rayuwa mai kyau ya mutu. Dole ne mu ci gaba da yin hakan. . . . An ba mu hakki mai girma ta wajen yin abubuwan da suka faru da sauri. . . . Ina da tabbacin cewa majalisar za ta fuskanci wadannan hakkoki a fili. ""
Shugaban gwamnati Harry S. Truman, a shekara ta 1947
Ra'ayoyin da aka ambata a cikin ƙasidar da ke sama sun nuna wane irin ci gaba ne ke gaba a tarihin Amirka?
A.Jayayya game da dangantakar tsakanin Kongomin da shugaban.
B.Jayayya game da yin amfani da iko na soja a yanayi da ba su da sauƙi.
C.Jayayya game da matsayin Amirka a al'amura na duniya.
D.Jayayya game da hakkin da ya dace na ' yan siyasa.",c,c.jayayya game da matsayin amirka a al'amura na duniya.,true
"Menene yaren Antonio Banderas?
A.Harshen Sifaniya
B.Harshen Rasha
C.Jamusanci
D.Harshen Faranshi",a,a. harshen sifaniya,true
"A cikin wani nau'i na nau'in
A.Sakamakon shigar da shi da kuma yanzu ta wurinsa.
B.Yawan shigar da shi zuwa yanzu ta wurinsa.
C.Yawan yanzu ta wurinsa zuwa shigar da shi.
D.Sakamakon shigar da shi da kuma yadda ake canja yanayin yanzu ta wurinsa.",d,d.sakamakon shigar da shi da kuma yadda ake canja yanayin yanzu ta wurinsa.,true
"Wane cikin waɗannan abincin ne aka yi daga cikunan ɓarayi?
A.2019
B.2019
C.2019
D.ka yanke suey",b,"ba zan iya ba da amsa mai ma'ana ba saboda tambayar ta kunshi kalmomi marasa ma'ana ko kuma kuskure a rubutu. idan kana nufin wani abu daban, don allah ka gyara tambayar ka domin in samu damar taimaka maka.",true
"Adadin, wanda ya kai kusan dubu, 47,000 ne. Wane adadi ne aka yi amfani da shi?
A.46,295
B.46,504
C.47,520
D.47,924",b,"a. 46,295
b. 46,504
c. 47,520
d. 47,924

daga cikin wadannan adadin, wanda ya fi kusa da dubu 47,000 shi ne c. 47,520.",false
"Waɗanne halaye ne suka yi daidai da faɗa?
A.Yin amfani da iko mai yawa
B.An riga an
C.Don jima'i
D.Yana da amfani da makami.",c,"halayen da suka yi daidai da faɗa sune:

a. yin amfani da iko mai yawa
d. yana da amfani da makami.

wadannan halaye suna nuna amfani da karfi ko makami wajen aiwatar da faɗa ko rikici.",false
"Tsofaffi da suka tsufa suna kama da fiye da tsofaffi ko kuma manya
A.Mai Halitta
B.Neurotic
C.An yarda da shi
D.A'a.",a,"d.a'a.

tsofaffi da suka tsufa suna kama da fiye da tsofaffi ko kuma manya ba wani abu bane da ya shafi ""mai halitta,"" ""neurotic,"" ko ""an yarda da shi"" kai tsaye. wannan tambayar tana iya zama mai rikitarwa saboda ba ta bayar da cikakken bayani ko context ba. amma, idan muka duba zabin da aka bayar, babu wanda ya dace da yanayin ko siffar tsofaffi da suka tsufa. saboda haka, zabin da ya fi dacewa shi ne ""a'a.""",true
