Question,CorrectAnswer,GivenAnswer,Correct
"מהי השפה הרשמית של הולנד?
A.דנית
B.שוודית
C.גרמנית
D.הולנדית",d,d. הולנדית,true
"נראה כי מבוגרים בגיל העמידה הם יותר ____ מאשר מבוגרים או צעירים
A.גנרטיבי
B.נוירוטי
C.נוח
D.מסוימים",a,a. גנרטיבי,true
" כלי שיווק ותקשורת זה מציע תמריץ ישיר או תמריץ לעודד לקוחות לקנות מוצר/שירות:
A.פרסום.
B.יחסי ציבור.
C.קידום מכירות.
D.שיווק ישיר.",c,c. קידום מכירות.,true
"באיזה מצב מתרחש הסרט ""מגנוליה"" מ-1999?
A.קליפורניה
B.דרום קרוליינה
C.גרוזיה
D.טקסס",a,a. קליפורניה,true
"מהי שפת האם של השחקן אנטוניו בנדרס?
A.ספרדית
B.רוסית
C.גרמנית
D.צרפתית",a,a.ספרדית,true
"איזה מהמאכלים האלה עשוי ממעיים של חזירים?
A.האגיס
B.צ'יטלינס
C.גריסים
D.צ'ופ סואי",b,b. צ'יטלינס (chitlins או chitterlings) הם מאכל שעשוי ממעיים של חזירים.,true
"הכשל של אישיות משבחת הוא סוג מסוים של
A.כשל התאונה
B.דילמת שווא
C.מתחנן לשאלה
D.חשיבה מעגלית",a,הכשל של אישיות משבחת הוא סוג מסוים של c. מתחנן לשאלה,false
"איזה מסרטי האימה האלה הוליד הכי הרבה סרטי המשך?
A.לצרוח'
B.מלתעות'
C.ליל כל הקדושים
D.יום שישי ה-13'",d,"נכון ל-2023, הסדרה שהולידה הכי הרבה סרטי המשך מבין האפשרויות הנתונות היא ""יום שישי ה-13"" (friday the 13th). הסדרה כוללת 12 סרטים, כולל סרט ההמשך/ריבוט של 2009.",true
"המתח המושרה במשרן מיוצג כ,
A.תוצר של השראתו וזרמו באמצעותו.
B.היחס בין השראתו לזרם דרכו.
C.יחס הזרם דרכו להשראתו.
D.תוצר של השראתו וקצב שינוי הזרם באמצעותו.",d,"d. תוצר של השראתו וקצב שינוי הזרם באמצעותו.

המתח המושרה במשרן מחושב על פי הנוסחה \(v = l \frac{di}{dt}\), כאשר \(v\) הוא המתח המושרה, \(l\) היא ההשראות של המשרן, ו-\(\frac{di}{dt}\) הוא קצב שינוי הזרם בזמן.",true
"טנק הוא בצורת מנסרה משולשת. אם לבסיס המשולש יש שטח של 116 רגל רבוע, וגובה המיכל הוא 30 רגל, כמה מים יכיל המיכל כשהוא מלא?
A.1725 רגל^3
B.1740 רגל^3
C.3480 רגל^3
D.6960 רגל^3",c,"כדי לחשב את נפח המיכל, נשתמש בנוסחה לחישוב נפח מנסרה, שהיא שטח הבסיס כפול הגובה. במקרה זה, הבסיס הוא משולש עם שטח של 116 רגל רבוע, והגובה הוא 30 רגל.

נפח = שטח הבסיס * גובה

נפח = 116 רגל^2 * 30 רגל = 3480 רגל^3

לכן, התשובה הנכונה היא c. 3480 רגל^3.",true
"זהה את ההקדמה של ההצעה המותנית הבאה: הדבורים מנצחות את המשחק הראשון שלהן רק אם הארדוורקס או הצ'יפמאנקס לא מנצחים את המשחקים הראשונים שלהם.
A.הארדווארקים לא מנצחים את המשחק הראשון שלהם.
B.הדבורים מנצחות את המשחק הראשון שלהן.
C.הצ'יפמאנקס לא מנצחים את המשחק הראשון שלהם.
D.או שהארדווארקים או הצ'יפמאנקס לא מנצחים את המשחקים הראשונים שלהם.",b,"ההקדמה של ההצעה המותנית היא התנאי שעליו מתבססת ההצעה. במקרה זה, התנאי הוא שהדבורים ינצחו את המשחק הראשון שלהן רק אם הארדוורקס או הצ'יפמאנקס לא מנצחים את המשחקים הראשונים שלהם. לכן, ההקדמה היא:

d. או שהארדווארקים או הצ'יפמאנקס לא מנצחים את המשחקים הראשונים שלהם.",false
"אימות צולב של קיפול K הוא
A.ליניארי ב-K
B.ריבועית ב-K
C.מעוקב ב-K
D.אקספוננציאלי ב-K",a,"אימות צולב של קיפול k הוא בדרך כלל ליניארי ב-k, כלומר התשובה היא a. ליניארי ב-k. זה אומר שזמן הריצה של תהליך האימות הצולב גדל באופן ישיר עם הערך של k. לדוגמה, אם נבחר k=5, נצטרך לבצע את תהליך האימון והבדיקה 5 פעמים, כאשר בכל פעם נשתמש בחלק אחר של הנתונים כסט הבדיקה ובשאר הנתונים כסט האימון.",true
"שאלה זו מתייחסת למידע הבא.
ראשית עלינו להעיר שהקוסמוס הוא כדורי בצורתו, בין השאר משום שצורה זו היא שלם מושלם שאינו דורש מפרקים, היא השלמה מכולן, בין השאר משום שהיא יוצרת את הצורה הרחבה ביותר, המתאימה ביותר להכיל ולשמר הכל; או שוב משום שכל החלקים המרכיבים את היקום, כלומר השמש, הירח וכוכבי הלכת מופיעים בצורה זו; או משום שהכל שואף להשיג צורה זו, כפי שמופיע במקרה של טיפות מים וגופים נוזליים אחרים אם הם מנסים להגדיר את עצמם. אז אף אחד לא יטיל ספק בכך שהצורה הזו שייכת לגופים השמימיים. ...
העובדה שכדור הארץ הוא גם כדורי אינה מוטלת אפוא בספק, משום שהיא לוחצת מכל צדדיה על מרכזה. אמנם בגלל הגבהים של ההרים והשקעים של העמקים לא ניתן להבין מעגל מושלם, אך זה לא משפיע על הטבע הכדורי הכללי של כדור הארץ. ...
מכיוון שכבר הוכח שלכדור הארץ יש צורה של כדור, עלינו לשקול אם תנועה חופפת גם לצורה זו, ומה מקומה של האדמה ביקום. ... הרוב הגדול של המחברים מסכימים כמובן שכדור הארץ עומד דומם במרכז היקום, ורואים בכך בלתי נתפס ומגוחך להניח את ההפך. אך אם העניין נשקל בכובד ראש, ייראה שהשאלה עדיין לא הוכרעה ולכן בשום אופן אין להקל בה ראש. כל שינוי של מקום שנצפה נובע, כלומר, מתנועה של האובייקט הנצפה או של הצופה, או מתנועות של שניהם. ... עתה מן הארץ מתבוננת מהפכת השמים והיא נוצרת לעינינו. לכן, אם האדמה לא עוברת שום תנועה, התנועה הזאת חייבת להתרחש בכל מה שמחוץ לאדמה, אלא בכיוון ההפוך מאשר אם כל דבר על פני האדמה זז, וכזו היא המהפכה היומיומית. אז נראה שזה משפיע על כל היקום, כלומר, על כל מה שמחוץ לכדור הארץ, למעט הכדור הארץ עצמו. אולם אם נודה שתנועה זו לא הייתה ייחודית לשמים, אלא שהארץ סבבה ממערב למזרח, ואם הדבר נשקל היטב ביחס לזריחתם ושקיעתם לכאורה של השמש, הירח והכוכבים, יתגלה שזהו המצב האמיתי"".
ניקולס קופרניקוס, מהפכות גרמי השמים, 1543
ניתן להשתמש בקטע זה כראיה לכך שקופרניקוס היה שונה מפילוסופי הטבע המסורתיים והאריסטוטליים של זמנו משום שהציע כי
A.היקום הוא כדורי
B.כדור הארץ הוא כדורי
C.היקום הוא גיאוסטטי
D.כדור הארץ אינו נייח",d,"d. כדור הארץ אינו נייח

ניקולס קופרניקוס היה שונה מפילוסופי הטבע המסורתיים והאריסטוטליים של זמנו בעיקר בכך שהציע את הרעיון שכדור הארץ אינו נייח אלא סובב סביב השמש, וכך תומך במודל הליוצנטרי. הוא טען שתנועת השמים שאנו רואים היא תוצאה של תנועת כדור הארץ ולא ההפך.",true
"איזה מהגורמים הבאים ייחשב כגורם ""משיכה"" עבור ריבה כאשר שוקלים מעבר מהודו לארצות הברית?
A.עוני מחפיר
B.עבודה טובה יותר ושכר גבוה יותר
C.מערכת הקאסטות של הודו
D.אלימות בשכונה שלה",b,"b. עבודה טובה יותר ושכר גבוה יותר

גורם ""משיכה"" הוא גורם שמושך אנשים לעבור למקום מסוים, בניגוד לגורם ""דחייה"" שהוא גורם שגורם לאנשים לרצות לעזוב את המקום בו הם נמצאים. עבודה טובה יותר ושכר גבוה יותר הם דוגמאות לגורמי משיכה שעשויים להוביל אדם לשקול מעבר ממדינה אחת לאחרת.",true
"מתאם אוטומטי שיורי שלילי מצוין על ידי איזה מהבאים?
A.תבנית מחזורית בשאריות
B.דפוס מתחלף בשאריות
C.אקראיות מוחלטת בשאריות
D.שאריות שכולן קרובות לאפס",b,"מתאם אוטומטי שיורי שלילי מצוין על ידי דפוס מתחלף בשאריות. כלומר, התשובה הנכונה היא:

b. דפוס מתחלף בשאריות

הסבר: מתאם אוטומטי שיורי שלילי מתרחש כאשר ישנה נטייה של שאריות להיות מתחלפות בין חיוביות לשליליות. כלומר, אם שארית מסוימת חיובית, סביר יותר שהשארית הבאה תהיה שלילית, ולהפך. זה מצביע על כך שהמודל עשוי להיות מוטה בצורה מסוימת ולא מספק תחזיות מדויקות באופן עקבי.",true
