Question,CorrectAnswer,GivenAnswer,Correct
"Ki lang ofisyèl Peyiba yo?
A.Danwa
B.Swedish
C.Alman
D.Olandè",d,d. olandè,true
" Zouti maketing sa a ak kominikasyon ofri yon pwovokasyon dirèk oswa yon ankourajman ankouraje kliyan yo achte yon pwodwi / sèvis:
A.Piblisite.
B.Relasyon piblik.
C.Pwomosyon lavant.
D.Maketing dirèk.",c,d.maketing dirèk.,false
"Flacy nan pèsonalite laudatory se yon kalite espesifik
A.Flagran aksidan
B.Fo dilèmma
C.Sipliye kesyon an
D.Rezònman sikilè",a,c.sipliye kesyon an,false
"Ki sa ki aktè Antonio Banderas lang natif
A.Èspanyòl
B.Lawisi
C.Alman
D.Fwansè",a,a. èspanyòl,true
"K-pliye kwa-validasyon se
A.lineyè an K
B.kwadratik nan K
C.kib nan K
D.eksponansyèl nan K",a,a.lineyè an k,true
"Kesyon sa a gen rapò ak enfòmasyon sa yo.
""Grenn yo nan rejim totalitè yo nouri pa mizè epi yo vle. Yo gaye epi yo grandi nan tè ki mal la nan povrete ak konfli. Yo rive nan tout kwasans yo lè espwa yon pèp mouri. Nou dwe kenbe esperans sa a vivan. . . . Gwo responsablite yo te mete sou nou pa mouvman rapid evènman yo. . . . Mwen gen konfyans ke Kongrè a ap fè fas a responsablite sa yo kareman.""
Prezidan Harry S. Truman, 1947
Lide yo te eksprime nan pasaj ki anwo a pi dirèkteman ki nan kontinwite sa yo nan istwa Etazini?
A.Deba sou relasyon ki genyen ant Kongrè a ak pwezidan an.
B.Deba sou itilizasyon fòs militè nan sitiyasyon ki vole.
C.Deba sou wòl Etazini nan zafè mondyal.
D.Deba sou wòl apwopriye nan pati politik yo.",c,c.deba sou wòl etazini nan zafè mondyal.,true
"Èske omisid ilegal ki komèt pa Ministè peyi X aletranje yon jiridik jiridik oswa jijman jire?
A.Konduit sa yo se yon zak piblik (jire)
B.Konduit sa yo pa janm atire vaksen
C.Konduit sa yo se yon zak prive (jij)
D.Konduit sa a se yon zak piblik men li pwoteje pa iminite",c,d.konduit sa a se yon zak piblik men li pwoteje pa iminite,false
"Nan ki eta fim 1999 la mete?
A.Kalifòni
B.Kawolin disid
C.Georgie
D.Texas",a,"fim 1999 la, ""the blair witch project,"" mete nan eta maryland. opsyon yo bay yo pa kòrèk.",false
"Granmoun ki gen laj mwayen parèt yo dwe plis ____ granmoun oswa pi piti granmoun
A.Jeneratif
B.flè sezon
C.Agreyab
D.Sèten",a,granmoun ki gen laj mwayen parèt yo dwe plis **a.jeneratif** pase granmoun oswa pi piti granmoun.,true
"Kilès nan asyèt sa yo ki fèt ak trip kochon?
A.ajiste
B.linèt
C.sak dan
D.koupe sòs tomat",b,"asyèt ki fèt ak trip kochon nan lis sa a se ""c. sak dan."" sak dan se yon plat tradisyonèl nan kèk kilti ki itilize trip kochon kòm engredyan prensipal li.",false
