Question,CorrectAnswer,GivenAnswer,Correct
"Gli adulti di mezza età sembrano essere più ____ rispetto agli adulti più anziani o più giovani
A.Generativo
B.Nevrotico
C.Gradevole
D.Certo",a,a. generativo,true
"Qual è la lingua madre dell'attore Antonio Banderas?
A.Spagnolo
B.Russo
C.Tedesco
D.Francese",a,a. spagnolo,true
"Qual è la lingua ufficiale dei Paesi Bassi?
A.Danese
B.Svedese
C.Tedesco
D.Olandese",d,d.olandese,true
"L'omicidio illegale commesso dal ministro del paese X all'estero è un atto jure imperii o jure gestionis?
A.Tale condotta è un atto pubblico (jure imperii)
B.Tale comportamento non attira mai l'immunità
C.Tale condotta è un atto privato (jure gestionis)
D.Tale condotta è un atto pubblico, ma è protetto dall'immunità",c,b.tale comportamento non attira mai l'immunità,false
"Questa domanda si riferisce alle seguenti informazioni.
In primo luogo dobbiamo osservare che il cosmo è di forma sferica, in parte perché questa forma, essendo un tutto perfetto che non ha giunture, è la più completa di tutte, in parte perché fa la forma più capiente, che è più adatta a contenere e conservare tutto; o ancora perché tutte le parti costitutive dell'universo, cioè il sole, la luna e i pianeti appaiono in questa forma; o perché tutto si sforza di raggiungere questa forma, come appare nel caso delle gocce d'acqua e di altri corpi fluidi se tentano di definirsi. Quindi nessuno dubiterà che questa forma appartenga ai corpi celesti. ...
Che la terra sia anche sferica è quindi fuori discussione, perché preme da tutti i lati sul suo centro. Sebbene a causa delle elevazioni delle montagne e delle depressioni delle valli non si possa comprendere un cerchio perfetto, tuttavia ciò non influisce sulla natura sferica generale della terra. ...
Poiché è già stato dimostrato che la terra ha la forma di una sfera, dobbiamo considerare se anche un movimento coincide con questa forma, e quale posto occupa la terra nell'universo. ... La grande maggioranza degli autori è naturalmente d'accordo sul fatto che la terra è ferma al centro dell'universo, e considera inconcepibile e ridicolo supporre il contrario. Ma se si soppesa attentamente la questione, si vedrà che la questione non è ancora risolta e quindi non deve essere affatto presa alla leggera. Ogni cambiamento di luogo che si osserva è dovuto, cioè, a un movimento dell'oggetto osservato o dell'osservatore, o a movimenti di entrambi. ... Ora è dalla terra che si osserva la rivoluzione dei cieli che si produce per i nostri occhi. Perciò, se la terra non subisce alcun movimento, questo movimento deve avvenire in ogni cosa al di fuori della terra, ma nella direzione opposta a quella che avrebbe se tutto ciò che si muoverebbe sulla terra, e di questo genere è la rivoluzione quotidiana. Quindi questo sembra influenzare l'intero universo, cioè tutto ciò che è al di fuori della terra con la sola eccezione della terra stessa. Se, tuttavia, si ammettesse che questo movimento non era peculiare dei cieli, ma che la terra ruotava da ovest a est, e se questo fosse attentamente considerato riguardo all'apparente sorgere e tramontare del sole, della luna e delle stelle, si scoprirebbe che questa era la situazione reale.
Nicolas Copernico, Le rivoluzioni dei corpi celesti, 1543
Il passaggio può essere usato come prova che Copernico differiva dai tradizionali filosofi naturali aristotelici del suo tempo, perché suggeriva che
A.il cosmo è sferico
B.la Terra è sferica
C.Il cosmo è geostatico
D.la Terra non è stazionaria",d,d.la terra non è stazionaria,true
"In che stato è ambientato il film del 1999 Magnolia?
A.California
B.Carolina del Sud
C.Georgia
D.Texas",a,"il film del 1999 ""magnolia"" è ambientato in california. quindi, la risposta corretta è:

a. california",true
"Quale di questi piatti è fatto con l'intestino di maiale?
A.haggis
B.Chitline
C.Polenta
D.chop suey",b,b. chitlins (o chitterlings) è il piatto fatto con l'intestino di maiale.,true
"Quale dei seguenti fattori potrebbe essere considerato un fattore di ""attrazione"" per Riva quando si considera un trasferimento dall'India agli Stati Uniti?
A.Povertà abietta
B.Lavoro migliore e salari più alti
C.Il sistema delle caste dell'India
D.Violenza nel suo quartiere",b,"b.lavoro migliore e salari più alti

questo fattore può essere considerato un fattore di ""attrazione"" perché offre opportunità di miglioramento economico e professionale, che sono motivazioni comuni per cui le persone scelgono di emigrare in un altro paese.",true
" Questo strumento di marketing e comunicazione offre un incentivo diretto o un incentivo per incoraggiare i clienti ad acquistare un prodotto/servizio:
A.Pubblicità.
B.Pubbliche relazioni.
C.Promozione delle vendite.
D.Marketing diretto.",c,c.promozione delle vendite.,true
"Le mutazioni che causano l'acondroplasia esercitano un effetto che può essere classificato come:
A.negativo dominante.
B.guadagno di funzione.
C.aploinsufficienza.
D.perdita di funzione.",b,"l'acondroplasia è causata da mutazioni nel gene fgfr3, che codifica per il recettore 3 del fattore di crescita dei fibroblasti. queste mutazioni portano a un guadagno di funzione del recettore, che diventa iperattivo. questo iperattivismo inibisce la crescita delle ossa lunghe, portando alle caratteristiche fisiche dell'acondroplasia. pertanto, l'opzione corretta è:

b. guadagno di funzione.",true
