Question,CorrectAnswer,GivenAnswer,Correct
"1999年の映画『マグノリア』はどのような状態ですか?
A.カリフォルニア州
B.サウスカロライナ州
C.グルジア
D.テキサス",a,a.カリフォルニア州,true
"このマーケティングおよびコミュニケーションツールは、顧客に製品/サービスの購入を促すための直接的な誘因またはインセンティブを提供します。
A.広告。
B.広報。
C.販売促進。
D.ダイレクトマーケティング。",c,c.販売促進。,true
"中年の成人は、年配の成人や若年成人よりも____が多いようです
A.生成
B.神経 症
C.快適
D.某",a,中年の成人は、年配の成人や若年成人よりもb.神経症が多いようです。,false
"これらの料理のうち、豚の腸から作られているのはどれですか?
A.ハギス
B.キトリン
C.グリッツ
D.チャプスイ",b,b.キトリンが豚の腸から作られています。,true
"俳優のアントニオ・バンデラスの母国語は何ですか?
A.スペイン語
B.ロシア語
C.ドイツ語
D.フランス語",a,a.スペイン語,true
"オランダの公用語は何ですか?
A.デンマーク語
B.スウェーデン語
C.ドイツ語
D.オランダ語",d,d.オランダ語,true
"次の条件付き命題の前提条件を特定します:ツチブタまたはシマリスのどちらかが最初のゲームに勝たない場合にのみ、ミツバチが最初のゲームに勝ちます。
A.ツチブタは初戦に勝てない。
B.ミツバチが初戦に勝利。
C.シマリスは初戦に勝てない。
D.ツチブタもシマリスのどちらかが最初のゲームに勝てません。",b,"この条件付き命題の前提条件は、ツチブタまたはシマリスのどちらかが最初のゲームに勝たない場合です。したがって、正しい選択肢は:

d. ツチブタもシマリスのどちらかが最初のゲームに勝てません。",false
"負の残差自己相関は、次のうちどれで示されますか?
A.残差の周期的なパターン
B.残差の交互パターン
C.残差の完全なランダム性
D.すべてゼロに近い残差",b,負の残差自己相関は、b.残差の交互パターンで示されます。これは、一つの残差が正であれば次の残差は負になり、その次は再び正になるというパターンを意味します。このようなパターンは、モデルがデータの周期性やトレンドを適切に捉えていないことを示唆している場合があります。,true
"インダクタに誘導される電圧は、次のように表されます。
A.そのインダクタンスとそれを流れる電流の積。
B.それを流れる電流に対するインダクタンスの比率。
C.インダクタンスに対する電流の比率。
D.そのインダクタンスとそれを流れる電流の変化率の積。",d,インダクタに誘導される電圧は、そのインダクタンスとそれを流れる電流の変化率の積で表されます。したがって、正しい答えはdです。これはファラデーの電磁誘導の法則に基づいており、数式で表すと v = l(di/dt) となります。ここで、vは誘導される電圧、lはインダクタンス、di/dtは電流の変化率を表します。,true
"次のうち、デートレイプと一般的に一致する特徴はどれですか?
A.過度な力の行使
B.計画的
C.性的動機
D.武器の使用を伴うもの",c,デートレイプに一般的に一致する特徴は「c.性的動機」です。デートレイプは、デートや親密な関係にある者同士の間で発生する性的暴行を指します。過度な力の行使や武器の使用が伴うこともありますが、それらは必ずしもデートレイプの特徴ではありません。また、計画的かどうかはケースバイケースで異なります。性的動機はデートレイプの根本的な要素です。,true
"これらのホラー映画のうち、最も多くの続編を生み出したのはどれですか?
A.スクリーム」
B.ジョーズ
C.ハロウィン」
D.13日の金曜日」",d,これらのホラー映画シリーズの中で、最も多くの続編を生み出したのは「d.13日の金曜日」です。このシリーズは、1980年に始まり、これまでに多数の続編、スピンオフ、リメイクが制作されています。具体的な数は時期によって変わる可能性がありますが、2023年時点で「13日の金曜日」シリーズは12作品以上の映画が制作されています。これに対して、「ハロウィン」シリーズも多くの作品がありますが、「13日の金曜日」が最も多いです。,true
"K分割交差検証は、
A.線形 (K)
B.Kの二次
C.立方体を K
D.K の指数",a,k分割交差検証は、a.線形 (k) に関連しています。これは、データセットをk個のサブセット（または「フォールド」）に分割し、そのうちの1つをテストデータとして使用し、残りのk-1個を訓練データとして使用するプロセスを指します。このプロセスはk回繰り返され、各サブセットが一度はテストデータとして使用されます。この方法は、モデルの性能を評価する際に、データの分割方法によるバイアスを減らすのに役立ちます。,true
"この質問は、次の情報を参照しています。
まず、宇宙が球形であるということを述べておかなければならないが、その理由の一つは、この形が接合部を必要としない完全な全体であり、すべての中で最も完全であり、一つには、それが最も容量の大きい形をしており、すべてを収容し保存するのに最も適しているからである。あるいはまた、宇宙のすべての構成要素、つまり太陽、月、惑星がこの形で現れるからです。あるいは、水滴やその他の流体体が自分自身を定義しようとする場合、それらが現れるように、すべてがこの形を達成しようと努力するからです。ですから、この形が天体のものであることを疑う人はいないでしょう。...
それゆえ、地球もまた球形であることは、その中心を四方八方から圧迫しているので、疑問の余地がない。山の標高と谷の窪みのために完全な円を理解することはできませんが、これは地球の一般的な球形の性質に影響を与えません。...
地球が球体の形をしていることはすでに示したように、運動も球体と一致しているのかどうか、地球は宇宙の中でどのような位置を占めているのかを考えなければなりません。...もちろん、大多数の著者は、地球が宇宙の中心で静止していることに同意し、その反対を仮定することは考えられず、ばかげていると考えています。しかし、この問題を慎重に検討すれば、問題はまだ解決されておらず、したがって決して軽視すべきではないことがわかります。観察される場所のすべての変化は、すなわち、観察対象または観察者の動き、または両方の動きによるものです。...今、天の回転が観察され、私たちの目のために生み出されるのは地球からです。それゆえ、もし地球が動かないならば、この動きは地球の外側のすべてで起こらねばならないが、地球上のすべてのものが動いた場合とは反対の方向に起こるはずであり、この種のものは日々の公転である。ですから、これは宇宙全体、つまり地球自体の唯一の例外を除いて、地球の外側のすべてに影響を与えるようです。しかし、この動きが天に特有なものではなく、地が西から東に回転していることを認め、太陽、月、星の見かけ上の昇りと沈みに関して注意深く検討するならば、これが実際の状況であったことが発見されるであろう。
ニコラ・コペルニクス『天体の回転』1543年
この一節は、コペルニクスが当時の伝統的なアリストテレスの自然哲学者と異なっていたことの証拠として使われるかもしれません。
A.宇宙は球形です
B.地球は球形です
C.宇宙は静電気です
D.地球は静止していない",d,"この一節は、ニコラ・コペルニクスが当時の伝統的なアリストテレスの自然哲学者と異なっていたことの証拠として使われるかもしれません。特に、コペルニクスが地球が静止していないと主張している点で異なります。従って、正しい選択肢は:

d. 地球は静止していない",true
