Question,CorrectAnswer,GivenAnswer,Correct
"ಮಧ್ಯವಯಸ್ಕ ವಯಸ್ಕರು ವಯಸ್ಸಾದ ಅಥವಾ ಕಿರಿಯ ವಯಸ್ಕರಿಗಿಂತ ಹೆಚ್ಚು ______ ಎಂದು ತೋರುತ್ತದೆ
A.ಜನರೇಟಿವ್
B.ನ್ಯೂರೋಟಿಕ್
C.ಒಪ್ಪಬಹುದು
D.ಖಚಿತ",a,a.ಜನರೇಟಿವ್,true
"ನೆದರ್ಲ್ಯಾಂಡ್ಸ್ನ ಅಧಿಕೃತ ಭಾಷೆ ಯಾವುದು?
A.ಡ್ಯಾನಿಶ್
B.ಸ್ವೀಡಿಷ್
C.ಜರ್ಮನ್
D.ಡಚ್",d,d.ಡಚ್,true
"ಇವುಗಳಲ್ಲಿ ಯಾವ ಭಕ್ಷ್ಯಗಳನ್ನು ಹಂದಿ ಕರುಳಿನಿಂದ ತಯಾರಿಸಲಾಗುತ್ತದೆ?
A.ಹಗ್ಗಿಸ್
B.ಚಿಟ್ಲಿನ್ ಗಳು
C.ಗ್ರಿಟ್ಸ್
D.ಚಾಪ್ ಸ್ಯೂಯ್",b,b. ಚಿಟ್ಲಿನ್ ಗಳು,true
"ನಟ ಆಂಟೋನಿಯೊ ಬಾಂಡೆರಾ ಅವರ ಸ್ಥಳೀಯ ಭಾಷೆ ಯಾವುದು?
A.ಸ್ಪ್ಯಾನಿಷ್
B.ರಷ್ಯನ್
C.ಜರ್ಮನ್
D.ಫ್ರೆಂಚ್",a,a.ಸ್ಪ್ಯಾನಿಷ್,true
"1999 ರ ಚಲನಚಿತ್ರ ಮ್ಯಾಗ್ನೋಲಿಯಾ ಯಾವ ರಾಜ್ಯದಲ್ಲಿದೆ?
A.ಕ್ಯಾಲಿಫೋರ್ನಿಯಾ
B.ದಕ್ಷಿಣ ಕೆರೊಲಿನಾ
C.ಜಾರ್ಜಿಯಾ
D.ಟೆಕ್ಸಾಸ್",a,a.ಕ್ಯಾಲಿಫೋರ್ನಿಯಾ,true
" ಈ ಮಾರ್ಕೆಟಿಂಗ್ ಮತ್ತು ಸಂವಹನ ಸಾಧನವು ಉತ್ಪನ್ನ / ಸೇವೆಯನ್ನು ಖರೀದಿಸಲು ಗ್ರಾಹಕರನ್ನು ಪ್ರೋತ್ಸಾಹಿಸಲು ನೇರ ಪ್ರಚೋದನೆ ಅಥವಾ ಪ್ರೋತ್ಸಾಹವನ್ನು ನೀಡುತ್ತದೆ:
A.ಜಾಹೀರಾತು.
B.ಸಾರ್ವಜನಿಕ ಸಂಪರ್ಕಗಳು.
C.ಮಾರಾಟ ಪ್ರಚಾರ.
D.ನೇರ ಮಾರ್ಕೆಟಿಂಗ್.",c,d.ನೇರ ಮಾರ್ಕೆಟಿಂಗ್.,false
"ಪ್ರಶಂಸನೀಯ ವ್ಯಕ್ತಿತ್ವದ ತಪ್ಪು ಕಲ್ಪನೆಯು ಒಂದು ನಿರ್ದಿಷ್ಟ ವಿಧವಾಗಿದೆ
A.ಅಪಘಾತದ ತಪ್ಪು ಕಲ್ಪನೆ
B.ತಪ್ಪು ಸಂದಿಗ್ಧತೆ
C.ಪ್ರಶ್ನೆಯನ್ನು ಬೇಡಿಕೊಳ್ಳುವುದು
D.ವೃತ್ತಾಕಾರದ ತಾರ್ಕಿಕತೆ",a,b.ತಪ್ಪು ಸಂದಿಗ್ಧತೆ,false
"ವಿದೇಶದಲ್ಲಿ X ದೇಶದ ಸಚಿವರು ಮಾಡಿದ ಕಾನೂನುಬಾಹಿರ ನರಹತ್ಯೆಯು ಕಾನೂನುಬದ್ಧ ಅಪರಾಧವೇ ಅಥವಾ ನ್ಯಾಯನಿರ್ಣಯದ ಕೃತ್ಯವೇ?
A.ಅಂತಹ ನಡವಳಿಕೆಯು ಸಾರ್ವಜನಿಕ ಕ್ರಿಯೆಯಾಗಿದೆ (ಜ್ಯೂರ್ ಇಂಪೆರಿ)
B.ಅಂತಹ ನಡವಳಿಕೆಯು ಎಂದಿಗೂ ರೋಗನಿರೋಧಕ ಶಕ್ತಿಯನ್ನು ಆಕರ್ಷಿಸುವುದಿಲ್ಲ
C.ಅಂತಹ ನಡವಳಿಕೆಯು ಖಾಸಗಿ ಕ್ರಿಯೆಯಾಗಿದೆ (ಜ್ಯೂರ್ ಗೆಸ್ಟಿಯೋನಿಸ್)
D.ಅಂತಹ ನಡವಳಿಕೆಯು ಸಾರ್ವಜನಿಕ ಕ್ರಿಯೆಯಾಗಿದೆ ಆದರೆ ವಿನಾಯಿತಿಯಿಂದ ರಕ್ಷಿಸಲ್ಪಟ್ಟಿದೆ",c,b.ಅಂತಹ ನಡವಳಿಕೆಯು ಎಂದಿಗೂ ರೋಗನಿರೋಧಕ ಶಕ್ತಿಯನ್ನು ಆಕರ್ಷಿಸುವುದಿಲ್ಲ,false
"ಕೆ-ಫೋಲ್ಡ್ ಕ್ರಾಸ್-ವ್ಯಾಲಿಡೇಶನ್ ಆಗಿದೆ
A.K ನಲ್ಲಿ ರೇಖೀಯ
B.K
C.K ನಲ್ಲಿ ಘನ
D.K",a,"k-ಫೋಲ್ಡ್ ಕ್ರಾಸ್-ವ್ಯಾಲಿಡೇಶನ್ ನ ಸಮಯ ಸಂವೇದನಶೀಲತೆ ಆಯ್ಕೆಯನ್ನು ಮಾಡುವಾಗ, ಅದು ಸಾಮಾನ್ಯವಾಗಿ k ನಲ್ಲಿ ರೇಖೀಯ (linear) ಆಗಿರುತ್ತದೆ. ಇದರ ಅರ್ಥ, ನೀವು k ಮೌಲ್ಯವನ್ನು ಹೆಚ್ಚಿಸಿದಾಗ, ಮಾಡುವ ಗಣನೆಯ ಸಮಯ ಸಹ ರೇಖೀಯವಾಗಿ ಹೆಚ್ಚಾಗುತ್ತದೆ. ಆದ್ದರಿಂದ, ಸರಿಯಾದ ಉತ್ತರವು:

a. k ನಲ್ಲಿ ರೇಖೀಯ",true
"ಭಾರತದಿಂದ ಯುನೈಟೆಡ್ ಸ್ಟೇಟ್ಸ್ ಗೆ ಸ್ಥಳಾಂತರಗೊಳ್ಳುವುದನ್ನು ಪರಿಗಣಿಸುವಾಗ ಈ ಕೆಳಗಿನವುಗಳಲ್ಲಿ ಯಾವ ಅಂಶವನ್ನು ರಿವಾಗೆ ""ಎಳೆಯುವ"" ಅಂಶವೆಂದು ಪರಿಗಣಿಸಲಾಗುತ್ತದೆ?
A.ಕಡು ಬಡತನ
B.ಉತ್ತಮ ಕೆಲಸ ಮತ್ತು ಹೆಚ್ಚಿನ ವೇತನ
C.ಭಾರತದ ಜಾತಿ ವ್ಯವಸ್ಥೆ[ಬದಲಾಯಿಸಿ]
D.ಆಕೆಯ ನೆರೆಹೊರೆಯಲ್ಲಿ ಹಿಂಸಾಚಾರ",b,"b. ಉತ್ತಮ ಕೆಲಸ ಮತ್ತು ಹೆಚ್ಚಿನ ವೇತನ

ಉತ್ತಮ ಕೆಲಸ ಮತ್ತು ಹೆಚ್ಚಿನ ವೇತನವು ಸ್ಥಳಾಂತರಗೊಳ್ಳುವವರಿಗೆ ""ಎಳೆಯುವ"" ಅಂಶವಾಗಿದೆ. ಇದು ಜನರನ್ನು ಅವರ ಮೂಲ ದೇಶದಿಂದ ಹೊರಗೆ ಹೋಗಲು ಪ್ರೇರೇಪಿಸುವ ಸಕಾರಾತ್ಮಕ ಕಾರಣಗಳಲ್ಲಿ ಒಂದು. ಉದಾಹರಣೆಗೆ, ಉನ್ನತ ವೇತನ, ಉತ್ತಮ ಜೀವನ ಮಟ್ಟ, ಮತ್ತು ಉದ್ಯೋಗದ ಅವಕಾಶಗಳು ಜನರನ್ನು ಭಾರತದಿಂದ ಯುನೈಟೆಡ್ ಸ್ಟೇಟ್ಸ್ ಗೆ ಸ್ಥಳಾಂತರಗೊಳ್ಳಲು ಪ್ರೇರೇಪಿಸುತ್ತವೆ.",true
