Question,CorrectAnswer,GivenAnswer,Correct
"نیدرلینڈٕچ سرکٲرۍ زبان کیٛاہ چھِ؟
A.دانِش
B.سویڈِش
C.جرمنی
D.ڈَچ",d,d. ڈَچ,true
"یِمو منٛزٕ کُس سِیُن چُھ سورن ہِنٛدیٚو أنٛدرمو سۭتۍ بَناونہٕ
A.ہیگِس
B.چِٹلِن
C.گرِٹ
D.چاپ کْریو سُوے",b,b. چِٹلِن,true
"1999 چہِ فِلِم میگنولیا کَتھ رِیاستَس منٛز چھِ سیٚٹ؟
A.کیلیفورنیا
B.جنوبی کیرولائنا
C.جورجِیا
D.ٹیکساس",a,a. کیلیفورنیا,true
"درمیٲنی وٲنٛسہِ ہٕنٛدۍ بالغ چھِ بُزرگ یا لۄکٹیٚن بالغن ہٕنٛدِ کھۄتہٕ زِیٛادٕ ______ باسان
A.جنریٹیو
B.نیوروٹِک
C.اتفاق کرنس لایق
D.کینہہ",a,a. جنریٹیو,true
"اداکار انتونیو بینڈیرا سٕنٛز مقٲمی زبان کیٛاہ چھِ؟
A.ہسپانِیہ
B.رُوسی
C.جرمنی
D.فرانٛسیسی",a,a. ہسپانِیہ,true
" مارکیٹنگ تہٕ مواصلاتک یہٕ ٹول چُھ صارفینن مصنوعات/خدمت ہینہٕ خٲطرٕ حوصلہٕ افزٲئی کرنہٕ خٲطرٕ براہ راست لالچ یا ترغیب پیش کران:
A.ایڈورٹائزنگ۔
B.عوٲمی تعلقات۔
C.سیلز پروموشن۔
D.ڈاریکٹْہ مارکیٹنگ۔",c,c. سیلز پروموشن۔,true
"تعریفی شخصیتچ غلط فہمی چِھ اکھ مخصوص قسمک
A.حٲدثٕچ غلط فہمی
B.غلط دِلچسپی
C.سوال منگُن
D.سرکلر ریجننگ",a,b. غلط دِلچسپی,false
"ہِنٛدُستان پیٚٹھٕ امریٖکہ کُن یِنہٕ وِزِ یِمو منٛزٕ کُس عُنصر یِیہِ ریوا سٕنٛدِ خٲطرٕ ""پُل"" عنصر مانٛنہٕ؟
A.غریبی ہُند ابجیکٹْہ
B.بہتر نوکری تہٕ زیادٕ اجرت
C.ہندوستانُک ذات پات ہُنٛد نظام
D.أمۍ سٕنٛدِس ہمسایہ علاقس منٛز تشدد",b,b. بہتر نوکری تہٕ زیادٕ اجرت,true
"کیٛاہ بیروٗنی مُلکَن منٛز مُلک X کِس وزیرٕ سٕنٛدِ ذٔریعہٕ غٲر قونوٗنی قتلُک عمل چھا اکھ ایکٹ امپیری یا جور گیسشنس؟
A.یُتھ طرزِ عمل چُھ اکھ عوٲمی عمل (جور سامراجی)
B.یُتھ طرزِ عمل چُھ نہٕ زانٛہہ تہٕ قوت مدافع
C.یتھ طرز عمل چُھ اکھ نجی ایکٹ (جور گیسشنس)
D.یُتھ طرزِ عمل چُھ اکھ عوٲمی عمل مگر یہٕ چُھ استثنیٰ سۭتۍ بچاونہٕ یوان۔",c,b. یُتھ طرزِ عمل چُھ نہٕ زانٛہہ تہٕ قوت مدافع,false
"کے۔فولڈ کراس۔ویلیڈیشن چُھ
A.لینیر کے یس منز
B.K منز چُھ چکور
C.کیوبِک K منز
D.ایکسپونینشل K منز",a,b. k منز چُھ چکور,false
"یِمو منٛزٕ کٔمۍ ہارر فلمَو کٔر ساروِی کھۄتہٕ زِیٛادٕ سیکوئل پٲدٕ؟
A.چیخ
B.جاوْز
C.ہالووین
D.جُمعہ دِ 13 ہِم",d,"c. ہالووین

""ہالووین"" فلم سیریز نے زیادہ سیکوئلز کے ساتھ اپنی ایک خاص جگہ بنائی ہے۔ یہ سیریز 1978 میں شروع ہوئی تھی اور اس نے ہارر فلموں کے شائقین کے درمیان ایک مضبوط پہچان بنائی ہے۔",false
"یِمو منٛزٕ کُس خصوٗصیت چھِ عموٗمَن تٲریٖخ عصمت دری سۭتۍ ہم آہنگ
A.ضرورت کھوتہٕ زیادٕ طاقتُک استعمال
B.گوڈْ میڈیٹیڈ
C.جنسی طور پٲٹھۍ متٲثر
D.ہتھیارُک استعمال چُھ شٲمل",c,"c. جنسی طور پٲٹھۍ متٲثر

یِمو منٛزٕ کُس خصوٗصیت چھِ عموٗمَن تٲریٖخ عصمت دری سۭتۍ ہم آہنگ، سُوال چھِ جنسی طور پٲٹھۍ متٲثر کرنہٕ آمت. عصمت دری چھِ اکھ جنسی جرم یُس جنسی طور پٲٹھۍ اکھ بے رضامندی یا زبردستی کرنہٕ آمت.",true
