Question,CorrectAnswer,GivenAnswer,Correct
"Deze vraag heeft betrekking op de volgende informatie.
Ten eerste moeten we opmerken dat de kosmos bolvormig is, deels omdat deze vorm, omdat hij een volmaakt geheel is dat geen gewrichten nodig heeft, de meest volledige van allemaal is, deels omdat hij de meest ruime vorm vormt, die het meest geschikt is om alles te bevatten en te bewaren; of omdat alle samenstellende delen van het heelal, dat wil zeggen de zon, de maan en de planeten, in deze vorm verschijnen; Of omdat alles ernaar streeft deze vorm te bereiken, zoals blijkt uit waterdruppels en andere vloeibare lichamen als ze zichzelf proberen te definiëren. Niemand zal er dus aan twijfelen dat deze vorm tot de hemellichamen behoort. ...
Dat de aarde ook bolvormig is, staat dus buiten kijf, omdat ze van alle kanten op haar middelpunt drukt. Hoewel vanwege de hoogten van de bergen en de dalen van de valleien een volmaakte cirkel niet kan worden begrepen, heeft dit toch geen invloed op de algemene bolvormige aard van de aarde. ...
Omdat al is aangetoond dat de aarde de vorm van een bol heeft, moeten we ons afvragen of een beweging ook met deze vorm samenvalt en welke plaats de aarde in het heelal inneemt. ... De overgrote meerderheid van de auteurs is het er natuurlijk over eens dat de aarde stilstaat in het centrum van het heelal, en vindt het ondenkbaar en belachelijk om het tegenovergestelde te veronderstellen. Maar als de zaak zorgvuldig wordt afgewogen, zal men zien dat de kwestie nog niet is opgelost en daarom geenszins lichtvaardig moet worden opgevat. Elke verandering van plaats die wordt waargenomen, is te wijten aan een beweging van het waargenomen object of van de waarnemer, of aan bewegingen van beide. ... Nu is het vanaf de aarde dat de omwenteling van de hemel wordt waargenomen en voor onze ogen wordt voortgebracht. Als de aarde dus geen beweging ondergaat, moet deze beweging in alles buiten de aarde plaatsvinden, maar in de tegenovergestelde richting dan wanneer alles op de aarde bewoog, en dit is de dagelijkse omwenteling. Dit lijkt dus het hele universum te beïnvloeden, dat wil zeggen, alles buiten de aarde met als enige uitzondering de aarde zelf. Als men echter zou toegeven dat deze beweging niet specifiek was voor de hemel, maar dat de aarde van west naar oost draaide, en als dit zorgvuldig werd overwogen met betrekking tot het schijnbare opkomen en ondergaan van de zon, de maan en de sterren, zou men ontdekken dat dit de werkelijke situatie was.
Nicolas Copernicus, De omwentelingen van de hemellichamen, 1543
De passage kan worden gebruikt als bewijs dat Copernicus verschilde van de traditionele, Aristotelische natuurfilosofen van zijn tijd, omdat hij suggereerde dat
A.De kosmos is bolvormig
B.de aarde is bolvormig
C.De kosmos is geostatisch
D.de aarde staat niet stil",d,d,true
"Welke van de volgende sets bitstrings kan NIET worden beschreven met een reguliere expressie?
A.Alle bitstrings waarvan het aantal nullen een veelvoud van vijf is
B.Alle bitstrings beginnen met een nul en eindigen met een één
C.Alle bitstrings met een even aantal nullen
D.Alle bitstrings met meer enen dan nullen",d,d,true
"De spanning die in een spoel wordt geïnduceerd, wordt weergegeven als:
A.product van de inductantie en de stroom erdoorheen.
B.verhouding van de inductantie tot de stroom erdoorheen.
C.verhouding tussen de stroom erdoorheen en de inductantie.
D.product van de inductantie en de snelheid van verandering van de stroom erdoorheen.",d,d.,true
"Identificeer het antecedent van de volgende voorwaardelijke stelling: De Bijen winnen hun eerste spel alleen als de Aardvarkens of de Chipmunks hun eerste spel niet winnen.
A.De Aardvarks winnen hun eerste wedstrijd niet.
B.De Bees winnen hun eerste wedstrijd.
C.De Chipmunks winnen hun eerste wedstrijd niet.
D.Of de Aardvarkens of de Chipmunks winnen hun eerste wedstrijden niet.",b,b,true
"Negatieve residuele autocorrelatie wordt aangegeven met welke van de volgende?
A.Een cyclisch patroon in de residuen
B.Een afwisselend patroon in de residuen
C.Een volledige willekeur in de residuen
D.Residuen die allemaal bijna nul zijn",b,b,true
"In welke staat speelt de film Magnolia' uit 1999 zich af?
A.Californië
B.South Carolina
C.Georgië
D.Texas",a,a.californië,true
"Welk psychologisch perspectief was aan het begin van de twintigste eeuw het populairst in West-Europa?
A.neurowetenschap
B.evolutionair
C.behaviorist
D.Psychoanalytisch",d,d,true
"Deze vraag heeft betrekking op de volgende informatie.
""Inderdaad, aangezien zowel de fatwa's van vooraanstaande [geleerden] die hun mening baseren op zowel rede als traditie en de consensus van de soennitische gemeenschap het erover eens zijn dat de oude verplichting van uitroeiing, uitroeiing en verdrijving van kwade innovatie het doel moet zijn van onze verheven aspiratie, want ""Religieuze ijver is een overwinning voor het geloof van God de Weldoende""; dan, in overeenstemming met de woorden van de Profeet (vrede zij met hem!) ""Wie kwade vernieuwing in onze orde brengt, moet worden verdreven"" en ""Wie iets tegen onze orde doet, moet worden verdreven"", actie is noodzakelijk en dringend geworden...""
Brief van de Ottomaanse sultan Selim I aan Safavid Shah Ismail I, 1514
De Safaviden haalden zich de woede van islamitische rijken zoals het Ottomaanse en het Mogolrijk, voornamelijk omdat de Safaviden
A.waren een expansionistisch rijk dat geografisch gelegen was tussen twee andere expansionisten
B.verwierp de centrale leerstellingen van de islam
C.christenen tot slaaf maakten en hen veranderden in Safavidische strijders
D.Ismail riep zichzelf uit tot kalief",a,a,true
"Is de onrechtmatige doodslag gepleegd door de minister van land X in het buitenland een daad jure imperii of jure gestionis?
A.Dergelijk gedrag is een openbare daad (jure imperii)
B.Dergelijk gedrag trekt nooit immuniteit aan
C.Dergelijk gedrag is een privéhandeling (jure gestionis)
D.Dergelijk gedrag is een openbare handeling, maar wordt beschermd door immuniteit",c,b,false
"Stelling 1 | In een groep (ab)^{-2} = b^{-2}a^{-2}. Stelling 2 | In een groep (ab)^n = a^nb^n.
A.Waar, waar
B.Niet waar, niet waar
C.Waar, niet waar
D.Niet waar, waar",b,"b. niet waar, niet waar",true
