Question,CorrectAnswer,GivenAnswer,Correct
"Učenici sprovode vežbu razdvajanja biljnih pigmenata koja od njih zahteva da koriste zatvorenu komoru za hromatografiju sa malom količinom acetona na dnu komore. Bezbednosna upozorenja za aceton uključuju izjavu da je iritantna za oko i kožu i da ima zapaljiva isparenja. Od sledećeg' koje bezbednosne mere predostrožnosti učenici treba da preduzmu dok izvode vežbu?
A.Stavljam vatrene retardirane rukavice da nosim komoru do isparljive haube ako se aceton zapali
B.Postavljanje komore u zatvoreni, zatamnjeni ormarić za vreme trajanja razdvajanja pigmenta
C.Nošenje kožnih rukavica i pokrivanje nosa i usta maskom za čestice
D.Nosi naočare i rukavice tipa nitrile i drži sve acetonske kontejnere zatvorene",d,d,true
"Porez nametnut dobavljaču verovatnije će biti prosleđen potrošaču u vidu povećanja cena ako
A.cenovna elastičnost potražnje je veoma elastična.
B.cenovna elastičnost potražnje je veoma neelastična.
C.cenovna elastičnost potražnje je jedinica elastična.
D.elastičnost zarada potražnje je veoma elastična.",b,b,true
"Pronađite $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$
A.1
B.-1
C.0
D.2",b,a,true
"Negativna autokorelacija ostaje naznačena na kojoj od sledećih opcija?
A.Ciklična šara u zaostacima
B.Naizmenični obrazac u zaostacima
C.Potpuna nasumičnost u zaostacima
D.Zaostaci koji su svi blizu nule",b,b.,true
"Pronađite dužinu krive y = ln x između tačaka na kojima je = 1/2 i y = 1.
A.0.53
B.0.86
C.1.18
D.1.36",c,b.0.86,false
"U poređenju sa političkim strankama u zemljama kao što su Engleska i Izrael, koje imaju višestranačke sisteme, američke političke stranke su
A.manje zainteresovan da utiče na ishod izbora
B.manje jasno identifikovan sa doslednim političkim ideologijama
C.manje efikasan u prikupljanju novca od političkih pristalica
D.bolje sposobni da odražavaju ciljeve čitavih svojih izbornih jedinica",b,b.,true
"Identifikujte antecedent sledećeg uslovnog predloga: Pčele pobeđuju u svojoj prvoj utakmici samo ako ili Aardvarksi ili Veverice ne pobede u svojim prvim utakmicama.
A.Aardvarksi ne pobeđuju u svojoj prvoj utakmici.
B.Pčele pobeđuju u svojoj prvoj utakmici.
C.Veverice ne pobeđuju u svojoj prvoj utakmici.
D.Ili Aardvarksi ili Veverice ne pobeđuju u svojim prvim utakmicama.",b,b.,true
"Kvantna efikasnost detektora fotona je 0,1. Ako se 100 fotona pošalje u detektor, jedan za drugim, detektor će otkriti fotone
A.u proseku 10 puta, sa rms odstupanjem od oko 4
B.u proseku 10 puta, sa rms odstupanjem od oko 3
C.u proseku 10 puta, sa rms odstupanjem od oko 1
D.u proseku 10 puta, sa rms odstupanjem od oko 0,1",b,b,true
"Napon indukovan u induktoru je predstavljen kao,
A.proizvod njegove indukcije i aktuelnosti kroz njega.
B.odnos njegove indukcije prema struji kroz njega.
C.odnos struje kroz njega do njegove indukcije.
D.proizvod njegove indukcije i stope promene struje kroz njega.",d,d.,true
"Zašto se Parfit protivi jednakosti?
A.On tvrdi da je nejednako društvo neizbežno.
B.On tvrdi da davanjem prioriteta potrebama siromašnih možemo povećati jednakost.
C.On tvrdi da smo svi odgovorni za svoje siromaštvo.
D.On u potpunosti odbacuje ideju jednakosti.",b,a.,false
"Šta je ponovni napad?
A.Kada napadač odgovori na poruku koju mu je poslao sistem
B.Napad koji se neprekidno ponavlja, istražuje slabost
C.Napad koji koristi sopstvene poruke sistema i od kojeg se ne može braniti
D.Napadač ponovo šalje uhvaćenu poruku, a sajt prihvata njenu i odgovara u korist napadača",d,d,true
"Koji od sledećih faktora bi se smatrao faktorom ""povlačenja"" za Rivu kada se razmatra selidba iz Indije u SAD?
A.Beskrajno siromaštvo
B.Bolji posao i veće plate
C.Indijski kasti sistem
D.Nasilje u njenom komšiluku",b,b.,true
"U kom stanju je scenografija filma Magnolija iz 1999?
A.Kalifornija
B.Južna Karolina
C.Gruzija
D.Teksas",a,a.kalifornija,true
"Ovo pitanje se odnosi na sledeće informacije.
""Zaista, kao što se i fatva istaknutih [naučnika] koji svoje mišljenje zasnivaju na razumu i tradiciji i konsenzusu sunitske zajednice slažu se da drevna obaveza istrebljenja, istrebljenja i proterivanja zlih inovacija mora da bude cilj naše veličajuće težnje, jer ""Verski žar je pobeda za Veru Božiju Beneficiranu""; onda, u skladu sa rečima Proroka (Mir na njega!) ""Ko god uvede zlu inovaciju u naš poredak mora biti izbačen"" i ""Ko god da se suprotstavi našem naređenju mora biti izbačen"", akcija je postala neophodna i egzistentna...""
Pismo otomanskog sultana Selima I Safavidu Šahu Ismailu I, 1514
Safavidovi su izazvali gnev islamskih imperija kao što su Otomansko i Mughal carstvo pre svega zato što su Safavidovi
A.bili ekspanzionističko carstvo geografski locirano između druga dva ekspanzioniste
B.odbacio centralne tenetove islama
C.porobio hrišćane, i pretvorio ih u Safavid borce
D.Ismail se proglasio Kalifom",a,a.,true
"Naučena bespomoćnost će najverovatnije biti direktno povezana sa
A.Barnum efekat.
B.samoživa pristrasnost.
C.spoljašnji lokus kontrole.
D.bezuslovno pozitivno poštovanje.",c,c.,true
"Sredovečni odrasli su izgleda više ____ od starijih ili mlađih odraslih osoba
A.Generativni
B.Neurotiиna
C.Prijatan
D.Određene",a,a.generativni,true
"Programer je napisao program ispod. Program koristi listu brojeva koji se zovu ""Lista numera"". Program je namenjen prikazivanju zbira brojeva na listi.
 sum ← numList [1]
 ZA SVAKU vrednost U numerisalisti
 zbir ← zbir + vrednost
 PRIKAZ zbira
 Da bi testirao program, programer se inicijalizuje na [0 , 1 , 4 , 5]. Program prikazuje 10, a programer zaključuje da program radi kako je predviđeno. Koja od sledećih stvari je tačna?
A.Zaključak je tačan; program radi kako je predviđeno.
B.Zaključak je netačan; program ne prikazuje ispravnu vrednost za predmet testa [0, 1, 4, 5].
C.Zaključak je netačan; korišćenje predmeta testa [0, 1, 4, 5] nije dovoljno da bi se zaključilo da je program tačan.
D.Zaključak je netačan; korišćenjem test predmeta [0, 1, 4, 5] samo potvrđuje da program radi za liste u sve većem redosledu.",c,b.,false
"K-fold unakrsna provera valjanosti je
A.linearno u K
B.kvadrat u K
C.kubikaže u K
D.eksponencijalno u K",a,a.,true
"Odredite H+(aq) koncentraciju u 1.0 M phenol, C6H5OH, rastvor. (Ka za fenol je 1 × 10^-10.)
A.1 × 10^-10 M
B.1 × 10^-9 M
C.1 × 10^-3 M
D.1 × 10^-5 M",d,d.,true
" Ovaj alat za marketing i komunikaciju nudi direktan podsticaj ili podsticaj da se kupci podstaknu da kupe proizvod/uslugu:
A.Reklama.
B.Javnošću.
C.Promocija prodaje.
D.Direktan marketing.",c,c.promocija prodaje.,true
"Izjava 1 | U grupi (ab)^{-2} = b^{-2}a^{-2}. Izjava 2 | U grupi (ab)^n = a^nb^n.
A.Istina, istina
B.Netačno, netačno
C.Tačno, netačno
D.Netačno, tačno",b,c.,true
"Šta je maternji jezik glumca Antonija Banderasa?
A.Španski
B.Ruski
C.Nemački
D.Francuski",a,a.španski,true
"Pad pohvalne ličnosti je specifičan tip
A.Pad nesreće
B.Lažna dilema
C.Preklinjem te pitanje
D.Kružno rezonovanje",a,a.pad nesreće,true
"Preduzeća se bave socijalnim knjigovodstvom zbog zahteva _________-a, u cilju identifikacije ________, poboljšanja ___________ i _________ i ___________
A.Zainteresovani, rizici, upravljanje zainteresovanim stranama, odgovornost, transparentnost
B.Zainteresovani, Odgovornost, Transparentnost, Rizici, Upravljanje zainteresovanim stranama
C.Zainteresovani, odgovornost, rizici, zainteresovane strane, upravljanje zainteresovanim stranama
D.Zainteresovani, Upravljanje zainteresovanim stranama, Transparentnost, Rizici, Odgovornost",a,a,true
"Koja od sledećih karakteristika je generalno u skladu sa silovanjem na sastanku?
A.upotreba prekomerne sile
B.s predumišljajem
C.seksualno motivisan
D.podrazumeva upotrebu oružja",c,b.s predumišljajem,false
"U seriji kolo, ako je struja u jednoj lampi 2 A, struja u lampi pored nje je
A.pola, 1 A
B.14:00
C.Zavisi koja lampa je bliža bateriji
D.Nema dovoljno informacija da se kaže",b,d.,false
"Činjenica da je infracrvena apsorpciona učestalost deuterijum hlorida (DCl) premeštena iz vodonik hlorida (HCl) posledica je razlika u njihovim
A.distribucija elektrona
B.dipole momenat
C.konstanta sile
D.smanjena masa",d,d.,true
"Ovo pitanje se odnosi na sledeće informacije.
""Seme totalitarnog režima neguje se bedom i žele. Šire se i rastu u zlom tlu siromaštva i razdora. Oni dostižu svoj puni rast kada je umrla nada naroda za bolji život. Moramo održati tu nadu u životu. Velike odgovornosti su nam postavljene brzim kretanjem događaja. Uveren sam da će se Kongres suočiti sa tim odgovornostima na kvadrat.""
Predsednik Harry S. Truman, 1947
Ideje izražene u pasusu iznad najiskojnije odražavaju koji od sledećih kontinuiteta u istoriji SAD?
A.Debate o odnosu Kongresa i predsednika.
B.Debate o upotrebi vojne sile u nestabilnim situacijama.
C.Debate o ulozi SAD u svetskim poslovima.
D.Debate o odgovarajućoj ulozi političkih stranaka.",c,c,true
