Question,CorrectAnswer,GivenAnswer,Correct
"ନିମ୍ନଲିଖିତ ବିଟ୍ ଷ୍ଟ୍ରିଙ୍ଗ୍ ସେଟ୍ ମଧ୍ୟରୁ କେଉଁଟି ନିୟମିତ ଭାବରେ ବର୍ଣ୍ଣନା କରାଯାଇପାରିବ ନାହିଁ?
A.ସମସ୍ତ ବିଟ୍ ଷ୍ଟ୍ରିଙ୍ଗ ଯାହାର ଶୂନ୍ୟ ସଂଖ୍ୟା ପାଞ୍ଚର ଗୁଣ ଅଟେ
B.ସମସ୍ତ ବିଟ୍ ଷ୍ଟ୍ରିଙ୍ଗ୍ ଶୂନ୍ୟରୁ ଆରମ୍ଭ ହୋଇ ଗୋଟିଏ ସହିତ ଶେଷ ହୁଏ
C.ସମାନ ସଂଖ୍ୟା ଶୂନ୍ୟ ଥିବା ସମସ୍ତ ବିଟ୍ ଷ୍ଟ୍ରିଙ୍ଗ୍
D.ଶୂନ୍ୟରୁ ଅଧିକ ଥିବା ସମସ୍ତ ବିଟ୍ ଷ୍ଟ୍ରିଙ୍ଗ୍",d,a,false
"ନିମ୍ନଲିଖିତ ସର୍ତ୍ତମୂଳକ ପ୍ରସ୍ତାବର ପୂର୍ବାବସ୍ଥା ଚିହ୍ନଟ କରନ୍ତୁ: ମହୁମାଛିମାନେ ସେମାନଙ୍କର ପ୍ରଥମ ଗେମ୍ ଜିତିଥାନ୍ତି ଯଦି ଆର୍ଡୱାର୍କସ କିମ୍ବା ଚିପମଙ୍କମାନେ ସେମାନଙ୍କର ପ୍ରଥମ ଗେମ୍ ଜିତିନଥାନ୍ତି ।
A.ପ୍ରଥମ ମ୍ୟାଚ୍ ରେ ଆର୍ଡଭାର୍କସ ବିଜୟୀ ହୋଇନଥିଲା।
B.ମହୁମାଛି ତା'ର ପ୍ରଥମ ମ୍ୟାଚ୍ ଜିତିଥାଏ।
C.ଚିପ୍ମୁଙ୍କସ୍ ତା'ର ପ୍ରଥମ ମ୍ୟାଚ୍ ଜିତି ପାରିନଥିଲା।
D.ଅର୍ଡ଼ୱାର୍କସ କିମ୍ବା ଚିପମୁଙ୍କସ ନିଜର ପ୍ରଥମ ଗେମ୍ ଜିତି ପାରିନଥିଲେ।",b,b,true
"ଏମାନଙ୍କ ମଧ୍ୟରୁ କେଉଁ ହରର ଫିଲ୍ମ ସବୁଠାରୁ ଅଧିକ ସିକ୍ୱେଲ ସୃଷ୍ଟି କରିଥିଲା?
A.ଚିତ୍କାର କରନ୍ତୁ।
B.ଜୱାସ୍'
C.Halloween'
D.ଶୁକ୍ରବାର ୧୩ ତାରିଖ।",d,c.halloween',false
"$-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$
A.1
B.-1
C.0
D.2",b,a.1,false
"ନିମ୍ନଲିଖିତ ମଧ୍ୟରୁ କେଉଁ ବୈଶିଷ୍ଟ୍ୟ ସାଧାରଣତଃ ତାରିଖ ଦୁଷ୍କର୍ମ ସହିତ ସୁସଙ୍ଗତ ଅଟେ?
A.ଅତ୍ୟଧିକ ବଳ ପ୍ରୟୋଗ
B.premeditated
C.ଯୌନ ପ୍ରୋତ୍ସାହିତ
D.ଏକ ଅସ୍ତ୍ର ଶସ୍ତ୍ର ବ୍ୟବହାର ଅନ୍ତର୍ଭୁକ୍ତ",c,b. premeditated,false
"ନିକଟତମ ହଜାରେ ସଂଖ୍ୟାକୁ ମିଶାଇ ୪୭,୦୦୦। କେଉଁ ନମ୍ବରକୁ ରାଉଣ୍ଡ କରାଯାଇଥିଲା ତାହା ହୋଇପାରେ?
A.46,295
B.46,504
C.47,520
D.47,924",b,"d.47,924",false
"ଇଂଲଣ୍ଡ ଏବଂ ଇସ୍ରାଏଲ ଭଳି ଦେଶର ରାଜନୈତିକ ଦଳମାନଙ୍କ ତୁଳନାରେ, ଉଭୟଙ୍କର ବହୁଦଳୀୟ ବ୍ୟବସ୍ଥା ଅଛି, ଆମେରିକୀୟ ରାଜନୈତିକ ଦଳ
A.ନିର୍ବାଚନ ଫଳାଫଳକୁ ପ୍ରଭାବିତ କରିବା ରେ କମ୍ ଆଗ୍ରହ
B.ନିରନ୍ତର ରାଜନୈତିକ ବିଚାରଧାରା ସହିତ କମ୍ ସ୍ପଷ୍ଟ ଭାବରେ ଚିହ୍ନଟ କରାଯାଇଛି
C.ରାଜନୈତିକ ସମର୍ଥକଙ୍କଠାରୁ ଟଙ୍କା ସଂଗ୍ରହ କରିବାରେ କମ୍ ପ୍ରଭାବଶାଳୀ
D.ସେମାନଙ୍କର ସମଗ୍ର ନିର୍ବାଚନ ମଣ୍ଡଳୀର ଲକ୍ଷ୍ୟକୁ ପ୍ରତିଫଳିତ କରିବାରେ ଅଧିକ ସକ୍ଷମ",b,b,true
"ଏମାନଙ୍କ ମଧ୍ୟରୁ କେଉଁଟି ସମଲିଙ୍ଗୀ ପ୍ରୋଟିନର ଆମିନୋ ଏସିଡ୍ କ୍ରମ ଆଧାରରେ ବିଭିନ୍ନ ପ୍ରଜାତିର ବିବର୍ତ୍ତନ ସମ୍ବନ୍ଧୀୟତା ନିର୍ଦ୍ଧାରଣ କରିବାକୁ ସାଧାରଣତଃ ସମଲିଙ୍ଗୀ ଜିନର ନ୍ୟୁକ୍ଲିଓଟାଇଡ୍ ସିକ୍ୱେନ୍ସ ଉପରେ ଆଧାରିତ ସମ୍ପର୍କନିର୍ଦ୍ଧାରଣ ତୁଳନାରେ କମ୍ ସଠିକ କରିଥାଏ?
A.ନୀରବ ପରିବର୍ତନ
B.Gene duplications
C.ସ୍ଥାନାନ୍ତରଣ ଘଟଣା ଯାହା ଜିନ୍ କ୍ରମ ପରିବର୍ତ୍ତନ କରେ
D.କ୍ରସିଂ ଓଭର",a,b. gene duplications,false
"ମଙ୍ଗଳ ଗ୍ରହର କିଛି ପାଣି ମାଟିରେ ଜମା ହୋଇ ରହିଛି ଏବଂ ବରଫ ଖଣ୍ଡ ଏବଂ କିଛି ସୌର ପବନ ଯୋଗୁଁ ହଜିଯାଇଛି କିନ୍ତୁ ମୂଳ ଜଳର ଅଧିକାଂଶ ଅଂଶ ଅନ୍ୟ ଏକ ପ୍ରକ୍ରିୟା ମାଧ୍ୟମରେ ନଷ୍ଟ ହୋଇଯାଇଥିବା ଅନୁମାନ କରାଯାଉଛି । କ'ଣ ହେଲା ଏହି 'ହଜିଯାଇଥିବା' ପାଣିର?
A.ଶକ୍ତିରେ ଦ୍ରୁତ ଗତିରେ ହ୍ରାସ ପାଇବା ପରେ ଏହାକୁ ଚୁମ୍ବକୀୟ କ୍ଷେତ୍ର ଦ୍ୱାରା ଛଡ଼ାଇ ନିଆଯାଇଥିଲା
B.ଏହା ଅଲଟ୍ରାଭାୟୋଲେଟ୍ ଆଲୋକ ଦ୍ୱାରା ହାଇଡ୍ରୋଜେନ୍ ଏବଂ ଅମ୍ଳଜାନରେ ବିଭାଜିତ ହୋଇଥିଲା ଏବଂ ଥର୍ମାଲ ପଳାୟନ ମାଧ୍ୟମରେ ହାଇଡ୍ରୋଜେନ୍ ନଷ୍ଟ ହୋଇଯାଇଥିଲା
C.ଏହାକୁ ତୃଷ୍ଣାଗ୍ରସ୍ତ ମଙ୍ଗଳଗ୍ରହୀମାନଙ୍କ ର ଏକ ସଭ୍ୟତା ଦ୍ୱାରା ଖାଇ ଦିଆଯାଇଥିଲା
D.ଏହା ତୀବ୍ର ଅଗ୍ନିକାଣ୍ଡ ସମୟରେ ବାଷ୍ପିତ ହୋଇଥିଲା ଏବଂ ଥର୍ମାଲ ପଳାୟନ ମାଧ୍ୟମରେ ମହାକାଶକୁ ହଜିଯାଇଥିଲା",b,a,false
"y = 1/2 ଏବଂ y = 1 ଥିବା ବିନ୍ଦୁ ଗୁଡିକ ମଧ୍ୟରେ ବକ୍ର y = ln x ର ଦୈର୍ଘ୍ୟ ନିର୍ଣ୍ଣୟ କରନ୍ତୁ।
A.0.53
B.0.86
C.1.18
D.1.36",c,b.0.86,false
