Question,CorrectAnswer,GivenAnswer,Correct
"Wat is die amptelike taal van Nederland?
A.Deens
B.Sweeds
C.Duitse
D.Hollands",D,D. Hollands,D
Texas",A,A. Kalifornië,A
"Wat is die akteur Antonio Banderas moedertaal?
A.Spaans
B.Russiese
C.Duitse
D.Franse",A,A. Spaans,A
" Hierdie bemarkings- en kommunikasie-instrument bied 'n direkte aansporing of 'n aansporing om kliënte aan te moedig om 'n produk / diens te koop:
A.Advertensie.
B.Openbare betrekkinge.
C.Verkope promosie.
D.Direkte bemarking.",C,C. Verkope promosie.,C
"Wat is die term vir die mate waarin mededinging in een land deur mededinging in ander lande beïnvloed word?
A.Internasionale handel
B.Globale ekonomie
C.Wêreldwye kompetisie
D.Globalisering",D,D. Globalisering,D
"Sommige van Mars se water is in die grond gevries en die yskappe en sommige het verlore gegaan as gevolg van sonwindstroop, maar baie van die oorspronklike water het vermoedelik deur 'n ander meganisme verlore gegaan. Wat het van hierdie ""verlore"" water geword?
A.dit is deur die magnetiese veld weggestroop toe dit vinnig in sterkte afgeneem het
B.dit is deur ultravioletlig in waterstof en suurstof gebreek en die waterstof het verlore gegaan deur termiese ontsnapping
C.dit is verteer deur 'n beskawing van dorstige Marsmanne
D.dit is verdamp gedurende 'n tydperk van intense vulkanisme en het deur termiese ontsnapping vir die ruimte verlore gegaan",B,B. dit is deur ultravioletlig in waterstof en suurstof gebreek en die waterstof het verlore gegaan deur termiese ontsnapping,B
"In 'n seriestroombaan, as die stroom in een lamp 2 A is, is die stroom in die lamp langsaan
A.helfte, 1 A
B.02:00
C.Hang af van watter lamp nader aan die battery is
D.Nie genoeg inligting om te sê nie",B,"In 'n seriestroombaan vloei dieselfde stroom deur elke komponent in die stroombaan. Dit beteken dat as die stroom in een lamp 2 A is, die stroom in enige ander lamp wat in serie gekoppel is, ook 2 A sal wees. Die korrekte antwoord is dus:

B. 2 A",B
"Watter van hierdie geregte word gemaak van varkdarmies?
A.haggis
B.chitlins
C.grane
D.Kap Suey",B,"B. chitlins

Chitlins (of chitterlings) is 'n gereg wat gemaak word van die klein derms van 'n vark. Dit is 'n tradisionele gereg in die Suide van die Verenigde State.",B
"Besighede is betrokke by sosiale rekeningkunde as gevolg van eise van _________, om ________ te identifiseer, om ___________ te verbeter en om _________ en ___________ aan te moedig.
A.Belanghebbendes, risiko's, bestuur van belanghebbendes, aanspreeklikheid, deursigtigheid
B.Belanghebbendes, aanspreeklikheid, deursigtigheid, risiko's, bestuur van belanghebbendes
C.belanghebbendes, aanspreeklikheid, risiko's, belanghebbendes, bestuur van belanghebbendes
D.Belanghebbendes, bestuur van belanghebbendes, deursigtigheid, risiko's, aanspreeklikheid",A,"A. Belanghebbendes, risiko's, bestuur van belanghebbendes, aanspreeklikheid, deursigtigheid",A
"Watter van hierdie gruwelfilms het die meeste vervolgverhale voortgebring?
A.Skree'
B.Kake se
C.Halloween'
D.Vrydag die 13de'",D,"D. Vrydag die 13de' (Friday the 13th) het die meeste vervolgverhale voortgebring. Die reeks bestaan uit 12 films, insluitend 'n herlaai (reboot) en 'n kruisfilm met die ""Nightmare on Elm Street""-reeks, naamlik ""Freddy vs. Jason"".",D
"Watter van die volgende lande het die meeste CO2 per capita in 2017 vrygestel?
A.Japan
B.Kanada
C.Rusland
D.Iran",B,"Volgens data van die jaar 2017 het Kanada die meeste CO2 per capita vrygestel in vergelyking met Japan, Rusland, en Iran. Kanada is bekend vir sy hoë per capita uitstoot van kweekhuisgasse, hoofsaaklik as gevolg van sy groot energiebehoeftes, sy afhanklikheid van fossielbrandstowwe, en sy relatief klein bevolking versprei oor 'n groot geografiese area.",B
"Watter van die volgende faktore sal as 'n ""trek""-faktor vir Riva beskou word wanneer 'n skuif van Indië na die Verenigde State oorweeg word?
A.Erge armoede
B.Beter werk en hoër lone
C.Indië se kastestelsel
D.Geweld in haar buurt",B,"B. Beter werk en hoër lone

Hierdie opsie word beskou as 'n ""trek""-faktor omdat dit iets positiefs in die nuwe bestemming (die Verenigde State) aandui wat Riva kan motiveer om te verhuis. Beter werkgeleenthede en hoër lone trek individue aan na 'n nuwe plek omdat dit die potensiaal bied vir 'n verbeterde lewensstandaard en ekonomiese stabiliteit.",B
"Middeljarige volwassenes blyk meer ____ te wees as ouer of jonger volwassenes
A.Generatiewe
B.neurotiese
C.Aangenaam
D.Sekere",A,"A. Generatiewe

Middeljarige volwassenes is dikwels in 'n fase van hul lewe waar hulle meer gefokus is op die versorging en opvoeding van ander, wat dikwels na verwys word as 'n ""generatiewe"" fase. Hierdie term, wat deur die sielkundige Erik Erikson gebruik word, verwys na die neiging om te sorg vir die volgende generasie en om 'n bydrae te lewer tot die welsyn van jonger mense en die samelewing as geheel.",A
