Question,CorrectAnswer,GivenAnswer,Correct
"নেডাৰলেণ্ডৰ চৰকাৰী ভাষা কি?
A.ডেনিশ্ব
B.ছুইডিশ্ব
C.জাৰ্মান
D.ডাচ্",d,d.ডাচ্,true
"মধ্যবয়সীয়া প্ৰাপ্তবয়স্কসকল বয়সস্থ বা কম বয়সীয়া প্ৰাপ্তবয়স্কতকৈ অধিক __ হোৱা দেখা যায়
A.উৎপন্নক
B.নিউৰোটিক
C.সন্মত
D.নিশ্চিত",a,b.নিউৰোটিক,false
"অভিনেতা এণ্টোনিঅ বান্দেৰাছ স্থানীয় ভাষা কি?
A.স্পেনিছ
B.ৰুছ ভাষা
C.জাৰ্মান
D.ফ্ৰেন্স",a,a.স্পেনিছ,true
"এখন দেশত প্ৰতিযোগিতা কিমান পৰিমাণে আন দেশত প্ৰতিযোগিতাৰ দ্বাৰা প্ৰভাৱিত হয় তাৰ শব্দটো কি?
A.আন্তৰ্জাতিক বাণিজ্য
B.গোলকীয় অৰ্থনীতি
C.গোলকীয় প্ৰতিযোগিতা
D.বিশ্বায়ন",d,d. বিশ্বায়ন,true
"১৯৯৯ চনৰ মেগনোলিয়া চলচ্চিত্ৰৰ ছেট কি অৱস্থাত?
A.কেলিফৰ্ণিয়া
B.দক্ষিণ কেৰোলিনা
C.জৰ্জিয়া
D.টেক্সাছ",a,a. কেলিফৰ্ণিয়া,true
"এই ভৌতিক চলচ্চিত্ৰবোৰৰ কোনটোৱে আটাইতকৈ বেছি চিকুৱেল সৃষ্টি কৰিছিল?
A.চিঞৰিব'
B.জজ'
C.হেলোইন'
D.১৩ তাৰিখ শুক্ৰবাৰে'",d,"d. ১৩ তাৰিখ শুক্ৰবাৰে' (friday the 13th)

""১৩ তাৰিখ শুক্ৰবাৰে"" চলচ্চিত্ৰ ছিৰিজটোৱে বহুতো চিকুৱেল আৰু স্পিন-অফ সৃষ্টি কৰিছে, যি এই ছিৰিজটোক ভৌতিক চলচ্চিত্ৰৰ জগতত এক প্ৰধান নাম হিচাপে প্ৰতিষ্ঠা কৰিছে।",true
"প্ৰশংসনীয় ব্যক্তিত্বৰ ভ্ৰান্তি হৈছে এক নিৰ্দিষ্ট প্ৰকাৰৰ
A.দুৰ্ঘটনাৰ ভ্ৰান্তি
B.মিছা দ্বিধা
C.প্ৰশ্নটো ভিক্ষা কৰা
D.বৃত্তাকাৰ যুক্তি",a,"d. বৃত্তাকাৰ যুক্তি

বৃত্তাকাৰ যুক্তি হৈছে এক প্ৰকাৰৰ যুক্তি য'ত যুক্তিৰ প্ৰমাণ হিচাপে যুক্তিৰ নিজেই ব্যৱহাৰ হয়। এই প্ৰকাৰৰ যুক্তি সাধাৰণতে ভ্ৰান্তি বুলি গণ্য কৰা হয় কাৰণ ই নিজেই নিজকে প্ৰমাণ কৰাৰ চেষ্টা কৰে আৰু কোনো বাহ্যিক বা অতিৰিক্ত প্ৰমাণ প্ৰদান নকৰে।",false
"ইয়াৰে কোনটো ব্যঞ্জন গাহৰিৰ অন্ত্ৰৰ পৰা তৈয়াৰ কৰা হয়?
A.হেগিচ
B.চিটলিন
C.গ্ৰিট
D.চপ চুই",b,"b. চিটলিন

চিটলিন হৈছে এক প্ৰকাৰৰ খাদ্য যি গাহৰিৰ অন্ত্ৰৰ পৰা তৈয়াৰ কৰা হয়। এই খাদ্যটো মূলতঃ আফ্ৰিকান-আমেৰিকান সম্প্ৰদায়ৰ মাজত জনপ্ৰিয়। চিটলিন প্ৰস্তুত কৰাৰ প্ৰক্ৰিয়াত গাহৰিৰ অন্ত্ৰবোৰ ভালদৰে ধুই পৰিষ্কাৰ কৰা হয় আৰু তাৰ পিছত বিভিন্ন মচলাৰে ৰন্ধা হয়।",true
" এই বিপণন আৰু যোগাযোগ সঁজুলিটোৱে গ্ৰাহকসকলক সামগ্ৰী/সেৱা এটা ক্ৰয় কৰিবলৈ উৎসাহিত কৰিবলৈ পোনপটীয়া প্ৰলোভন বা এক উদগনি প্ৰদান কৰে:
A.বিজ্ঞাপন।
B.জনসম্পৰ্ক।
C.বিক্ৰী প্ৰচাৰ।
D.পোনপটীয়া বিপণন।",c,"c. বিক্ৰী প্ৰচাৰ।

বিক্ৰী প্ৰচাৰ হৈছে এক বিপণন আৰু যোগাযোগ সঁজুলি যি গ্ৰাহকসকলক সামগ্ৰী বা সেৱা ক্ৰয় কৰিবলৈ পোনপটীয়া প্ৰলোভন বা উদগনি প্ৰদান কৰে। ইয়াৰ অন্তৰ্গত হ'ব পাৰে বিশেষ মূল্য ছাড়, কুপন, প্ৰতিযোগিতা, আৰু অন্যান্য প্ৰচাৰাভিযান যি গ্ৰাহকসকলক ক্ৰয় কাৰ্যত অংশ ল'বলৈ উৎসাহিত কৰে।",true
"নিম্নলিখিত কোনটো বিশেষত্ব সাধাৰণতে তাৰিখৰ ধৰ্ষণৰ সৈতে সামঞ্জস্যপূৰ্ণ?
A.অত্যাধিক বল প্ৰয়োগ
B.পূৰ্বপৰিকল্পিত
C.যৌন অনুপ্ৰেৰিত
D.অস্ত্ৰ ব্যৱহাৰ কৰা অন্তৰ্ভুক্ত থাকে",c,"b. পূৰ্বপৰিকল্পিত

তাৰিখৰ ধৰ্ষণ সাধাৰণতে পূৰ্বপৰিকল্পিত হয়, য'ত অপৰাধীয়ে পূৰ্বে থেকেই তাঁর অভিপ্রায় নিৰ্ধাৰণ কৰে আৰু সেই অনুযায়ী কার্য কৰে। এই ধৰণৰ ধৰ্ষণত অপৰাধী সাধাৰণতে পীড়িতক ড্ৰাগ বা মাতাল কৰি তাঁর সম্মতি বা প্ৰতিৰোধ ক্ষমতা হ্ৰাস কৰে।",false
"$-*ডিফ্ৰাক{1}{-3}/চিডিওটিএফআৰচি{1}{~/ফ্ৰাক{1}{-3}~}$।
A.1
B.-1
C.0
D.2",b,"the expression you provided seems to be a mix of latex and some other characters, which makes it a bit unclear. however, i'll try to interpret and simplify it based on common mathematical operations and latex syntax.

the expression seems to be:
\[ -\frac{1}{-3} / \text{something} \]

first, let's simplify \(-\frac{1}{-3}\):
\[ -\frac{1}{-3} = \frac{1}{3} \]

now, the second part of the expression is unclear due to the characters used. it seems to involve some operation or function denoted as ""চিডিওটিএফআৰচি"", which is not standard in mathematical notation. the part inside might be trying to represent another fraction or operation, but it's not clear from the given text.

assuming the second part simplifies to the same value or to 1 (since we can't interpret it exactly), the expression might look like:
\[ \frac{1}{3} / 1 = \frac{1}{3} \]

however, without a clear understanding of the second part, we can't provide a definitive answer. if you can clarify or correct the expression, i would be able to help you more accurately. for now, based on the given options and assuming the second part simplifies to 1, none of the options (a. 1, b. -1, c. 0, d. 2) match \(\frac{1}{3}\).",false
"ভাৰতৰ পৰা আমেৰিকা যুক্তৰাষ্ট্ৰলৈ যোৱাৰ কথা বিবেচনা কৰোঁতে নিম্নলিখিত কোনটো কাৰক ৰিভাৰ বাবে ""টান"" কাৰক বুলি গণ্য কৰা হ'ব?
A.অত্যাধিক দৰিদ্ৰতা
B.উন্নত চাকৰি আৰু অধিক মজুৰি
C.ভাৰতৰ জাতি ব্যৱস্থা
D.তাইৰ চুবুৰীয়াত হিংসা",b,"b. উন্নত চাকৰি আৰু অধিক মজুৰি

উন্নত চাকৰি আৰু অধিক মজুৰি হ'ল এক প্ৰধান ""টান"" কাৰক, যি লোকসকলক ভাৰতৰ পৰা আমেৰিকা যুক্তৰাষ্ট্ৰলৈ যাবলৈ প্ৰৰোচিত কৰে। এই কাৰকটোৱে লোকসকলক আকৰ্ষণ কৰে কাৰণ তেওঁলোকে বিশ্বাস কৰে যে উন্নত দেশত তেওঁলোকে ভাল চাকৰি পাব আৰু অধিক মজুৰি উপাৰ্জন কৰিব পাৰিব, যি তেওঁলোকৰ জীৱনমান উন্নত কৰিব।",true
