Question,CorrectAnswer,GivenAnswer,Correct
"Orta yaşlı böyüklərin yaşlı və ya cavan yaşlılardan daha çox ____ olduğu görünür
A.Generativ
B.Nevrotik
C.Razı
D.Şübhəsiz",a,c. razı,false
"Niderlandın rəsmi dili hansıdır?
A.Dan dili
B.Isveç dili
C.Alman dili
D.Holland dili",d,d.holland dili,true
"Aktyor Antonio Banderas doğma dil nədir?
A.İspan dili
B.Rus dili
C.Alman dili
D.Fransız dili",a,a. i̇span dili,true
"1999-cu ildə çəkilən ""Maqnolia"" filmi hansı ştatda çəkilib?
A.Kaliforniya
B.Cənubi Karolina
C.Gürcüstan
D.Texas",a,a. kaliforniya,true
" Bu marketinq və kommunikasiya aləti müştəriləri məhsul/xidmət almağa təşviq etmək üçün birbaşa induksiya və ya stimul təklif edir:
A.Reklam.
B.İctimai əlaqələr.
C.Satışın təşkili.
D.Birbaşa marketinq.",c,d.birbaşa marketinq.,false
"Bu dəhşətli filmlərdən hansının davamı daha çox oldu?
A.Qışqırıq'
B.Jaws'
C.Hellouin'
D.13-cü cümə günü'",d,"d. ""13-cü cümə günü"" film seriyası, bu siyahıdakı filmlər arasında ən çox davam filmi olan seriyadır. ""13-cü cümə günü"" seriyası 1980-ci ildə başlamış və 12 davam filmi ilə tanınır.",true
"Bu xörəklərdən hansı donuz bağırsağından hazırlanır?
A.haqqi
B.çitlinlər
C.qfits
D.chop suey",b,"b. çitlinlər (chitlins) donuz bağırsağından hazırlanan bir xörəkdir. çitlinlər, xüsusilə cənubi amerikada populyar olan və donuzun iç bağırsaqlarının təmizlənib, bişirilərək hazırlanan bir yeməkdir.",true
"Mənfi qalıqlı avtokorrelyasiya aşağıdakılardan hansı ilə işarə olunur?
A.Qalıqlardakı dövri tərz
B.Qalıqlarda alternasiya tərzi
C.Qalıqlarda tam təsadüfilik
D.Hamısı sıfıra yaxın olan qalıqlar",b,"mənfi qalıqlı avtokorrelyasiya, qalıqlar arasında müəyyən bir alternasiya tərzi ilə xarakterizə olunur. bu, bir qalığın yüksək olduğu zaman növbəti qalığın aşağı olması və ya əksinə, bir qalığın aşağı olduğu zaman növbəti qalığın yüksək olması kimi davranışı ifadə edir. beləliklə, doğru cavab:

b.qalıqlarda alternasiya tərzi",true
"Hindistandan ABŞ-a köçməyi düşünərkən aşağıdakı amillərdən hansı Riva üçün ""pullu"" faktor hesab edilərdi?
A.Abır-həya
B.Daha yaxşı iş və yüksək əmək haqqı
C.Hindistanın kasta sistemi
D.Qonşuluqda zorakılıq",b,"riva üçün ""pullu"" faktor, yəni maddi mənada cəlbedici və maliyyə baxımından faydalı olan amil, b variantı olan ""daha yaxşı iş və yüksək əmək haqqı"" olardı. bu faktor, abş-a köçmək istəyən bir şəxs üçün əsas motivasiya mənbəyi ola bilər, çünki daha yaxşı karyera imkanları və maliyyə stabilliyi təmin edə bilər.",true
"İzahlı şəxsiyyətin qeyri-səlisliyi konkret bir növ
A.Bədbəxt hadisənin qeyri-dəqiqliyi
B.Yalançı dilemma
C.Sual-cavab yalvarmaq
D.Dairəvi mülahizələr",a,"cevap: d.dairəvi mülahizələr

i̇zahlı şəxsiyyətin qeyri-səlisliyi, bir iddianın doğruluğunu isbat etmək üçün həmin iddianın özünə istinad etməsi ilə xarakterizə olunur. bu, dairəvi mülahizələrə (circular reasoning) misal olaraq göstərilə bilər. dairəvi mülahizələr, bir iddianın doğruluğunu sübut etmək üçün həmin iddianın özünə dayanır, bu da loqiki bir səhvdir və qeyri-səlis bir mülahizə nümunəsidir.",false
"bizneslər _________ tələblərinə görə sosial mühasibatlıqla məşğul olur, ________ müəyyən etmək, ___________ yaxşılaşdırmaq, _________ və ___________ təşviq etmək məqsədilə
A.Hüquqi şəxslər, Risklər, Hüquqi şəxslərin idarə edilməsi, Hesabatlılıq, Şəffaflıq
B.Hüquqi şəxslər, Məsuliyyət, Şəffaflıq, Risklər, Hüquqi şəxslərin idarə edilməsi
C.Hüquqi şəxslər, Məsuliyyət, Risklər, Hüquqi şəxslər, Hüquqi şəxslərin idarə edilməsi
D.Hüquqi şəxslər, Hüquqi şəxslərin idarə edilməsi, şəffaflıq, risklər, hesabatlılıq",a,"a variantı:
bizneslər **hüquqi şəxslər** tələblərinə görə sosial mühasibatlıqla məşğul olur, **risklər** müəyyən etmək, **hüquqi şəxslərin idarə edilməsi** yaxşılaşdırmaq, **hesabatlılıq** və **şəffaflıq** təşviq etmək məqsədilə.",true
"XX əsrin əvvəllərində Qərbi Avropada hansı psixoloji baxış daha populyar idi?
A.neyroşəbəkə
B.təkamülçü
C.davranışçı
D.psixoanalitik",d,"xx əsrin əvvəllərində qərbi avropada psixoanalitik baxış daha populyar idi. bu baxış, sigmund freud tərəfindən təsis edilmişdir və insan davranışını və psixologiyasını anlamaq üçün içgüdülər və bilinçaltı proseslərə diqqət yetirir. freud'un teoriyaları, öz dövründə çox müzakirə və maraq doğuran, psixologiya sahəsində yeni bir yanaşma təqdim etmişdir.

cavab: d.psixoanalitik",true
"Aşağıdakı şərti təklifin antecedentini müəyyən edin: Arılar ilk oyununu yalnız Aardvarks və ya Chipmunks ilk oyunlarında qalib gəlmədikləri təqdirdə qazanırlar.
A.Aardvarklar ilk oyunda qalib gəlmirlər.
B.İlk oyunda arılar qalib gəldi.
C.Çipmunklar ilk oyunda qalib gəlmirlər.
D.Ya aardvarklar, ya da çipmunklar ilk oyunlarında qalib gəlmirlər.",b,"bu cümlədə verilən şərti təklif ""arılar ilk oyununu yalnız aardvarks və ya chipmunks ilk oyunlarında qalib gəlmədikləri təqdirdə qazanırlar"" ifadəsində, antecedent (şərtin öncülü) arıların qalib gəlməsi üçün lazım olan şərti ifadə edir. bu şərt, aardvarks və ya chipmunks-un ilk oyunlarında qalib gəlməməsi ilə bağlıdır. 

bu durumda, doğru cavab:
d. ya aardvarklar, ya da çipmunklar ilk oyunlarında qalib gəlmirlər.",false
"Bir sıra rayonda əgər bir lampada cərəyan 2 A olarsa, yanındakı lampada cərəyan
A.yarım, 1 A
B.02:00
C.Hansı lampanın batareyaya daha yaxın olması asılıdır
D.Demək üçün kifayət qədər məlumat yoxdur",b,"doğru cavab: d. demək üçün kifayət qədər məlumat yoxdur.

i̇zahat: lampaların necə qoşulduğu (seriya və ya paralel), hər bir lampada olan direnç dəyərləri və bütün qurğunun ümumi elektrik sxemi haqqında məlumat olmadan, yanındakı lampada olan cərəyanın nə qədər olacağını dəqiq demək mümkün deyil. elektrik qurğularında cərəyanın necə paylandığı, qoşulma sxemine və komponentlərin xüsusiyyətlərinə bağlıdır.",true
"Marsın bəzi suları torpaqda və buz örtüyündə dondurulur, bəziləri isə günəş küləyinin soyunması səbəbindən itirilib, lakin orijinal suyun çox hissəsinin başqa bir mexanizm vasitəsilə itirildiyi güman edilir. Bu ""itkin"" suyuna nə oldu?
A.gücü sürətlə azaldıqda maqnit sahəsi tərəfindən soyundurulmuş
B.ultrabənövşəyi işıqla hidrogen və oksigenə parçalandı və hidrogen termik qaçış yolu ilə itirildi
C.susuz marslıların sivilizasiyası tərəfindən yeyildi
D.intensiv vulkanizm dövründə buxarlandı və termik qaçış yolu ilə kosmosa itdi",b,"marsın suyunun itirilməsi ilə bağlı ən qəbul edilən nəzəriyyə, suyun ultrabənövşəyi işıqla hidrogen və oksigenə parçalandığı və hidrogenin termik qaçış yolu ilə itirildiyi ilə bağlıdır. bu proses, marsın atmosferinin incələrək daha az qoruyucu olması və güclü maqnit sahəsinin olmaması ilə daha da şiddətlənmişdir. beləliklə, doğru cavab:

b. ultrabənövşəyi işıqla hidrogen və oksigenə parçalandı və hidrogen termik qaçış yolu ilə itirildi.",true
"İnduktorda induksiya olunan voltaj belə təmsil olunur:
A.onun induksiyasının və onun vasitəsilə cərəyan edən məhsul.
B.onun induksiyasının onun vasitəsilə cərəyana nisbəti.
C.vasitəsilə cərəyanın onun induksiyaya nisbəti.
D.onun induksiyasının və onun vasitəsilə cərəyanın dəyişmə sürətinin məhsulu.",d,"i̇nduktorda induksiya olunan voltaj, faradayın elektromaqnit induksiya qanununa əsasən, indüktansın (l) və onun vasitəsilə cərəyanın (i) dəyişmə sürətinin (di/dt) məhsulu ilə təmsil olunur. bu, indüktorda induksiya olunan voltajın cərəyanın zamanla necə dəyişdiyini göstərir. beləliklə, doğru cavab:

d.onun induksiyasının və onun vasitəsilə cərəyanın dəyişmə sürətinin məhsulu.",true
