Question,CorrectAnswer,GivenAnswer,Correct
"Нидерландтың рәсми теле ниндәй?
A.Дат теле
B.Швед теле
C.Немец теле
D.Нидерланд теле",d,d. нидерланд теле,true
"1999 йылда төшөргән «Магнолия» фильмы ниндәй хәлдә?
A.Калифорния
B.Көньяҡ Каролина
C.Грузия
D.Техас",a,a.калифорния,true
"Был ҡурҡыныс фильмдарҙың ҡайһыһы иң дауамлыһын тыуҙырҙы?
A.Ҡысҡырыу'
B.Джавс'
C.Хэллоуин'
D.13-сө йома'",d,c. хэллоуин',false
"Актер Антонио Бандерас туған тел ниндәй?
A.Испан теле
B.Урыҫ теле
C.Немец теле
D.Француз теле",a,a. испан теле,true
"Бер илдә конкуренцияға башҡа илдәрҙәге конкуренция ниндәй кимәлдә йоғонто яһай, тигән термин ниндәй?
A.Халыҡ-ара сауҙа
B.Глобаль иҡтисад
C.Глобаль конкуренция
D.Глобалләшеү",d,c. глобаль конкуренция,false
" Был маркетинг-элемтә ҡоралы клиенттарҙы тауар/сервис һатып алырға дәртләндереү өсөн туранан-тура индукция йәки стимул тәҡдим итә:
A.Реклама.
B.Йәмәғәтселек менән бәйләнеш.
C.Һатыуҙы алға этәреү.
D.Тура маркетинг.",c,c. һатыуҙы алға этәреү.,true
"Өлкән йәштәгеләр ололарға йәки кесе йәштәгеләргә ҡарағанда күберәк____булып күренә
A.Генерирлау
B.Невротик
C.Килешле
D.Билдәле",a,өлкән йәштәгеләр ололарға йәки кесе йәштәгеләргә ҡарағанда күберәк c. килешле булып күренә.,false
"Был ризыҡтарҙың ҡайһыһы сусҡа эсәгенән эшләнә?
A.хаггис
B.Читлиндар
C.Грит
D.чоп-суэй",b,"b. читлиндар (chitlins) - был тағам сусҡа эсәгенән эшләнә. читлиндар - америка көньяғында популяр булған тағам, ул сусҡа эсәген йыуып, бешереп әҙерләнә.",true
"Сериялы контурҙа, әгәр бер лампалағы ток 2 А булһа, лампала уның эргәһендәге ток
A.ярты, 1 А
B.2:00
C.Батареяға ниндәй лампа яҡыныраҡ булыуына бәйле
D.Әйтер мәғлүмәт етмәй",b,"b. 2 а

сериялы контурҙа (яғни бер-бер артлы тоташтырылған элементтарҙа) бөтә элементтар аша үткән ток бер үк кимәлдә була. шулай итеп, әгәр бер лампалағы ток 2 а тигән мәғлүмәт бирелгән икән, сериялы контурҙағы башҡа лампаларҙа ла ток шул уҡ 2 а буласаҡ.",true
"Предприятиелар _________ талаптары арҡаһында социаль иҫәп менән шөғөлләнә, ________ асыҡлау, ___________ яҡшыртыу, _________ һәм ___________ дәртләндереү маҡсатында
A.Подразделениелар, Хәүефтәр, Подразделениелар менән идара итеү, отчетлылыҡ, Асыҡлыҡ
B.Подразделениелар, отчетлылыҡ, асыҡлыҡ, хәүефтәр, подразделениелар менән идара итеү
C.Подразделениелар, отчетлылыҡ, хәүефтәр, подразделениелар, Подразделениелар менән идара итеү
D.Подразделениелар, Подразделениелар менән идара итеү, асыҡлыҡ, хәүефтәр, отчетлылыҡ",a,"правильный ответ: d. подразделениелар, подразделениелар менән идара итеү, асыҡлыҡ, хәүефтәр, отчетлылыҡ

предприятиелар подразделениелар талаптары арҡаһында социаль иҫәп менән шөғөлләнә, подразделениелар менән идара итеү асыҡлау, асыҡлыҡ яҡшыртыу, хәүефтәр һәм отчетлылыҡ дәртләндереү маҡсатында.",false
