Question,CorrectAnswer,GivenAnswer,Correct
"Какъв е родният език на актьора Антонио Бандерас?
A.Испански
B.Руски
C.Немски
D.Френски",a,a. испански,true
"Какъв е официалният език на Нидерландия?
A.Датски
B.Шведски
C.Немски
D.Холандски",d,d. холандски,true
"В какво състояние е снимачната площадка на филма ""Магнолия"" от 1999 г.?
A.Калифорния
B.Южна Каролина
C.Грузия
D.Тексас",a,a. калифорния,true
" Този инструмент за маркетинг и комуникация предлага директен стимул или стимул за насърчаване на клиентите да закупят продукт / услуга:
A.Реклама.
B.Обществеността.
C.Насърчаване на продажбите.
D.Директен маркетинг.",c,c. насърчаване на продажбите.,true
"Какъв е терминът за степента, в която конкуренцията в една страна се влияе от конкуренцията в други страни?
A.Международна търговия
B.Глобална икономика
C.Глобална конкуренция
D.Глобализация",d,"терминът, който описва степента, в която конкуренцията в една страна се влияе от конкуренцията в други страни, е:

c. глобална конкуренция",false
"Предприятията се занимават със социално счетоводство поради изискванията на _________, за да идентифицират ________, да подобрят ___________ и да насърчат _________ и ___________
A.Заинтересовани страни, Рискове, Управление на заинтересованите страни, Отчетност, Прозрачност
B.Заинтересовани страни, отчетност, прозрачност, рискове, управление на заинтересованите страни
C.Заинтересовани страни, отчетност, рискове, заинтересовани страни, управление на заинтересованите страни
D.Заинтересовани страни, управление на заинтересованите страни, прозрачност, рискове, отчетност",a,"a. заинтересовани страни, рискове, управление на заинтересованите страни, отчетност, прозрачност",true
"Кой от следните фактори би се считал за ""притегателен"" фактор за Riva, когато обмисля преместване от Индия в Съединените щати?
A.Унизителна бедност
B.По-добра работа и по-високи заплати
C.Кастовата система на Индия
D.Насилието в квартала",b,"b. по-добра работа и по-високи заплати

този фактор се счита за ""притегателен"" фактор, тъй като предлага положителни стимули за преместване в друга държава, като по-добри възможности за работа и по-високи доходи.",true
"В серийна верига, ако токът в една лампа е 2 А, токът в лампата до нея е
A.половина, 1 А
B.02:00 ч.
C.Зависи коя лампа е по-близо до батерията
D.Няма достатъчно информация, за да се каже",b,"в серийна верига, токът през всички компоненти е еднакъв. това означава, че ако токът в една лампа е 2 а, токът във всяка друга лампа в същата серийна верига също ще бъде 2 а. така че правилният отговор на въпроса е:

b. 2 а (02:00 ч.)",true
"Кое от тези ястия е направено от свински черва?
A.хагис
B.Читлини
C.Зърно
D.котлет suey",b,"от изброените опции, b. читлини е ястието, което се прави от свински черва. читлините са традиционно ястие в южната част на сащ и се приготвят от измити и обработени свински черва, които се варят и понякога се пържат.",true
"Какво е атака за преиграване?
A.Когато нападателят отговори на съобщение, изпратено до него от системата
B.Атака, която непрекъснато се повтаря, сондиране за слабост
C.Атака, която използва собствените съобщения на системата и така не може да бъде защитена
D.Нападателят изпраща отново заловено съобщение, а сайтът го приема и отговаря в полза на нападателя",d,"d. нападателят изпраща отново заловено съобщение, а сайтът го приема и отговаря в полза на нападателя

това е правилният отговор за атака за преиграване (replay attack). при такава атака, нападателят залавя валидно съобщение и го изпраща отново към системата, като по този начин може да предизвика нежелани действия или да получи неоторизиран достъп.",true
