Question,CorrectAnswer,GivenAnswer,Correct
"নেদারল্যান্ডের সরকারি ভাষা কি?
A.ড্যানিশ
B.সুইডিশ
C.জার্মান
D.ডাচ",d,d.ডাচ,true
"মধ্যবয়সী প্রাপ্তবয়স্করা বয়স্ক বা অল্প বয়স্কদের চেয়ে বেশি ____ বলে মনে হয়
A.উৎপাদক
B.নিউরোটিক
C.সহমত
D.কিছু",a,a. উৎপাদক,true
"১৯৯৯ সালের ম্যাগনোলিয়া সিনেমার প্রেক্ষাপট কোন অবস্থায়?
A.ক্যালিফোর্নিয়া
B.সাউথ ক্যারোলাইনা
C.জর্জিয়া
D.টেক্সাস",a,a. ক্যালিফোর্নিয়া,true
"2017 সালে মাথাপিছু সবচেয়ে বেশি CO2 নির্গমন করেছে কোন দেশ?
A.জাপান
B.কানাডা
C.রাশিয়া
D.ইরান",b,"2017 সালে মাথাপিছু সবচেয়ে বেশি co2 নির্গমন করেছে কানাডা। তাই উত্তর হল:
b. কানাডা",true
"________ সনাক্তকরণ, ___________ উন্নত করা এবং _________ এবং ___________ উত্সাহিত করার জন্য ব্যবসাগুলি _________ কাছ থেকে দাবির কারণে সামাজিক অ্যাকাউন্টিংয়ে জড়িত
A.স্টেকহোল্ডার, ঝুঁকি, স্টেকহোল্ডার ব্যবস্থাপনা, জবাবদিহিতা, স্বচ্ছতা
B.স্টেকহোল্ডার, জবাবদিহিতা, স্বচ্ছতা, ঝুঁকি, স্টেকহোল্ডার ম্যানেজমেন্ট
C.স্টেকহোল্ডার, জবাবদিহিতা, ঝুঁকি, স্টেকহোল্ডার, স্টেকহোল্ডার ম্যানেজমেন্ট
D.স্টেকহোল্ডার, স্টেকহোল্ডার ম্যানেজমেন্ট, স্বচ্ছতা, ঝুঁকি, জবাবদিহিতা",a,"a. স্টেকহোল্ডার সনাক্তকরণ, ঝুঁকি উন্নত করা, স্টেকহোল্ডার ব্যবস্থাপনা এবং জবাবদিহিতা উত্সাহিত করার জন্য ব্যবসাগুলি স্বচ্ছতা কাছ থেকে দাবির কারণে সামাজিক অ্যাকাউন্টিংয়ে জড়িত",true
"অভিনেতা আন্তোনিও বান্দেরাসের স্থানীয় ভাষা কি?
A.স্প্যানিশ
B.রুশ
C.জার্মান
D.ফরাসী",a,"a.স্প্যানিশ

আন্তোনিও বান্দেরাস স্পেনের মালাগা থেকে এসেছেন এবং তার স্থানীয় ভাষা হল স্প্যানিশ।",true
"Find $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$
A.1
B.-1
C.0
D.2",b,"first, simplify the expression inside the multiplication:

\[
-\frac{1}{-3} \cdot \frac{1}{\frac{1}{-3}}
\]

starting with \(-\frac{1}{-3}\), we simplify it to:

\[
-\frac{1}{-3} = \frac{1}{3}
\]

next, consider the term \(\frac{1}{\frac{1}{-3}}\). this can be simplified by recognizing it as the reciprocal of \(\frac{1}{-3}\), which is \(-3\):

\[
\frac{1}{\frac{1}{-3}} = -3
\]

now, substitute these simplified values back into the original expression:

\[
\frac{1}{3} \cdot (-3)
\]

multiply the two values:

\[
\frac{1}{3} \cdot (-3) = -1
\]

thus, the value of the expression is \(\boxed{-1}\).",true
"এই হরর ফিল্মগুলির মধ্যে কোনটি সবচেয়ে বেশি সিক্যুয়াল তৈরি করেছে?
A.চিৎকার'
B.চোয়াল '
C.হ্যালোইন'
D.১৩ তারিখ শুক্রবার'",d,এই হরর ফিল্মগুলির মধ্যে 'হ্যালোইন' সিরিজটি সবচেয়ে বেশি সিক্যুয়াল তৈরি করেছে। 'হ্যালোইন' সিরিজটি 1978 সালে শুরু হয়েছিল এবং এর পর বহু সিক্যুয়াল এবং রিবুট তৈরি হয়েছে।,true
" এই বিপণন এবং যোগাযোগ সরঞ্জামটি গ্রাহকদের পণ্য / পরিষেবা কিনতে উত্সাহিত করার জন্য সরাসরি প্ররোচনা বা উত্সাহ সরবরাহ করে:
A.বিজ্ঞাপন।
B.জনসংযোগ।
C.বিক্রয় প্রচার।
D.সরাসরি বিপণন।",c,"c.বিক্রয় প্রচার।

বিক্রয় প্রচার হল এমন একটি বিপণন কৌশল যা গ্রাহকদের পণ্য বা পরিষেবা কিনতে সরাসরি উত্সাহিত করে থাকে। এটি বিভিন্ন ধরনের ছাড়, কুপন, বিশেষ অফার বা পুরস্কারের মাধ্যমে গ্রাহকদের ক্রয় করার জন্য প্ররোচিত করে।",true
"একটি দেশের প্রতিযোগিতা অন্য দেশের প্রতিযোগিতা দ্বারা কতটুকু প্রভাবিত হয় তার পরিভাষা কী?
A.আন্তর্জাতিক বাণিজ্য
B.বিশ্ব অর্থনীতি
C.বৈশ্বিক প্রতিযোগিতা
D.বিশ্বায়ন",d,"d.বিশ্বায়ন

বিশ্বায়ন হলো একটি প্রক্রিয়া যেখানে বিভিন্ন দেশের অর্থনৈতিক, সামাজিক, সাংস্কৃতিক, এবং রাজনৈতিক ক্ষেত্রের মধ্যে আন্তঃসংযোগ বৃদ্ধি পায়। এই প্রক্রিয়ার মাধ্যমে একটি দেশের প্রতিযোগিতা অন্য দেশের প্রতিযোগিতা দ্বারা প্রভাবিত হয়।",true
