Question,CorrectAnswer,GivenAnswer,Correct
"Koji je zvanični jezik Holandije?
A.Danski
B.Švedski
C.Njemački
D.Nizozemski",D,D. Nizozemski,D
" Ovaj marketinški i komunikacioni alat nudi direktan podsticaj ili podsticaj za podsticanje kupaca da kupe proizvod/uslugu:
A.Reklamiranju.
B.Odnosi s javnošću.
C.Promocija prodaje.
D.Direktni marketing.",C,C. Promocija prodaje.,C
"Koji je maternji jezik glumca Antonija Banderasa?
A.Španjolski
B.Ruski
C.Njemački
D.Francuski",A,A. Španjolski,A
"Šta je replay napad?
A.Kada napadač odgovori na poruku koju mu je sistem poslao
B.Napad koji se stalno ponavlja, tragajući za slabošću
C.Napad koji koristi sopstvene poruke sistema i stoga se ne može odbraniti od
D.Napadač šalje zarobljenu poruku, a sajt je prihvata i odgovara u korist napadača.",D,"D. Napadač šalje zarobljenu poruku, a sajt je prihvata i odgovara u korist napadača.",D
"Preduzeća se bave socijalnim računovodstvenim poslovanjem zbog zahteva _________, kako bi se identifikovale ________, poboljšale ___________ i podstakle _________ i ___________
A.Zainteresovane strane, rizici, upravljanje zainteresovanim stranama, odgovornost, transparentnost
B.Zainteresovane strane, odgovornost, transparentnost, rizici, upravljanje zainteresovanim stranama
C.Zainteresovane strane, odgovornost, rizici, zainteresovane strane, upravljanje zainteresovanim stranama
D.Zainteresovane strane, upravljanje zainteresovanim stranama, transparentnost, rizici, odgovornost",A,"A. Zainteresovane strane, rizici, upravljanje zainteresovanim stranama, odgovornost, transparentnost",A
"U kojoj državi je snimljen film Magnolija iz 1999. godine?
A.Kaliforniji
B.juzna karolina
C.Gruzija
D.Texas",A,"Film ""Magnolija"" iz 1999. godine snimljen je u Kaliforniji, SAD. Dakle, točan odgovor je:
A. Kalifornija",A
"Koje od ovih jela je napravljeno od svinjskih crijeva?
A.haggis
B.chitlins
C.Griz
D.chop suey",B,"Od navedenih jela, chitlins (ili chitterlings) je jelo koje se pravi od svinjskih crijeva. Chitlins su tradicionalno popularni u južnjačkoj kuhinji Sjedinjenih Američkih Država i često se pripremaju za posebne prilike i praznike.",B
"Koji od ovih horor filmova je iznjedrio najviše nastavaka?
A.Scream'
B.Jaws'
C.Noć vještica
D.Petak 13.",D,"Serijal ""Petak 13."" (Friday the 13th) je iznjedrio najviše nastavaka. Originalni film je izašao 1980. godine, a do danas je snimljeno ukupno 12 filmova uključujući i remake iz 2009. godine te crossover film ""Freddy vs. Jason"".",D
"Koja od sledećih karakteristika je generalno u skladu sa silovanjem?
A.upotreba prekomjerne sile
B.preduzimljivo
C.Seksualno motivisan
D.Uključuje upotrebu oružja",C,"A. upotreba prekomerne sile

Silovanje često uključuje upotrebu prekomerne sile, gde počinilac koristi fizičku moć da nadvlada i kontroliše žrtvu. Ovo je jedna od ključnih karakteristika koja razlikuje silovanje od drugih seksualnih aktivnosti koje su konsenzualne.",A
"Koja od sledećih zemalja je emitovala najviše CO2 po glavi stanovnika u 2017. godini?
A.Japan
B.Kanada
C.Rusija
D.Iran",B,"U 2017. godini, Kanada je emitovala najviše CO2 po glavi stanovnika među navedenim zemljama. Kanada je poznata po visokoj emisiji CO2 po glavi stanovnika zbog svoje velike zavisnosti od fosilnih goriva, uključujući naftu i gas, kao i zbog relativno niske gustine naseljenosti koja povećava zavisnost od transporta.",B
