Question,CorrectAnswer,GivenAnswer,Correct
"Beth yw iaith swyddogol yr Iseldiroedd?
A.Danaidd
B.Swedaidd
C.Almaenig
D.Iseldiraidd",d,d.iseldiraidd,true
"Ym mha gyflwr mae'r ffilm Magnolia' yn cael ei gosod yn 1999?
A.Nghaliffornia
B.De Carolina
C.Georgia
D.Texas",a,a. nghaliffornia,true
"Beth yw'r term am i ba raddau y mae cystadleuaeth mewn un wlad yn cael ei ddylanwadu gan gystadleuaeth mewn gwledydd eraill?
A.Masnach ryngwladol
B.Economeg fyd-eang
C.Cystadleuaeth fyd-eang
D.Globaleiddio",d,c.cystadleuaeth fyd-eang,false
"Beth yw'r actor Antonio Banderas iaith frodorol?
A.Sbaenaidd
B.Rwsaidd
C.Almaenig
D.Ffrengig",a,a. sbaenaidd,true
"Pa un o'r ffilmiau arswyd hyn a siliodd y mwyaf o ddilyniannau?
A.Sgrechian'
B.Jaws'
C.Calan Gaeaf'
D.Dydd Gwener y 13eg",d,d.dydd gwener y 13eg (friday the 13th),true
"Pa un o'r prydau hyn sy'n cael eu gwneud o goluddion moch?
A.haggis
B.chitlins
C.graean
D.Chop suey",b,b. chitlins,true
"Pam mae Parfit yn gwrthwynebu cydraddoldeb?
A.Mae'n dadlau bod na chymdeithas anghyfartal yn anochel.
B.Mae'n honni, drwy roi blaenoriaeth i anghenion y tlawd, y gallwn gynyddu cydraddoldeb.
C.Mae'n honni ein bod ni i gyd yn gyfrifol am ein tlodi.
D.Mae'n gwrthod y syniad o gydraddoldeb yn gyfan gwbl.",b,d.mae'n gwrthod y syniad o gydraddoldeb yn gyfan gwbl.,false
" Mae'r offeryn marchnata a chyfathrebu hwn yn cynnig gymhelliad uniongyrchol neu gymhelliant i annog cwsmeriaid i brynu cynnyrch / gwasanaeth:
A.Hysbysebu.
B.Cysylltiadau cyhoeddus.
C.Hyrwyddo gwerthu.
D.marchnata uniongyrchol.",c,c.hyrwyddo gwerthu.,true
"Mae busnesau'n cymryd rhan mewn cyfrifyddu cymdeithasol oherwydd galwadau gan _________, er mwyn adnabod ________, gwella ___________ ac annog _________ a ___________
A.rhanddeiliaid, risgiau, rheoli rhanddeiliaid, atebolrwydd, tryloywder
B.Rhanddeiliaid, atebolrwydd, tryloywder, risgiau, rheoli rhanddeiliaid
C.Rhanddeiliaid, Atebolrwydd, Risgiau, Rhanddeiliaid, Rheoli Rhanddeiliaid
D.Rhanddeiliaid, Rheoli rhanddeiliaid, tryloywder, risgiau, atebolrwydd",a,"a. rhanddeiliaid, risgiau, rheoli rhanddeiliaid, atebolrwydd, tryloywder",true
"Pa un o'r gwledydd canlynol a allyrrodd y mwyaf o CO2 y pen yn 2017?
A.Siapan
B.Canada
C.Rwsia
D.Iran",b,"yn 2017, canada oedd y wlad a allyrrodd y mwyaf o co2 y pen o'r gwledydd a restrir. mae canada yn adnabyddus am ei defnydd uchel o ynni fesul pen oherwydd ei heconomi sy'n seiliedig yn drwm ar adnoddau naturiol a'i hinsawdd oer, sy'n gofyn am fwy o wresogi.",true
"Mewn cylched gyfres, os yw'r cerrynt mewn un lamp yn 2 A, y cerrynt yn y lamp wrth ei ymyl yw
A.Hanner, 1 A
B.2:00 AM
C.Yn dibynnu ar ba lamp yn agosach at y batri
D.Dim digon o wybodaeth i ddweud",b,"yn achos cylched gyfres, mae'r cerrynt sy'n llifo trwy bob cydran yn yr un fath. felly, os yw'r cerrynt mewn un lamp yn 2 a, bydd y cerrynt yn y lamp wrth ei ymyl hefyd yn 2 a. felly, yr ateb yw:

b. 2:00 am (neu yn fwy cywir, 2 a)",true
