Question,CorrectAnswer,GivenAnswer,Correct
"Hvad er det officielle sprog i Holland?
A.Dansk
B.Svensk
C.Tysk
D.Nederlandsk",d,d.nederlandsk,true
" Dette marketing- og kommunikationsværktøj tilbyder en direkte tilskyndelse eller et incitament til at tilskynde kunderne til at købe et produkt / en tjeneste:
A.Reklame.
B.PR.
C.Salgsfremmende foranstaltninger.
D.Direkte markedsføring.",c,c. salgsfremmende foranstaltninger.,true
"Virksomheder engagerer sig i sociale regnskaber på grund af krav fra _________ for at identificere ________, forbedre ___________ og tilskynde til _________ og ___________
A.Interessenter, Risici, Interessentstyring, Ansvarlighed, Gennemsigtighed
B.Interessenter, Ansvarlighed, Gennemsigtighed, Risici, Interessenthåndtering
C.Interessenter, Ansvarlighed, Risici, Interessenter, Stakeholder Management
D.Interessenter, Interessentstyring, Gennemsigtighed, Risici, Ansvarlighed",a,"a. interessenter, risici, interessentstyring, ansvarlighed, gennemsigtighed",true
"Hvilke af følgende faktorer vil blive betragtet som en ""pull""-faktor for Riva, når man overvejer at flytte fra Indien til USA?
A.Ussel fattigdom
B.Bedre job og højere lønninger
C.Indiens kastesystem
D.Vold i hendes nabolag",b,"b.bedre job og højere lønninger

en ""pull""-faktor er en positiv årsag, der tiltrækker en person til et nyt sted. i dette tilfælde ville bedre jobmuligheder og højere lønninger i usa være en attraktiv faktor for riva, der motiverer hende til at overveje at flytte fra indien til usa.",true
"Hvilke af disse gyserfilm skabte flest efterfølgere?
A.Skrig'
B.Kæber'
C.Halloween'
D.Fredag d. 13.«",d,"blandt de nævnte gyserfilm har ""halloween"" skabt flest efterfølgere. serien omfatter flere film, der følger efter den oprindelige ""halloween"" fra 1978, instrueret af john carpenter. serien inkluderer direkte fortsættelser, omstart og genindspilninger, hvilket bringer det samlede antal film op på over 10.",false
"Hvilket af følgende lande udledte mest CO2 pr. indbygger i 2017?
A.Japan
B.Canada
C.Rusland
D.Iran",b,"i 2017 var canada det land blandt de nævnte muligheder, der udledte mest co2 pr. indbygger. canada har historisk set haft høje udledninger pr. indbygger på grund af sin store energisektor, der inkluderer olie- og gasproduktion, samt en relativt lille befolkning spredt over et stort geografisk område, hvilket øger afhængigheden af transport og opvarmning.",true
"Hvad er betegnelsen for, i hvilket omfang konkurrencen i ét land påvirkes af konkurrencen i andre lande?
A.International handel
B.Global økonomi
C.Global konkurrence
D.Globalisering",d,"den korrekte betegnelse for, i hvilket omfang konkurrencen i ét land påvirkes af konkurrencen i andre lande, er:

c. global konkurrence

dette begreb refererer til den situation, hvor virksomheder konkurrerer på tværs af landegrænser, og hvor konkurrencedygtigheden i et land kan blive påvirket af virksomheder og markedsforhold i andre lande.",false
"I et seriekredsløb, hvis strømmen i en lampe er 2 A, er strømmen i lampen ved siden af den
A.halvdelen, 1 A
B.02:00
C.Afhænger af hvilken lampe der er tættere på batteriet
D.Ikke nok information til at sige",b,"i et seriekredsløb er strømmen den samme gennem alle komponenter. dette betyder, at hvis strømmen i en lampe er 2 a, vil strømmen i en anden lampe i samme seriekredsløb også være 2 a. så det korrekte svar på dit spørgsmål er:

b. 2 a

dette svar antager, at ""02:00"" i valgmulighed b er en fejl og skulle have været ""2 a"".",true
"Hvad er skuespiller Antonio Banderas modersmål?
A.Spansk
B.Russisk
C.Tysk
D.Fransk",a,a. spansk,true
"Midaldrende voksne synes at være mere ____ end ældre eller yngre voksne
A.Generative
B.Neurotisk
C.Behagelig
D.Sikker",a,"a. generative

dette svar er baseret på erik eriksons teori om psykosocial udvikling, hvor ""generativitet versus stagnation"" er det centrale tema i midaldrende voksne (typisk i alderen 40-65 år). generativitet refererer til evnen til at pleje og guide yngre generationer og bidrage positivt til samfundet, hvilket er en vigtig del af udviklingen i denne livsfase.",true
